Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XAMBRA1,HIST1H4A,HIST1H4A,2|1,3,1.5,2,6|6,0.0,0.0,0.0,0.0,0.0,-24.86,0.25,0.65,
XAMBRA1,HSPA6,HSPA6,1|2,3,1.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-10.49,0.6,0.65,
XAMBRA1,HSPA5,HSPA5,0|1,1,0.5,2,29|30,0.0,0.0,0.0,0.0,0.0,-133.03,0.02,0.65,
XAMBRA1,HSPA4,HSPA4,1|2,3,1.5,2,16|18,0.0,0.0,0.0,0.0,0.0,-72.81,0.09,0.65,
XAMBRA1,ZC3H14,ZC3H14,1|0,1,0.5,2,19|30,0.0,0.0,0.0,0.0,0.0,-110.28,0.02,0.65,
XAMBRA1,HSPA8,HSPA8,56|61,117,58.5,2,43|48,0.0,0.0,0.0,0.0,0.0,-82.23,1.29,0.63,
XAMBRA1,PARP10,PARP10,0|1,1,0.5,2,2|1,0.0,0.0,0.0,0.0,0.0,-8.59,0.33,0.65,
XAMBRA1,ATXN2L,ATXN2L,1|0,1,0.5,2,48|43,0.0,0.0,0.0,0.0,0.0,-204.81,0.01,0.65,
XAMBRA1,ALDH3A2,ALDH3A2,0|3,3,1.5,2,4|4,0.0,0.0,0.0,0.0,0.0,-19.25,0.38,0.65,
XAMBRA1,KIAA1279,KIAA1279,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.79,1.0,0.65,
XAMBRA1,SWAP70,SWAP70,0|3,3,1.5,2,33|41,0.0,0.0,0.0,0.0,0.0,-166.66,0.04,0.65,
XAMBRA1,CSDE1,CSDE1,12|22,34,17.0,2,45|52,0.0,0.0,0.0,0.0,0.0,-174.78,0.35,0.65,
XAMBRA1,TIPRL,TIPRL,4|11,15,7.5,2,33|30,0.0,0.0,0.0,0.0,0.0,-125.75,0.24,0.65,
XAMBRA1,RPS6KA1,RPS6KA1,2|1,3,1.5,2,21|18,0.0,0.0,0.0,0.0,0.0,-83.86,0.08,0.65,
XAMBRA1,PPID,PPID,3|5,8,4.0,2,3|6,0.0,0.0,0.0,0.0,0.0,-14.53,0.89,0.57,
XAMBRA1,SERBP1,SERBP1,1|3,4,2.0,2,37|52,0.0,0.0,0.0,0.0,0.0,-194.77,0.04,0.65,
XAMBRA1,ARF3,ARF3,1|1,2,1.0,2,7|5,0.0,0.0,0.0,0.0,0.0,-24.86,0.17,0.65,
XAMBRA1,MTCL1,MTCL1,3|3,6,3.0,2,0|1,0.37,0.37,0.37,0.37,0.37,-0.51,6.0,0.23,
XAMBRA1,EEF1A1,EEF1A1,16|21,37,18.5,2,37|47,0.0,0.0,0.0,0.0,0.0,-137.39,0.44,0.65,
XAMBRA1,MAGEA4,MAGEA4,1|1,2,1.0,2,9|6,0.0,0.0,0.0,0.0,0.0,-31.31,0.13,0.65,
XAMBRA1,FXR1,FXR1,0|2,2,1.0,2,15|11,0.0,0.0,0.0,0.0,0.0,-59.18,0.08,0.65,
XAMBRA1,PRPF8,PRPF8,0|1,1,0.5,2,9|11,0.0,0.0,0.0,0.0,0.0,-45.81,0.05,0.65,
XAMBRA1,COPG2,COPG2,7|10,17,8.5,2,85|72,0.0,0.0,0.0,0.0,0.0,-321.25,0.11,0.65,
XAMBRA1,RELA,RELA,1|0,1,0.5,2,4|7,0.0,0.0,0.0,0.0,0.0,-25.89,0.09,0.65,
XAMBRA1,APC,APC,0|2,2,1.0,2,6|5,0.0,0.0,0.0,0.0,0.0,-25.89,0.18,0.65,
XAMBRA1,YTHDF2,YTHDF2,1|1,2,1.0,2,7|8,0.0,0.0,0.0,0.0,0.0,-31.31,0.13,0.65,
XAMBRA1,DPYSL4,DPYSL4,3|6,9,4.5,2,20|12,0.0,0.0,0.0,0.0,0.0,-61.59,0.28,0.65,
