,Bait,Prey Gene,Saint Score,log2FC
0,AMBRA1,HIST1H4A,0.0,-2.0
1,AMBRA1,HSPA6,0.0,-0.7369655941662062
2,AMBRA1,HSPA5,0.0,-5.643856189774724
3,AMBRA1,HSPA4,0.0,-3.473931188332412
4,AMBRA1,ZC3H14,0.0,-5.643856189774724
5,AMBRA1,HSPA8,0.0,0.36737106564852945
6,AMBRA1,PARP10,0.0,-1.5994620704162712
7,AMBRA1,ATXN2L,0.0,-6.643856189774724
8,AMBRA1,ALDH3A2,0.0,-1.3959286763311392
9,AMBRA1,KIAA1279,0.0,0.0
10,AMBRA1,SWAP70,0.0,-4.643856189774724
11,AMBRA1,CSDE1,0.0,-1.5145731728297585
12,AMBRA1,TIPRL,0.0,-2.0588936890535687
13,AMBRA1,RPS6KA1,0.0,-3.643856189774725
14,AMBRA1,PPID,0.0,-0.16812275880832692
15,AMBRA1,SERBP1,0.0,-4.643856189774724
16,AMBRA1,ARF3,0.0,-2.5563933485243853
17,AMBRA1,MTCL1,0.37,2.584962500721156
18,AMBRA1,EEF1A1,0.0,-1.1844245711374275
19,AMBRA1,MAGEA4,0.0,-2.9434164716336326
20,AMBRA1,FXR1,0.0,-3.643856189774725
21,AMBRA1,PRPF8,0.0,-4.321928094887363
22,AMBRA1,COPG2,0.0,-3.1844245711374275
23,AMBRA1,RELA,0.0,-3.473931188332412
24,AMBRA1,APC,0.0,-2.473931188332412
25,AMBRA1,YTHDF2,0.0,-2.9434164716336326
26,AMBRA1,DPYSL4,0.0,-1.8365012677171204
27,AMBRA1,DPYSL2,0.0,-2.0588936890535687
28,AMBRA1,DPYSL3,0.0,-3.1844245711374275
29,AMBRA1,NUDT2,0.0,-3.473931188332412
30,AMBRA1,NUDT5,0.0,-3.643856189774725
31,AMBRA1,EPS8L2,0.0,-4.058893689053568
32,AMBRA1,PPP5C,0.0,3.321928094887362
33,AMBRA1,PFN2,0.0,-1.7858751946471527
34,AMBRA1,RPLP2,0.0,-1.2175914350726267
35,AMBRA1,ECD,0.0,-4.058893689053568
36,AMBRA1,TPM3,0.0,-3.321928094887362
37,AMBRA1,FAM21A,0.0,-6.643856189774724
38,AMBRA1,TRIO,0.0,-2.8365012677171206
39,AMBRA1,YKT6,0.0,-3.8365012677171206
40,AMBRA1,TJP1,0.0,-5.058893689053568
41,AMBRA1,TCP1,0.0,0.22650852980867975
42,AMBRA1,SH3PXD2B,0.0,-4.643856189774724
43,AMBRA1,MAD2L2,0.99,5.321928094887363
44,AMBRA1,PRDX6,0.0,-1.0588936890535685
45,AMBRA1,PRDX1,0.0,-1.4739311883324124
46,AMBRA1,CCT6A,0.0,-1.0
47,AMBRA1,CROCC,0.0,-1.5994620704162712
48,AMBRA1,DYNLL2,0.86,4.643856189774724
49,AMBRA1,CDR2L,0.0,-2.1844245711374275
50,AMBRA1,CALM3,0.0,-2.321928094887362
51,AMBRA1,EIF4ENIF1,0.0,-3.0588936890535687
52,AMBRA1,TRIM25,0.0,-5.643856189774724
53,AMBRA1,SLC25A5,0.0,-1.8889686876112561
54,AMBRA1,NELFCD,0.0,-2.736965594166206
55,AMBRA1,KIF5B,0.0,-4.643856189774724
56,AMBRA1,DMD,0.0,0.0
57,AMBRA1,SEH1L,0.81,3.169925001442312
58,AMBRA1,ABCF3,0.0,-3.0588936890535687
59,AMBRA1,ABCF1,0.0,-5.058893689053568
60,AMBRA1,KPRP,0.97,5.129283016944966
61,AMBRA1,BAG2,0.0,0.0
62,AMBRA1,BAG3,0.0,-1.736965594166206
63,AMBRA1,RPS2,0.0,-3.0588936890535687
64,AMBRA1,CHMP5,0.0,-4.321928094887363
65,AMBRA1,CTPS1,0.0,-2.473931188332412
66,AMBRA1,DSG1,0.48,3.9068905956085187
67,AMBRA1,SF3B3,0.0,-3.1844245711374275
68,AMBRA1,LGALS1,0.51,2.584962500721156
69,AMBRA1,HN1,0.0,-2.736965594166206
70,AMBRA1,KIAA1217,0.0,-3.473931188332412
71,AMBRA1,KIAA1524,0.0,-1.0291463456595165
72,AMBRA1,NAP1L4,0.0,-4.058893689053568
73,AMBRA1,PUF60,0.0,-4.058893689053568
74,AMBRA1,PLIN3,0.0,-3.1844245711374275
75,AMBRA1,ZYX,0.0,-3.321928094887362
76,AMBRA1,CIAPIN1,0.0,-4.643856189774724
77,AMBRA1,HSP90AB1,0.0,1.1043366598147355
78,AMBRA1,ARHGAP29,0.0,-2.1844245711374275
79,AMBRA1,ATG2B,0.0,-5.058893689053568
80,AMBRA1,URI1,0.0,-0.7369655941662062
81,AMBRA1,TWF1,0.0,-4.643856189774724
82,AMBRA1,TWF2,0.0,-4.058893689053568
83,AMBRA1,EEF1D,0.0,-2.1202942337177118
84,AMBRA1,PCM1,0.0,-4.058893689053568
85,AMBRA1,UNQ9370/PRO34162,0.0,-1.5994620704162712
86,AMBRA1,TTC4,0.95,3.584962500721156
87,AMBRA1,DYNC1LI1,0.0,-3.8365012677171206
88,AMBRA1,PBK,0.0,-4.321928094887363
89,AMBRA1,ANKRD28,0.0,-3.321928094887362
90,AMBRA1,DDA1,0.38,3.9068905956085187
91,AMBRA1,VBP1,0.0,-1.5994620704162712
92,AMBRA1,ARHGAP5,0.0,-3.321928094887362
93,AMBRA1,NCOR2,0.0,-4.321928094887363
94,AMBRA1,GPN1,0.0,-3.643856189774725
95,AMBRA1,GGA3,0.0,-3.473931188332412
96,AMBRA1,HIST1H1C,0.06,1.1375035237499351
97,AMBRA1,TACC3,0.0,-3.1844245711374275
98,AMBRA1,ANKHD1,0.0,-3.473931188332412
99,AMBRA1,HIST1H2AG,0.0,-1.2175914350726267
100,AMBRA1,SIN3B,0.0,-2.5563933485243853
101,AMBRA1,SH3KBP1,0.0,-3.8365012677171206
102,AMBRA1,RTF1,0.0,-5.643856189774724
103,AMBRA1,PCCA,0.0,-0.7369655941662062
104,AMBRA1,BUB1B,0.0,-3.0588936890535687
105,AMBRA1,PPWD1,0.0,-2.8365012677171206
106,AMBRA1,SMG7,0.05,1.0
107,AMBRA1,DLG5,0.0,-0.888968687611256
108,AMBRA1,ZMYM4,0.0,-1.5994620704162712
109,AMBRA1,OSBPL9,0.0,-1.0
110,AMBRA1,AKAP1,0.0,-5.643856189774724
111,AMBRA1,AKAP2,0.0,-6.643856189774724
112,AMBRA1,EIF2A,0.0,-2.473931188332412
113,AMBRA1,CAPZB,0.0,-4.321928094887363
114,AMBRA1,TANGO6,0.0,-2.9434164716336326
115,AMBRA1,TTC1,0.0,-1.0
116,AMBRA1,STIP1,0.0,0.5160151470036647
117,AMBRA1,WDR43,0.0,-1.8889686876112561
118,AMBRA1,AHSA1,0.0,-2.5563933485243853
119,AMBRA1,DSP,0.35,2.321928094887362
120,AMBRA1,GLMN,0.93,2.4594316186372973
121,AMBRA1,PDAP1,0.0,-0.9159357352115255
122,AMBRA1,CAMSAP2,0.0,-5.058893689053568
123,AMBRA1,DNAJC7,0.44,1.7004397181410922
124,AMBRA1,ACP2,0.0,2.321928094887362
125,AMBRA1,NCOA2,0.0,-3.1844245711374275
126,AMBRA1,PHAX,0.0,-4.321928094887363
127,AMBRA1,LIMD1,0.0,-3.643856189774725
128,AMBRA1,DDB1,1.0,6.129283016944966
129,AMBRA1,CAPZA1,0.0,-1.7858751946471527
130,AMBRA1,GEMIN5,0.0,-2.8365012677171206
131,AMBRA1,CTTN,0.0,-1.736965594166206
132,AMBRA1,EIF4G2,0.0,-2.8365012677171206
133,AMBRA1,ERC1,0.0,-2.2515387669959646
134,AMBRA1,ERH,0.0,-2.321928094887362
135,AMBRA1,EIF2S2,0.0,-1.3219280948873622
136,AMBRA1,N4BP1,0.0,-5.058893689053568
137,AMBRA1,N4BP2,0.0,-1.286304185156641
138,AMBRA1,MDC1,0.0,-5.643856189774724
139,AMBRA1,IFT172,0.0,-1.7858751946471527
140,AMBRA1,GNL2,0.0,-1.3219280948873622
141,AMBRA1,EIF3B,0.0,-3.0588936890535687
142,AMBRA1,EIF3F,0.0,0.2630344058337938
143,AMBRA1,RARS,0.0,-5.643856189774724
144,AMBRA1,TPR,0.0,-3.0588936890535687
145,AMBRA1,ATP5B,0.0,-1.0
146,AMBRA1,CPLX1,0.0,-1.0
147,AMBRA1,SMPD4,0.05,1.0
148,AMBRA1,BRIP1,0.0,-4.643856189774724
149,AMBRA1,DNAJB1,0.0,-0.8109661756099832
