,Gene Name,log2(Fold change),P-value
0,HDLBP,0.362,0.196
1,PSMA2,2.171,0.039
2,BAG6;BAT3,1.115,0.009
3,TAF15,0.181,0.663
4,TXNRD1,1.009,0.056
5,HMOX2,2.732,0.006
6,KHSRP,0.012,0.962
7,PABPC1,0.389,0.155
8,HNRNPDL,1.242,0.005
9,SLIRP,-0.996,0.01
10,EIF5B,1.822,0.007
11,BSG,0.003,0.992
12,SPTBN1,0.719,0.174
13,HYOU1,1.843,0.003
14,TPM3,-0.592,0.13
15,TARDBP;TDP43,0.291,0.473
16,RPL17;RPL17-C18orf32,0.615,0.056
17,PSMB3,1.141,0.078
18,VTA1,0.573,0.052
19,UBE2D3;UBE2D2,-1.073,0.036
20,UGP2,3.265,0.051
21,PTGES3,0.094,0.779
22,EIF3H,-0.513,0.612
23,ACOT1;ACOT2,-0.501,0.216
24,NEB,2.356,0.597
25,PSME2,0.436,0.552
26,SRSF3,-1.081,0.022
27,DDX1,0.493,0.074
28,GPS1,1.063,0.104
29,WDR18,-0.281,0.633
30,VDAC2,0.649,0.065
31,GSTZ1,1.888,0.004
32,HNRNPUL1,0.509,0.384
33,NOLC1,0.441,0.193
34,ABI1,2.122,0.001
35,PLS3,1.657,0.003
36,PITPNB,0.504,0.197
37,RBP1,0.147,0.841
38,ADSL,1.288,0.004
39,TMED7;TMED7-TICAM2,0.944,0.089
40,NAA15,0.618,0.383
41,SRSF7,0.72,0.056
42,TPT1,-0.431,0.228
43,SET;SETSIP,-0.14,0.651
44,RPSA,0.115,0.717
45,CHD4,0.458,0.524
46,CAPNS1,0.804,0.123
47,DDOST,0.268,0.285
48,DDX3X;DDX3Y,-0.135,0.66
49,SPTAN1,1.336,0.021
50,DNM2;DNM1,-1.477,0.008
51,HSPA1A;HSPA1B,0.64,0.098
52,PSMB9,3.502,0.0
53,PUF60,1.119,0.048
54,MATR3,0.615,0.101
55,RBM39,2.145,0.006
56,HLA-A,0.11,0.747
57,EPB41L3,1.183,0.04
58,ALDH7A1,0.789,0.324
59,CTSD,-0.654,0.197
60,ZEB2,0.142,0.798
61,DPYSL2,0.323,0.424
62,MAPK15,0.486,0.16
63,SFXN3,0.784,0.045
64,TCEA1,-0.009,0.968
65,DDX17,0.182,0.556
66,ME2,2.792,0.006
67,GCSH,2.236,0.004
68,PHGDH,-1.316,0.017
69,CAMK2G;CAMK2B,2.74,0.094
70,CD9,0.036,0.922
71,POLR1C,2.094,0.002
72,TPM4,0.115,0.829
73,RPS14,0.017,0.956
74,RPS24,0.733,0.033
75,HSD17B4,0.122,0.923
76,CSNK2A1;CSNK2A3,-0.105,0.717
77,SEC23B,0.639,0.04
78,TPP1,-1.122,0.04
79,EEF1A2,0.629,0.121
80,MTHFD1,0.846,0.038
81,CTPS1,0.95,0.017
82,TCOF1,1.793,0.006
83,PPM1B,2.084,0.001
84,EIF2B5,1.035,0.275
85,MCM4,0.553,0.074
86,RPL29,-0.453,0.189
87,THRAP3,0.804,0.023
88,NHP2L1,0.559,0.101
89,DEK,0.89,0.307
90,CLUH,0.431,0.44
91,NOP56,0.703,0.038
92,FKBP2,1.301,0.015
93,S100A2,-0.682,0.096
94,SRSF6,-0.023,0.934
95,AMPD2,3.132,0.038
96,STAT1,0.429,0.159
97,UBA6,-0.064,0.909
98,ILVBL,0.671,0.741
99,ACO2,1.124,0.008
100,PRNP,1.683,0.022
101,HCFC1,0.849,0.039
102,NUDT5,-0.93,0.019
103,USP14,0.709,0.042
104,RNPEP,0.603,0.532
