Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XATG16L1,CEP89,CEP89,4|3,7,3.5,2,0|0,1.0,1.0,1.0,1.0,1.0,5.28,35.0,0.0,
XATG16L1,CEP85,CEP85,11|13,24,12.0,2,0|0,1.0,1.0,1.0,1.0,1.0,18.17,120.0,0.0,
XATG16L1,PARP10,PARP10,19|23,42,21.0,2,0|1,1.0,1.0,1.0,1.0,1.0,24.93,42.0,0.0,
XATG16L1,DENND4A,DENND4A,34|36,70,35.0,2,0|0,1.0,1.0,1.0,1.0,1.0,52.04,350.0,0.0,
XATG16L1,BACH1,BACH1,3|4,7,3.5,2,0|0,1.0,1.0,1.0,1.0,1.0,5.28,35.0,0.0,
XATG16L1,TTK,TTK,5|6,11,5.5,2,0|0,1.0,1.0,1.0,1.0,1.0,8.7,55.0,0.0,
XATG16L1,SHROOM2,SHROOM2,44|44,88,44.0,2,12|13,1.0,1.0,1.0,1.0,1.0,14.12,3.52,0.0,
XATG16L1,IGF2R,IGF2R,116|113,229,114.5,2,30|33,1.0,1.0,1.0,1.0,1.0,38.74,3.63,0.0,
XATG16L1,ILDR2,ILDR2,5|5,10,5.0,2,0|0,1.0,1.0,1.0,1.0,1.0,8.7,50.0,0.0,
XATG16L1,RGPD5,RGPD5,50|53,103,51.5,2,0|0,1.0,1.0,1.0,1.0,1.0,75.05,515.0,0.0,
XATG16L1,RAB11FIP2,RAB11FIP2,18|25,43,21.5,2,0|0,1.0,1.0,1.0,1.0,1.0,28.68,215.0,0.0,
XATG16L1,RAB11FIP1,RAB11FIP1,96|91,187,93.5,2,9|13,1.0,1.0,1.0,1.0,1.0,70.6,8.5,0.0,
XATG16L1,MTCL1,MTCL1,9|8,17,8.5,2,0|1,1.0,1.0,1.0,1.0,1.0,8.91,17.0,0.0,
XATG16L1,BIN3,BIN3,9|9,18,9.0,2,2|1,1.0,1.0,1.0,1.0,1.0,5.51,6.0,0.0,
XATG16L1,DMTN,DMTN,4|5,9,4.5,2,0|0,1.0,1.0,1.0,1.0,1.0,7.02,45.0,0.0,
XATG16L1,PPP2R3A,PPP2R3A,44|38,82,41.0,2,8|13,1.0,1.0,1.0,1.0,1.0,13.79,3.9,0.0,
XATG16L1,APC,APC,42|45,87,43.5,2,5|5,1.0,1.0,1.0,1.0,1.0,32.89,8.7,0.0,
XATG16L1,NUP88,NUP88,32|23,55,27.5,2,2|2,1.0,1.0,1.0,1.0,1.0,21.15,13.75,0.0,
XATG16L1,CEP97,CEP97,51|43,94,47.0,2,4|3,1.0,1.0,1.0,1.0,1.0,40.3,13.43,0.0,
XATG16L1,CEP95,CEP95,36|43,79,39.5,2,0|0,1.0,1.0,1.0,1.0,1.0,54.93,395.0,0.0,
XATG16L1,FAM135A,FAM135A,34|28,62,31.0,2,2|3,1.0,1.0,1.0,1.0,1.0,25.39,12.4,0.0,
XATG16L1,PHLDB1,PHLDB1,27|27,54,27.0,2,2|2,1.0,1.0,1.0,1.0,1.0,26.44,13.5,0.0,
XATG16L1,PHLDB2,PHLDB2,91|90,181,90.5,2,0|1,1.0,1.0,1.0,1.0,1.0,126.33,181.0,0.0,
XATG16L1,A0A1B0GTL5,RAB11FIP5,164|161,325,162.5,2,41|29,1.0,1.0,1.0,1.0,1.0,38.95,4.64,0.0,
