,Bait,Prey Gene,Saint Score,log2FC
0,ATG16L1,CEP89,1.0,5.129283016944966
1,ATG16L1,CEP85,1.0,6.906890595608519
2,ATG16L1,PARP10,1.0,5.392317422778761
3,ATG16L1,DENND4A,1.0,8.451211111832329
4,ATG16L1,BACH1,1.0,5.129283016944966
5,ATG16L1,TTK,1.0,5.78135971352466
6,ATG16L1,SHROOM2,1.0,1.8155754288625725
7,ATG16L1,IGF2R,1.0,1.859969548221026
8,ATG16L1,ILDR2,1.0,5.643856189774724
9,ATG16L1,RGPD5,1.0,9.00842862207058
10,ATG16L1,RAB11FIP2,1.0,7.7481928495894605
11,ATG16L1,RAB11FIP1,1.0,3.0874628412503395
12,ATG16L1,MTCL1,1.0,4.087462841250339
13,ATG16L1,BIN3,1.0,2.584962500721156
14,ATG16L1,DMTN,1.0,5.491853096329675
15,ATG16L1,PPP2R3A,1.0,1.9634741239748859
16,ATG16L1,APC,1.0,3.1210154009613658
17,ATG16L1,NUP88,1.0,3.7813597135246595
18,ATG16L1,CEP97,1.0,3.747387399652718
19,ATG16L1,CEP95,1.0,8.625708843064466
20,ATG16L1,FAM135A,1.0,3.6322682154995127
21,ATG16L1,PHLDB1,1.0,3.7548875021634687
22,ATG16L1,PHLDB2,1.0,7.499845887083206
23,ATG16L1,RAB11FIP5,1.0,2.2141248053528475
24,ATG16L1,NUP107,1.0,4.044394119358453
25,ATG16L1,DENND4C,1.0,1.6182386555954547
26,ATG16L1,VCP,1.0,2.6322682154995127
27,ATG16L1,DYNLL1,1.0,5.129283016944966
28,ATG16L1,TRIM26,1.0,6.409390936137702
29,ATG16L1,PTPN13,1.0,3.643856189774725
30,ATG16L1,PTPN14,1.0,6.022367813028454
31,ATG16L1,GAPDH,1.0,2.3923174227787602
32,ATG16L1,MSRB3,1.0,2.700439718141092
33,ATG16L1,VDAC1,1.0,3.807354922057604
34,ATG16L1,BNIP2,1.0,6.022367813028454
35,ATG16L1,KIF16B,1.0,2.8875252707415875
36,ATG16L1,FSCN1,1.0,7.491853096329675
37,ATG16L1,KIAA1217,1.0,1.9486008474933556
38,ATG16L1,OCRL,1.0,7.813781191217037
39,ATG16L1,PEX19,1.0,6.409390936137702
40,ATG16L1,ANGEL1,1.0,5.906890595608519
41,ATG16L1,NAP1L1,1.0,2.4698859762744636
42,ATG16L1,NAP1L4,1.0,2.344828496997441
43,ATG16L1,ATG3,1.0,1.6825732973475784
44,ATG16L1,LNPEP,1.0,7.491853096329675
45,ATG16L1,ATG2B,1.0,1.8155754288625725
46,ATG16L1,DVL1,1.0,6.409390936137702
47,ATG16L1,PPP1R16B,1.0,7.906890595608519
48,ATG16L1,SRGAP2,1.0,3.1160319934471103
49,ATG16L1,TRIM37,1.0,5.129283016944966
50,ATG16L1,BSDC1,1.0,5.78135971352466
51,ATG16L1,USP54,1.0,6.569855608330948
52,ATG16L1,ASCC3,1.0,2.761285273361619
53,ATG16L1,ZNF622,1.0,4.169925001442312
54,ATG16L1,RPL5,1.0,6.129283016944966
55,ATG16L1,RASSF5,1.0,5.129283016944966
56,ATG16L1,VPS13C,1.0,7.303780748177103
57,ATG16L1,KIAA0556,1.0,6.228818690495881
58,ATG16L1,NUP160,1.0,3.237257770900372
59,ATG16L1,SMG7,1.0,4.392317422778761
60,ATG16L1,DLG5,1.0,1.5704629310260412
61,ATG16L1,LZTS2,1.0,7.409390936137702
62,ATG16L1,HSP90B1,1.0,3.807354922057604
