,Gene Name,log2(Fold change),P-value
0,SERPINB6,0.619,0.047
1,HDLBP,-0.488,0.093
2,PSMA2,0.66,0.034
3,BAG6;BAT3,0.949,0.012
4,TAF15,-0.436,0.328
5,TXNRD1,0.74,0.039
6,HMOX2,0.436,0.158
7,KHSRP,0.192,0.625
8,PYCR2,0.965,0.026
9,HNRNPDL,1.445,0.005
10,SLIRP,-0.752,0.068
11,EIF5B,1.653,0.042
12,BSG,-0.094,0.829
13,SPTBN1,0.259,0.65
14,MTHFD1L,0.885,0.235
15,HYOU1,2.386,0.001
16,TPM3,-0.331,0.303
17,TARDBP;TDP43,0.088,0.857
18,RPL17;RPL17-C18orf32,0.211,0.406
19,PSMB3,0.337,0.281
20,VTA1,-0.141,0.605
21,AP2M1,3.644,0.001
22,UBE2D3;UBE2D2,-0.836,0.054
23,UGP2,1.029,0.155
24,EIF3H,-0.336,0.42
25,SBDS,1.007,0.255
26,ACOT1;ACOT2,1.166,0.098
27,PSME2,0.834,0.03
28,SRSF3,0.176,0.794
29,DDX1,-0.221,0.352
30,GPS1,0.787,0.079
31,VDAC2,0.323,0.197
32,HNRNPUL1,1.242,0.133
33,NOLC1,0.293,0.398
34,CASP8,-0.067,0.932
35,PLS3,1.057,0.012
36,PITPNB,0.417,0.173
37,SMARCA4;SMARCA2,5.318,0.046
38,TTN,7.545,0.0
39,TMED7;TMED7-TICAM2,0.416,0.275
40,NAA15,0.382,0.578
41,SRSF7,-0.091,0.807
42,TPT1,0.145,0.85
43,SET;SETSIP,-0.153,0.534
44,RPSA,0.35,0.198
45,DDX46,0.508,0.626
46,CHD4,-0.562,0.591
47,CAPNS1,-0.203,0.808
48,DDOST,-0.088,0.912
49,DDX3X;DDX3Y,-0.087,0.703
50,SPTAN1,1.14,0.018
51,DNM1;DNM2,0.616,0.146
52,DIAPH1,3.868,0.156
53,HSPA1A;HSPA1B,0.426,0.209
54,PSMB9,2.93,0.0
55,CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,1.77,0.017
56,PUF60,0.297,0.549
57,MATR3,0.867,0.016
58,PACSIN2,0.361,0.641
59,HLA-A,-1.471,0.026
60,ALDH7A1,0.624,0.096
61,CTSD,-0.644,0.09
62,ZEB2,1.813,0.001
63,DPYSL2,0.765,0.176
64,MAPK15,0.251,0.753
65,SFXN3,1.093,0.064
66,TCEA1,0.177,0.903
67,DDX17,0.404,0.302
68,GCSH,0.414,0.391
69,PHGDH,-1.183,0.04
70,OPA1,2.354,0.0
71,CTNNB1,-0.34,0.177
72,TPM4,0.413,0.565
73,RPS14,0.374,0.161
74,RPS24,0.409,0.212
75,PFKM,0.856,0.029
76,HSD17B4,1.191,0.02
77,CSNK2A1;CSNK2A3,-0.1,0.852
78,SEC23B;SEC23A,2.978,0.001
79,TPP1,-0.715,0.15
80,EEF1A2,0.431,0.246
81,MTHFD1,1.111,0.097
82,CTPS1,0.709,0.183
83,MOGS,1.803,0.002
84,TCOF1,1.134,0.132
85,COPA,1.184,0.004
86,NDUFA9,0.036,0.947
87,PPP1R12A,1.117,0.012
88,HNRNPL,0.005,0.987
89,RPL29,1.087,0.016
90,THRAP3,-0.37,0.347
91,AMDHD2,0.333,0.195
92,MCM4,0.719,0.035
93,NHP2L1,0.816,0.029
94,DEK,1.939,0.009
95,EBP,0.237,0.401
96,CLUH,1.332,0.003
97,TPP2,0.492,0.396
98,NOP56,0.82,0.018
99,FKBP2,-0.425,0.243
100,S100A2,-0.602,0.187
101,SRSF6,-0.01,0.978
102,AMPD2,1.044,0.077
103,ACAT1,0.964,0.144
104,MLH1,1.831,0.04
105,STAT1,0.397,0.187
106,USP7,2.181,0.001
107,UBA6,-0.469,0.099
108,ACO2,1.42,0.002
109,STMN1,0.575,0.264
110,CFAP69,3.212,0.017
111,HCFC1,0.843,0.17
112,NUDT5,1.38,0.191
113,USP14,0.447,0.113
114,RNPEP,-0.072,0.851
115,MANF,1.372,0.074
116,SUMO2;SUMO3;SUMO4,-1.342,0.039
117,RPL23A,0.054,0.889
118,EIF3L,1.504,0.003
119,UBE2I,0.218,0.434
120,CPNE1,-0.768,0.13
121,MPST,1.158,0.006
122,MCM5,0.822,0.034
123,MRPL43,0.706,0.03
124,PRPS1;PRPS1L1,0.457,0.104
125,PABPC4,1.334,0.005
126,HNRNPC,-0.499,0.08
127,CNN2,-0.877,0.016
128,NDUFA13,1.836,0.009
129,COPS2,1.004,0.029
130,CS,1.089,0.006
131,CARS,-0.218,0.542
132,B4DLN1,0.77,0.048
133,NQO1,-0.476,0.103
134,PTPN1,0.778,0.159
135,MTAP,1.035,0.07
136,FXR1,-0.203,0.588
137,HS1BP3,1.182,0.013
138,PES1,1.788,0.105
139,RAN,-0.139,0.552
140,DDX27,2.256,0.0
141,NMT1,0.491,0.08
142,ACADM,1.14,0.065
143,PTMA,0.422,0.413
144,IMMT,0.645,0.033
145,TSNAX;DISC1,0.529,0.219
146,DKC1,0.684,0.029
147,PFN2,0.135,0.756
148,SRI,0.248,0.497
149,EEF1E1;EEF1E1-BLOC1S5,0.676,0.031
150,ZC3HAV1,0.753,0.29
151,PFN2,-0.486,0.205
152,ATP1B3,-0.352,0.887
153,RAB6A;RAB6B;RAB39A,-0.843,0.046
154,RAB34,-0.35,0.183
155,BAG3,0.751,0.028
156,APEH,0.333,0.225
157,ATP5J2;ATP5J2-PTCD1,0.18,0.505
158,POLR2H,-0.795,0.028
159,C7orf50,-0.278,0.604
160,L2HGDH,1.915,0.002
161,RCC1,0.065,0.931
162,RFC4,0.563,0.122
163,RPL32,0.499,0.216
164,HLA-B,-1.666,0.035
165,CAMK2D,2.25,0.015
166,HNRNPAB,-0.909,0.563
167,GNPDA1,0.491,0.129
168,DBN1,0.382,0.528
169,EIF4E,-0.276,0.374
170,SEPT11,0.215,0.369
171,CYB5B,-0.76,0.132
172,COPS4,0.647,0.1
173,THOC3,0.32,0.204
174,PAIP1,0.637,0.043
175,GINS4,1.148,0.052
176,PFDN1,-1.308,0.012
177,TBCA,1.197,0.045
178,TCEB1,0.826,0.041
179,RPL30,0.666,0.09
180,DNPEP,2.016,0.01
181,SWAP70,1.157,0.049
182,AP1M1;AP1M2,2.597,0.01
183,SEPT7,-1.411,0.003
184,HMGB3,1.863,0.042
185,EIF2B4,-0.19,0.769
186,U2SURP,0.025,0.962
187,EIF4G1,0.325,0.191
188,MAP4,0.891,0.034
189,CSTF2;CSTF2T,2.287,0.06
190,EIF4B,1.585,0.044
191,DCTN1,0.312,0.28
192,NACA,0.651,0.258
193,HNRNPH1,0.231,0.331
194,SUCLG2,-0.181,0.448
195,FUBP1,0.243,0.407
196,DLAT,2.357,0.001
197,BZW2,0.378,0.435
198,TSN,-0.153,0.657
199,COPS8,0.955,0.011
200,SSR2,-1.982,0.006
201,UBXN1,1.476,0.006
202,EEF1D,-0.138,0.592
203,PRMT1,0.455,0.352
204,NPEPPS,0.691,0.03
205,ZFPL1,0.974,0.022
206,ANP32E,0.725,0.608
207,FAU,-1.282,0.005
208,NSFL1C,1.713,0.008
209,ACP1,1.356,0.371
210,PGAM5,3.439,0.013
211,OTUB1,0.384,0.142
212,ATP6V0D1,2.792,0.027
