Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XBTRC,HIST1H4A,HIST1H4A,6|11,17,8.5,2,7|6,0.0,0.0,0.0,0.0,0.0,-15.68,1.31,0.48,
XBTRC,HSPA6,HSPA6,1|0,1,0.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-11.37,0.2,0.54,
XBTRC,PDCD10,PDCD10,1|0,1,0.5,2,0|2,0.0,0.0,0.0,0.0,0.0,-4.71,0.5,0.54,
XBTRC,ABCD3,ABCD3,0|1,1,0.5,2,18|17,0.0,0.0,0.0,0.0,0.0,-77.85,0.03,0.54,
XBTRC,DHX9,DHX9,1|0,1,0.5,2,68|60,0.0,0.0,0.0,0.0,0.0,-286.45,0.01,0.54,
XBTRC,HSPA8,HSPA8,8|15,23,11.5,2,44|52,0.0,0.0,0.0,0.0,0.0,-182.97,0.24,0.54,
XBTRC,TCOF1,TCOF1,0|2,2,1.0,2,4|3,0.0,0.0,0.0,0.0,0.0,-15.69,0.29,0.54,
XBTRC,PPP2R2A,PPP2R2A,3|2,5,2.5,2,0|0,0.96,0.99,0.96,0.99,0.96,2.63,25.0,0.01,
XBTRC,WHSC1,WHSC1,0|1,1,0.5,2,0|0,0.0,0.0,0.0,0.0,0.0,-1.91,5.0,0.54,
XBTRC,ATXN2L,ATXN2L,1|3,4,2.0,2,53|47,0.0,0.0,0.0,0.0,0.0,-218.26,0.04,0.54,
XBTRC,XPO5,XPO5,0|1,1,0.5,2,0|1,0.0,0.0,0.0,0.0,0.0,-3.35,1.0,0.54,
XBTRC,CSDE1,CSDE1,3|0,3,1.5,2,47|50,0.0,0.0,0.0,0.0,0.0,-216.84,0.03,0.54,
XBTRC,TIPRL,TIPRL,1|1,2,1.0,2,29|30,0.0,0.0,0.0,0.0,0.0,-126.8,0.03,0.54,
XBTRC,ANAPC1,ANAPC1,1|0,1,0.5,2,7|15,0.0,0.0,0.0,0.0,0.0,-48.39,0.05,0.54,
XBTRC,GART,GART,6|11,17,8.5,2,18|16,0.0,0.0,0.0,0.0,0.0,-56.72,0.5,0.54,
XBTRC,HLCS,HLCS,8|10,18,9.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-9.3,1.64,0.44,
XBTRC,SERBP1,SERBP1,0|2,2,1.0,2,38|49,0.0,0.0,0.0,0.0,0.0,-194.34,0.02,0.54,
XBTRC,GANAB,GANAB,3|4,7,3.5,2,0|0,0.99,1.0,0.99,1.0,0.99,4.47,35.0,0.0,
XBTRC,NUP133,NUP133,0|1,1,0.5,2,11|18,0.0,0.0,0.0,0.0,0.0,-64.3,0.03,0.54,
XBTRC,CYFIP1,CYFIP1,0|1,1,0.5,2,5|4,0.0,0.0,0.0,0.0,0.0,-20.05,0.11,0.54,
XBTRC,ARF3,ARF3,1|0,1,0.5,2,7|5,0.0,0.0,0.0,0.0,0.0,-26.62,0.08,0.54,
XBTRC,SZT2,SZT2,0|1,1,0.5,2,4|4,0.0,0.0,0.0,0.0,0.0,-17.82,0.12,0.54,
XBTRC,RAB11FIP1,RAB11FIP1,1|0,1,0.5,2,10|13,0.0,0.0,0.0,0.0,0.0,-51.07,0.04,0.54,
XBTRC,EEF1A1,EEF1A1,31|41,72,36.0,2,36|48,0.0,0.0,0.0,0.0,0.0,-105.7,0.86,0.54,
XBTRC,MAGEA4,MAGEA4,2|10,12,6.0,2,9|8,0.0,0.0,0.0,0.0,0.0,-31.32,0.71,0.5,
XBTRC,ARHGEF17,ARHGEF17,3|0,3,1.5,2,2|0,0.17,0.33,0.17,0.33,0.17,-4.71,1.5,0.27,
XBTRC,PNN,PNN,0|2,2,1.0,2,16|16,0.0,0.0,0.0,0.0,0.0,-71.14,0.06,0.54,
XBTRC,AHCTF1,AHCTF1,5|1,6,3.0,2,23|32,0.0,0.0,0.0,0.0,0.0,-117.82,0.11,0.54,
XBTRC,COPG2,COPG2,3|8,11,5.5,2,92|70,0.0,0.0,0.0,0.0,0.0,-346.78,0.07,0.54,
XBTRC,THOC2,THOC2,0|1,1,0.5,2,29|30,0.0,0.0,0.0,0.0,0.0,-131.59,0.02,0.54,
XBTRC,APC,APC,19|40,59,29.5,2,6|5,1.0,1.0,1.0,1.0,1.0,4.71,5.36,0.0,
XBTRC,UQCRC2,UQCRC2,2|2,4,2.0,2,0|0,0.93,0.93,0.93,0.93,0.93,2.63,20.0,0.02,
XBTRC,UQCRC1,UQCRC1,4|3,7,3.5,2,0|0,0.99,1.0,0.99,1.0,0.99,4.47,35.0,0.0,
XBTRC,COPS8,COPS8,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.35,1.0,0.54,
XBTRC,TNS3,TNS3,9|14,23,11.5,2,9|12,0.0,0.0,0.0,0.0,0.0,-25.47,1.1,0.51,
XBTRC,FAM135A,FAM135A,1|0,1,0.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-11.37,0.2,0.54,
XBTRC,DPYSL2,DPYSL2,2|3,5,2.5,2,47|44,0.0,0.0,0.0,0.0,0.0,-193.62,0.05,0.54,
XBTRC,DPYSL3,DPYSL3,0|1,1,0.5,2,37|30,0.0,0.0,0.0,0.0,0.0,-149.53,0.01,0.54,
XBTRC,DLD,DLD,2|4,6,3.0,2,0|0,0.97,1.0,0.97,1.0,0.97,2.63,30.0,0.01,
XBTRC,TK1,TK1,4|0,4,2.0,2,2|2,0.03,0.06,0.03,0.06,0.03,-9.14,1.0,0.38,
XBTRC,ARGLU1,ARGLU1,2|3,5,2.5,2,0|0,0.96,0.99,0.96,0.99,0.96,2.63,25.0,0.01,
XBTRC,EPS8L2,EPS8L2,2|0,2,1.0,2,9|10,0.0,0.0,0.0,0.0,0.0,-42.17,0.11,0.54,
XBTRC,CALML5,CALML5,2|1,3,1.5,2,0|0,0.47,0.93,0.47,0.93,0.47,0.59,15.0,0.16,
XBTRC,PFN2,PFN2,6|11,17,8.5,2,2|2,0.72,1.0,0.72,1.0,0.72,-0.21,4.25,0.03,
XBTRC,ATP5A1,ATP5A1,15|18,33,16.5,2,3|3,1.0,1.0,1.0,1.0,1.0,7.08,5.5,0.0,
XBTRC,MDN1,MDN1,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-4.95,0.5,0.54,
XBTRC,ACTA1,ACTA1,0|4,4,2.0,2,1|2,0.12,0.25,0.12,0.25,0.12,-7.15,1.33,0.29,
XBTRC,ECD,ECD,1|0,1,0.5,2,18|19,0.0,0.0,0.0,0.0,0.0,-82.33,0.03,0.54,
XBTRC,TPM3,TPM3,0|3,3,1.5,2,6|5,0.0,0.0,0.0,0.0,0.0,-24.45,0.27,0.54,
XBTRC,FAM21A,FAM21A,0|2,2,1.0,2,63|69,0.0,0.0,0.0,0.0,0.0,-295.43,0.02,0.54,
XBTRC,CASD1,CASD1,4|1,5,2.5,2,1|0,0.46,0.91,0.46,0.91,0.46,-1.74,5.0,0.21,
XBTRC,RPS4X,RPS4X,5|2,7,3.5,2,1|0,0.69,0.98,0.69,0.98,0.69,-0.42,7.0,0.05,
XBTRC,TJP1,TJP1,20|22,42,21.0,2,91|96,0.0,0.0,0.0,0.0,0.0,-342.42,0.22,0.54,
XBTRC,TCP1,TCP1,3|3,6,3.0,2,16|12,0.0,0.0,0.0,0.0,0.0,-51.86,0.21,0.54,
XBTRC,SH3PXD2B,SH3PXD2B,0|1,1,0.5,2,55|70,0.0,0.0,0.0,0.0,0.0,-279.53,0.01,0.54,
XBTRC,FER1L4,FER1L4,4|0,4,2.0,2,3|2,0.01,0.01,0.01,0.01,0.01,-11.37,0.8,0.42,
XBTRC,EDC4,EDC4,1|0,1,0.5,2,42|44,0.0,0.0,0.0,0.0,0.0,-192.15,0.01,0.54,
XBTRC,PRDX6,PRDX6,4|4,8,4.0,2,11|12,0.0,0.0,0.0,0.0,0.0,-38.84,0.35,0.54,
XBTRC,DENND4C,DENND4C,1|0,1,0.5,2,27|27,0.0,0.0,0.0,0.0,0.0,-120.38,0.02,0.54,
XBTRC,PRDX3,PRDX3,7|6,13,6.5,2,3|2,0.25,0.37,0.25,0.37,0.25,-1.82,2.6,0.26,
XBTRC,PRDX2,PRDX2,6|12,18,9.0,2,0|0,1.0,1.0,1.0,1.0,1.0,9.53,90.0,0.0,
XBTRC,PRDX1,PRDX1,23|47,70,35.0,2,24|28,0.0,0.0,0.0,0.0,0.0,-59.85,1.35,0.52,
XBTRC,CCDC168,CCDC168,0|1,1,0.5,2,0|1,0.0,0.0,0.0,0.0,0.0,-3.35,1.0,0.54,
