,Bait,Prey Gene,Saint Score,log2FC
0,BTRC,HIST1H4A,0.0,0.39
1,BTRC,HSPA6,0.0,-2.322
2,BTRC,PDCD10,0.0,-1.0
3,BTRC,ABCD3,0.0,-5.059
4,BTRC,DHX9,0.0,-6.644
5,BTRC,HSPA8,0.0,-2.059
6,BTRC,TCOF1,0.0,-1.786
7,BTRC,PPP2R2A,0.96,4.644
8,BTRC,WHSC1,0.0,2.322
9,BTRC,ATXN2L,0.0,-4.644
10,BTRC,XPO5,0.0,0.0
11,BTRC,CSDE1,0.0,-5.059
12,BTRC,TIPRL,0.0,-5.059
13,BTRC,ANAPC1,0.0,-4.322
14,BTRC,GART,0.0,-1.0
15,BTRC,HLCS,0.0,0.714
16,BTRC,SERBP1,0.0,-5.644
17,BTRC,GANAB,0.99,5.129
18,BTRC,NUP133,0.0,-5.059
19,BTRC,CYFIP1,0.0,-3.184
20,BTRC,ARF3,0.0,-3.644
21,BTRC,SZT2,0.0,-3.059
22,BTRC,RAB11FIP1,0.0,-4.644
23,BTRC,EEF1A1,0.0,-0.218
24,BTRC,MAGEA4,0.0,-0.494
25,BTRC,ARHGEF17,0.17,0.585
26,BTRC,PNN,0.0,-4.059
27,BTRC,AHCTF1,0.0,-3.184
28,BTRC,COPG2,0.0,-3.837
29,BTRC,THOC2,0.0,-5.644
30,BTRC,APC,1.0,2.422
31,BTRC,UQCRC2,0.93,4.322
32,BTRC,UQCRC1,0.99,5.129
33,BTRC,COPS8,0.0,0.0
34,BTRC,TNS3,0.0,0.138
35,BTRC,FAM135A,0.0,-2.322
36,BTRC,DPYSL2,0.0,-4.322
37,BTRC,DPYSL3,0.0,-6.644
38,BTRC,DLD,0.97,4.907
39,BTRC,TK1,0.03,0.0
40,BTRC,ARGLU1,0.96,4.644
41,BTRC,EPS8L2,0.0,-3.184
42,BTRC,CALML5,0.47,3.907
43,BTRC,PFN2,0.72,2.087
44,BTRC,ATP5A1,1.0,2.459
45,BTRC,MDN1,0.0,-1.0
46,BTRC,ACTA1,0.12,0.411
47,BTRC,ECD,0.0,-5.059
48,BTRC,TPM3,0.0,-1.889
49,BTRC,FAM21A,0.0,-5.644
50,BTRC,CASD1,0.46,2.322
51,BTRC,RPS4X,0.69,2.807
52,BTRC,TJP1,0.0,-2.184
53,BTRC,TCP1,0.0,-2.252
54,BTRC,SH3PXD2B,0.0,-6.644
55,BTRC,FER1L4,0.01,-0.322
56,BTRC,EDC4,0.0,-6.644
57,BTRC,PRDX6,0.0,-1.515
58,BTRC,DENND4C,0.0,-5.644
59,BTRC,PRDX3,0.25,1.379
60,BTRC,PRDX2,1.0,6.492
61,BTRC,PRDX1,0.0,0.433
62,BTRC,CCDC168,0.0,0.0
63,BTRC,CCT6A,0.0,-2.322
64,BTRC,PAPOLB,0.0,-1.599
65,BTRC,SLC16A1,0.0,-1.0
66,BTRC,NSUN2,0.0,-3.184
67,BTRC,TUFM,0.12,1.17
68,BTRC,DYNLL1,0.47,3.907
69,BTRC,MALRD1,0.0,-1.599
70,BTRC,TXNDC5,1.0,5.492
71,BTRC,DCD,0.5,5.129
72,BTRC,DNMT1,0.0,-1.786
73,BTRC,CACNA1D,0.0,-4.059
74,BTRC,TMEM263,0.0,3.322
75,BTRC,SLC25A3,0.04,0.807
76,BTRC,SLC25A6,0.0,-1.0
77,BTRC,SLC25A5,0.0,-0.029
78,BTRC,UTRN,0.0,-2.837
79,BTRC,DMD,0.0,0.0
80,BTRC,GAPDH,0.01,1.0
81,BTRC,SRSF4,0.2,1.0
82,BTRC,USP47,0.0,-5.059
83,BTRC,KPRP,0.79,2.585
84,BTRC,BAG3,0.0,-5.059
85,BTRC,MSRB3,1.0,2.907
86,BTRC,RPS6,0.0,0.0
87,BTRC,RPS3,0.05,0.74
88,BTRC,RPS2,0.0,-2.0
89,BTRC,VDAC2,0.0,-1.286
90,BTRC,RPS9,0.0,1.0
91,BTRC,RPS8,0.01,0.411
92,BTRC,CTPS1,0.0,-2.737
93,BTRC,HIST2H2AA3,0.0,0.0
94,BTRC,XP32,0.96,4.644
95,BTRC,LGALS1,0.97,2.907
96,BTRC,USP7,0.0,-5.644
97,BTRC,LGALS7,0.93,4.322
98,BTRC,FSCN1,0.97,5.322
99,BTRC,HN1,0.0,-4.644
100,BTRC,KIAA1217,0.0,-5.644
101,BTRC,RPL29,0.05,0.585
102,BTRC,RPL27,0.0,0.0
103,BTRC,RPL26,0.0,3.322
104,BTRC,RPL21,0.21,1.322
105,BTRC,RPL23,0.47,1.807
106,BTRC,RPL22,0.47,3.322
107,BTRC,PEAK1,0.0,-5.644
108,BTRC,KANK2,0.0,-1.322
109,BTRC,PLIN3,0.0,-5.644
110,BTRC,HSP90AB1,0.0,-1.029
111,BTRC,A0A5F9ZHW2,0.0,0.0
112,BTRC,UBR2,0.08,1.0
113,BTRC,SRGAP2,0.0,0.0
114,BTRC,EEF1G,0.0,-1.218
115,BTRC,EEF1D,0.0,-2.474
116,BTRC,RPL8,0.0,0.0
117,BTRC,RPL7,0.05,0.585
118,BTRC,RPL4,0.0,-1.786
119,BTRC,RPL5,0.0,3.322
120,BTRC,RPL3,0.0,1.0
121,BTRC,FEN1,0.0,-5.059
122,BTRC,CHD4,0.0,-6.644
123,BTRC,CHD6,0.49,2.322
124,BTRC,CHD8,0.0,-5.644
125,BTRC,WARS,0.0,-5.059
126,BTRC,ABHD14B,0.0,0.651
127,BTRC,PBK,0.0,-2.556
128,BTRC,ASCC3,0.0,-3.184
129,BTRC,RPL6,0.0,0.465
130,BTRC,PCM1,0.0,-2.556
131,BTRC,HIST1H1E,0.0,0.0
132,BTRC,HIST1H1C,0.62,1.678
133,BTRC,KALRN,0.0,-1.599
134,BTRC,SIN3B,0.0,-6.644
135,BTRC,PCCA,0.5,1.57
136,BTRC,SMG7,0.0,-1.0
137,BTRC,DLG5,0.0,0.516
138,BTRC,ZMYM4,0.02,-0.578
139,BTRC,BCAT1,0.0,0.0
140,BTRC,TUBB4B,0.0,0.678
141,BTRC,CAPZB,0.0,-2.556
142,BTRC,HSP90B1,0.36,2.0
143,BTRC,AHSA1,0.0,-5.644
144,BTRC,GTF2I,0.0,-1.599
145,BTRC,DST,0.0,-6.644
146,BTRC,DSP,1.0,6.492
147,BTRC,PRKDC,0.0,-3.644
148,BTRC,GEMIN5,0.0,0.0
149,BTRC,CTTN,0.0,-4.322
150,BTRC,EIF4G2,0.0,-5.059
151,BTRC,ERC1,0.0,-5.644
152,BTRC,CTSB,0.0,0.411
153,BTRC,RPL14,0.0,-2.322
154,BTRC,BTRC,1.0,10.477
155,BTRC,TGM1,0.47,3.907
156,BTRC,TGM3,1.0,5.322
157,BTRC,DHRS2,0.05,0.585
158,BTRC,PELO,0.0,0.0
159,BTRC,TPR,0.0,-0.234
160,BTRC,PHGDH,0.0,0.0
161,BTRC,TXNDC12,1.0,5.322
162,BTRC,CNN3,0.0,-3.644
163,BTRC,CSTF2T,0.0,-2.837
164,BTRC,KATNA1,0.0,-1.599
165,BTRC,COPB1,0.0,-2.943
166,BTRC,SMPD4,0.0,0.0
167,BTRC,ATR,0.0,0.0
168,BTRC,FASN,0.0,-2.396
169,BTRC,H1F0,0.0,-1.599
170,BTRC,HNRNPA1,0.0,-3.837
171,BTRC,ENO1,0.0,-2.12
172,BTRC,MIF,0.16,1.0
173,BTRC,EPB41,0.0,-6.644
174,BTRC,MSH2,0.0,-1.322
175,BTRC,MSH6,0.0,-5.644
176,BTRC,ELAC2,0.0,-1.599
177,BTRC,HSPD1,0.49,3.907
178,BTRC,DNAJC13,0.0,-5.644
179,BTRC,HIST1H3A,0.0,0.227
180,BTRC,LMNA,0.0,-0.377
181,BTRC,SYNE2,0.0,-2.556
182,BTRC,NUP214,0.0,-5.644
183,BTRC,LUC7L2,0.99,4.907
184,BTRC,RPL15,0.0,0.0
185,BTRC,RPL10,0.39,1.0
186,BTRC,RPL11,0.36,1.585
187,BTRC,RPL13,0.0,-1.218
188,BTRC,RPL18,0.26,1.0
189,BTRC,RPL19,0.0,0.0
190,BTRC,TRANK1,0.07,0.585
