,Gene Name,log2(Fold change),P-value
0,SERPINB6,-0.7858059859,0.0286556644724098
1,HDLBP,-0.1578038045,0.609467381812254
2,PSMA2,-0.1434629541,0.176771323752833
3,BAG6;BAT3,-0.1090612723,0.516137760700101
4,TAF15,-0.1195915157,0.363834632426742
5,TXNRD1,0.9163017872,0.0028968155412958
6,HMOX2,-0.4815972202,0.0448308298964896
7,EIF2B4,-0.4419311324,0.490371170874118
8,KHSRP,-0.1070494133,0.280717562074932
9,PABPC1;PABPC3,0.215271334,0.114914128675867
10,PYCR2,-0.4127480498,0.109868190072334
11,HNRNPDL,0.0456486365,0.764965229596376
12,MRPL45,1.7685789469,0.30882812287295
13,CTNNBL1,-0.4789426272,0.148602970168137
14,HNRNPDL,-0.2919131243,0.0469892479915509
15,SLIRP,-0.296380592,0.0389399914880809
16,EIF5B,0.0209046707,0.88272767406667
17,SPTBN1,-0.3923957647,0.016710375911848
18,RRBP1,0.3263770553,0.0685075087147265
19,POLR2E,-0.4648438268,0.0412881913436439
20,POLD2,-0.3853344326,0.350482333133414
21,TRAPPC3,-0.1483885463,0.272785334405693
22,TPM3,-0.0958473946,0.364202939336736
23,TARDBP;TDP43,-0.2636862994,0.171331456712503
24,RPL17;RPL17-C18orf32,0.3905864346,0.0671691356681848
25,ITGB6,-0.0147562525,0.894844081062277
26,PSMB3,0.088523848,0.40813906520033
27,VTA1,-0.6036112219,0.00485949574428021
28,AP2M1,-0.0802067494,0.818628565423615
29,UGP2,-0.1052740129,0.338470474270233
30,PTGES3,-0.0677929388,0.583492392525521
31,EIF3H,0.1624133685,0.183691386561579
32,SBDS,-0.2006003862,0.0709740335607077
33,OGFR,-0.2369498589,0.0674371945218781
34,HYOU1,-0.1345330659,0.23784515374038
35,SNX12,-0.644983667,0.0135244301508264
36,ACOT1;ACOT2,-0.9587360194,0.00173604413341442
37,RELA,-0.2808929588,0.590787127197354
38,SEPT8,-0.301841738,0.239719971307368
39,PSME2,-0.1926783171,0.0939394281819747
40,BSG,-0.3062793019,0.0949816789849346
41,SRSF3,0.0109625859,0.925018622673223
42,DDX1,-0.0111841851,0.914716184621817
43,GPS1,-0.4361421249,0.133338332507245
44,VDAC2,0.2961092096,0.0389035039612737
45,GSTZ1,0.6365051979,0.0745187041289045
46,HNRNPUL1,-0.8014416872,0.0529968967218863
47,EPB41L3,0.0728763301,0.453972727007526
48,SNX6,-0.3202019032,0.0534370111172267
49,PCMT1,-0.2596316107,0.147699953414325
50,NOLC1,0.110106578,0.320947152327417
51,ABI1,-0.7091235921,0.0929669014332286
52,CASP8,-0.8380347739,0.00178075861862335
53,HADH,-0.7376964922,0.117393202365772
54,PRDX1,0.0382207372,0.690611521007271
55,PLS3,-0.2669716769,0.0341187153611136
56,PITPNB,0.0042255703,0.982581567590359
57,IVD,-0.1650269677,0.401745939748105
58,ILK,-0.1436810859,0.544515726062019
59,ELOVL5,0.3737870035,0.0243972214318101
60,CUL2,-2.6410350782,7.98949111200176e-05
61,TMED7;TMED7-TICAM2,-0.0771901559,0.512424397050544
62,LUC7L2,-0.021766009,0.83123374268814
63,NAA15,-0.0093604936,0.945081229715674
64,SRSF7,0.2431183731,0.253119200144477
