Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XCIAO1,HIST1H4A,HIST1H4A,11|12,23,11.5,2,7|7,0.0,0.0,0.0,0.0,0.0,-10.72,1.64,0.56,
XCIAO1,HSPA5,HSPA5,7|11,18,9.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-111.22,0.3,0.71,
XCIAO1,HSPA4,HSPA4,14|11,25,12.5,2,22|22,0.0,0.0,0.0,0.0,0.0,-66.32,0.57,0.71,
XCIAO1,HSPA8,HSPA8,48|48,96,48.0,2,46|53,0.0,0.0,0.0,0.0,0.0,-106.71,0.97,0.71,
XCIAO1,SSFA2,SSFA2,2|3,5,2.5,2,10|12,0.0,0.0,0.0,0.0,0.0,-42.31,0.23,0.71,
XCIAO1,NELFE,NELFE,24|25,49,24.5,2,27|26,0.0,0.0,0.0,0.0,0.0,-60.52,0.92,0.71,
XCIAO1,KIAA0907,KIAA0907,5|4,9,4.5,2,1|1,0.63,0.76,0.63,0.76,0.63,0.04,4.5,0.04,
XCIAO1,CAMK4,CAMK4,8|3,11,5.5,2,5|7,0.0,0.0,0.0,0.0,0.0,-19.2,0.92,0.59,
XCIAO1,ZC3H15,ZC3H15,9|5,14,7.0,2,14|12,0.0,0.0,0.0,0.0,0.0,-43.05,0.54,0.71,
XCIAO1,ZC3H14,ZC3H14,14|14,28,14.0,2,21|31,0.0,0.0,0.0,0.0,0.0,-75.84,0.54,0.71,
XCIAO1,ZC3H18,ZC3H18,8|11,19,9.5,2,5|6,0.0,0.0,0.0,0.0,0.0,-9.7,1.73,0.52,
XCIAO1,ABCD3,ABCD3,23|31,54,27.0,2,18|21,0.0,0.0,0.0,0.0,0.0,-37.28,1.38,0.65,
XCIAO1,NT5DC1,NT5DC1,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.35,0.5,0.71,
XCIAO1,DHX8,DHX8,0|1,1,0.5,2,1|4,0.0,0.0,0.0,0.0,0.0,-11.62,0.2,0.71,
XCIAO1,DHX9,DHX9,28|25,53,26.5,2,70|64,0.0,0.0,0.0,0.0,0.0,-217.91,0.4,0.71,
XCIAO1,NELFA,NELFA,7|10,17,8.5,2,8|14,0.0,0.0,0.0,0.0,0.0,-30.91,0.77,0.71,
XCIAO1,TCOF1,TCOF1,22|44,66,33.0,2,3|3,1.0,1.0,1.0,1.0,1.0,14.67,11.0,0.0,
XCIAO1,NSRP1,NSRP1,4|3,7,3.5,2,4|5,0.0,0.0,0.0,0.0,0.0,-13.49,0.78,0.71,
XCIAO1,NUP98,NUP98,9|8,17,8.5,2,39|44,0.0,0.0,0.0,0.0,0.0,-155.35,0.2,0.71,
XCIAO1,XPC,XPC,2|2,4,2.0,2,4|3,0.0,0.0,0.0,0.0,0.0,-11.45,0.57,0.71,
XCIAO1,HNRNPDL,HNRNPDL,5|5,10,5.0,2,2|3,0.03,0.03,0.03,0.03,0.03,-3.53,2.0,0.43,
XCIAO1,ANKRD20A12P,ANKRD20A12P,4|3,7,3.5,2,1|3,0.02,0.04,0.02,0.04,0.02,-4.57,1.75,0.45,
XCIAO1,PARP12,PARP12,1|2,3,1.5,2,2|5,0.0,0.0,0.0,0.0,0.0,-13.41,0.43,0.71,
XCIAO1,ANP32E,ANP32E,1|1,2,1.0,2,3|4,0.0,0.0,0.0,0.0,0.0,-13.43,0.29,0.71,
XCIAO1,PLCB2,PLCB2,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.35,0.5,0.71,
XCIAO1,ACLY,ACLY,2|1,3,1.5,2,4|5,0.0,0.0,0.0,0.0,0.0,-17.54,0.33,0.71,
XCIAO1,ACSL3,ACSL3,8|15,23,11.5,2,1|1,1.0,1.0,1.0,1.0,1.0,4.9,11.5,0.0,
XCIAO1,ALDH3A2,ALDH3A2,29|37,66,33.0,2,6|7,1.0,1.0,1.0,1.0,1.0,12.69,5.08,0.0,
XCIAO1,PNISR,PNISR,2|6,8,4.0,2,2|5,0.0,0.0,0.0,0.0,0.0,-11.44,1.14,0.51,
XCIAO1,NOP2,NOP2,11|13,24,12.0,2,19|18,0.0,0.0,0.0,0.0,0.0,-52.56,0.65,0.71,
XCIAO1,EDC3,EDC3,5|4,9,4.5,2,2|3,0.02,0.03,0.02,0.03,0.02,-4.9,1.8,0.46,
