,Bait,Prey Gene,Saint Score,log2FC
0,CIAO1,HIST1H4A,0.0,0.714
1,CIAO1,HSPA5,0.0,-1.737
2,CIAO1,HSPA4,0.0,-0.811
3,CIAO1,HSPA8,0.0,-0.044
4,CIAO1,SSFA2,0.0,-2.12
5,CIAO1,NELFE,0.0,-0.12
6,CIAO1,KIAA0907,0.63,2.17
7,CIAO1,CAMK4,0.0,-0.12
8,CIAO1,ZC3H15,0.0,-0.889
9,CIAO1,ZC3H14,0.0,-0.889
10,CIAO1,ZC3H18,0.0,0.791
11,CIAO1,ABCD3,0.0,0.465
12,CIAO1,NT5DC1,0.0,-1.0
13,CIAO1,DHX8,0.0,-2.322
14,CIAO1,DHX9,0.0,-1.322
15,CIAO1,NELFA,0.0,-0.377
16,CIAO1,TCOF1,1.0,3.459
17,CIAO1,NSRP1,0.0,-0.358
18,CIAO1,NUP98,0.0,-2.322
19,CIAO1,XPC,0.0,-0.811
20,CIAO1,HNRNPDL,0.03,1.0
21,CIAO1,ANKRD20A12P,0.02,0.807
22,CIAO1,PARP12,0.0,-1.218
23,CIAO1,ANP32E,0.0,-1.786
24,CIAO1,PLCB2,0.0,-1.0
25,CIAO1,ACLY,0.0,-1.599
26,CIAO1,ACSL3,1.0,3.524
27,CIAO1,ALDH3A2,1.0,2.345
28,CIAO1,PNISR,0.0,0.189
29,CIAO1,NOP2,0.0,-0.621
30,CIAO1,EDC3,0.02,0.848
31,CIAO1,GTF3C1,0.0,-4.059
32,CIAO1,EDC4,0.0,-0.014
33,CIAO1,GTF3C4,0.0,-0.69
34,CIAO1,SWAP70,0.0,-0.837
35,CIAO1,ZNF451,0.01,1.124
36,CIAO1,XPO5,0.0,-1.0
37,CIAO1,CSDE1,0.0,0.151
38,CIAO1,XPO7,0.9,4.322
39,CIAO1,TIPRL,0.0,-0.105
40,CIAO1,TTN,0.38,1.585
41,CIAO1,FBXL18,0.45,3.322
42,CIAO1,EPS15L1,0.0,-1.218
43,CIAO1,C2ORF44,1.0,4.954
44,CIAO1,GART,0.0,-1.12
45,CIAO1,ANAPC4,0.0,-2.396
