,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.1470946284,0.784156142158716
1,SERPINB6,0.5086747093,0.088600713177898
2,HDLBP,0.019138802,0.937349278415783
3,PSMA2,0.0835095623,0.699246089486365
4,BAG6;BAT3,1.6675387825,0.00365387887340112
5,TAF15,-0.0779253173,0.79173666328448
6,TXNRD1,0.6158333553,0.171267505482279
7,EIF2B4,-0.3238408501,0.662421542353862
8,KHSRP,0.408331869,0.311866190231284
9,PYCR2,0.5233698674,0.116384350689441
10,POLA1,-2.4040189148,0.000778730299181972
11,GMPPA,1.8255469223,0.00601188619213744
12,HNRNPDL,1.3134038425,0.00678995670147199
13,SLIRP,-1.6449340168,0.00243552410681828
14,EIF5B,1.215902538,0.0835969001775058
15,BSG,-0.3904006182,0.39832559469565
16,SPTBN1,0.5315438616,0.0923659515648605
17,MTHFD1L,0.7431261908,0.0819794471846437
18,HYOU1,2.277923238,0.000675804551438211
19,TPM3,-0.1390321337,0.698776185916478
20,TARDBP;TDP43,0.0322245885,0.897432968347551
21,RPL17;RPL17-C18orf32,0.4021349855,0.160863291567292
22,ITGB6,-1.7511606847,0.000841749215007229
23,PSMB3,0.7565183289,0.0235506783519864
24,VTA1,0.7930985255,0.0158402384813868
25,AP2M1,3.7609770659,0.00122056913491914
26,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.5741031155,0.104567289659788
27,UGP2,2.6748510113,0.00074866132203347
28,PTGES3,-0.3027314496,0.21528225229267
29,EIF3H,1.1004964121,0.0470796172662622
30,ACOT1;ACOT2,-0.7696109591,0.0998177289291931
31,NEB,6.2212686925,0.00290544764296641
32,PSME2,0.0948275057,0.86636713076967
33,SRSF3,-1.5972345734,0.00141057875209539
34,DDX1,1.1900930479,0.13537980061393
35,GPS1,0.1690157931,0.533802892875728
36,VDAC2,0.3492818102,0.16980018067117
37,GSTZ1,2.0174497008,0.00236075365864249
38,EPB41L3,0.0764935902,0.804487609542493
39,PCMT1,0.1465468588,0.570775029854081
40,NOLC1,1.466866025,0.0069727748784879
41,ABI1,1.7594150842,0.00308966104794725
42,CASP8,-0.4246038925,0.628844277132232
43,HADH,-1.1996905342,0.230211302149942
44,PLS3,1.4407831371,0.00232094986839614
45,PITPNB,0.5007073046,0.307485993008775
46,ILK,1.1757612895,0.0432081440846497
47,TMED7;TMED7-TICAM2,0.5275366685,0.155818134044232
48,NAA15,0.4176954221,0.140347270183341
49,SRSF7,0.5571003726,0.258662898606585
50,TPT1,-0.0805293017,0.87236501932303
51,SET;SETSIP,-0.7017697427,0.0353333390567708
52,RPSA,0.2673586821,0.265704948369245
53,CHD4,0.7832779208,0.0591289242486013
54,CAPNS1,0.2509132035,0.475941483920842
55,DDOST,0.6734050331,0.20369891267048
56,DDX3X;DDX3Y,-0.3073905678,0.491002163170437
57,SPTAN1,2.3489991809,0.00388486399493805
58,DNM2;DNM1,0.0585640137,0.951146444436358
59,HSPA1A;HSPA1B,0.6817476687,0.122699274342673
60,PSMB9,3.7336300483,0.181792196437148
61,PUF60,-0.0335413289,0.928098472808095
62,MATR3,0.0399922383,0.904881283984979
63,HLA-A,-1.2065972188,0.00467120034799682
64,PSMB8;PSM8,1.3948983143,0.00312538682782418
65,ALDH7A1,0.2837370131,0.359565689435658
66,CTSD,-0.7506659891,0.0326450326309558
67,DPYSL2,0.687426101,0.179595535636652
68,MAPK15,0.7129982869,0.119745851485698
69,SFXN3,0.7877824488,0.0657634045880105
70,ME2,0.9210763298,0.0195219359174703
71,POLR2B,1.1985908129,0.0210247061116941
72,TCEA1,-0.4150382168,0.304026654036732
73,DDX17,0.6606414047,0.0966007564628547
74,GCSH,0.7313270013,0.486111472182593
75,HLA-A,1.6349139568,0.414179589171526
76,PHGDH,-0.1905705271,0.61835205154855
77,OPA1,1.6715011145,0.00318533464144679
78,CD9,-0.9700128562,0.0115284503042062
79,POLR1C,3.4370179608,0.00773701429495835
80,BCAP31,0.5171348563,0.222754788011818
81,TPM4,0.2338733563,0.508073051397115
82,RPS14,-0.275458717,0.339129955589344
83,RPS24,0.0863817915,0.797291480333053
84,PFKM,1.7869612221,0.0287794808953972
85,HSD17B4,0.7404851222,0.0392662195977393
86,CSNK2A1;CSNK2A3,0.3001415526,0.295742699809151
87,SEC23B,0.7069471421,0.0908407674707105
88,TPP1,-0.2380846795,0.568212062180007
89,EEF1A2,0.5992177734,0.161086739591399
90,CD59,-0.7262609632,0.161220799386978
91,MTHFD1,0.4482927781,0.197787351929377
92,CTPS1,0.5273728309,0.239896163291295
93,MOGS,2.1229025835,0.00443564274453945
94,TCOF1,1.7862701996,0.00286011849503864
95,PPM1B,1.5265923019,0.00250588142503675
96,COPA,1.4118242709,0.00191839895238885
97,HNRNPL,-0.6695424503,0.025867667614889
98,RPL29,0.0001242361,0.999581282431325
99,THRAP3,0.0875512314,0.68025835377173
100,AMDHD2,0.9077680319,0.17251570871214
101,MCM4,0.1364004186,0.590521529238024
102,DEK,0.8060373589,0.0207901250026808
103,CLUH,1.1452883856,0.0305058061058375
104,NOP56,1.357915994,0.0140806189626326
105,FKBP2,0.5981737006,0.0460447885073412
106,PREP,1.2963597037,0.00401126606471272
107,S100A2,-1.2545614655,0.00258042115478527
108,SRSF6,0.5458071959,0.28703284499332
109,SAE1,3.3148125613,5.79451238023726e-05
110,ACAT1,-1.0356731292,0.0173667051414428
111,STAT1,0.4910074569,0.166000396063836
112,UBA6,-0.3260004341,0.516459069641324
113,ACO2,0.2941464514,0.626078673652815
114,HCFC1,0.970218908,0.081290405755446
115,NUDT5,-0.7677387072,0.0180392529246118
116,USP14,0.3936776615,0.165157207966977
117,RNPEP,1.1704345471,0.0227038914247618
118,SEPT8,3.4066452135,0.00630840465111023
119,CRYZ,1.3876538,0.0069097666240783
120,MANF,1.2384506314,0.003310533082685
121,SUMO2;SUMO3;SUMO4,-1.8515842373,0.00107063366656473
122,RPL23A,-0.1256775393,0.748020555519483
123,SNRPG;SNRPGP15,-1.474106402,0.00141500816984271
124,EIF3L,1.5301766934,0.00339797703669187
125,UBE2I,0.4880537862,0.619376783477126
126,MPST,1.0177589161,0.01474072464277
127,MCM5,0.6202893006,0.203934219779731
128,PRPS1;PRPS1L1,0.7616569625,0.0226809110329865
129,PABPC4,-0.076641277,0.907319978600688
130,HNRNPC,-0.1613333602,0.669096726562707
131,PES1,-1.8947017323,0.00184845235310977
132,CNN2,-0.338304212,0.210156899514379
133,COPS2,0.5664684445,0.0625236767829036
134,CS,1.4617180061,0.00178764551813716
135,CARS,1.3535706453,0.0658208826153689
136,B4DLN1,1.5794917534,0.00164370938598696
137,NQO1,-0.5614652929,0.324361040676214
138,MTAP,0.9498694219,0.0472995988969159
139,NME7,1.302462107,0.0286757626300739
140,FXR1,1.4952256573,0.00344514170244036
141,PPM1F,2.5923018263,0.0602484174186546
142,SEPT2,0.0960783721,0.64914981228475
143,RAN,0.2557635892,0.271505109058137
144,NMT1,0.5667469161,0.0917530179904198
145,ACADM,1.3310799078,0.0605376791994483
146,SUMO1,1.2985900582,0.161006174091733
147,PTMA,-1.295946657,0.0593803123516294
148,IMMT,1.0282358891,0.0744459280490405
149,DKC1,0.4952822186,0.577372645347414
150,BZW1,0.3959821932,0.148614826641355
151,PFN2,-1.6645424494,0.0010531531738976
152,SRI,0.6447675871,0.2491626628925
153,EEF1E1;EEF1E1-BLOC1S5,1.2098820399,0.00862117604122709
154,NCAPH,-0.6818018769,0.0771622081295057
155,PDCD10,0.7079859045,0.0706739815944078
156,PFN2,-0.2700318661,0.416023732873823
157,RAB7A,-0.8855292903,0.115212353246802
158,ATP1B3,-0.1312169607,0.951776655506134
159,RAB6A;RAB6B;RAB39A,-1.05523478,0.0220763976456888
160,RAB34,-0.4780944238,0.172974382913754
161,NSDHL,1.8527684955,0.00195241525130987
162,ABCF2,0.3517437688,0.43406205813225
163,APEH,0.6049018709,0.05161287396018
164,ATP5J2;ATP5J2-PTCD1,0.8190230533,0.023757647080543
165,POLR2H,-0.9684633009,0.00821360351331853
166,RPL24,-0.0965574229,0.662528564070719
167,C7orf50,-0.3931332815,0.194880677838485
168,RCC1,1.5930951397,0.00122618219860879
169,RFC4,1.0118188379,0.195776999210734
170,RPL32,1.2455210393,0.00553367823207706
171,CAMK2D,1.8930560704,0.0570723984712376
172,HNRNPAB,0.6741200291,0.292815271192338
173,GNPDA1,0.2436908717,0.36011605915471
174,EIF4E,0.9339904044,0.0146741393213411
175,SEPT11,-0.2213331756,0.323016395668418
176,PDLIM7,0.4088459183,0.489384294660376
177,COPS4,1.1898192548,0.00913714176011621
178,PAIP1,-0.3867164866,0.256001358565436
179,GINS4,1.5490967154,0.00624286042922799
180,PFDN1,0.4859590979,0.490156959830728
181,TBCA,1.1677030406,0.111998986259044
182,TCEB1,0.0936562547,0.791611809059524
183,ERLIN2;ERLIN1,0.8131096492,0.0264083509493797
184,RPL30,0.4949342106,0.08216192983596
185,SWAP70,1.8248281995,0.00464971957405464
186,AP1M1;AP1M2,2.5925049227,0.000637269084434239
187,RPL14,-0.4311766321,0.140785128898786
188,SEPT7,-0.5710760103,0.0588706606580894
189,MRPS25,1.4021844922,0.0114988611257674
190,EIF4G1,0.3763890277,0.122953756160258
191,MAP4,0.1746489257,0.627871649401915
192,CSTF2;CSTF2T,1.119325426,0.00528408719129158
193,EIF4B,0.0533461234,0.828796581460602
194,CALD1,1.7529049826,0.070066881548452
195,NIF3L1,1.1887720759,0.0398029290730477
196,NACA,-0.4068134685,0.284058095160067
197,RBBP7,0.3972717809,0.168668110224772
198,OGDH,1.2594559134,0.00617686302466254
199,HNRNPH1,0.3276891168,0.200023885821304
200,SMC4,1.6750502702,0.00268870628017368
201,SUCLG2,-0.6259203959,0.091160644313016
202,FUBP1,0.3590362239,0.1458204431426
203,DLAT,1.6477547885,0.00468858981788935
204,TSN,0.3066351559,0.345760872618953
205,COPS8,1.1072571274,0.0163320261874178
206,SSR2,-0.993536655,0.0158052668250174
207,EEF1D,-0.7591215167,0.0219671840051785
208,PRMT1,0.1051020847,0.635988922068601
209,NPEPPS,0.8613070908,0.0296895711618572
210,CD151,0.3411517265,0.676489836383778
211,RAE1,1.9039948579,0.0423695918526954
212,ANP32E,1.9796467638,0.000700968333033875
213,FAU,-0.6814412466,0.155644640152935
214,NSFL1C,0.9498994609,0.0745164639256917
215,LSM8,0.1230422341,0.707682665693359
216,PGAM5,3.8214294315,0.00407542488332723
217,OTUB1,0.0051476619,0.980518767949726
218,SLC3A2,-0.3288241457,0.405653286918681
219,GPHN,1.1190630493,0.116719431672364
220,CPSF7,2.0800969948,0.000739662598714606
221,NAP1L1,0.5847270663,0.0588249364949792
222,TUBA1C,-0.3739148242,0.154652272467765
223,MYO1C,1.3621970139,0.0800157535385055
224,ATL3,0.1025451867,0.721399602703977
225,GNS,0.6870235648,0.119498588939986
226,CAD,0.1968702306,0.418800418456338
227,CHMP1A,-0.3496305989,0.441623738422636
228,COPZ1,0.2060396699,0.567352762640918
229,SLC25A3,1.3985813273,0.00546606775250667
230,PPP1CC,0.1730600104,0.510274243169915
231,AK2,0.1553542479,0.698847025238713
232,MYL6,-1.0239717962,0.0185332455952214
233,HNRNPA1,-0.1548383653,0.498672715814384
234,IGF2BP2,-0.556254238,0.340355600715414
235,DPP3,0.8860869684,0.0813100828625673
236,API5,0.9286530354,0.0131899975353997
237,NRD1,1.1254260494,0.0196364982911064
238,GOLT1B,0.001732655,0.995758290073934
239,RPL18,0.2740589494,0.3604282978144
240,PSMA6,0.0072730474,0.9735987014346
241,SNW1,-1.521842371,0.0200335780626391
242,CELF1,0.2759988517,0.325942388367708
243,ZYX,2.1297689128,0.00292874404813893
244,RBMX;RBMXL1,-0.0076349607,0.982522286246573
245,HNRNPD,0.4750437563,0.227333721649759
246,DNPH1,0.2519913172,0.358928724372594
247,TPD52,1.10795929,0.0691079069420776
248,CTSC,-1.0286985495,0.00742950897378629
249,CD44,-0.1919137692,0.505884990637663
250,HADHA,1.2575550545,0.00688836336558993
251,REXO2,0.7324418456,0.0272491198867725
252,YARS2,0.8315872884,0.0222818143994845
253,RPL28,1.0211540007,0.0125601647998263
254,PSMA4,0.2136708265,0.578548303275049
255,IDH3A,3.9801198766,0.0139977335355444
256,FAH,0.9447561196,0.0458966624458928
257,RPS27;RPS27L,1.4150240018,0.0100080387187106
258,ANP32A,-0.0544546114,0.846866555592332
259,DUT,0.1542261458,0.581319680283082
260,RNPS1,2.101124152,0.0059458129396995
261,PFDN5,3.2375408943,6.23681275489811e-05
262,HN1L,0.3103215597,0.197500231163038
263,H3BN98,0.0079008254,0.977858432478751
264,RPS17,-0.0304217609,0.897912105792842
265,HEXA,-0.4619543264,0.418319624231977
266,FUS,-0.1708807839,0.479392690692287
267,HACD3,1.2240924803,0.00295948344472332
268,BOLA2;BOLA2B,0.1755194853,0.702691511168935
269,DHX30,2.3457945672,0.0770300995072546
270,PDIA3,-0.4023640544,0.45841431201535
271,ATP2A2,2.684039457,0.000735449349193944
272,NSF,2.5234788069,0.00279707898636009
273,EIF5A;EIF5A2;EIF5AL1,-0.1059584411,0.661248575179902
274,RPS15A,-0.3894733989,0.253744057613444
275,SRSF2,-0.3116064301,0.527277549079166
276,OLA1,0.7042400502,0.0218662584185845
277,SUMF2,1.7084996574,0.00324738227690745
278,IARS,0.5693922367,0.10401388754574
279,CBX1,1.0135515619,0.233577522323706
280,NUP85,4.2903054815,5.53550616016989e-05
281,RPL38,-0.9399796007,0.0294861854987355
282,DDX5,-0.9542008637,0.0099936763996577
283,RPL19,-0.5920228116,0.0665308096326279
284,SRSF1,0.1354774227,0.532152118845936
285,CHERP,4.1890136519,2.54351362880899e-05
286,SCRN2,1.1862475352,0.0259976183419247
287,SNRPN;SNRPB,-1.0777145081,0.026702213185413
288,MRPS23,0.0945881922,0.753373193093883
289,PNPO,2.2760848488,0.000284824468631686
290,MYL12B;MYL12A,-0.7629308221,0.0458801674432322
291,YES1,1.7927558943,0.10823108708196
292,BUB3,-0.1469645003,0.510198039975495
293,LONP1,2.227133404,0.0236622463539192
294,HIST1H3A;H3F3A;HIST2H3A;H3F3B;HIST3H3;H3F3C,-2.2605356306,0.00034700909304033
295,PRKCSH,1.3611732745,0.00671880724085677
296,SEH1L,1.256907689,0.0136183514031868
297,RNMT,0.4613297283,0.305383421047015
298,TXNL1,-0.2450194724,0.559699110065521
299,EIF3K,1.2913575245,0.00494433119380004
300,PSME3,0.3735577521,0.199493018634641
301,DNAJC7,1.0340724715,0.0295496208100228
302,COPE,0.7699468727,0.27226926896749
303,ETHE1,1.3053995869,0.00702698623869076
304,SLC1A5,-0.2417662083,0.391376920337277
305,RPS5,0.4517779948,0.0823213940013376
306,SH3GL1;SH3GL2,1.2975349473,0.00589463101832895
307,NAPA,2.701237781,0.015799740134997
308,AGPS,1.0277365941,0.00768773323663865
309,ACOT7,1.2331186207,0.00977613724183906
310,PSMD11,0.089147335,0.671060378598356
311,PSMD12,1.1022308863,0.147366851583355
312,PGRMC1,0.3081916762,0.332546453997146
313,CLIC1,-0.4434711653,0.0913100275977534
314,EIF3F,0.9453990367,0.0724948085487226
315,IPO5,1.1849874462,0.0237600505801311
316,DNM1L,-0.0868790846,0.711313110070218
317,PSMD14,1.3370649666,0.0110425201585192
318,PODXL,-1.5712281481,0.00879910174603791
319,PDXK,-0.5002595229,0.148913436746721
320,PDCD5,-0.4072855931,0.253346908718371
321,PRMT5,2.2594181369,0.000444600638299456
322,SLC9A3R1,0.7441653936,0.0774656471781341
323,TCERG1,0.3029851214,0.587997812179717
324,PSMA7,0.1180881542,0.579494717817356
325,SCAMP3,2.4374313072,0.0606842363358061
326,HAT1,0.2645252636,0.347794750443365
327,UQCRQ,1.1269159133,0.0159867920346486
328,XPO1,0.5040961801,0.10973897539264
329,PFAS,3.1820524785,0.000433703976569553
330,ARPC1B,0.0495642642,0.813974724667504
331,PFDN6,2.0005523412,0.000965379418124174
332,SURF4,1.2871329521,0.0439184792733354
333,PPM1G,1.3885570689,0.00306025435718696
334,EIF3D,1.0566152815,0.0980493886525337
335,MAGEB2,-1.1240698832,0.00677700142878212
336,YKT6,0.1989806237,0.592477128524892
337,DHX15,1.0290331104,0.00632236454994569
338,PSMD3,1.4768096866,0.00174391870704235
339,ZW10,-0.3306868981,0.335792216703068
340,SART1,-1.1773789476,0.0400089421163802
341,HNRNPR,0.120563975,0.621825298636896
342,TPD52L2,1.4652957873,0.0156031315152561
343,PPIH,-0.0388109848,0.908898221945194
344,TRAPPC3,0.683335299,0.0257452649603713
345,ASNA1,0.4134321626,0.57026075860085
346,ACTN4,0.5289604098,0.0515609592526358
