Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XCRBN,HSPA5,HSPA5,1|2,3,1.5,2,10|2,0.0,0.0,0.0,0.0,0.0,-24.38,0.25,0.68,
XCRBN,PCCA,PCCA,15|20,35,17.5,2,45|26,0.0,0.0,0.0,0.0,0.0,-112.65,0.49,0.68,
XCRBN,HIST1H3A,HIST1H3A,1|0,1,0.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-17.38,0.14,0.68,
XCRBN,HSP90AB1,HSP90AB1,0|1,1,0.5,2,8|0,0.0,0.0,0.0,0.0,0.0,-18.57,0.12,0.68,
XCRBN,CRBN,CRBN,13|14,27,13.5,2,0|0,1.0,1.0,1.0,1.0,1.0,18.7,135.0,0.0,
XCRBN,HSPA8,HSPA8,1|5,6,3.0,2,10|4,0.0,0.0,0.0,0.0,0.0,-29.02,0.43,0.68,
XCRBN,TPR,TPR,3|7,10,5.0,2,100|25,0.0,0.0,0.0,0.0,0.0,-264.79,0.08,0.68,
XCRBN,ACTB,ACTB,6|4,10,5.0,2,18|10,0.0,0.0,0.0,0.0,0.0,-50.57,0.36,0.68,
XCRBN,EEF1D,EEF1D,2|1,3,1.5,2,19|7,0.0,0.0,0.0,0.0,0.0,-54.71,0.12,0.68,
XCRBN,COPS2,COPS2,2|2,4,2.0,2,1|3,0.0,0.0,0.0,0.0,0.0,-7.31,1.0,0.68,
XCRBN,VIM,VIM,1|0,1,0.5,2,43|26,0.0,0.0,0.0,0.0,0.0,-155.1,0.01,0.68,
XCRBN,CCT8,CCT8,6|9,15,7.5,2,34|10,0.0,0.0,0.0,0.0,0.0,-78.07,0.34,0.68,
XCRBN,NONO,NONO,1|0,1,0.5,2,12|4,0.0,0.0,0.0,0.0,0.0,-36.58,0.06,0.68,
XCRBN,AHNAK,AHNAK,46|81,127,63.5,2,614|260,0.0,0.0,0.0,0.0,0.0,,0.15,0.68,
XCRBN,PC,PC,56|58,114,57.0,2,137|84,0.0,0.0,0.0,0.0,0.0,-325.58,0.52,0.68,
XCRBN,PDLIM4,PDLIM4,2|1,3,1.5,2,8|3,0.0,0.0,0.0,0.0,0.0,-22.76,0.27,0.68,
XCRBN,TMEM247,TMEM247,2|2,4,2.0,2,0|1,0.11,0.11,0.11,0.11,0.11,-2.11,4.0,0.26,
XCRBN,MCCC1,MCCC1,21|25,46,23.0,2,34|30,0.0,0.0,0.0,0.0,0.0,-87.31,0.72,0.68,
XCRBN,TOX4,TOX4,1|0,1,0.5,2,5|1,0.0,0.0,0.0,0.0,0.0,-14.76,0.17,0.68,
XCRBN,FLNA,FLNA,45|72,117,58.5,2,1|137,0.0,0.0,0.0,0.0,0.0,-183.03,0.85,0.6,
XCRBN,FLNC,FLNC,1|1,2,1.0,2,9|1,0.0,0.0,0.0,0.0,0.0,-20.06,0.2,0.68,
XCRBN,KRT18,KRT18,1|2,3,1.5,2,26|4,0.0,0.0,0.0,0.0,0.0,-62.96,0.1,0.68,
XCRBN,GIGYF2,GIGYF2,0|1,1,0.5,2,13|2,0.0,0.0,0.0,0.0,0.0,-34.09,0.07,0.68,
XCRBN,STK11,STK11,1|4,5,2.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-12.64,0.83,0.47,
XCRBN,A0A222,A0A222,17|29,46,23.0,2,64|27,0.0,0.0,0.0,0.0,0.0,-148.43,0.51,0.68,
XCRBN,MYH9,MYH9,1|1,2,1.0,2,30|10,0.0,0.0,0.0,0.0,0.0,-85.27,0.05,0.68,
XCRBN,FASN,FASN,3|7,10,5.0,2,80|20,0.0,0.0,0.0,0.0,0.0,-209.42,0.1,0.68,
XCRBN,KLHL11,KLHL11,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,-1.1,10.0,0.68,
XCRBN,EPB41L3,EPB41L3,0|1,1,0.5,2,26|5,0.0,0.0,0.0,0.0,0.0,-69.41,0.03,0.68,
XCRBN,ACACA,ACACA,66|53,119,59.5,2,90|62,0.0,0.0,0.0,0.0,0.0,-196.93,0.78,0.68,
XCRBN,TNKS1BP1,TNKS1BP1,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-5.04,1.0,0.68,
XCRBN,LGALS1,LGALS1,2|2,4,2.0,2,5|3,0.0,0.0,0.0,0.0,0.0,-14.61,0.5,0.68,
XCRBN,ARNT,ARNT,1|0,1,0.5,2,0|2,0.0,0.0,0.0,0.0,0.0,-6.4,0.5,0.68,
XCRBN,HNRNPF,HNRNPF,1|0,1,0.5,2,4|1,0.0,0.0,0.0,0.0,0.0,-12.92,0.2,0.68,
XCRBN,EFHD2,EFHD2,0|1,1,0.5,2,7|1,0.0,0.0,0.0,0.0,0.0,-18.86,0.12,0.68,
XCRBN,EEF1A1,EEF1A1,3|3,6,3.0,2,12|5,0.0,0.0,0.0,0.0,0.0,-30.16,0.35,0.68,
XCRBN,PRDX1,PRDX1,0|4,4,2.0,2,8|2,0.0,0.0,0.0,0.0,0.0,-23.36,0.4,0.68,
XCRBN,CORO1B,CORO1B,3|2,5,2.5,2,10|5,0.0,0.0,0.0,0.0,0.0,-28.69,0.33,0.68,
XCRBN,HSPA1A,HSPA1A,3|4,7,3.5,2,1|0,0.49,0.65,0.49,0.65,0.49,-0.77,7.0,0.0,
XCRBN,MTMR14,MTMR14,1|0,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.64,0.5,0.68,
