,Bait,Prey Gene,Saint Score,log2FC
0,CRBN,HSPA5,0.0,-2.0
1,CRBN,PCCA,0.0,-1.029
2,CRBN,HIST1H3A,0.0,-2.837
3,CRBN,HSP90AB1,0.0,-3.059
4,CRBN,CRBN,1.0,7.077
5,CRBN,HSPA8,0.0,-1.218
6,CRBN,TPR,0.0,-3.644
7,CRBN,ACTB,0.0,-1.474
8,CRBN,EEF1D,0.0,-3.059
9,CRBN,COPS2,0.0,0.0
10,CRBN,VIM,0.0,-6.644
11,CRBN,CCT8,0.0,-1.556
12,CRBN,NONO,0.0,-4.059
13,CRBN,AHNAK,0.0,-2.737
14,CRBN,PC,0.0,-0.943
15,CRBN,PDLIM4,0.0,-1.889
16,CRBN,TMEM247,0.11,2.0
17,CRBN,MCCC1,0.0,-0.474
18,CRBN,TOX4,0.0,-2.556
19,CRBN,FLNA,0.0,-0.234
20,CRBN,FLNC,0.0,-2.322
21,CRBN,KRT18,0.0,-3.322
22,CRBN,GIGYF2,0.0,-3.837
23,CRBN,STK11,0.0,-0.269
24,CRBN,A0A222,0.0,-0.971
25,CRBN,MYH9,0.0,-4.322
26,CRBN,FASN,0.0,-3.322
27,CRBN,KLHL11,0.0,3.322
28,CRBN,EPB41L3,0.0,-5.059
29,CRBN,ACACA,0.0,-0.358
30,CRBN,TNKS1BP1,0.0,0.0
31,CRBN,LGALS1,0.0,-1.0
32,CRBN,ARNT,0.0,-1.0
33,CRBN,HNRNPF,0.0,-2.322
34,CRBN,EFHD2,0.0,-3.059
35,CRBN,EEF1A1,0.0,-1.515
36,CRBN,PRDX1,0.0,-1.322
37,CRBN,CORO1B,0.0,-1.599
38,CRBN,HSPA1A,0.49,2.807
39,CRBN,MTMR14,0.0,-1.0
