,Gene Name,log2(Fold change),P-value
0,SERPINB6,-0.589,0.005
1,HDLBP,-0.428,0.024
2,PSMA2,-0.133,0.303
3,BAG6;BAT3,0.222,0.201
4,TAF15,-0.069,0.632
5,TXNRD1,0.347,0.123
6,HMOX2,0.0,0.997
7,EIF2B4,-0.989,0.137
8,NDUFS7,0.114,0.445
9,KHSRP,-0.08,0.539
10,HNRNPDL,-0.649,0.009
11,MRPL45,0.064,0.878
12,POLA1,-0.024,0.863
13,CTNNBL1,-0.196,0.165
14,SPCS2,1.095,0.056
15,HNRNPDL,-0.462,0.015
16,EIF5B,0.036,0.832
17,MTHFD1L,-0.324,0.088
18,RRBP1,0.162,0.235
19,POLR2E,-0.508,0.075
20,POLD2,0.424,0.275
21,TPM3,0.126,0.318
22,TARDBP;TDP43,-0.336,0.036
23,RPL17;RPL17-C18orf32,0.336,0.103
24,ITGB6,0.166,0.285
25,VTA1,0.268,0.082
26,AP2M1,-0.432,0.189
27,UBE2D3;UBE2D2,0.093,0.761
28,POLD1,0.296,0.184
29,UGP2,-0.214,0.188
30,EIF3H,-0.425,0.022
31,OGFR,-0.101,0.643
32,HYOU1,-0.131,0.429
33,SLC4A1AP,-0.558,0.016
34,ACOT2;ACOT1,-0.268,0.292
35,SEPT8,-0.101,0.646
36,RAB18,0.065,0.762
37,PSME2,-0.436,0.019
38,BSG,-0.183,0.34
39,GPS1,-0.457,0.06
40,C21orf33,-0.45,0.269
41,WDR18,-1.551,0.023
42,CUL4A,-0.832,0.001
43,HNRNPUL1,-0.505,0.149
44,EPB41L3,0.409,0.17
45,PCMT1,0.003,0.986
46,NOLC1,0.086,0.518
47,ABI1,0.033,0.835
48,HADH,-0.398,0.189
49,NUP214,0.158,0.428
50,PITPNB,-0.545,0.059
51,SMARCA4,0.503,0.111
52,IVD,0.08,0.651
53,ILK,-0.365,0.1
54,ELOVL5,-0.29,0.111
55,CUL2,-2.379,0.0
56,TMED7;TMED7-TICAM2,0.172,0.225
57,LUC7L2,-0.224,0.237
58,NAA15,-0.246,0.194
59,SRSF7,-0.109,0.611
60,TPT1,-0.153,0.547
61,PWP2,-0.196,0.225
62,GSTZ1,-0.234,0.385
63,SET;SETSIP,-0.201,0.244
64,RPSA,0.137,0.345
65,HTRA2,0.449,0.046
66,DDX46,-0.642,0.01
67,ECI2,-0.944,0.055
68,CHD4,-0.278,0.072
69,CAPNS1,0.066,0.602
70,DDOST,-0.109,0.432
71,DDX3X;DDX3Y,-0.348,0.028
72,ARFGAP2,-1.109,0.016
73,DIAPH1,-0.15,0.336
74,PUF60,0.32,0.204
75,MATR3,-0.365,0.041
76,PACSIN2,0.472,0.168
77,HLA-A,-0.847,0.001
78,PSMB8;PSM8,-0.577,0.123
79,FTO,-0.213,0.132
80,ALDH7A1,-0.473,0.04
81,ADSL,0.377,0.052
82,TJP2,0.077,0.664
83,CTSD,-0.693,0.006
84,DPYSL2,-0.74,0.047
85,SFXN3,-0.11,0.523
86,POLR2B,-0.271,0.092
87,SCARB2,0.083,0.704
88,TCEA1,0.093,0.641
89,DDX17,-0.383,0.142
90,RTTN,0.211,0.159
91,GCSH,0.335,0.043
92,PHGDH,0.075,0.786
93,PPT1,-0.65,0.003
94,CAMK2G;CAMK2B,0.136,0.321
95,OPA1,-0.238,0.171
96,CD9,0.048,0.741
97,CTNNB1,0.036,0.781
98,POLR1C,-0.183,0.181
99,TPM4,0.189,0.273
100,SUCLA2,-0.164,0.32
101,RPS14,-0.018,0.881
102,RPS24,0.226,0.109
103,SMARCE1,0.067,0.624
104,PFKM,-0.081,0.551
105,HSD17B4,-0.629,0.02
106,CSNK2A1;CSNK2A3,-0.13,0.358
107,RPL15,0.414,0.035
108,SEC23B,-0.09,0.51
109,TPP1,-0.98,0.001
110,EEF1A2,0.248,0.247
111,CD59,0.029,0.813
112,NDUFA6,0.038,0.828
113,MTHFD1,0.013,0.916
114,CTPS1,0.655,0.025
115,CREG1,0.207,0.282
116,HEBP1,-0.677,0.003
117,PPM1B,-1.065,0.001
118,ABCD3,-0.173,0.285
119,THRAP3,-0.144,0.269
120,MCM4,-0.421,0.049
121,NHP2L1,-0.128,0.503
122,GLA,-0.536,0.013
123,DEK,0.143,0.318
124,EBP,0.037,0.868
125,CLUH,0.042,0.771
126,TPP2,-1.812,0.001
127,NOP56,-0.031,0.823
128,FKBP2,-0.424,0.018
129,PREP,-0.716,0.007
130,S100A2,-0.636,0.011
131,SRSF6,-0.463,0.026
132,AMPD2,0.104,0.725
133,SACM1L,-0.078,0.566
134,MRPL2,0.27,0.266
135,MLH1,-0.88,0.039
136,CTNND1,-0.772,0.004
137,STAT1,-0.219,0.258
138,USP7,-0.046,0.782
139,UBA6,-0.547,0.024
140,ILVBL,0.179,0.261
141,PRNP,0.202,0.483
142,HCFC1,-0.515,0.015
143,PIGK,0.193,0.401
144,NUDT5,-0.577,0.113
145,UNC119;UNC119B,0.67,0.01
146,USP14,0.018,0.893
147,CRYZ,-0.206,0.264
148,PRAF2,-0.986,0.141
149,MANF,0.315,0.19
150,SUMO2;SUMO3;SUMO4,-0.726,0.003
151,RPL23A,0.2,0.207
152,EIF3L,0.154,0.315
153,UBE2I,-0.141,0.403
154,CPNE1,-1.099,0.032
155,MPST,0.133,0.463
156,PEA15,0.216,0.205
157,MRPL43,1.404,0.033
158,PRPS1;PRPS1L1,0.082,0.557
159,EXOSC1,0.065,0.637
160,PABPC4,0.161,0.407
161,HNRNPC,-0.188,0.229
162,CNN2,-0.672,0.004
163,COPS2,-0.589,0.044
164,CS,0.049,0.693
165,CARS,0.014,0.944
166,SLC25A10,0.06,0.659
167,NQO1,0.164,0.444
168,MTAP,0.128,0.387
169,NME7,-0.076,0.612
170,FXR1,-0.067,0.731
171,DERL1,-0.041,0.763
172,PES1,0.096,0.464
173,SEPT10,-0.129,0.553
174,DDX27,0.325,0.067
175,ACADM,-0.362,0.045
176,SUMO1,0.055,0.666
177,PTMA,-0.183,0.203
178,USP39,0.237,0.13
179,IMMT,0.415,0.018
180,SMARCD2,-0.199,0.279
181,PFN2,-0.281,0.07
182,SRI,-0.085,0.712
183,PFN2,-0.022,0.899
184,TNPO3,-0.184,0.231
185,RHEB,-0.861,0.027
186,SNAP29,-0.448,0.016
187,HIGD1A,0.021,0.861
