,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.851750039043807,0.134291769285079
1,PSMA2,-2.42487776369439,0.0186216197578289
2,BAG6;BAT3,0.909385460383795,0.24233430306014
3,TAF15,-0.348874540968261,0.415005450369173
4,TXNRD1,-0.570489968705939,0.18844986328889
5,HMOX2,-0.467778691561591,0.500100170259374
6,EIF2B4,1.5450780101503,0.0388407870138604
7,KHSRP,-0.575377360056059,0.0634127975607678
8,PYCR2,0.583055901128233,0.069921210705948
9,HNRNPDL,0.439891735174569,0.267321896683843
10,MINOS1;MINOS1-NBL1,-19.6916764307225,2.35122818121945e-07
11,HNRNPDL,0.242253460227609,0.451486377817794
12,SLIRP,-0.262709313423748,0.528421693628594
13,GPX1,1.74658633172442,0.0711046990393674
14,EIF5B,-2.05073033150254,0.0172047468934548
15,BSG,0.711532609038361,0.179069411326573
16,SPTBN1,-0.404300995692374,0.247627620515589
17,MTHFD1L,1.59929005472601,0.00368544433343197
18,POLR2E,0.00785253810904152,0.979367370151917
19,NOMO2;NOMO1;NOMO3,-19.7333392508818,1.34941520688511e-06
20,HYOU1,-1.69471745823673,0.439093915633668
21,TPM3,-1.20295181732805,0.0135505460668725
22,TARDBP;TDP43,0.696090353393345,0.0448309106864181
23,RPL17;RPL17-C18orf32,0.582583941045286,0.0759512743510342
24,PSMB3,-0.251033087565084,0.486152207160123
25,VTA1,-1.13367311909667,0.0166388707916274
26,SRP19,-1.76858545574344,0.0553526627563457
27,UGP2,-1.79338452059278,0.0103218198308365
28,PTGES3,0.493020695799007,0.120156500043733
29,NDUFB6,-20.5128852014015,6.9328495106964e-08
30,ACOT1;ACOT2,-1.35996962824415,0.0641500846186509
31,LYPLA1,20.6282628046533,4.24819160022114e-07
32,NEB,-2.9867920632758,0.0822049026295052
33,PSME2,-0.625140646620586,0.207335472132206
34,SRSF3,0.328427225279285,0.371654579909693
35,DDX1,-0.198402173144373,0.459686619330839
36,PYCRL,0.17870532909485,0.688243351264597
37,GSTZ1,-1.12788508306952,0.147686338209569
38,SNX6,-2.74804277076544,0.00216163306451789
39,NOLC1,-0.321784958792747,0.38366846722111
40,ABI1,1.51476666292288,0.00253142828433424
41,NOL6,-20.629501639076,7.10366222089884e-08
42,HADH,-0.14036338584819,0.83905521363746
43,PLS3,-0.230453684362939,0.351773031696438
44,PITPNB,-0.167090371528616,0.765247693085891
45,RBP1,-1.96999481679658,0.00191440721960061
46,ILK,-3.27895146950669,0.000508590934799864
47,ADSL,-2.55885482603941,0.0802757189462511
48,TMED7;TMED7-TICAM2,1.79419843402126,0.00301773742718835
49,NAA15,0.159573317853159,0.771665476253986
50,SRSF7,2.8754933579782,0.000449795115366984
51,DAD1,20.6732135503038,3.16710424562695e-07
52,TCEB2,-1.10844304601661,0.00581214946225062
53,TPT1,1.05135033450312,0.0147057571480796
54,PWP2,-0.984095656243678,0.364325907285858
55,SET;SETSIP,0.146855340128283,0.72829297974075
56,RPSA,0.228373838859529,0.317455887504511
57,DDX46,-2.4759244121398,0.00388869317576206
58,CAPNS1,-0.306305494529841,0.700550024608491
59,DDOST,0.308183644164778,0.346148537007975
60,DDX3X;DDX3Y,-0.224666473690156,0.566389177756676
61,SPTAN1,-0.250043491819689,0.351132987442176
62,HSPA1A;HSPA1B,-0.680457092257797,0.0526238031581202
63,PSMB9,-1.02992337906528,0.206504555864888
64,PUF60,2.39847947389262,0.00153215926343496
65,MATR3,0.210907061288982,0.358855642687958
66,PACSIN2,-2.74891587621929,0.0135106223922602
67,HLA-A,-0.670233057019249,0.060085909387792
68,PSMB8;PSM8,-20.6283444904454,1.24125179747895e-07
69,PRAMEF18;PRAMEF22;PRAMEF19,-18.7861475008055,4.15280614811903e-07
70,ALDH7A1,-1.10456915088632,0.0147515658701688
71,CTSD,-0.523863972557592,0.346176341500742
72,ZEB2,-0.62459605641444,0.118861563119854
73,MVK,-20.223140925504,7.46453617814352e-07
74,DPYSL2,-1.15175731186429,0.00682125519996086
75,SFXN3,-1.52675267910893,0.00903292246910455
76,ME2,-0.928526202401148,0.0280138607193436
77,POLR2B,-21.3514121236053,2.03653845772238e-07
78,DDX17,0.276290484040196,0.252123626664132
79,GCSH,-0.015555449871453,0.98298462150385
80,A0A1W2PRG0,-8.18002572961157,6.97292705086101e-06
81,PHGDH,-0.772177429790258,0.15829596155953
82,RRM2,-18.3800367554002,1.39756374418208e-06
83,PPT1,-21.3531281644187,7.80164379852554e-08
84,OPA1,-1.67999944954078,0.185943175323984
85,DYRK1A;DYRK1B,23.7579283080928,1.49933432281901e-07
86,SMARCE1,-19.0361721740067,3.26103649993688e-06
87,CTNNB1,-1.38773275907932,0.0579386274603545
88,POLR1C,-2.433102577786,0.000686718805715854
89,BCAP31,-0.207044560767574,0.60882823885398
90,TPM4,-1.01099577457967,0.0718975638069866
91,RPS14,0.99434125849131,0.0307772025609328
92,RPS24,0.571865996808771,0.0751306104743475
93,PFKM,-1.24811032464426,0.0278913937534898
94,CSNK2A1;CSNK2A3,0.0348005131303246,0.922337512480574
95,SEC23B,-0.204196953756785,0.63421471337396
96,TPP1,0.178608970247822,0.700415606366417
97,EEF1A2,-0.867414545131318,0.0232043173971716
98,CD59,-0.114863674955568,0.647289854994737
99,MTHFD1,-0.766052665735081,0.0349384007631654
100,CTPS1,-0.335442226146412,0.169411082950157
101,TCOF1,-1.51793039568835,0.00398996231147973
102,MCM4,-1.55282286421582,0.00232090603077324
103,HNRNPL,-0.460153507325124,0.219778078785332
104,RPL29,1.47781249276117,0.00295154319147388
105,THRAP3,0.0692771893602213,0.771693129498955
106,AMDHD2,-1.64836081159732,0.021548822510025
107,TJP2,-2.12622586657704,0.0153660076064814
108,NHP2L1,0.789708807208402,0.0202262551573575
109,GLA,-1.37005371214466,0.0965809653161925
110,C11orf98,-0.986799079561148,0.339672127278224
111,DEK,-0.237006031239872,0.679890452458526
112,PGM3,-19.8220234256142,1.26611495879988e-07
113,CLUH,-1.65060197910261,0.142999689065526
114,NOP56,2.80115206627348,0.00040892467313416
115,DIP2A,-18.5941199161586,0.000457100354465751
116,FKBP2,-0.566511618033175,0.124271068316039
117,PREP,-19.3387597561138,1.25155724202127e-07
118,S100A2,2.32172450543165,0.00336160755573582
119,SRSF6,0.0332917142970324,0.885845949734354
120,AMPD2,0.0276386601883445,0.955002027945703
121,ACAT1,-1.30336226505768,0.0055626378464426
122,MRPL2,-19.4195832804461,8.72797899354713e-08
123,MLH1,-19.5807509708564,8.32548872364298e-08
124,CTNND1,0.548448980087304,0.213013041501803
125,STAT1,0.814276454090766,0.237380403506938
126,ILVBL,2.27189660499646,0.00738721779414081
127,ACO2,-0.952136869238998,0.030995205111709
128,AAR2,-19.2243753490513,1.85338132088214e-07
129,CFAP69,2.15305820808932,0.00590681644179027
130,PGP,-1.12389756410136,0.225227723711164
131,HCFC1,0.127935368375095,0.664421949574204
132,NUDT5,-0.826812151702061,0.0841045575975464
133,SMCHD1,18.0900532392627,4.90448302909808e-07
134,USP14,-0.135032684230875,0.598357650073367
135,RNPEP,0.558178225996564,0.210751283139772
136,CRYZ,-0.560258299253107,0.091614304900849
137,MANF,-0.789112494086865,0.129190661899772
138,SUMO2;SUMO3;SUMO4,1.23426797018909,0.0087701494260051
139,RPL23A,0.513711353106913,0.395142084509332
140,EIF3L,-0.112686244002628,0.781613907489124
141,UBE2I,-1.28329529792132,0.0876730137782982
142,ERLIN1;ERLIN2,0.977020449170311,0.0713658274314045
143,MPST,0.0765801677074087,0.737485007133011
144,TSPO,21.1177125619069,6.20031698469474e-08
145,MCM5,-0.0197469792585778,0.929495139256561
146,PSMD10,1.42057377464719,0.130426291646966
147,PEA15,1.39072635241089,0.146599380219371
148,PRPS1;PRPS1L1,-0.220029149150268,0.543021825937917
149,PABPC4,1.70313164717089,0.00141284966168623
150,HNRNPC,-0.243719810864722,0.326139903188039
151,CNN2,-0.866170434601681,0.0464824589127312
152,NDUFV1,-19.1363786964646,1.51730705978475e-07
153,CS,0.107380611737749,0.748062156000178
154,AKR1C2;AKR1C1;AKR1C3,-19.17818387339,5.93689659404249e-05
155,CARS,-0.559679128679498,0.449564768495343
156,MRPL12,-1.29218229810211,0.0164356567453434
157,NQO1,-0.0860535831400888,0.822017301576299
158,MTAP,-0.696698511565977,0.106989383322134
159,NME7,0.339598825637555,0.30013186049307
160,FXR1,-2.20071231315757,0.0476256191333999
161,HS1BP3,-0.218075883174638,0.72054505872816
162,BZW2,0.00719549363274297,0.983985186262718
163,PES1,2.22210505817614,0.0126295499294941
164,PPM1F,-21.4878467326314,1.89556708403962e-07
165,SEPT2,0.25406400069998,0.375683250062122
166,RAN,-0.317327789214616,0.245027923278587
167,SEPT10,-1.38376520389536,0.00251786829728691
168,ATP13A4,-20.7842782953379,4.53315536304105e-05
169,ACADM,-1.07462036388358,0.146894355250919
170,LSM5,-0.992432204605496,0.138904572382212
171,SUMO1,-21.7111394213499,6.2281206764553e-08
172,PTMA,-2.35567997295925,0.000398674401207737
173,HIBCH,-0.573777242086795,0.38747351560359
174,IMMT,-0.775337801616438,0.0769350256997964
175,TSNAX;DISC1,-1.13077523404001,0.214832411393457
176,DKC1,2.68679932753398,0.013363115023484
177,BZW1,0.177991055865913,0.766149196198979
178,NIN,21.0366987295375,2.88784035314415e-07
179,PFN2,-1.44293095538657,0.00968914064338943
180,SRI,0.282596917027451,0.373831483080755
181,EEF1E1;EEF1E1-BLOC1S5,0.474699313144175,0.246821848263226
182,NCAPH,-0.153836357473722,0.720799244134153
183,PFN2,2.68866557372224,0.000599512448519864
184,RAB6A;RAB6B;RAB39A,-0.87044760814657,0.0528334988227113
185,RAB34,-0.0680495756235366,0.781360111191966
186,NSDHL,-1.58078731508746,0.0778701909144646
187,CYCS,24.2207345263731,1.47145707011617e-07
188,APEH,0.219160763699268,0.473700411384578
189,MRPS34,20.2655721515712,8.73256543161973e-08
190,MTPN,0.320001969566192,0.215221728851603
191,NAA10;NAA11,-1.86628663561297,0.00562972277129801
192,RCC1,0.348105795347152,0.366315278456882
193,RFC4,-1.38995370439476,0.00666295490137126
194,RPL32,0.18090369595377,0.56112837933956
195,HLA-B,-0.885188507996141,0.0237047385722623
196,CAMK2D,0.831727194863372,0.0631613621105877
197,HNRNPAB,-0.619138335018814,0.0536704123336499
198,DBN1,-1.49224610897303,0.467309068389949
199,NCAPG,-20.7664370888816,1.09632032776321e-07
200,PDLIM7,0.0268367521746065,0.973393559572852
201,EIF4E,1.85855033848812,0.0422465877368209
202,SEPT11,-0.917125005080898,0.205786700863683
203,SEC31A,-2.39276864868824,0.00147911782927584
204,COPS4,0.374960091769182,0.16103503229384
205,ISOC1,20.7194231153772,1.69131907113558e-07
206,COX7A2,20.6928542846542,7.6607293340549e-08
207,PAIP1,0.67814150775202,0.11331823032431
208,CIRBP,-20.3116708358672,1.66892766985998e-06
209,ATOX1,22.6012243248282,7.20973516623636e-08
210,PFDN1,-0.953466248996431,0.084204938190683
211,TBCA,-1.18040032509299,0.00622537311931441
212,TCEB1,-1.17712613316642,0.00647304022626651
213,RPL30,-0.0263859556300616,0.949474353548892
214,DNPEP,2.5268605278285,0.00171124309615028
215,RBM22,-0.409587215304342,0.240177889304962
216,VAPB,-0.806583843344292,0.0345044050213695
217,NPC2,22.011740134839,3.62552521952172e-06
218,AP1M1;AP1M2,0.849009209417961,0.183063735617189
219,PRPSAP2,-19.6317068060173,3.60582019915965e-05
220,SEPT7,-0.308442432148517,0.353341390715757
221,UBA5,-20.8854277493099,4.93986555194222e-06
222,NAA50,-19.4213899339685,1.18408919483602e-07
223,HMGB3,-0.39800016487607,0.509640458588991
224,EIF4G1,-0.904027339796013,0.0111418293612048
225,MAP4,-0.247944929116777,0.510181924286126
226,CSTF2;CSTF2T,-0.324739747862552,0.413177728975587
227,EIF4B,1.82054465672256,0.0183065560962424
228,CALD1,-1.67196534874876,0.142649947272968
229,DCTN1,0.0416080525265556,0.871175590573794
230,NIF3L1,-1.59175389723549,0.0982685244350479
231,NACA,1.15184781316733,0.0113596738702117
232,OGDH,-1.69906380145861,0.00193794289763716
233,HNRNPH1,1.35553464156461,0.0165772139148156
234,SUCLG2,-0.0776436130328726,0.743934525612317
235,FUBP1,-0.267156135533241,0.485634762931295
236,DLAT,-1.34462837051494,0.0510001820339126
237,NUP155,-19.6691008577353,1.1484960016395e-05
