,Bait,Prey Gene,Saint Score,log2FC
0,DCAF16,HIST1H4A,0.0,-0.415
1,DCAF16,HSPA6,0.0,-2.322
2,DCAF16,HSPA5,0.0,-5.059
3,DCAF16,ABCD3,0.0,0.227
4,DCAF16,HSPA8,0.0,-1.737
5,DCAF16,CSDE1,0.0,-4.644
6,DCAF16,HBS1L,0.0,-5.059
7,DCAF16,TIPRL,0.0,-3.837
8,DCAF16,SERBP1,0.0,-4.322
9,DCAF16,EEF1A1,0.0,-1.322
10,DCAF16,MAGEA4,0.0,-2.943
11,DCAF16,SNW1,0.0,-4.059
12,DCAF16,PNN,0.0,-4.059
13,DCAF16,PRPF3,0.0,-5.644
14,DCAF16,COPG2,0.0,-3.322
15,DCAF16,COPS5,0.96,3.392
16,DCAF16,DPYSL2,0.0,-3.644
17,DCAF16,DPYSL3,0.0,-4.644
18,DCAF16,PFN2,0.0,-0.494
19,DCAF16,TPM3,0.0,-3.474
20,DCAF16,PRPF40A,0.0,-4.322
21,DCAF16,FAM21C,0.0,-6.644
22,DCAF16,TCP1,0.0,-2.059
23,DCAF16,SH3PXD2B,0.0,-6.644
24,DCAF16,PRDX4,0.36,3.322
25,DCAF16,PRDX1,0.0,-1.152
26,DCAF16,CCT6A,0.0,-3.184
27,DCAF16,CROCC,0.0,0.411
28,DCAF16,DLGAP5,0.0,-6.644
29,DCAF16,TRIM25,0.0,-5.644
30,DCAF16,SLC25A5,0.0,-5.059
31,DCAF16,GAPDH,0.0,-1.184
32,DCAF16,KPRP,0.86,5.492
33,DCAF16,BAG3,0.0,-5.059
34,DCAF16,RPS8,0.0,-1.599
35,DCAF16,CTPS1,0.0,-5.059
36,DCAF16,DSG1,0.49,4.322
37,DCAF16,LGALS1,0.49,2.322
38,DCAF16,HN1,0.0,-2.737
39,DCAF16,TMPO,0.0,-3.837
40,DCAF16,VARS,0.0,-3.059
41,DCAF16,SMCR8,0.0,-3.837
42,DCAF16,KIAA1524,0.0,-5.059
43,DCAF16,NAP1L1,0.0,-2.322
44,DCAF16,KIAA1143,0.0,-3.184
45,DCAF16,PLIN3,0.0,-3.644
46,DCAF16,HSP90AB1,0.0,-2.059
47,DCAF16,ARHGAP29,0.0,-5.644
48,DCAF16,PA2G4,0.0,-4.644
49,DCAF16,EIF4G2,0.0,-3.644
50,DCAF16,EEF1D,0.0,-2.12
51,DCAF16,RPL8,0.0,-1.0
52,DCAF16,RPL4,0.0,-2.252
53,DCAF16,CHD4,0.0,-6.644
54,DCAF16,RPL6,0.0,-2.396
55,DCAF16,HIST1H1E,0.55,2.202
56,DCAF16,HIST1H1C,0.04,0.585
57,DCAF16,TACC3,0.0,-5.059
58,DCAF16,PSMB3,0.0,-1.0
59,DCAF16,HIST1H2AG,0.0,-0.811
60,DCAF16,MYO6,0.0,-6.644
61,DCAF16,NACC1,0.0,-4.644
62,DCAF16,SH3KBP1,0.0,-4.644
63,DCAF16,PGRMC2,0.0,-4.644
