Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XDCAF17,HSPA5,HSPA5,0|6,6,3.0,2,28|31,0.0,0.0,0.0,0.0,0.0,-131.65,0.1,0.59,
XDCAF17,HSPA4,HSPA4,0|1,1,0.5,2,18|19,0.0,0.0,0.0,0.0,0.0,-82.38,0.03,0.59,
XDCAF17,IGKC,IGKC,0|14,14,7.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,70.0,0.35,
XDCAF17,HSPA8,HSPA8,7|18,25,12.5,2,44|51,0.0,0.0,0.0,0.0,0.0,-184.06,0.26,0.59,
XDCAF17,CSDE1,CSDE1,0|1,1,0.5,2,48|50,0.0,0.0,0.0,0.0,0.0,-219.14,0.01,0.59,
XDCAF17,TIPRL,TIPRL,1|7,8,4.0,2,30|31,0.0,0.0,0.0,0.0,0.0,-131.31,0.13,0.59,
XDCAF17,TMEM199,TMEM199,0|1,1,0.5,2,3|2,0.0,0.0,0.0,0.0,0.0,-11.42,0.2,0.59,
XDCAF17,ARF5,ARF5,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.41,1.0,0.59,
XDCAF17,EEF1A1,EEF1A1,8|17,25,12.5,2,35|49,0.0,0.0,0.0,0.0,0.0,-156.84,0.3,0.59,
XDCAF17,PNP,PNP,0|3,3,1.5,2,0|0,0.49,0.99,0.49,0.99,0.49,-1.97,15.0,0.44,
XDCAF17,KLK7,KLK7,0|4,4,2.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,20.0,0.43,
XDCAF17,APC,APC,0|1,1,0.5,2,6|5,0.0,0.0,0.0,0.0,0.0,-24.5,0.09,0.59,
XDCAF17,UQCRC1,UQCRC1,0|4,4,2.0,2,1|0,0.45,0.91,0.45,0.91,0.45,-3.41,4.0,0.46,
XDCAF17,YTHDF1,YTHDF1,0|1,1,0.5,2,9|9,0.0,0.0,0.0,0.0,0.0,-39.98,0.06,0.59,
XDCAF17,TKT,TKT,0|2,2,1.0,2,2|1,0.01,0.02,0.01,0.02,0.01,-7.21,0.67,0.54,
XDCAF17,CALML3,CALML3,0|3,3,1.5,2,0|0,0.49,0.99,0.49,0.99,0.49,-1.97,15.0,0.44,
XDCAF17,CALML5,CALML5,0|6,6,3.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,30.0,0.4,
XDCAF17,PFN2,PFN2,0|1,1,0.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-15.74,0.14,0.59,
XDCAF17,ZNF114,ZNF114,0|2,2,1.0,2,2|3,0.0,0.0,0.0,0.0,0.0,-11.42,0.4,0.59,
XDCAF17,MDN1,MDN1,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.0,0.5,0.59,
XDCAF17,TPM3,TPM3,0|6,6,3.0,2,5|5,0.0,0.0,0.0,0.0,0.0,-22.26,0.6,0.56,
XDCAF17,YOD1,YOD1,0|3,3,1.5,2,0|0,0.49,0.99,0.49,0.99,0.49,-1.97,15.0,0.44,
XDCAF17,TCP1,TCP1,6|15,21,10.5,2,16|12,0.0,0.0,0.0,0.0,0.0,-44.53,0.75,0.58,
XDCAF17,PRDX6,PRDX6,0|3,3,1.5,2,11|12,0.0,0.0,0.0,0.0,0.0,-51.12,0.13,0.59,
XDCAF17,PRDX4,PRDX4,0|2,2,1.0,2,0|0,0.46,0.93,0.46,0.93,0.46,-1.97,10.0,0.45,
XDCAF17,PRDX2,PRDX2,0|4,4,2.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,20.0,0.43,
XDCAF17,PRDX1,PRDX1,8|15,23,11.5,2,24|29,0.0,0.0,0.0,0.0,0.0,-91.31,0.43,0.59,
XDCAF17,CROCC,CROCC,1|1,2,1.0,2,2|1,0.0,0.0,0.0,0.0,0.0,-5.4,0.67,0.59,
XDCAF17,VASP,VASP,0|1,1,0.5,2,8|6,0.0,0.0,0.0,0.0,0.0,-31.1,0.07,0.59,
XDCAF17,LAMP1,LAMP1,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.41,1.0,0.59,
XDCAF17,CALM2,CALM2,0|2,2,1.0,2,4|4,0.0,0.0,0.0,0.0,0.0,-17.87,0.25,0.59,
XDCAF17,DCD,DCD,2|0,2,1.0,2,0|0,0.46,0.93,0.46,0.93,0.46,-1.97,10.0,0.45,
XDCAF17,CACNA1D,CACNA1D,2|0,2,1.0,2,8|9,0.0,0.0,0.0,0.0,0.0,-37.78,0.12,0.59,
XDCAF17,TRIM29,TRIM29,0|11,11,5.5,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,55.0,0.37,
XDCAF17,SLC25A5,SLC25A5,0|3,3,1.5,2,21|20,0.0,0.0,0.0,0.0,0.0,-91.33,0.07,0.59,
XDCAF17,C10ORF71,C10ORF71,0|4,4,2.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,20.0,0.43,
XDCAF17,UTRN,UTRN,0|1,1,0.5,2,82|96,0.0,0.0,0.0,0.0,0.0,-398.9,0.01,0.59,
XDCAF17,A0A1B0GUR4,TMEM269,2|3,5,2.5,2,0|0,0.96,0.99,0.96,0.99,0.96,2.57,25.0,0.01,
XDCAF17,GAPDH,GAPDH,0|23,23,11.5,2,4|4,0.5,1.0,0.5,1.0,0.5,-17.87,2.88,0.39,
XDCAF17,PPM1G,PPM1G,0|1,1,0.5,2,18|13,0.0,0.0,0.0,0.0,0.0,-68.97,0.03,0.59,
XDCAF17,KPRP,KPRP,2|52,54,27.0,2,0|0,0.96,1.0,0.96,1.0,0.96,2.57,270.0,0.0,
XDCAF17,VDAC2,VDAC2,0|2,2,1.0,2,8|9,0.0,0.0,0.0,0.0,0.0,-37.78,0.12,0.59,
XDCAF17,LY6G6C,LY6G6C,0|2,2,1.0,2,0|0,0.46,0.93,0.46,0.93,0.46,-1.97,10.0,0.45,
XDCAF17,PSMA6,PSMA6,0|2,2,1.0,2,0|0,0.46,0.93,0.46,0.93,0.46,-1.97,10.0,0.45,
XDCAF17,DSG2,DSG2,0|1,1,0.5,2,27|30,0.0,0.0,0.0,0.0,0.0,-127.16,0.02,0.59,
XDCAF17,DSG1,DSG1,1|94,95,47.5,2,1|0,0.5,1.0,0.5,1.0,0.5,-1.8,95.0,0.11,
XDCAF17,XP32,XP32,1|6,7,3.5,2,0|0,0.5,1.0,0.5,1.0,0.5,0.54,35.0,0.4,
XDCAF17,LGALS3,LGALS3,0|4,4,2.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,20.0,0.43,
XDCAF17,LGALS1,LGALS1,3|2,5,2.5,2,1|1,0.2,0.3,0.2,0.3,0.2,-2.15,2.5,0.48,
XDCAF17,CP,CP,0|3,3,1.5,2,0|0,0.49,0.99,0.49,0.99,0.49,-1.97,15.0,0.44,
XDCAF17,LGALS7,LGALS7,0|7,7,3.5,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.97,35.0,0.4,
