Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XDDA1,HIST1H4A,HIST1H4A,18|26,44,22.0,2,7|7,0.8,1.0,0.8,1.0,0.8,0.44,3.14,0.01,
XDDA1,HSPA5,HSPA5,25|21,46,23.0,2,28|32,0.0,0.0,0.0,0.0,0.0,-76.44,0.77,0.33,
XDDA1,HSPA4,HSPA4,13|16,29,14.5,2,18|20,0.0,0.0,0.0,0.0,0.0,-48.85,0.76,0.33,
XDDA1,NELFB,NELFB,2|2,4,2.0,2,0|0,0.98,0.98,0.98,0.98,0.98,4.17,20.0,0.0,
XDDA1,NELFA,NELFA,24|33,57,28.5,2,6|14,0.44,0.87,0.44,0.87,0.44,-4.42,2.85,0.1,
XDDA1,NELFE,NELFE,40|39,79,39.5,2,24|23,0.0,0.0,0.0,0.0,0.0,-26.89,1.68,0.3,
XDDA1,PDCD11,PDCD11,34|30,64,32.0,2,0|0,1.0,1.0,1.0,1.0,1.0,46.98,320.0,0.0,
XDDA1,C1ORF112,C1ORF112,2|1,3,1.5,2,0|0,0.49,0.98,0.49,0.98,0.49,2.14,15.0,0.06,
XDDA1,KIAA0907,KIAA0907,5|6,11,5.5,2,1|1,0.97,0.99,0.97,0.99,0.97,3.1,5.5,0.0,
XDDA1,NR0B1,NR0B1,11|10,21,10.5,2,0|0,1.0,1.0,1.0,1.0,1.0,17.37,105.0,0.0,
XDDA1,CAMK4,CAMK4,5|5,10,5.0,2,3|7,0.0,0.0,0.0,0.0,0.0,-10.16,1.0,0.33,
XDDA1,ZC3H13,ZC3H13,5|9,14,7.0,2,0|0,1.0,1.0,1.0,1.0,1.0,9.44,70.0,0.0,
XDDA1,ZC3H14,ZC3H14,4|5,9,4.5,2,0|0,1.0,1.0,1.0,1.0,1.0,7.76,45.0,0.0,
XDDA1,KDM2A,KDM2A,7|8,15,7.5,2,0|0,1.0,1.0,1.0,1.0,1.0,12.68,75.0,0.0,
XDDA1,ZC3H18,ZC3H18,30|29,59,29.5,2,5|6,1.0,1.0,1.0,1.0,1.0,17.13,5.36,0.0,
XDDA1,ABCD3,ABCD3,1|0,1,0.5,2,18|19,0.0,0.0,0.0,0.0,0.0,-80.78,0.03,0.33,
XDDA1,DHX8,DHX8,37|36,73,36.5,2,0|3,1.0,1.0,1.0,1.0,1.0,12.7,24.33,0.0,
XDDA1,DHX9,DHX9,80|89,169,84.5,2,70|62,0.0,0.0,0.0,0.0,0.0,-116.73,1.28,0.33,
XDDA1,HSPA8,HSPA8,44|43,87,43.5,2,45|50,0.0,0.0,0.0,0.0,0.0,-105.11,0.92,0.33,
XDDA1,TCOF1,TCOF1,92|92,184,92.0,2,3|3,1.0,1.0,1.0,1.0,1.0,110.34,30.67,0.0,
XDDA1,NSRP1,NSRP1,9|7,16,8.0,2,4|5,0.03,0.05,0.03,0.05,0.03,-5.69,1.78,0.18,
XDDA1,NUP98,NUP98,73|74,147,73.5,2,36|41,0.0,0.0,0.0,0.0,0.0,-31.91,1.91,0.3,
XDDA1,XPC,XPC,48|43,91,45.5,2,4|3,1.0,1.0,1.0,1.0,1.0,41.04,13.0,0.0,
XDDA1,TRAPPC9,TRAPPC9,1|0,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-5.61,0.33,0.33,
XDDA1,HNRNPDL,HNRNPDL,8|11,19,9.5,2,2|2,0.99,1.0,0.99,1.0,0.99,3.69,4.75,0.0,
XDDA1,ANKRD20A12P,ANKRD20A12P,1|2,3,1.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-5.5,0.75,0.33,
