,Bait,Prey Gene,Saint Score,log2FC
0,DDA1,HIST1H4A,0.8,1.6507645591169022
1,DDA1,HSPA5,0.0,-0.3770696490798233
2,DDA1,HSPA4,0.0,-0.3959286763311392
3,DDA1,NELFB,0.98,4.321928094887363
4,DDA1,NELFA,0.44,1.5109619192773793
5,DDA1,NELFE,0.0,0.7484612330040356
6,DDA1,PDCD11,1.0,8.321928094887362
7,DDA1,C1ORF112,0.49,3.9068905956085187
8,DDA1,KIAA0907,0.97,2.4594316186372973
9,DDA1,NR0B1,1.0,6.714245517666122
10,DDA1,CAMK4,0.0,0.0
11,DDA1,ZC3H13,1.0,6.129283016944966
12,DDA1,ZC3H14,1.0,5.491853096329675
13,DDA1,KDM2A,1.0,6.228818690495881
14,DDA1,ZC3H18,1.0,2.4222330006830477
15,DDA1,ABCD3,0.0,-5.058893689053568
16,DDA1,DHX8,1.0,4.604664415163704
17,DDA1,DHX9,0.0,0.35614381022527536
18,DDA1,HSPA8,0.0,-0.12029423371771175
19,DDA1,TCOF1,1.0,4.938756261492295
20,DDA1,NSRP1,0.03,0.8318772411916731
21,DDA1,NUP98,0.0,0.9335726382610239
22,DDA1,XPC,1.0,3.700439718141092
23,DDA1,TRAPPC9,0.0,-1.5994620704162712
24,DDA1,HNRNPDL,0.99,2.2479275134435857
25,DDA1,ANKRD20A12P,0.0,-0.4150374992788438
26,DDA1,WHSC1,1.0,6.409390936137702
27,DDA1,TRAPPC3,0.99,4.643856189774724
28,DDA1,PARP10,0.03,0.0
29,DDA1,ANP32E,0.93,1.8073549220576042
30,DDA1,ACLY,0.0,-2.8365012677171206
31,DDA1,RAD54L2,1.0,4.906890595608519
32,DDA1,ATP2A2,0.0,-1.5994620704162712
33,DDA1,ALDH3A2,0.0,-1.4739311883324124
34,DDA1,PNISR,0.08,0.8718436485093178
35,DDA1,NOP2,0.0,0.5849625007211562
36,DDA1,GTF3C3,1.0,4.754887502163468
37,DDA1,GTF3C2,1.0,5.491853096329675
38,DDA1,GTF3C1,1.0,2.0908534304511135
39,DDA1,GTF3C5,0.0,0.0
40,DDA1,GTF3C4,0.99,1.5509006646475232
41,DDA1,SWAP70,0.0,-2.1202942337177118
42,DDA1,XPO1,0.0,-2.9434164716336326
43,DDA1,ZNF451,1.0,1.8196681834964554
44,DDA1,XPO5,1.0,3.7548875021634687
45,DDA1,CSDE1,0.0,-5.643856189774724
46,DDA1,BACH1,0.99,4.906890595608519
47,DDA1,TIPRL,0.0,-0.3219280948873623
48,DDA1,TTN,0.07,0.5849625007211562
49,DDA1,FAM169A,0.49,3.9068905956085187
50,DDA1,FBXL18,0.49,3.9068905956085187
51,DDA1,GATAD2B,0.3,1.298658315564515
52,DDA1,C2ORF49,1.0,5.129283016944966
53,DDA1,EPS15L1,0.0,-6.643856189774724
54,DDA1,RBM12B,1.0,6.409390936137702
55,DDA1,GART,0.0,-2.8365012677171206
56,DDA1,ZEB1,1.0,4.0
57,DDA1,ANAPC4,0.38,1.292781749227846
58,DDA1,RPS6KA1,0.0,-4.321928094887363
59,DDA1,SNRPB2,0.0,1.0
60,DDA1,RPS6KA5,0.38,1.0
61,DDA1,HLCS,0.0,0.0
62,DDA1,TOP1,1.0,2.584962500721156
63,DDA1,PSMD12,0.0,-3.0588936890535687
64,DDA1,UTP23,0.0,0.0
65,DDA1,UTP20,1.0,3.8579809951275723
66,DDA1,SERBP1,0.0,-1.8365012677171204
67,DDA1,TMEM199,0.0,-2.321928094887362
68,DDA1,RTFDC1,0.22,0.8073549220576041
69,DDA1,COPRS,0.0,0.22650852980867975
70,DDA1,ZNF292,1.0,7.129283016944966
71,DDA1,NUP133,0.0,-0.16812275880832692
72,DDA1,FOXM1,1.0,5.426264754702098
73,DDA1,HMGXB4,0.45,1.263034405833794
74,DDA1,EXOSC10,0.0,0.7990873060740036
75,DDA1,ARF3,0.23,0.9411063109464315
76,DDA1,PLRG1,0.0,0.8318772411916731
77,DDA1,ELMSAN1,1.0,2.62760683812965
78,DDA1,AP3D1,0.0,-3.0588936890535687
79,DDA1,SZT2,0.0,-2.473931188332412
80,DDA1,CALB2,0.0,-1.3959286763311392
81,DDA1,TCEA1,0.99,4.643856189774724
82,DDA1,NOL9,1.0,4.169925001442312
83,DDA1,NOL8,1.0,2.1984941536390834
84,DDA1,CHTF18,1.0,3.4329594072761065
85,DDA1,RGPD8,0.0,0.0
86,DDA1,NOL6,1.0,3.807354922057604
87,DDA1,NFRKB,1.0,4.277984747299765
88,DDA1,CCDC50,0.0,-3.8365012677171206
89,DDA1,RLF,1.0,2.807354922057604
90,DDA1,LEO1,0.99,4.906890595608519
91,DDA1,CDC40,0.98,4.321928094887363
92,DDA1,AGGF1,0.49,3.9068905956085187
93,DDA1,IPO11,0.0,-1.0
94,DDA1,CUEDC2,0.0,0.0
95,DDA1,HMGB3,0.0,-0.4150374992788438
96,DDA1,EEF1A1,0.0,-1.2175914350726267
97,DDA1,HMGB1,0.45,1.292781749227846
98,DDA1,SRBD1,0.95,2.807354922057604
99,DDA1,CHAF1A,0.99,4.906890595608519
100,DDA1,CHAF1B,0.99,4.643856189774724
101,DDA1,MAGEA4,0.0,-0.3959286763311392
102,DDA1,FRG1,0.98,4.321928094887363
103,DDA1,UBTF,0.94,2.584962500721156
104,DDA1,KIF4A,0.0,0.5753123306874368
105,DDA1,CDCA2,1.0,4.129283016944966
106,DDA1,YLPM1,0.0,1.263034405833794
107,DDA1,CDCA5,1.0,3.169925001442312
108,DDA1,FIP1L1,0.0,1.0285691521967708
109,DDA1,CDCA8,1.0,5.643856189774724
110,DDA1,NOLC1,0.0,0.32192809488736235
111,DDA1,RSF1,1.0,8.588714635582264
112,DDA1,SNW1,0.0,0.7739963251111731
113,DDA1,BRF1,0.5,3.9068905956085187
114,DDA1,PNN,0.13,1.2203299548795556
115,DDA1,WDR70,0.0,0.7570232465074596
116,DDA1,MLLT6,1.0,4.0
117,DDA1,RPL26,0.49,3.9068905956085187
118,DDA1,AHCTF1,1.0,3.1858665453113337
119,DDA1,PRPF8,0.86,1.632268215499513
120,DDA1,PRPF3,0.0,1.0840642647884746
121,DDA1,PRPF4,1.0,2.321928094887362
122,DDA1,PRPF6,1.0,3.058316495590823
123,DDA1,SIX4,0.07,1.0976107966264224
124,DDA1,CLOCK,0.99,4.643856189774724
125,DDA1,SAGE1,1.0,5.0
126,DDA1,PCF11,1.0,1.8278190246173196
127,DDA1,COPG2,0.0,-2.1202942337177118
128,DDA1,HDGF,0.0,0.43295940727610627
129,DDA1,PIP4K2A,0.0,-2.5563933485243853
130,DDA1,HMG20A,0.5,4.321928094887363
131,DDA1,PIP4K2C,0.0,-3.321928094887362
132,DDA1,HNRNPA2B1,0.01,1.0214797274104515
133,DDA1,TBL3,0.84,2.321928094887362
134,DDA1,THOC2,0.0,1.070389327891398
135,DDA1,THOC1,1.0,5.129283016944966
136,DDA1,MANBA,0.96,3.0
137,DDA1,RFX5,0.18,1.0976107966264224
138,DDA1,RFX1,1.0,1.6870606883398924
139,DDA1,RABGAP1L,0.0,-1.7858751946471527
140,DDA1,PAK4,0.38,1.584962500721156
141,DDA1,PAK2,0.0,-3.0588936890535687
142,DDA1,RECQL5,1.0,5.0
143,DDA1,RECQL4,0.57,1.3219280948873624
144,DDA1,FAM122B,0.98,4.321928094887363
145,DDA1,MSL1,0.5,4.321928094887363
146,DDA1,CBX8,1.0,5.321928094887363
147,DDA1,KHDRBS1,0.99,2.321928094887362
148,DDA1,COPS5,0.18,0.0
149,DDA1,ZNF592,0.98,4.321928094887363
150,DDA1,MED1,0.04,1.2570106182060239
151,DDA1,MED6,1.0,5.643856189774724
152,DDA1,ZNF598,0.0,-1.5994620704162712
153,DDA1,SUB1,0.0,0.41142624572646497
154,DDA1,ZNF608,1.0,7.228818690495881
155,DDA1,ZNF609,1.0,1.9818526532897407
156,DDA1,CBX2,1.0,5.906890595608519
157,DDA1,TKT,0.89,1.875780063068488
158,DDA1,VEZF1,0.99,2.700439718141092
159,DDA1,DPYSL2,0.0,-2.1844245711374275
160,DDA1,ARID2,1.0,8.252665432450248
161,DDA1,NUDT2,0.0,-1.4739311883324124
162,DDA1,NUDT5,0.0,-1.0
163,DDA1,BOP1,1.0,3.9068905956085187
164,DDA1,TK1,0.0,-1.0
165,DDA1,EPS8L2,0.0,-3.1844245711374275
166,DDA1,DHX40,1.0,4.906890595608519
167,DDA1,PFN2,0.0,0.32192809488736235
