,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-1.88268855251632,0.0290723912814651
1,HDLBP,-0.232557957852936,0.47126763783046
2,PSMA2,-1.56008755197872,0.00660857297364055
3,BAG6;BAT3,0.976677413779424,0.158859103240609
4,HM13,21.3311884730272,1.53910867823229e-07
5,TAF15,1.0324515754153,0.0379059245751976
6,TXNRD1,-1.40047103694308,0.085544796024793
7,HMOX2,0.912151949790051,0.145084173506983
8,EIF2B4,1.12223320768041,0.0482955429998945
9,NDUFS7,0.597649656664789,0.0883042137345905
10,KHSRP,-0.128917873697318,0.662541129831628
11,PABPC1,1.75631396343492,0.00957480427192102
12,HNRNPDL,0.945511891361352,0.0322065212392272
13,CTNNBL1,0.983601587010465,0.159094810673006
14,SPCS2,1.31365103268751,0.0108868876492185
15,SYMPK,21.4906523711635,1.71641338743362e-06
16,HNRNPDL,0.873283190252234,0.0305477019647791
17,SLIRP,1.83235535640972,0.00297044098041912
18,MYEF2,20.3956043263238,1.74390310558478e-05
19,EIF5B,-2.05183131423548,0.0183586171332669
20,APOOL,20.2713840432287,1.16086689851716e-07
21,MTHFD1L,4.5511730111405,6.69514286497491e-05
22,POLR2E,1.0143749445344,0.018503513480401
23,TPM3,-1.24737994407368,0.0271529776668702
24,NDUFA10,0.368431060056139,0.592397254530888
25,RPL17;RPL17-C18orf32,0.547359871897761,0.124202187439807
26,VTA1,-1.76510734660872,0.0553000079978729
27,AP2M1,21.7541001456424,8.57755309698113e-08
28,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.421773522047193,0.342500921426758
29,UGP2,-3.5666356104417,0.01496911637652
30,PTGES3,-0.718031936005254,0.123388462408821
31,EIF3H,-0.473941623745375,0.215578934647469
32,IDH3B,1.67998454202854,0.0199975677942551
33,NDUFB6,-1.02296023385,0.187092489709625
34,OGFR,-0.927494023610855,0.058661319164096
35,HYOU1,1.79089354862169,0.00640312262642262
36,COL6A1,19.5053416048939,1.48056545258343e-07
37,ACOT1;ACOT2,0.175864337320355,0.60920143020245
38,NOMO2;NOMO1;NOMO3,2.69259791054217,0.00870130455798447
39,STAU1,0.574877563435269,0.572677890568484
40,USP39,21.1431760797859,1.86208085076116e-07
41,LYPLA1,20.7449699218865,1.11918389702064e-07
42,PSME2,-2.43730279108485,0.00850627952996183
43,AP2B1,2.22283857498743,0.0158007975189592
44,BSG,1.31856205709835,0.029698564808946
45,SRSF3,1.30245281421194,0.01628920228313
46,MRPL45,0.944732164273798,0.267766458609809
47,DDX1,0.0678956855311128,0.872664448780403
48,PSMC6,-0.866132420001321,0.107626270810894
49,GPS1,-0.985755078149797,0.123532436159177
50,PYCRL,-20.9433886585895,1.57652961163114e-07
51,WDR18,0.902003603977455,0.336818896230268
52,RER1,19.7339905314143,1.28616440364653e-07
53,HNRNPUL1,3.15450348518163,0.00612770431796802
54,NLE1,20.0558076024982,1.40335976332056e-06
55,PCMT1,-3.13978023817772,0.000435997682344606
56,NOLC1,2.37015814602826,0.00516372239785778
57,ABI1,0.158001771804759,0.629655494998518
58,HADH,1.55323829487639,0.078071673135959
59,DDX42,1.38598925995401,0.0477924103361463
60,TOR1AIP1,22.3528449354788,9.18198494182071e-08
61,PLS3,-2.46114191970439,0.00251045760458342
62,NUP214,2.00734434893957,0.00150272305096598
63,PITPNB,-2.90790361530112,0.0117937478818669
64,SMARCA4;SMARCA2,1.49460801781826,0.0855277371486612
65,IVD,0.251587220704003,0.670376562563072
66,ILK,-0.678535448956726,0.428557281592172
67,CUL2,-19.2506111349551,1.39467819098139e-07
68,TMED7;TMED7-TICAM2,3.13625534881498,0.000342068613742196
69,PPAN;PPAN-P2RY11,19.7994352043771,5.30646953648739e-06
70,NAA15,-0.185573627262102,0.757234740310361
71,SRSF7,3.65333234994934,0.00128187426035974
72,FIP1L1,21.4782497107288,5.23332511953947e-07
73,DAD1,22.2689344690416,2.0649643494287e-07
74,TCEB2,-1.62694413820824,0.0105951245691356
75,RPS15,0.787432762750747,0.108643651483209
76,TPT1,-1.11653724041587,0.329070828766941
77,PWP2,2.44397076383978,0.013271881360338
78,SET,-0.208337257119208,0.702413880237852
79,RPSA,0.0156749009839743,0.95690003198981
80,HTRA2,1.21419384610843,0.0362263036784508
81,DDX46,-1.73781018275667,0.160302988916376
82,ECI2,2.03418454079601,0.0132917445316109
83,PACSIN3,21.1795240427115,1.36054061976767e-06
