Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XDDB2,HIST1H4A,HIST1H4A,14|18,32,16.0,2,7|7,0.03,0.06,0.03,0.06,0.03,-7.92,2.29,0.55,
XDDB2,HSPA5,HSPA5,5|6,11,5.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-116.22,0.18,0.75,
XDDB2,NELFA,NELFA,3|4,7,3.5,2,7|14,0.0,0.0,0.0,0.0,0.0,-38.48,0.33,0.75,
XDDB2,NELFE,NELFE,4|4,8,4.0,2,24|24,0.0,0.0,0.0,0.0,0.0,-93.43,0.17,0.75,
XDDB2,ZC3H14,ZC3H14,1|3,4,2.0,2,19|31,0.0,0.0,0.0,0.0,0.0,-108.02,0.08,0.75,
XDDB2,ZC3H18,ZC3H18,0|1,1,0.5,2,5|6,0.0,0.0,0.0,0.0,0.0,-26.1,0.09,0.75,
XDDB2,DHX8,DHX8,1|0,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-8.81,0.33,0.75,
XDDB2,DHX9,DHX9,15|17,32,16.0,2,70|59,0.0,0.0,0.0,0.0,0.0,-234.62,0.25,0.75,
XDDB2,HSPA8,HSPA8,17|24,41,20.5,2,44|51,0.0,0.0,0.0,0.0,0.0,-157.88,0.43,0.75,
XDDB2,TCOF1,TCOF1,6|17,23,11.5,2,2|3,0.52,1.0,0.52,1.0,0.52,-3.47,4.6,0.05,
XDDB2,NUP98,NUP98,0|2,2,1.0,2,33|38,0.0,0.0,0.0,0.0,0.0,-160.15,0.03,0.75,
XDDB2,XPC,XPC,7|14,21,10.5,2,4|3,0.48,0.95,0.48,0.95,0.48,-5.48,3.0,0.2,
XDDB2,HNRNPDL,HNRNPDL,0|1,1,0.5,2,2|1,0.0,0.0,0.0,0.0,0.0,-8.81,0.33,0.75,
XDDB2,PARP14,PARP14,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-5.01,1.0,0.75,
XDDB2,ANP32E,ANP32E,6|1,7,3.5,2,2|4,0.0,0.01,0.0,0.01,0.0,-12.6,1.17,0.63,
XDDB2,PNISR,PNISR,0|1,1,0.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-15.1,0.17,0.75,
XDDB2,NOP2,NOP2,2|6,8,4.0,2,18|17,0.0,0.0,0.0,0.0,0.0,-71.66,0.23,0.75,
XDDB2,GTF3C1,GTF3C1,2|8,10,5.0,2,26|20,0.0,0.0,0.0,0.0,0.0,-95.72,0.22,0.75,
XDDB2,GTF3C5,GTF3C5,1|1,2,1.0,2,13|11,0.0,0.0,0.0,0.0,0.0,-51.04,0.08,0.75,
XDDB2,GTF3C4,GTF3C4,1|2,3,1.5,2,13|17,0.0,0.0,0.0,0.0,0.0,-64.21,0.1,0.75,
XDDB2,ZNF451,ZNF451,1|3,4,2.0,2,6|9,0.0,0.0,0.0,0.0,0.0,-31.52,0.27,0.75,
XDDB2,TIPRL,TIPRL,4|3,7,3.5,2,30|30,0.0,0.0,0.0,0.0,0.0,-122.85,0.12,0.75,
XDDB2,ANAPC1,ANAPC1,0|1,1,0.5,2,7|15,0.0,0.0,0.0,0.0,0.0,-50.05,0.05,0.75,
XDDB2,ANAPC4,ANAPC4,2|0,2,1.0,2,10|12,0.0,0.0,0.0,0.0,0.0,-50.47,0.09,0.75,
XDDB2,SHROOM2,SHROOM2,0|1,1,0.5,2,13|13,0.0,0.0,0.0,0.0,0.0,-59.39,0.04,0.75,
XDDB2,EXOSC10,EXOSC10,1|2,3,1.5,2,33|44,0.0,0.0,0.0,0.0,0.0,-168.44,0.04,0.75,
XDDB2,ARF3,ARF3,2|2,4,2.0,2,7|5,0.0,0.0,0.0,0.0,0.0,-22.57,0.33,0.75,
XDDB2,PLRG1,PLRG1,1|2,3,1.5,2,12|15,0.0,0.0,0.0,0.0,0.0,-57.63,0.11,0.75,
XDDB2,ELMSAN1,ELMSAN1,0|3,3,1.5,2,8|9,0.0,0.0,0.0,0.0,0.0,-39.37,0.18,0.75,
XDDB2,EEF1A1,EEF1A1,6|10,16,8.0,2,40|51,0.0,0.0,0.0,0.0,0.0,-180.22,0.18,0.75,
XDDB2,HMGB1,HMGB1,0|4,4,2.0,2,6|7,0.0,0.0,0.0,0.0,0.0,-30.51,0.31,0.75,
XDDB2,MAGEA4,MAGEA4,2|3,5,2.5,2,9|8,0.0,0.0,0.0,0.0,0.0,-32.97,0.29,0.75,
XDDB2,KIF4A,KIF4A,0|2,2,1.0,2,35|41,0.0,0.0,0.0,0.0,0.0,-171.36,0.03,0.75,
