,Bait,Prey Gene,Saint Score,log2FC
0,DDB2,HIST1H4A,0.03,1.1953475983222193
1,DDB2,HSPA5,0.0,-2.473931188332412
2,DDB2,NELFA,0.0,-1.5994620704162712
3,DDB2,NELFE,0.0,-2.5563933485243853
4,DDB2,ZC3H14,0.0,-3.643856189774725
5,DDB2,ZC3H18,0.0,-3.473931188332412
6,DDB2,DHX8,0.0,-1.5994620704162712
7,DDB2,DHX9,0.0,-2.0
8,DDB2,HSPA8,0.0,-1.2175914350726267
9,DDB2,TCOF1,0.52,2.2016338611696504
10,DDB2,NUP98,0.0,-5.058893689053568
11,DDB2,XPC,0.48,1.584962500721156
12,DDB2,HNRNPDL,0.0,-1.5994620704162712
13,DDB2,PARP14,0.0,0.0
14,DDB2,ANP32E,0.0,0.22650852980867975
15,DDB2,PNISR,0.0,-2.5563933485243853
16,DDB2,NOP2,0.0,-2.1202942337177118
17,DDB2,GTF3C1,0.0,-2.1844245711374275
18,DDB2,GTF3C5,0.0,-3.643856189774725
19,DDB2,GTF3C4,0.0,-3.321928094887362
20,DDB2,ZNF451,0.0,-1.8889686876112561
21,DDB2,TIPRL,0.0,-3.0588936890535687
22,DDB2,ANAPC1,0.0,-4.321928094887363
23,DDB2,ANAPC4,0.0,-3.473931188332412
24,DDB2,SHROOM2,0.0,-4.643856189774724
25,DDB2,EXOSC10,0.0,-4.643856189774724
26,DDB2,ARF3,0.0,-1.5994620704162712
27,DDB2,PLRG1,0.0,-3.1844245711374275
28,DDB2,ELMSAN1,0.0,-2.473931188332412
29,DDB2,EEF1A1,0.0,-2.473931188332412
30,DDB2,HMGB1,0.0,-1.6896598793878495
31,DDB2,MAGEA4,0.0,-1.7858751946471527
32,DDB2,KIF4A,0.0,-5.058893689053568
33,DDB2,YLPM1,0.0,-3.8365012677171206
34,DDB2,FIP1L1,0.0,-4.643856189774724
35,DDB2,NOLC1,0.0,-4.058893689053568
36,DDB2,RSF1,0.47,4.321928094887363
37,DDB2,SNW1,0.0,-2.1202942337177118
38,DDB2,PNN,0.0,0.0
39,DDB2,WDR70,0.0,-1.0892673380970874
40,DDB2,PRPF8,0.0,-4.058893689053568
41,DDB2,PRPF3,0.0,-4.321928094887363
42,DDB2,COPG2,0.0,-5.643856189774724
43,DDB2,HDGF,0.0,-2.473931188332412
44,DDB2,THOC2,0.0,-1.8365012677171204
45,DDB2,RFX1,0.0,-3.8365012677171206
46,DDB2,ADNP,0.0,-0.8365012677171204
47,DDB2,COPS5,0.98,3.0874628412503395
48,DDB2,MED1,0.0,-2.473931188332412
49,DDB2,SUB1,0.0,-1.0
50,DDB2,ZNF609,0.0,-4.321928094887363
51,DDB2,DPYSL2,0.0,-3.643856189774725
52,DDB2,EPS8L2,0.0,-4.058893689053568
53,DDB2,MEF2D,0.0,-1.5994620704162712
54,DDB2,KDM3B,0.0,-6.643856189774724
55,DDB2,TP53BP1,0.0,-5.058893689053568
56,DDB2,KDM3A,0.49,2.807354922057604
57,DDB2,SSB,0.0,-1.0
58,DDB2,TEX10,0.0,-0.9434164716336325
59,DDB2,SNRPA1,0.0,-1.6896598793878495
60,DDB2,TCP1,0.0,-1.0588936890535685
61,DDB2,SH3PXD2B,0.0,-6.643856189774724
62,DDB2,SUGP1,0.0,-2.8365012677171206
63,DDB2,XAB2,0.0,-1.8365012677171204
64,DDB2,KTN1,0.0,-4.643856189774724
65,DDB2,TCEB3,0.0,-3.321928094887362
66,DDB2,PRDX6,0.0,-2.9434164716336326
67,DDB2,DENND4C,0.0,-5.643856189774724
68,DDB2,PRDX1,0.0,-1.7858751946471527
69,DDB2,SMARCA5,0.0,-0.5353317329965557
70,DDB2,CCDC168,0.0,-1.5994620704162712
71,DDB2,ZAP70,0.0,3.321928094887362
72,DDB2,CCT6A,0.0,-0.8365012677171204
73,DDB2,CDC5L,0.0,-3.8365012677171206
74,DDB2,CROCC,0.0,0.41142624572646497
75,DDB2,PAPOLA,0.0,-1.286304185156641
76,DDB2,ZFR,0.0,-4.058893689053568
77,DDB2,TXNDC9,0.0,-1.5994620704162712
78,DDB2,CALM2,0.0,-3.0588936890535687
79,DDB2,DCD,0.36,3.9068905956085187
80,DDB2,DNMT1,0.0,-1.3219280948873622
81,DDB2,TRIM28,0.0,-1.8889686876112561
82,DDB2,SLC25A5,0.0,-3.0588936890535687
83,DDB2,BRD4,0.0,-1.6896598793878495
84,DDB2,COIL,0.0,-2.1844245711374275
85,DDB2,NELFCD,0.0,-1.8365012677171204
86,DDB2,DMD,0.0,0.0
87,DDB2,GAPDH,0.0,-1.2175914350726267
88,DDB2,PPM1G,0.0,-1.9434164716336324
89,DDB2,SRSF6,0.06,1.584962500721156
90,DDB2,CDK11B,0.0,-0.4941090702700427
91,DDB2,MRPL2,0.36,3.321928094887362
92,DDB2,PTPN2,0.0,-3.1844245711374275
93,DDB2,DSG1,0.49,2.584962500721156
94,DDB2,LGALS1,0.5,2.321928094887362
95,DDB2,NUP50,0.0,-2.0588936890535687
96,DDB2,HN1,0.0,-3.643856189774725
97,DDB2,WAPAL,0.0,-2.5563933485243853
98,DDB2,TMPO,0.0,0.09761079662642233
99,DDB2,SPAG7,0.0,-2.321928094887362
100,DDB2,ILKAP,0.0,-1.0892673380970874
101,DDB2,CATSPERD,0.0,0.0
102,DDB2,KIAA1143,0.0,-3.1844245711374275
103,DDB2,SRRM2,0.5,4.906890595608519
104,DDB2,CCDC174,0.0,-2.2515387669959646
105,DDB2,WBP4,0.0,-2.0
106,DDB2,PUF60,0.0,-2.8365012677171206
107,DDB2,PLIN3,0.0,-1.736965594166206
108,DDB2,CIAPIN1,0.0,-5.643856189774724
109,DDB2,HSP90AB1,0.0,-0.862496476250065
110,DDB2,WDR55,0.0,-2.5563933485243853
111,DDB2,TWF2,0.0,-5.643856189774724
112,DDB2,EEF1D,0.0,-3.1844245711374275
113,DDB2,CCNK,0.0,-4.643856189774724
114,DDB2,TRIM33,0.0,-4.321928094887363
115,DDB2,FEN1,0.0,-1.8889686876112561
116,DDB2,CHD1,0.36,3.9068905956085187
117,DDB2,CHD4,0.0,-1.6896598793878495
118,DDB2,CHD7,0.0,-2.321928094887362
119,DDB2,CHD8,0.0,-3.0588936890535687
120,DDB2,TTC4,0.06,1.0
121,DDB2,VBP1,0.04,1.0
122,DDB2,RPL6,0.0,-3.0588936890535687
123,DDB2,NBN,0.0,-3.8365012677171206
124,DDB2,GGA1,0.0,-1.5994620704162712
125,DDB2,HIST1H1A,0.0,3.321928094887362
126,DDB2,ZNF131,0.0,-3.1844245711374275
127,DDB2,HIVEP1,0.0,-3.0588936890535687
128,DDB2,MKI67,0.0,-0.5994620704162712
129,DDB2,MLH1,0.0,-1.8889686876112561
130,DDB2,NACC1,0.0,-1.1844245711374275
131,DDB2,SIN3B,0.0,-2.736965594166206
132,DDB2,SIN3A,0.0,-2.473931188332412
133,DDB2,PGRMC2,0.0,-4.643856189774724
134,DDB2,RTF1,0.0,-2.9434164716336326
135,DDB2,PCCA,0.0,0.09761079662642233
136,DDB2,SLC4A1AP,0.0,-2.2515387669959646
137,DDB2,SCAF1,0.0,-3.473931188332412
138,DDB2,PPWD1,0.0,-2.5563933485243853
139,DDB2,METTL14,0.0,-1.5994620704162712
140,DDB2,ZMYM4,0.03,1.0
141,DDB2,SRFBP1,0.0,-2.8365012677171206
142,DDB2,GTF2F1,0.0,-2.0
143,DDB2,GTF2F2,0.0,-1.736965594166206
144,DDB2,CAPZB,0.0,-4.321928094887363
145,DDB2,SIRT1,0.0,0.0
146,DDB2,HSP90B1,0.06,1.584962500721156
147,DDB2,STIP1,0.0,-3.643856189774725
148,DDB2,WDR43,0.0,-0.6438561897747246
149,DDB2,AHSA1,0.0,-4.321928094887363
150,DDB2,DSP,0.86,5.321928094887363
151,DDB2,GLMN,0.0,0.32192809488736235
152,DDB2,PDAP1,0.0,-2.395928676331139
153,DDB2,DNAJC8,0.0,-1.1844245711374275
154,DDB2,RRP12,0.0,-3.1844245711374275
155,DDB2,DCUN1D5,0.97,5.321928094887363
156,DDB2,PHAX,0.0,-1.6438561897747246
157,DDB2,BSN,0.0,-1.0
158,DDB2,DDB2,1.0,10.813781191217037
159,DDB2,DDB1,1.0,6.7615512324444795
160,DDB2,EEF1A2,0.0,-4.058893689053568
161,DDB2,RIF1,0.0,-4.058893689053568
162,DDB2,MECP2,0.36,3.9068905956085187
163,DDB2,ZNF638,0.0,-3.0588936890535687
164,DDB2,CMTR1,0.0,-4.321928094887363
165,DDB2,CTTN,0.0,-6.643856189774724
166,DDB2,ERH,0.0,-1.3219280948873622
167,DDB2,DDX10,0.0,-2.0588936890535687
168,DDB2,DDX18,0.33,2.0
169,DDB2,MDC1,0.0,-1.15200309344505
170,DDB2,FBN1,0.0,0.0
171,DDB2,IFT172,0.0,-1.5994620704162712
172,DDB2,NCL,0.0,-0.3770696490798233
173,DDB2,GNL2,0.01,0.41142624572646497
174,DDB2,DNTTIP2,0.0,-1.5994620704162712
175,DDB2,EIF3C,0.0,-3.8365012677171206
176,DDB2,NOL11,0.0,-0.2863041851566411
