,Gene Name,log2(Fold change),P-value
0,H3BN98,0.2075211605,0.421214759752687
1,SEPTIN-2,-0.2928496085,0.0977282391266065
2,SEPTIN-7,0.0838340715,0.561910659467939
3,SEPTIN-9,0.0745943064,0.58449791511441
4,SEPTIN-10,-0.1057290124,0.72798985404142
5,SEPTIN-11,-0.3132183643,0.102385303689171
6,AATF,-0.1455097951,0.319183007628804
7,ABCD3,-0.0071838329,0.970172045569698
8,ABHD14B,0.2258579975,0.170019498414872
9,ABI1,0.6019738839,0.0175065252008199
10,ACAA2,0.0245156617,0.879396216601492
11,ACADM,0.5923120546,0.148077716013898
12,ACADVL,-0.1331190059,0.363483151321249
13,ACAT1,0.1092576113,0.604510188585993
14,ACIN1,1.4206828578,0.0807854271851832
15,ACLY,0.7051809595,0.00637901019788897
16,ACO1,1.4374078568,0.164018379458667
17,ACO2,0.07759188,0.57234500289446
18,ACOT1;ACOT2,-0.2852413084,0.174177490212128
19,ACTA1;ACTC1,0.019620206,0.90300923410557
20,ACTB,-0.2087060244,0.182890004044803
21,ACTG1,-0.1203047009,0.488540164019309
22,ACTL6A,-0.7248736029,0.0621245319818702
23,ACTN1,0.0224778274,0.883501345641669
24,ACTN4,-0.0267190424,0.840209371264183
25,ACTR1A,0.9061431322,0.00373829389812411
26,ACTR2,-0.5805337533,0.0546697207401534
27,ADAR,0.065082844,0.730121379867551
28,ADRM1,-0.0616927569,0.696122080799545
29,AFG3L2,-0.115698317,0.441887059959645
30,AGPS,0.0192785255,0.91021398767238
31,AHCY,-0.1045149925,0.592472251892555
32,AHNAK,0.2064589345,0.579760384328032
33,AHNAK2,-0.0931166995,0.815679600807259
34,AIMP1,0.4874376361,0.183027005111879
35,AIMP2,0.3261836742,0.0948760261234921
36,AK2,0.0024909425,0.98566855918162
37,AK4,0.0794374104,0.707771454755933
38,AKR1A1,-0.1701467252,0.434640254796445
39,ALCAM,0.5889261185,0.0101453137694086
40,ALDH18A1,0.2539109582,0.112859515452709
41,ALDH1B1,0.2437152667,0.119846863950562
42,ALDH2,0.4034339438,0.127894966456295
43,ALDH5A1,1.8239571939,0.00421443437481654
44,ALDH7A1,-0.2577223047,0.236000443214957
45,ALDH9A1,-0.1079355037,0.610387367582674
46,ALDOA,-0.2693038686,0.101056175085018
47,ALYREF,0.0965987845,0.504012579224822
48,AMPD2,-0.5581006912,0.0591744111103383
49,ANP32A,0.1821644081,0.466098621122223
50,ANXA1,-0.4085782697,0.115657555414629
51,ANXA11,-0.0121048709,0.949317159261546
52,ANXA2;ANXA2P2,-0.1580116458,0.349753310022479
53,ANXA3,0.2106402044,0.368868407283891
54,ANXA5,0.2968825581,0.420172476925662
55,ANXA6,0.21164305,0.296795491673736
56,ANXA7,0.2222720686,0.174248738321713
57,AP2A1,0.1019673202,0.534001491523802
58,AP2B1,0.3165334352,0.217178430686736
59,AP2S1,-0.6634190217,0.00802388388991417
60,APEH,-0.3030197291,0.115557541900073
61,APEX1,0.0488938035,0.712775108955891
62,API5,-0.2146344643,0.341323867608116
63,APOBEC3C,0.0647531982,0.697866101796998
64,ARF1;ARF3,0.3008262786,0.57616823256346
65,ARF6,-0.0464514494,0.788420271910075
66,ARFGAP1,0.6414140186,0.0194719931140028
67,ARG2,-0.8542185653,0.0974202238132191
68,ARHGDIA,1.5264204159,0.0929508441262091
69,ARMC1,0.3758812028,0.0417231326536297
70,ARPC1A,-0.6799495556,0.0386871792467941
71,ARPC1B,-0.3443513574,0.174016386143035
72,ARPC3,-0.102981482,0.573370664713278
73,ARPC4;ARPC4-TTLL3,0.3647873266,0.0467924405130116
74,ARPC5L,0.1049812216,0.466513928278823
75,ASNA1,-0.306843822,0.0897108511378722
76,ATAD3A,0.9288195294,0.07548108437436
77,ATIC,1.0948143519,0.189624392716191
78,ATL3,0.0692960214,0.681009514573703
79,ATP1A1,-0.0472442062,0.72243364972211
80,ATP1B1,0.2746827204,0.259038666439423
81,ATP1B3,-0.2810589303,0.241550763359384
82,ATP2A2,0.0050884091,0.97711189044417
83,ATP5A1,0.0956110603,0.53862785257926
84,ATP5B,-0.0875158594,0.582224221571359
85,ATP5C1,-0.0227472124,0.933456832410464
86,ATP5D,-0.3291679815,0.303056311348041
87,ATP5F1,-0.2855836794,0.135092615939773
88,ATP5H,-0.2470368484,0.224332933350438
89,ATP5I,-0.2071198193,0.463184311376069
90,ATP5J2-PTCD1;ATP5J2,-0.1547134238,0.625455643639787
91,ATP5L,0.2571425635,0.276203844343665
92,ATP5O,0.0783657892,0.617940648041195
93,ATP6V0D1,1.4319544225,0.000216541559757434
94,ATP6V1A,-0.0531703818,0.712357481442037
95,ATP6V1B2,0.3839052125,0.123461490331761
96,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.7635180517,0.00398557105518872
97,B2M,-0.7612280977,0.00679916485717896
98,BAG2,0.3576500152,0.17604146766831
99,BAG6;BAT3,0.4387317903,0.171192697708998
100,BANF1,-0.0400569429,0.835432365372794
101,BAX,0.4003067602,0.0834203405230712
102,BCAP31,-0.3003674117,0.0799694631990314
103,BCAS2,0.5917587969,0.0123524838614188
104,BCLAF1,-0.3570642964,0.243068696156464
105,BOP1,0.2086348772,0.283829823317284
106,BRK1,-0.1625510389,0.507587318851407
107,BSG,-0.1263696116,0.455949997136466
108,BTF3,-0.250134504,0.109884364328916
109,BUB3,-0.0850660587,0.641304117840288
110,BUD31,-0.2278348411,0.157948822704874
111,C11orf98,-0.1689914567,0.286694059952936
112,C7orf50,-1.666906065,0.0215058256086079
113,CACYBP,0.2450289165,0.199279298674568
114,CAD,-0.0018642282,0.992045870709087
115,CALD1,-0.0207463427,0.967113884370113
116,CALM2;CALM3;CALM1,-0.3523508607,0.0632473172625277
117,CALR,-0.0521255256,0.701636804396191
118,CALU,0.7927519421,0.0087815376154823
119,CAMK2B;CAMK2G,0.3907762845,0.04582880302711
120,CAND1,-0.1057501831,0.613083626258183
121,CANX,0.1160745797,0.470641044840104
122,CAP1,0.0870253134,0.600977028286346
123,CAPN1,0.0749977698,0.706579699715162
124,CAPRIN1,-0.1964099299,0.37144388506791
125,CAPZA1,-0.2032321528,0.268252160287325
126,CAPZB,-0.0608482459,0.646019110232053
127,CARS,-0.3139210536,0.266092962125078
128,CAT,-0.0916143252,0.679891875313438
129,CBX1,-0.7162284495,0.0708899866117195
130,CBX3,-0.0852033576,0.584382002679527
131,CBX5,-0.4337238317,0.129514540738213
132,CCAR2,-0.1285957738,0.461029666853547
133,CCT2,-0.3039598006,0.0726499104577999
134,CCT3,-0.2787338172,0.119990494622855
135,CCT4,-0.2117892179,0.16075137282818
136,CCT5,-0.1702807581,0.284178577419587
137,CCT6A,-0.180356621,0.223267315308427
