Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XDET1,HIST1H4A,HIST1H4A,5|5,10,5.0,2,7|7,0.0,0.0,0.0,0.0,0.0,-19.27,0.71,0.57,
XDET1,HSPA5,HSPA5,18|18,36,18.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-85.71,0.59,0.57,
XDET1,HSPA4,HSPA4,25|26,51,25.5,2,19|21,0.0,0.0,0.0,0.0,0.0,-36.03,1.27,0.53,
XDET1,HSPA9,HSPA9,1|0,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-7.41,0.33,0.57,
XDET1,SSFA2,SSFA2,2|3,5,2.5,2,9|11,0.0,0.0,0.0,0.0,0.0,-37.9,0.25,0.57,
XDET1,COPRS,COPRS,2|0,2,1.0,2,2|4,0.0,0.0,0.0,0.0,0.0,-13.7,0.33,0.57,
XDET1,DHX8,DHX8,1|0,1,0.5,2,0|3,0.0,0.0,0.0,0.0,0.0,-7.12,0.33,0.57,
XDET1,DHX9,DHX9,3|1,4,2.0,2,70|61,0.0,0.0,0.0,0.0,0.0,-287.86,0.03,0.57,
XDET1,HSPA8,HSPA8,100|102,202,101.0,2,45|50,0.0,0.0,0.0,0.0,0.0,-28.14,2.13,0.51,
XDET1,NUP98,NUP98,0|2,2,1.0,2,39|42,0.0,0.0,0.0,0.0,0.0,-181.18,0.02,0.57,
XDET1,PPP2R2A,PPP2R2A,6|4,10,5.0,2,0|0,1.0,1.0,1.0,1.0,1.0,5.96,50.0,0.0,
XDET1,CEP85,CEP85,1|2,3,1.5,2,0|0,0.46,0.91,0.46,0.91,0.46,0.34,15.0,0.1,
XDET1,ANKRD20A12P,ANKRD20A12P,1|1,2,1.0,2,1|3,0.0,0.0,0.0,0.0,0.0,-7.3,0.5,0.57,
XDET1,ACLY,ACLY,1|0,1,0.5,2,4|4,0.0,0.0,0.0,0.0,0.0,-18.07,0.12,0.57,
XDET1,ALDH3A2,ALDH3A2,5|7,12,6.0,2,5|7,0.0,0.0,0.0,0.0,0.0,-15.61,1.0,0.46,
XDET1,KIAA1279,KIAA1279,5|9,14,7.0,2,1|0,0.99,1.0,0.99,1.0,0.99,3.5,14.0,0.0,
XDET1,GTF3C5,GTF3C5,1|2,3,1.5,2,13|13,0.0,0.0,0.0,0.0,0.0,-54.02,0.12,0.57,
XDET1,SWAP70,SWAP70,19|21,40,20.0,2,32|40,0.0,0.0,0.0,0.0,0.0,-105.35,0.56,0.57,
XDET1,CSDE1,CSDE1,38|43,81,40.5,2,47|51,0.0,0.0,0.0,0.0,0.0,-120.43,0.83,0.57,
XDET1,TIPRL,TIPRL,21|23,44,22.0,2,33|32,0.0,0.0,0.0,0.0,0.0,-87.8,0.68,0.57,
XDET1,TMEM263,TMEM263,4|1,5,2.5,2,0|0,0.5,1.0,0.5,1.0,0.5,0.34,25.0,0.07,
XDET1,EPS15L1,EPS15L1,8|9,17,8.5,2,33|38,0.0,0.0,0.0,0.0,0.0,-129.53,0.24,0.57,
XDET1,ANAPC1,ANAPC1,1|3,4,2.0,2,8|14,0.0,0.0,0.0,0.0,0.0,-45.13,0.18,0.57,
XDET1,GART,GART,2|5,7,3.5,2,19|16,0.0,0.0,0.0,0.0,0.0,-70.27,0.2,0.57,
XDET1,ZEB1,ZEB1,2|1,3,1.5,2,1|0,0.17,0.34,0.17,0.34,0.17,-2.0,3.0,0.22,
XDET1,GARS,GARS,1|1,2,1.0,2,1|4,0.0,0.0,0.0,0.0,0.0,-9.16,0.4,0.57,
XDET1,RPS6KA1,RPS6KA1,2|2,4,2.0,2,21|19,0.0,0.0,0.0,0.0,0.0,-81.17,0.1,0.57,
XDET1,PPID,PPID,10|13,23,11.5,2,3|6,0.31,0.58,0.31,0.58,0.31,-3.46,2.56,0.19,
XDET1,HLCS,HLCS,13|24,37,18.5,2,6|9,0.49,0.99,0.49,0.99,0.49,-9.54,2.47,0.08,
XDET1,PSMD12,PSMD12,1|1,2,1.0,2,6|2,0.0,0.0,0.0,0.0,0.0,-15.04,0.25,0.57,
XDET1,SERBP1,SERBP1,20|21,41,20.5,2,38|51,0.0,0.0,0.0,0.0,0.0,-137.08,0.46,0.57,
XDET1,NUP133,NUP133,0|1,1,0.5,2,15|22,0.0,0.0,0.0,0.0,0.0,-82.55,0.03,0.57,
XDET1,VAPB,VAPB,2|1,3,1.5,2,7|8,0.0,0.0,0.0,0.0,0.0,-30.12,0.2,0.57,
XDET1,VAPA,VAPA,1|1,2,1.0,2,6|6,0.0,0.0,0.0,0.0,0.0,-23.68,0.17,0.57,
XDET1,SHROOM2,SHROOM2,2|1,3,1.5,2,12|14,0.0,0.0,0.0,0.0,0.0,-54.02,0.12,0.57,
XDET1,IGF2R,IGF2R,0|1,1,0.5,2,27|32,0.0,0.0,0.0,0.0,0.0,-131.84,0.02,0.57,
XDET1,ARF3,ARF3,4|4,8,4.0,2,8|5,0.0,0.0,0.0,0.0,0.0,-19.15,0.62,0.57,
XDET1,PLRG1,PLRG1,0|1,1,0.5,2,12|15,0.0,0.0,0.0,0.0,0.0,-60.24,0.04,0.57,
XDET1,AP3D1,AP3D1,1|4,5,2.5,2,13|19,0.0,0.0,0.0,0.0,0.0,-67.26,0.16,0.57,
XDET1,TUBB2B,TUBB2B,4|4,8,4.0,2,0|2,0.47,0.47,0.47,0.47,0.47,-0.1,4.0,0.1,
XDET1,SZT2,SZT2,0|4,4,2.0,2,4|7,0.0,0.0,0.0,0.0,0.0,-24.7,0.36,0.57,
XDET1,CALB2,CALB2,0|1,1,0.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-15.94,0.14,0.57,
XDET1,RGPD3,RGPD3,1|2,3,1.5,2,1|4,0.0,0.0,0.0,0.0,0.0,-9.16,0.6,0.57,
XDET1,RAB11FIP1,RAB11FIP1,0|1,1,0.5,2,9|12,0.0,0.0,0.0,0.0,0.0,-46.87,0.05,0.57,
XDET1,RAB11FIP5,RAB11FIP5,3|3,6,3.0,2,45|29,0.0,0.0,0.0,0.0,0.0,-151.7,0.08,0.57,
XDET1,CORO1C,CORO1C,2|1,3,1.5,2,16|15,0.0,0.0,0.0,0.0,0.0,-65.02,0.1,0.57,
XDET1,RLF,RLF,0|1,1,0.5,2,2|1,0.0,0.0,0.0,0.0,0.0,-7.41,0.33,0.57,
XDET1,EEF1A1,EEF1A1,33|29,62,31.0,2,42|50,0.0,0.0,0.0,0.0,0.0,-124.98,0.67,0.57,
XDET1,MAGEA4,MAGEA4,5|3,8,4.0,2,9|9,0.0,0.0,0.0,0.0,0.0,-31.15,0.44,0.57,
XDET1,YLPM1,YLPM1,0|1,1,0.5,2,74|81,0.0,0.0,0.0,0.0,0.0,-347.36,0.01,0.57,
XDET1,FGFR1OP,FGFR1OP,2|3,5,2.5,2,8|11,0.0,0.0,0.0,0.0,0.0,-35.8,0.26,0.57,
XDET1,ASPSCR1,ASPSCR1,1|1,2,1.0,2,4|6,0.0,0.0,0.0,0.0,0.0,-19.45,0.2,0.57,
XDET1,WASF2,WASF2,1|1,2,1.0,2,8|8,0.0,0.0,0.0,0.0,0.0,-32.25,0.12,0.57,
XDET1,FXR2,FXR2,0|1,1,0.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-9.39,0.25,0.57,
XDET1,CYB5B,CYB5B,4|2,6,3.0,2,0|0,0.96,1.0,0.96,1.0,0.96,2.37,30.0,0.0,
XDET1,PNN,PNN,6|5,11,5.5,2,17|16,0.0,0.0,0.0,0.0,0.0,-57.36,0.33,0.57,
XDET1,PPP2R3A,PPP2R3A,4|6,10,5.0,2,10|14,0.0,0.0,0.0,0.0,0.0,-41.13,0.42,0.57,
XDET1,PLEKHH3,PLEKHH3,2|1,3,1.5,2,1|1,0.04,0.09,0.04,0.09,0.04,-3.8,1.5,0.3,
XDET1,WASH3P,WASH3P,2|4,6,3.0,2,3|6,0.0,0.0,0.0,0.0,0.0,-15.17,0.67,0.57,
XDET1,COPG2,COPG2,36|45,81,40.5,2,87|74,0.0,0.0,0.0,0.0,0.0,-247.77,0.5,0.57,
XDET1,RELA,RELA,2|1,3,1.5,2,6|7,0.0,0.0,0.0,0.0,0.0,-25.84,0.23,0.57,
XDET1,APC,APC,7|5,12,6.0,2,6|5,0.0,0.0,0.0,0.0,0.0,-13.86,1.09,0.45,
XDET1,MAVS,MAVS,10|9,19,9.5,2,7|9,0.0,0.0,0.0,0.0,0.0,-16.87,1.19,0.48,
XDET1,PAK2,PAK2,9|12,21,10.5,2,28|35,0.0,0.0,0.0,0.0,0.0,-109.87,0.33,0.57,
XDET1,UQCRC1,UQCRC1,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.61,1.0,0.57,
XDET1,NUP88,NUP88,1|4,5,2.5,2,2|2,0.02,0.05,0.02,0.05,0.02,-7.3,1.25,0.34,
XDET1,RECQL4,RECQL4,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.61,1.0,0.57,
XDET1,COPS3,COPS3,2|4,6,3.0,2,2|0,0.29,0.47,0.29,0.47,0.29,-2.07,3.0,0.2,
XDET1,COPS5,COPS5,46|54,100,50.0,2,1|1,1.0,1.0,1.0,1.0,1.0,58.19,50.0,0.0,
XDET1,YTHDF2,YTHDF2,5|10,15,7.5,2,7|9,0.0,0.0,0.0,0.0,0.0,-23.05,0.94,0.48,
XDET1,YTHDF1,YTHDF1,8|9,17,8.5,2,9|9,0.0,0.0,0.0,0.0,0.0,-21.83,0.94,0.57,
XDET1,CEP97,CEP97,2|6,8,4.0,2,4|3,0.0,0.0,0.0,0.0,0.0,-11.31,1.14,0.39,
XDET1,PKDREJ,PKDREJ,1|2,3,1.5,2,3|0,0.01,0.03,0.01,0.03,0.01,-5.31,1.0,0.35,
XDET1,TNS3,TNS3,4|7,11,5.5,2,14|14,0.0,0.0,0.0,0.0,0.0,-49.44,0.39,0.57,
XDET1,PPP1R9B,PPP1R9B,1|0,1,0.5,2,11|10,0.0,0.0,0.0,0.0,0.0,-46.87,0.05,0.57,
XDET1,DPYSL4,DPYSL4,23|25,48,24.0,2,18|12,0.0,0.0,0.0,0.0,0.0,-21.49,1.6,0.49,
XDET1,DPYSL2,DPYSL2,34|40,74,37.0,2,48|45,0.0,0.0,0.0,0.0,0.0,-117.88,0.8,0.57,
XDET1,DPYSL3,DPYSL3,12|17,29,14.5,2,36|29,0.0,0.0,0.0,0.0,0.0,-106.57,0.45,0.57,
XDET1,NUDT2,NUDT2,2|2,4,2.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-19.17,0.36,0.57,
XDET1,NUDT5,NUDT5,11|10,21,10.5,2,14|21,0.0,0.0,0.0,0.0,0.0,-50.37,0.6,0.57,
XDET1,TK1,TK1,0|1,1,0.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-9.39,0.25,0.57,
XDET1,ARGLU1,ARGLU1,3|2,5,2.5,2,0|0,0.95,0.99,0.95,0.99,0.95,2.37,25.0,0.01,
XDET1,PHLDB1,PHLDB1,6|6,12,6.0,2,2|2,0.39,0.39,0.39,0.39,0.39,-0.46,3.0,0.17,
XDET1,EPS8L2,EPS8L2,4|2,6,3.0,2,11|9,0.0,0.0,0.0,0.0,0.0,-37.9,0.3,0.57,
