,Bait,Prey Gene,Saint Score,log2FC
0,DET1,HIST1H4A,0.0,-0.4941090702700427
1,DET1,HSPA5,0.0,-0.7612131404128835
2,DET1,HSPA4,0.0,0.34482849699744117
3,DET1,HSPA9,0.0,-1.5994620704162712
4,DET1,SSFA2,0.0,-2.0
5,DET1,COPRS,0.0,-1.5994620704162712
6,DET1,DHX8,0.0,-1.5994620704162712
7,DET1,DHX9,0.0,-5.058893689053568
8,DET1,HSPA8,0.0,1.0908534304511135
9,DET1,NUP98,0.0,-5.643856189774724
10,DET1,PPP2R2A,1.0,5.643856189774724
11,DET1,CEP85,0.46,3.9068905956085187
12,DET1,ANKRD20A12P,0.0,-1.0
13,DET1,ACLY,0.0,-3.0588936890535687
14,DET1,ALDH3A2,0.0,0.0
15,DET1,KIAA1279,0.99,3.807354922057604
16,DET1,GTF3C5,0.0,-3.0588936890535687
17,DET1,SWAP70,0.0,-0.8365012677171204
18,DET1,CSDE1,0.0,-0.2688167584278
19,DET1,TIPRL,0.0,-0.5563933485243853
20,DET1,TMEM263,0.5,4.643856189774724
21,DET1,EPS15L1,0.0,-2.0588936890535687
22,DET1,ANAPC1,0.0,-2.473931188332412
23,DET1,GART,0.0,-2.321928094887362
24,DET1,ZEB1,0.17,1.584962500721156
25,DET1,GARS,0.0,-1.3219280948873622
26,DET1,RPS6KA1,0.0,-3.321928094887362
27,DET1,PPID,0.31,1.3561438102252754
28,DET1,HLCS,0.49,1.304511041809953
29,DET1,PSMD12,0.0,-2.0
30,DET1,SERBP1,0.0,-1.1202942337177118
31,DET1,NUP133,0.0,-5.058893689053568
32,DET1,VAPB,0.0,-2.321928094887362
33,DET1,VAPA,0.0,-2.5563933485243853
34,DET1,SHROOM2,0.0,-3.0588936890535687
35,DET1,IGF2R,0.0,-5.643856189774724
36,DET1,ARF3,0.0,-0.6896598793878495
37,DET1,PLRG1,0.0,-4.643856189774724
38,DET1,AP3D1,0.0,-2.643856189774725
39,DET1,TUBB2B,0.47,2.0
40,DET1,SZT2,0.0,-1.4739311883324124
41,DET1,CALB2,0.0,-2.8365012677171206
