,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.284,0.181
1,PSMA2,0.545,0.295
2,BAG6;BAT3,0.399,0.111
3,TAF15,-0.114,0.461
4,TXNRD1,0.21,0.305
5,HMOX2,-0.006,0.983
6,EIF2B4,-0.742,0.275
7,KHSRP,0.109,0.466
8,HNRNPDL,-0.45,0.052
9,RNPEP,0.563,0.405
10,CTNNBL1,-0.002,0.986
11,HNRNPDL,-0.365,0.068
12,EIF5B,0.982,0.113
13,BSG,0.117,0.526
14,ADRM1,-0.178,0.36
15,SPTBN1,-0.377,0.077
16,MTHFD1L,-0.056,0.657
17,KIF1B;KIF1Bbeta,-0.835,0.141
18,TRAPPC3,-0.334,0.094
19,TPM3,0.003,0.982
20,TARDBP;TDP43,-0.408,0.051
21,RPL17;RPL17-C18orf32,0.283,0.144
22,ITGB6,0.161,0.307
23,AP2M1,0.253,0.454
24,SBDS,-0.03,0.933
25,HYOU1,-0.227,0.155
26,ACOT1;ACOT2,-0.488,0.036
27,STAU1,0.053,0.885
28,PSME2,0.24,0.531
29,AP2B1,-0.269,0.344
30,GPS1,-0.621,0.061
31,NSA2,-0.073,0.867
32,HNRNPUL1,-0.527,0.048
33,NOLC1,0.424,0.066
34,NOL6,-0.411,0.03
35,PRDX1,-0.001,0.993
36,DDX42,0.035,0.936
37,NUP214,0.482,0.386
38,SMARCA4,2.648,0.001
39,IVD,-0.153,0.256
40,ILK,-0.143,0.498
41,ELOVL5,-0.378,0.049
42,FKBP8,-0.286,0.418
43,TTN,-1.153,0.535
44,TMED7;TMED7-TICAM2,0.031,0.833
45,NAA15,-0.21,0.167
46,SRSF7,-0.222,0.182
47,TCEB2,-0.223,0.165
48,RPS15,0.167,0.693
49,TPT1,0.472,0.133
50,PWP2,0.033,0.798
51,SET;SETSIP,-0.151,0.385
52,RPSA,0.094,0.504
53,DDX46,-0.141,0.556
54,CHD4,-0.186,0.23
55,DDOST,-0.189,0.231
56,DDX3X;DDX3Y,-0.177,0.226
57,SPTAN1,0.023,0.942
58,HSPA1A;HSPA1B,0.816,0.019
59,CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,0.814,0.128
60,PUF60,0.423,0.246
61,MATR3,-0.192,0.265
62,PACSIN2,-0.174,0.573
63,HLA-A,-0.861,0.002
64,ALDH7A1,-0.268,0.303
65,CTSD,-0.962,0.001
66,DNAH10,-1.339,0.341
67,DPYSL2,-0.436,0.268
68,MAPK15,0.104,0.452
69,SFXN3,-0.148,0.395
70,ARPC1A,-0.412,0.044
71,ME2,0.071,0.699
72,BCLAF1,-0.286,0.311
73,DDX17,-0.645,0.049
74,GCSH,0.416,0.085
75,PHGDH,-0.178,0.534
76,PPT1,-0.897,0.002
77,OPA1,0.407,0.076
78,CD9,-0.36,0.164
79,SMARCE1,0.146,0.78
80,CTNNB1,-0.24,0.228
81,POLR1C,0.113,0.902
82,TPM4,0.053,0.692
83,RPS14,-0.067,0.594
84,RPS24,0.184,0.22
85,HSD17B4,-0.731,0.016
86,CSNK2A1;CSNK2A3,-0.071,0.689
87,TPP1,-1.242,0.001
88,EEF1A2,0.04,0.862
89,CD59,-0.354,0.058
90,MTHFD1,-0.017,0.894
91,TCOF1,0.562,0.047
92,COPA,0.08,0.714
93,NDUFA9,0.983,0.002
94,RPL29,-0.007,0.969
95,ABCD3,-0.089,0.612
96,THRAP3,-0.024,0.881
97,MCM4,-0.463,0.034
98,NHP2L1,-0.354,0.124
99,GLA,-0.697,0.008
100,C11orf98,0.069,0.662
101,DEK,-0.014,0.947
102,EBP,0.027,0.875
103,NOP56,0.033,0.821
104,LBR,-0.319,0.087
105,FKBP2,-0.348,0.077
106,A0A590UJ49,-0.355,0.046
107,SRSF6,-0.382,0.031
108,AIMP1,0.357,0.258
109,SACM1L,0.238,0.133
110,PQBP1,0.169,0.255
111,MRPL2,0.397,0.123
112,MLH1,-0.186,0.406
113,CTNND1,-1.292,0.001
114,USP7,0.425,0.193
115,ILVBL,-0.077,0.621
116,ACO2,-0.155,0.261
117,PRNP,0.442,0.09
118,HCFC1,-0.492,0.075
119,USP14,0.277,0.162
120,CRYZ,0.089,0.687
121,PRAF2,-0.897,0.003
122,EPB41L3,0.368,0.202
123,SUMO2;SUMO3;SUMO4,-0.606,0.01
124,RPL23A,0.156,0.298
125,UBE2I,1.217,0.241
126,ERLIN1;ERLIN2,0.07,0.653
127,MPST,0.249,0.152
128,MRPL43,-0.219,0.266
129,PRPS1;PRPS1L1,0.278,0.25
130,PABPC4,0.228,0.234
131,HNRNPC,-0.271,0.095
132,CNN2,-0.685,0.018
133,CS,0.094,0.523
134,MRPL12,0.427,0.02
135,FXR1,-0.267,0.21
136,DERL1,-0.082,0.638
137,PES1,0.066,0.701
138,SEPT2,-0.467,0.064
139,RAN,-0.158,0.28
140,SEPT10,-0.072,0.818
141,UQCRB,1.433,0.059
142,DDX27,0.254,0.282
143,ACADM,0.046,0.811
144,SUMO1,-0.195,0.253
145,PTMA,0.02,0.936
146,HIBCH,-1.421,0.092
147,IMMT,0.375,0.034
148,SMARCD2,0.004,0.986
149,DISC1;TSNAX,0.072,0.721
150,SRI,0.745,0.171
151,POLR2B,0.56,0.012
