Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XDTL,HIST1H4A,HIST1H4A,0|10,10,5.0,2,7|7,0.0,0.0,0.0,0.0,0.0,-31.42,0.71,0.64,
XDTL,HSPA5,HSPA5,0|2,2,1.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-136.45,0.03,0.67,
XDTL,HSPA9,HSPA9,0|2,2,1.0,2,1|2,0.01,0.01,0.01,0.01,0.01,-7.53,0.67,0.61,
XDTL,DHX9,DHX9,0|2,2,1.0,2,66|59,0.0,0.0,0.0,0.0,0.0,-280.09,0.02,0.67,
XDTL,HSPA8,HSPA8,3|18,21,10.5,2,44|52,0.0,0.0,0.0,0.0,0.0,-200.94,0.22,0.67,
XDTL,TCOF1,TCOF1,0|3,3,1.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-11.75,0.6,0.63,
XDTL,NOP2,NOP2,0|1,1,0.5,2,18|17,0.0,0.0,0.0,0.0,0.0,-78.23,0.03,0.67,
XDTL,TOP1,TOP1,0|1,1,0.5,2,3|1,0.0,0.0,0.0,0.0,0.0,-9.52,0.25,0.67,
XDTL,NFRKB,NFRKB,0|1,1,0.5,2,3|2,0.0,0.0,0.0,0.0,0.0,-11.75,0.2,0.67,
XDTL,EEF1A1,EEF1A1,1|13,14,7.0,2,37|49,0.0,0.0,0.0,0.0,0.0,-187.21,0.16,0.67,
XDTL,HMGB1,HMGB1,0|3,3,1.5,2,6|7,0.0,0.0,0.0,0.0,0.0,-29.24,0.23,0.67,
XDTL,NOLC1,NOLC1,1|1,2,1.0,2,8|9,0.0,0.0,0.0,0.0,0.0,-34.56,0.12,0.67,
XDTL,PNN,PNN,1|3,4,2.0,2,17|16,0.0,0.0,0.0,0.0,0.0,-69.56,0.12,0.67,
XDTL,ESRP2,ESRP2,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.33,0.5,0.67,
XDTL,THOC2,THOC2,0|1,1,0.5,2,27|31,0.0,0.0,0.0,0.0,0.0,-129.72,0.02,0.67,
XDTL,KHDRBS1,KHDRBS1,0|5,5,2.5,2,1|2,0.22,0.44,0.22,0.44,0.22,-7.53,1.67,0.48,
XDTL,SUB1,SUB1,0|10,10,5.0,2,10|8,0.0,0.0,0.0,0.0,0.0,-40.3,0.56,0.66,
XDTL,ARGLU1,ARGLU1,0|3,3,1.5,2,0|0,0.49,0.98,0.49,0.98,0.49,-2.29,15.0,0.39,
