,Gene Name,log2(Fold change),P-value
0,CDC2;CDK1,-0.707,0.003
1,HDLBP,-0.086,0.6
2,PSMA2,-0.206,0.16
3,BAG6;BAT3,0.134,0.367
4,TXNRD1,0.301,0.13
5,HMOX2,-0.021,0.934
6,EIF2B4,-0.642,0.31
7,NDUFS7,0.417,0.042
8,KHSRP,-0.147,0.279
9,PABPC1,-0.105,0.502
10,PYCR2,-0.23,0.333
11,POLA1,0.301,0.092
12,CTNNBL1,-0.049,0.736
13,SPCS2,-0.143,0.396
14,HNRNPDL,-0.227,0.201
15,EIF5B,-0.153,0.286
16,ADRM1,-0.103,0.449
17,SPTBN1,-0.185,0.322
18,MTHFD1L,-0.425,0.093
19,POLD2,0.225,0.563
20,TRAPPC3,-0.188,0.259
21,TPM3,-0.024,0.849
22,TARDBP;TDP43,-0.234,0.204
23,RPL17;RPL17-C18orf32,0.143,0.418
24,ITGB6,0.238,0.234
25,TNNI2,-0.481,0.057
26,VTA1,-0.333,0.108
27,AP2M1,-0.061,0.798
28,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-1.094,0.005
29,MYO15A,0.49,0.297
30,UGP2,-0.082,0.576
31,PTGES3,-0.195,0.193
32,EIF3H,-0.081,0.584
33,SBDS,0.083,0.615
34,HYOU1,-0.032,0.844
35,ACOT1;ACOT2,-0.421,0.047
36,NOMO2;NOMO1;NOMO3,-0.661,0.185
37,SEPT8,-0.216,0.394
38,STAU1,0.33,0.259
39,PSME2,0.145,0.424
40,AP2B1,-0.065,0.744
41,BSG,-0.021,0.887
42,MRPL45,-0.086,0.854
43,DDX1,-0.146,0.298
44,GPS1,-0.608,0.027
45,WDR18,-0.984,0.093
46,HNRNPUL1,-0.699,0.037
47,EPB41L3,0.533,0.062
48,PCMT1,0.266,0.247
49,NOLC1,0.017,0.932
50,ABI1,-0.352,0.117
51,HADH,-0.526,0.23
52,PRDX1,0.019,0.884
53,PLS3,-0.175,0.273
54,NUP214,0.088,0.601
55,PITPNB,-0.053,0.857
56,PPP1R8,-0.964,0.002
57,SMARCA4;SMARCA2,2.678,0.0
58,IVD,0.007,0.957
59,ILK,-0.102,0.605
60,ELOVL5,-0.033,0.816
61,FKBP8,-0.511,0.125
62,ADSL,0.263,0.127
63,TMED7;TMED7-TICAM2,0.195,0.235
64,LUC7L2,-0.434,0.021
65,NAA15,-0.042,0.751
66,SRSF7,-0.153,0.454
67,TCEB2,-0.055,0.71
68,RPS15,0.056,0.881
69,TPT1,0.076,0.759
70,PWP2,-0.038,0.809
71,CYP51A1,-1.036,0.007
72,GSTZ1,0.3,0.513
73,SET;SETSIP,-0.458,0.037
74,RPSA,0.22,0.196
75,SYNE1,-0.502,0.025
76,HTRA2,0.572,0.033
77,DDX46,-0.061,0.692
78,CHD4,-0.288,0.137
79,CAPNS1,-0.064,0.629
80,DDOST,0.03,0.832
81,LAMTOR5,-0.796,0.003
82,TBL1XR1,-0.366,0.142
83,DDX3X;DDX3Y,-0.087,0.509
84,SPTAN1,0.304,0.263
85,DNM1;DNM2,-0.055,0.733
86,DIAPH1,2.609,0.001
87,HSPA1A;HSPA1B,-0.345,0.361
88,GBA,-1.395,0.002
89,SCRIB,-0.465,0.188
90,PUF60,0.107,0.639
91,MATR3,-0.333,0.045
92,HLA-A,-0.605,0.005
93,ALDH7A1,0.007,0.976
94,TJP2,-0.058,0.762
95,MAP2K2;MAP2K1,0.182,0.261
96,CTSD,-0.748,0.005
97,DPYSL2,-0.204,0.595
98,SFXN3,0.025,0.87
99,,-0.158,0.34
100,POLR2B,-0.197,0.264
101,SCARB2,-0.105,0.627
102,BCLAF1,-0.274,0.099
103,DDX17,-0.422,0.109
104,GCSH,0.278,0.287
105,PHGDH,0.002,0.992
106,RRM2,-0.887,0.012
107,PPT1,-0.86,0.001
108,CAMK2B;CAMK2G,-0.101,0.474
109,OPA1,0.13,0.373
110,CD9,-0.016,0.909
111,CTNNB1,0.08,0.583
112,POLR1C,2.055,0.008
113,TPM4,0.269,0.103
114,RPS14,-0.017,0.896
115,RPS24,0.321,0.073
116,PFKM,0.069,0.596
117,HSD17B4,-0.335,0.09
118,CSNK2A1;CSNK2A3,-0.439,0.088
119,RPL15,0.419,0.025
120,TPP1,-1.037,0.001
121,EEF1A2,0.136,0.549
122,CD59,-0.01,0.935
123,NDUFA6,0.343,0.089
124,MTHFD1,-0.121,0.443
125,CTPS1,0.635,0.018
126,MOGS,-0.151,0.414
