Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XEED,HIST1H4A,HIST1H4A,9|11,20,10.0,2,7|7,0.0,0.0,0.0,0.0,0.0,-14.03,1.43,0.6,
XEED,HSPA5,HSPA5,2|3,5,2.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-125.83,0.08,0.66,
XEED,NELFA,NELFA,4|2,6,3.0,2,5|13,0.0,0.0,0.0,0.0,0.0,-33.8,0.33,0.66,
XEED,NELFE,NELFE,9|10,19,9.5,2,25|24,0.0,0.0,0.0,0.0,0.0,-81.42,0.39,0.66,
XEED,ZC3H13,ZC3H13,7|3,10,5.0,2,0|0,0.99,1.0,0.99,1.0,0.99,3.55,50.0,0.0,
XEED,ZC3H14,ZC3H14,12|4,16,8.0,2,20|31,0.0,0.0,0.0,0.0,0.0,-98.86,0.31,0.66,
XEED,ZC3H18,ZC3H18,7|7,14,7.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-11.63,1.27,0.59,
XEED,DHX9,DHX9,22|13,35,17.5,2,67|59,0.0,0.0,0.0,0.0,0.0,-233.26,0.28,0.66,
XEED,HSPA8,HSPA8,19|23,42,21.0,2,44|51,0.0,0.0,0.0,0.0,0.0,-152.42,0.44,0.66,
XEED,TCOF1,TCOF1,55|30,85,42.5,2,3|3,1.0,1.0,1.0,1.0,1.0,24.03,14.17,0.0,
XEED,NSRP1,NSRP1,1|0,1,0.5,2,2|5,0.0,0.0,0.0,0.0,0.0,-16.59,0.14,0.66,
XEED,NUP98,NUP98,2|0,2,1.0,2,33|36,0.0,0.0,0.0,0.0,0.0,-154.93,0.03,0.66,
XEED,XPC,XPC,2|1,3,1.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-13.95,0.43,0.66,
XEED,PPP2R2A,PPP2R2A,6|4,10,5.0,2,0|0,1.0,1.0,1.0,1.0,1.0,5.29,50.0,0.0,
XEED,HNRNPDL,HNRNPDL,1|0,1,0.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-10.06,0.25,0.66,
XEED,PARP14,PARP14,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.27,1.0,0.66,
XEED,ANP32E,ANP32E,0|1,1,0.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-16.61,0.14,0.66,
XEED,PNISR,PNISR,0|2,2,1.0,2,2|5,0.0,0.0,0.0,0.0,0.0,-16.59,0.29,0.66,
XEED,NOP2,NOP2,22|11,33,16.5,2,18|18,0.0,0.0,0.0,0.0,0.0,-51.13,0.92,0.64,
XEED,GTF3C1,GTF3C1,10|2,12,6.0,2,25|20,0.0,0.0,0.0,0.0,0.0,-92.8,0.27,0.66,
