,Bait,Prey Gene,Saint Score,log2FC
0,EED,HIST1H4A,0.0,0.516
1,EED,HSPA5,0.0,-3.644
2,EED,NELFA,0.0,-1.599
3,EED,NELFE,0.0,-1.358
4,EED,ZC3H13,0.99,5.644
5,EED,ZC3H14,0.0,-1.69
6,EED,ZC3H18,0.0,0.345
7,EED,DHX9,0.0,-1.837
8,EED,HSPA8,0.0,-1.184
9,EED,TCOF1,1.0,3.825
10,EED,NSRP1,0.0,-2.837
11,EED,NUP98,0.0,-5.059
12,EED,XPC,0.0,-1.218
13,EED,PPP2R2A,1.0,5.644
14,EED,HNRNPDL,0.0,-2.0
15,EED,PARP14,0.0,0.0
16,EED,ANP32E,0.0,-2.837
17,EED,PNISR,0.0,-1.786
18,EED,NOP2,0.0,-0.12
19,EED,GTF3C1,0.0,-1.889
20,EED,GTF3C4,0.0,-3.059
21,EED,ZNF451,0.0,-1.69
22,EED,TIPRL,0.0,-1.434
23,EED,GART,0.0,-4.059
24,EED,ANAPC4,0.0,-4.322
25,EED,RPS6KA1,0.0,-5.059
26,EED,HLCS,0.0,0.124
27,EED,SERBP1,0.0,-3.059
28,EED,EXOSC10,0.0,-3.059
29,EED,ARF3,0.0,-3.644
30,EED,PLRG1,0.0,-1.434
31,EED,ELMSAN1,0.0,-1.184
32,EED,SZT2,0.0,-2.837
33,EED,NOL8,0.0,-0.943
34,EED,CHTF18,0.0,-1.0
35,EED,NFRKB,0.01,0.263
36,EED,RLF,0.0,-0.415
37,EED,EEF1A1,0.0,-1.599
38,EED,HMGB1,0.0,-1.12
39,EED,MAGEA4,0.0,-2.396
40,EED,KIF4A,0.0,-2.644
41,EED,YLPM1,0.0,-1.286
42,EED,FIP1L1,0.0,-1.889
43,EED,NOLC1,0.0,-2.474
44,EED,RSF1,0.5,5.322
45,EED,SNW1,0.0,-0.667
46,EED,PNN,0.0,0.084
47,EED,WDR70,0.0,-0.971
48,EED,AHCTF1,0.0,0.848
49,EED,PRPF3,0.0,-1.515
50,EED,SIX4,0.0,-2.0
51,EED,LCOR,0.5,5.322
52,EED,SAGE1,0.02,0.585
53,EED,PCF11,0.0,-5.059
54,EED,COPG2,0.0,-4.644
55,EED,HDGF,0.0,-3.474
56,EED,THOC2,0.0,-1.059
57,EED,RFX1,0.0,-2.322
58,EED,UQCRC1,0.0,-1.0
59,EED,ADNP,0.0,-0.943
60,EED,KHDRBS1,0.0,-1.599
61,EED,MED1,0.0,-2.556
62,EED,SUB1,0.0,-1.358
63,EED,ZNF609,0.0,-1.059
64,EED,ARID2,0.5,4.322
65,EED,NUDT5,0.0,-3.184
66,EED,BOP1,0.42,3.322
67,EED,ARGLU1,0.92,4.907
