Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XERCC8,HIST1H4A,HIST1H4A,4|9,13,6.5,2,7|6,0.0,0.0,0.0,0.0,0.0,-20.11,1.0,0.62,
XERCC8,HSPA6,HSPA6,4|2,6,3.0,2,2|3,0.0,0.0,0.0,0.0,0.0,-8.62,1.2,0.55,
XERCC8,HSPA5,HSPA5,11|9,20,10.0,2,29|31,0.0,0.0,0.0,0.0,0.0,-104.54,0.33,0.65,
XERCC8,HSPA4,HSPA4,3|2,5,2.5,2,17|19,0.0,0.0,0.0,0.0,0.0,-73.4,0.14,0.65,
XERCC8,NELFA,NELFA,5|2,7,3.5,2,6|13,0.0,0.0,0.0,0.0,0.0,-36.41,0.37,0.65,
XERCC8,NELFE,NELFE,8|5,13,6.5,2,24|21,0.0,0.0,0.0,0.0,0.0,-83.62,0.29,0.65,
XERCC8,ZC3H15,ZC3H15,1|0,1,0.5,2,13|12,0.0,0.0,0.0,0.0,0.0,-56.74,0.04,0.65,
XERCC8,ZC3H14,ZC3H14,3|2,5,2.5,2,19|30,0.0,0.0,0.0,0.0,0.0,-101.55,0.1,0.65,
XERCC8,ZC3H18,ZC3H18,1|1,2,1.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-22.56,0.18,0.65,
XERCC8,DHX9,DHX9,12|4,16,8.0,2,70|58,0.0,0.0,0.0,0.0,0.0,-268.63,0.12,0.65,
XERCC8,HSPA8,HSPA8,58|38,96,48.0,2,43|52,0.0,0.0,0.0,0.0,0.0,-115.82,1.01,0.64,
XERCC8,TCOF1,TCOF1,17|7,24,12.0,2,3|3,0.52,1.0,0.52,1.0,0.52,-3.38,4.0,0.08,
XERCC8,HNRNPDL,HNRNPDL,1|0,1,0.5,2,2|1,0.0,0.0,0.0,0.0,0.0,-8.37,0.33,0.65,
XERCC8,MAZ,MAZ,1|0,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-6.16,0.5,0.65,
XERCC8,RAD54L2,RAD54L2,1|5,6,3.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-0.62,30.0,0.11,
XERCC8,ATXN2L,ATXN2L,3|1,4,2.0,2,47|43,0.0,0.0,0.0,0.0,0.0,-197.13,0.04,0.65,
XERCC8,ALDH3A2,ALDH3A2,3|0,3,1.5,2,5|3,0.0,0.0,0.0,0.0,0.0,-19.03,0.38,0.65,
