,Bait,Prey Gene,Saint Score,log2FC
0,ERCC8,HIST1H4A,0.0,0.0
1,ERCC8,HSPA6,0.0,0.2630344058337938
2,ERCC8,HSPA5,0.0,-1.5994620704162712
3,ERCC8,HSPA4,0.0,-2.8365012677171206
4,ERCC8,NELFA,0.0,-1.434402824145775
5,ERCC8,NELFE,0.0,-1.7858751946471527
6,ERCC8,ZC3H15,0.0,-4.643856189774724
7,ERCC8,ZC3H14,0.0,-3.321928094887362
8,ERCC8,ZC3H18,0.0,-2.473931188332412
9,ERCC8,DHX9,0.0,-3.0588936890535687
10,ERCC8,HSPA8,0.0,0.014355292977070055
11,ERCC8,TCOF1,0.52,2.0
12,ERCC8,HNRNPDL,0.0,-1.5994620704162712
13,ERCC8,MAZ,0.0,-1.0
14,ERCC8,RAD54L2,0.5,4.906890595608519
15,ERCC8,ATXN2L,0.0,-4.643856189774724
16,ERCC8,ALDH3A2,0.0,-1.3959286763311392
17,ERCC8,NOP2,0.0,-1.7858751946471527
18,ERCC8,GTF3C5,0.0,-3.0588936890535687
19,ERCC8,GTF3C4,0.0,-3.8365012677171206
20,ERCC8,SWAP70,0.0,-5.058893689053568
21,ERCC8,ZNF451,0.0,-2.321928094887362
22,ERCC8,CSDE1,0.0,-1.9434164716336324
23,ERCC8,TIPRL,0.0,-1.7858751946471527
24,ERCC8,TTN,0.0,0.0
25,ERCC8,EPS15L1,0.0,-5.643856189774724
26,ERCC8,RPS6KA1,0.0,-5.058893689053568
27,ERCC8,PPID,0.0,-2.1844245711374275
28,ERCC8,HLCS,0.0,-1.15200309344505
29,ERCC8,SERBP1,0.0,-2.643856189774725
30,ERCC8,EXOSC10,0.0,-2.9434164716336326
31,ERCC8,ARF3,0.0,-1.0
32,ERCC8,PLRG1,0.0,-4.643856189774724
33,ERCC8,ELMSAN1,0.0,-3.0588936890535687
34,ERCC8,SZT2,0.0,-1.7858751946471527
35,ERCC8,RAB11FIP5,0.0,-5.058893689053568
36,ERCC8,EEF1A1,0.0,-1.0
37,ERCC8,HMGB1,0.0,-3.643856189774725
38,ERCC8,MAGEA4,0.0,-0.7612131404128835
39,ERCC8,KIF4A,0.0,-5.058893689053568
40,ERCC8,YLPM1,0.0,-4.643856189774724
41,ERCC8,CDCA5,0.0,-1.0
42,ERCC8,NOLC1,0.0,-2.395928676331139
43,ERCC8,SNW1,0.0,-1.5994620704162712
44,ERCC8,PNN,0.0,-1.0892673380970874
45,ERCC8,WDR70,0.0,-1.736965594166206
46,ERCC8,PRPF3,0.0,-3.473931188332412
47,ERCC8,ESRP2,0.0,-1.0
48,ERCC8,COPG2,0.0,-2.736965594166206
49,ERCC8,THOC2,0.0,-2.8365012677171206
50,ERCC8,PAK2,0.0,-5.643856189774724
51,ERCC8,NUP88,0.0,-1.5994620704162712
52,ERCC8,ADNP,0.0,-1.736965594166206
53,ERCC8,COPS5,0.55,2.4594316186372973
54,ERCC8,MED1,0.0,-2.9434164716336326
55,ERCC8,SUB1,0.0,-1.8365012677171204
56,ERCC8,TNS1,0.0,0.0
57,ERCC8,DPYSL4,0.0,-3.0588936890535687
58,ERCC8,DPYSL2,0.0,-3.321928094887362
59,ERCC8,DPYSL3,0.0,-5.058893689053568
60,ERCC8,NUDT5,0.0,-2.8365012677171206
61,ERCC8,EPS8L2,0.0,-2.473931188332412
62,ERCC8,PFN2,0.0,0.5160151470036647
63,ERCC8,MEF2D,0.0,-3.0588936890535687
64,ERCC8,SSB,0.0,-5.058893689053568
65,ERCC8,MDN1,0.02,0.0
66,ERCC8,RPLP2,0.0,-1.7858751946471527
67,ERCC8,TPM3,0.0,-1.736965594166206
68,ERCC8,SNRPA1,0.0,-2.0
69,ERCC8,ETF1,0.0,-4.643856189774724
70,ERCC8,YKT6,0.0,-3.473931188332412
71,ERCC8,TJP1,0.0,-6.643856189774724
72,ERCC8,TCP1,1.0,3.584962500721156
73,ERCC8,SH3PXD2B,0.0,-4.321928094887363
74,ERCC8,SUGP1,0.0,-0.862496476250065
75,ERCC8,XAB2,0.0,-1.9434164716336324
76,ERCC8,TCEB3,0.0,-1.7858751946471527
77,ERCC8,PRDX6,0.0,-1.9434164716336324
78,ERCC8,DENND4C,0.0,-5.643856189774724
79,ERCC8,PRDX1,0.0,-0.16812275880832692
