,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.2909519441,0.0481682205397684
1,SERPINB6,-0.8348322515,0.000987175418793692
2,HDLBP,-0.1442008852,0.344806103453324
3,PSMA2,-0.1274078763,0.258332681282437
4,BAG6;BAT3,0.4384318617,0.0480534231340919
5,TAF15,-0.1845194641,0.19120210606494
6,TXNRD1,0.9079434681,0.00283813836173488
7,KHSRP,-0.3134351119,0.0222250401039256
8,PABPC1,0.0696953774,0.577380262758535
9,PYCR2,-0.7376986817,0.00843464477272026
10,HNRNPDL,0.0238564189,0.87713165191607
11,POLA1,0.3984594197,0.026935300229417
12,CTNNBL1,-0.6045989028,0.00247633399583093
13,HNRNPDL,-0.2458750837,0.0886921138228572
14,SLIRP,-0.2784720443,0.0558645502225683
15,EIF5B,0.1881804511,0.243222008454875
16,BSG,-0.1199049045,0.458114892708883
17,SPTBN1,-0.0957453359,0.599525836845087
18,HYOU1,-0.3659824918,0.0126679676929141
19,TRAPPC3,0.0619964439,0.538520317448709
20,TPM3,-0.0415007963,0.663519296871478
21,RPL17;RPL17-C18orf32,0.1682571852,0.285003865485375
22,ITGB6,0.0853013212,0.499187304160725
23,PSMB3,0.1713625613,0.291154267910987
24,VTA1,-0.2153239562,0.116020471324341
25,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.5960170516,0.00476432654422281
26,UGP2,-0.2087503238,0.0847759161400452
27,PTGES3,0.0969938128,0.398167421593915
28,EIF3H,-0.0545726753,0.633479449489821
29,SBDS,0.1849689126,0.107963713642043
30,SNX12,-0.7115849105,0.0104153676259844
31,ACOT1;ACOT2,-0.8742576086,0.00323448657153495
32,RELA,-0.7297717605,0.0110711995874128
33,PSME2,-0.3891812842,0.0154296192955518
34,SRSF3,0.0384930272,0.72528604842263
35,MRPL45,-0.1655735025,0.71107295045157
36,VDAC2,0.1761625486,0.161477491070333
37,GSTZ1,-0.0261776094,0.920042144965505
38,SNX6,-0.1586134933,0.355232547734655
39,PCMT1,-0.1700697154,0.33882447746436
40,NOLC1,0.0977862076,0.362201927222299
41,ABI1,-0.9469668454,0.00176046716617472
42,HADH,-0.6522159415,0.0590270985474973
43,PRDX1,0.1473965031,0.204080376245219
44,PLS3,-0.2034225339,0.281012287418094
45,PITPNB,-0.2292859919,0.255159235705489
46,IVD,-0.1235546292,0.240046755867238
