Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XFBXW5,HIST1H4A,HIST1H4A,1|3,4,2.0,2,7|7,0.0,0.0,0.0,0.0,0.0,-28.77,0.29,0.68,
XFBXW5,HSPA5,HSPA5,5|4,9,4.5,2,29|32,0.0,0.0,0.0,0.0,0.0,-121.03,0.15,0.68,
XFBXW5,HSPA4,HSPA4,10|16,26,13.0,2,19|22,0.0,0.0,0.0,0.0,0.0,-63.11,0.63,0.68,
XFBXW5,SSFA2,SSFA2,1|3,4,2.0,2,9|11,0.0,0.0,0.0,0.0,0.0,-41.74,0.2,0.68,
XFBXW5,DHX9,DHX9,4|3,7,3.5,2,67|61,0.0,0.0,0.0,0.0,0.0,-272.62,0.05,0.68,
XFBXW5,HSPA8,HSPA8,64|67,131,65.5,2,44|51,0.0,0.0,0.0,0.0,0.0,-77.55,1.38,0.68,
XFBXW5,PPP2R2A,PPP2R2A,5|11,16,8.0,2,0|0,1.0,1.0,1.0,1.0,1.0,6.82,80.0,0.0,
XFBXW5,ANKRD20A12P,ANKRD20A12P,0|1,1,0.5,2,1|3,0.0,0.0,0.0,0.0,0.0,-10.22,0.25,0.68,
XFBXW5,ATXN2L,ATXN2L,16|12,28,14.0,2,53|48,0.0,0.0,0.0,0.0,0.0,-182.91,0.28,0.68,
XFBXW5,ALDH3A2,ALDH3A2,1|2,3,1.5,2,6|6,0.0,0.0,0.0,0.0,0.0,-24.5,0.25,0.68,
XFBXW5,SWAP70,SWAP70,8|11,19,9.5,2,34|42,0.0,0.0,0.0,0.0,0.0,-141.02,0.25,0.68,
XFBXW5,XPO5,XPO5,2|0,2,1.0,2,1|1,0.02,0.04,0.02,0.04,0.02,-6.02,1.0,0.5,
XFBXW5,CSDE1,CSDE1,13|19,32,16.0,2,50|52,0.0,0.0,0.0,0.0,0.0,-182.25,0.31,0.68,
XFBXW5,HBS1L,HBS1L,2|1,3,1.5,2,20|22,0.0,0.0,0.0,0.0,0.0,-90.13,0.07,0.68,
XFBXW5,TIPRL,TIPRL,24|15,39,19.5,2,30|31,0.0,0.0,0.0,0.0,0.0,-92.57,0.64,0.68,
XFBXW5,EPS15L1,EPS15L1,1|1,2,1.0,2,37|38,0.0,0.0,0.0,0.0,0.0,-163.52,0.03,0.68,
XFBXW5,ANAPC1,ANAPC1,0|1,1,0.5,2,8|16,0.0,0.0,0.0,0.0,0.0,-53.97,0.04,0.68,
XFBXW5,GART,GART,0|3,3,1.5,2,18|15,0.0,0.0,0.0,0.0,0.0,-74.46,0.09,0.68,
XFBXW5,RPS6KA1,RPS6KA1,2|2,4,2.0,2,21|20,0.0,0.0,0.0,0.0,0.0,-84.19,0.1,0.68,
XFBXW5,PPID,PPID,9|12,21,10.5,2,3|6,0.08,0.15,0.08,0.15,0.08,-5.6,2.33,0.42,
XFBXW5,HLCS,HLCS,3|4,7,3.5,2,6|7,0.0,0.0,0.0,0.0,0.0,-21.88,0.54,0.68,
XFBXW5,SERBP1,SERBP1,2|9,11,5.5,2,39|53,0.0,0.0,0.0,0.0,0.0,-196.64,0.12,0.68,
XFBXW5,ARF3,ARF3,1|3,4,2.0,2,7|6,0.0,0.0,0.0,0.0,0.0,-26.66,0.31,0.68,
XFBXW5,CKS1B,CKS1B,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,-0.48,10.0,0.68,
XFBXW5,AP3D1,AP3D1,0|2,2,1.0,2,15|20,0.0,0.0,0.0,0.0,0.0,-78.93,0.06,0.68,
XFBXW5,EIF4B,EIF4B,14|11,25,12.5,2,34|37,0.0,0.0,0.0,0.0,0.0,-122.3,0.35,0.68,
XFBXW5,RAB11FIP5,RAB11FIP5,0|3,3,1.5,2,40|27,0.0,0.0,0.0,0.0,0.0,-150.25,0.04,0.68,
XFBXW5,CORO1C,CORO1C,2|3,5,2.5,2,16|14,0.0,0.0,0.0,0.0,0.0,-60.21,0.17,0.68,
XFBXW5,EEF1A1,EEF1A1,41|37,78,39.0,2,43|52,0.0,0.0,0.0,0.0,0.0,-117.34,0.82,0.68,
XFBXW5,MAGEA4,MAGEA4,2|4,6,3.0,2,9|8,0.0,0.0,0.0,0.0,0.0,-32.4,0.35,0.68,
XFBXW5,ARHGEF17,ARHGEF17,1|4,5,2.5,2,0|0,0.5,0.99,0.5,0.99,0.5,-0.48,25.0,0.13,
XFBXW5,RSF1,RSF1,1|2,3,1.5,2,0|0,0.41,0.83,0.41,0.83,0.41,-0.48,15.0,0.22,
XFBXW5,FGFR1OP,FGFR1OP,1|4,5,2.5,2,9|12,0.0,0.0,0.0,0.0,0.0,-43.93,0.24,0.68,
XFBXW5,ASPSCR1,ASPSCR1,0|1,1,0.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-16.76,0.14,0.68,
XFBXW5,FXR1,FXR1,0|3,3,1.5,2,15|12,0.0,0.0,0.0,0.0,0.0,-61.06,0.11,0.68,
XFBXW5,FXR2,FXR2,1|2,3,1.5,2,2|2,0.0,0.0,0.0,0.0,0.0,-8.12,0.75,0.68,
XFBXW5,COPG2,COPG2,13|23,36,18.0,2,92|75,0.0,0.0,0.0,0.0,0.0,-321.71,0.22,0.68,
