,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.412,0.048
1,HDLBP,-0.171,0.289
2,PSMA2,-0.056,0.795
3,BAG6;BAT3,-0.305,0.118
4,TAF15,-0.153,0.345
5,TXNRD1,0.227,0.231
6,HMOX2,0.005,0.971
7,KHSRP,0.061,0.678
8,HNRNPDL,-0.39,0.063
9,POLA1,0.382,0.049
10,CTNNBL1,-0.258,0.128
11,SPCS2,-0.132,0.344
12,HNRNPDL,-0.425,0.028
13,SLIRP,0.089,0.546
14,EIF5B,1.339,0.068
15,SPTBN1,-0.633,0.005
16,MTHFD1L,-0.213,0.149
17,POLR2E,-0.595,0.019
18,TPM3,0.004,0.978
19,RPL17;RPL17-C18orf32,0.609,0.02
20,ITGB6,0.032,0.835
21,PSMB3,0.176,0.321
22,VTA1,-0.533,0.192
23,AP2M1,-0.03,0.905
24,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.244,0.286
25,PTGES3,-0.253,0.107
26,EIF3H,-0.08,0.691
27,IDH3B,-0.991,0.004
28,NDUFB6,1.051,0.008
29,HYOU1,-0.266,0.238
30,ACOT1;ACOT2,-0.588,0.047
31,NOMO2;NOMO1;NOMO3,-0.677,0.188
32,PSME2,-0.174,0.548
33,BSG,-0.056,0.716
34,MRPL45,0.463,0.319
35,DDX1,0.102,0.449
36,GPS1,-0.228,0.292
37,C21orf33,-0.554,0.187
38,WDR18,-1.468,0.024
39,HNRNPUL1,-0.874,0.006
40,EPB41L3,0.48,0.033
41,PCMT1,-0.125,0.714
42,NOLC1,0.188,0.232
43,HADH,-0.305,0.291
44,PLS3,0.832,0.315
45,TAPBP,-0.296,0.166
46,SMARCA4;SMARCA2,0.582,0.077
47,IVD,-0.156,0.272
48,ILK,-0.269,0.214
49,ELOVL5,-0.512,0.016
50,TMED7;TMED7-TICAM2,-0.257,0.102
51,SRSF7,-0.308,0.124
52,TCEB2,-0.607,0.022
53,TPT1,-0.095,0.712
54,PWP2,-0.625,0.005
55,SET;SETSIP,-0.233,0.202
56,RPSA,0.303,0.08
57,HTRA2,0.092,0.755
58,DDX46,-0.043,0.755
59,CHD4,-0.431,0.026
60,CAPNS1,0.122,0.47
61,DDOST,-0.195,0.235
62,LAMTOR5,-1.371,0.009
63,DDX3X;DDX3Y,-0.316,0.057
64,TBL1XR1,-0.59,0.029
65,HSPA1A;HSPA1B,0.33,0.16
66,SCRIB,-0.476,0.15
67,PUF60,0.193,0.418
68,MATR3,-0.347,0.044
69,HLA-A,-1.078,0.0
70,ALDH7A1,-0.714,0.06
71,MAP2K2;MAP2K1,0.043,0.842
72,LRRK2,1.508,0.0
73,CTSD,-0.776,0.003
74,SFXN3,0.1,0.587
75,POLR2B,-0.661,0.014
76,DDX17,-0.458,0.086
77,GCSH,0.451,0.031
78,PHGDH,-0.315,0.251
79,PPT1,-0.496,0.014
80,CAMK2G;CAMK2B,0.246,0.166
81,OPA1,0.045,0.761
82,CD9,-0.133,0.435
83,SMARCE1,-0.125,0.521
84,CTNNB1,-0.199,0.198
85,POLR1C,0.444,0.575
86,TPM4,0.043,0.757
87,RPL5,0.703,0.018
88,PRPS1;PRPS1L1,0.238,0.177
89,RPS14,0.406,0.113
90,RPS24,0.551,0.009
91,HSD17B4,-0.827,0.008
92,CSNK2A1;CSNK2A3,-0.018,0.898
93,RPL15,0.599,0.013
94,SEC23B,-0.437,0.02
95,TPP1,-1.323,0.0
96,EEF1A2,0.22,0.368
97,CD59,-0.213,0.237
98,NDUFA6,-0.14,0.478
99,MTHFD1,0.081,0.575
100,CTPS1,0.558,0.027
101,CREG1,0.09,0.551
102,PPP1R12A,-0.191,0.349
103,MCM4,-0.682,0.009
104,RPL29,0.214,0.41
105,ABCD3,-0.136,0.466
106,THRAP3,-0.252,0.104
107,NHP2L1,-0.566,0.038
108,GLA,-0.796,0.002
109,C11orf98,-0.295,0.092
110,DEK,-0.029,0.831
111,EBP,0.237,0.211
112,FKBP2,-0.326,0.115
113,SRSF6,-0.212,0.172
114,SACM1L,-0.09,0.53
115,MRPL2,0.537,0.049
116,CTNND1,-1.023,0.002
117,USP7,-0.247,0.144
118,ILVBL,-0.174,0.291
119,ACO2,-0.002,0.99
120,STMN1,-0.244,0.207
121,HCFC1,-0.544,0.01
122,PIGK,-0.148,0.464
123,NUDT5,-0.114,0.493
124,USP14,0.017,0.913
125,CRYZ,-0.152,0.545
126,PRAF2,0.029,0.843
127,MANF,0.14,0.36
128,SUMO2;SUMO3;SUMO4,-0.814,0.004
129,RPL23A,0.788,0.019
130,EIF3L,0.014,0.921
131,UBE2I,-0.054,0.775
132,MPST,0.059,0.749
133,MCM5,-0.514,0.029
134,MRPL43,0.801,0.008
135,EXOSC1,0.536,0.019
136,PABPC4,0.211,0.217
137,HNRNPC,-0.205,0.183
138,CS,0.209,0.167
139,AKR1C2;AKR1C1;AKR1C3,-0.961,0.204
140,SLC25A10,-0.008,0.964
141,FXR1,-0.076,0.687
142,DERL1,-0.213,0.202
143,PES1,-0.261,0.155
144,SEPT10,-0.131,0.625
145,DDX27,-0.035,0.799
146,RANBP3,-0.279,0.094
147,ACADM,-0.273,0.175
148,SUMO1,-0.083,0.572
149,IMMT,0.273,0.083
150,SMARCD2,-0.798,0.004
151,GFM1,-0.918,0.404
152,C9orf172,0.478,0.373
