,Bait,Prey Gene,Saint Score,log2FC
0,FBXW8,HIST1H4A,0.0,-1.4739311883324124
1,FBXW8,HSPA5,0.0,-5.058893689053568
2,FBXW8,ZC3H14,0.0,-4.643856189774724
3,FBXW8,DHX9,0.0,-6.643856189774724
4,FBXW8,HSPA8,0.0,-0.6896598793878495
5,FBXW8,MAZ,0.0,-1.0
6,FBXW8,ATXN2L,0.0,-3.321928094887362
7,FBXW8,ALDH3A2,0.0,-3.473931188332412
8,FBXW8,SWAP70,0.0,-5.058893689053568
9,FBXW8,CSDE1,0.0,-2.8365012677171206
10,FBXW8,TIPRL,0.0,-1.736965594166206
11,FBXW8,RPS6KA1,0.0,-3.643856189774725
12,FBXW8,PPID,0.0,-3.1844245711374275
13,FBXW8,HLCS,0.0,-2.473931188332412
14,FBXW8,PSMD12,0.0,-3.0588936890535687
15,FBXW8,SERBP1,0.0,-3.321928094887362
16,FBXW8,EXOSC10,0.0,-6.643856189774724
17,FBXW8,PLRG1,0.0,-4.643856189774724
18,FBXW8,EEF1A1,0.0,-0.9159357352115255
19,FBXW8,YLPM1,0.0,-6.643856189774724
20,FBXW8,SNW1,0.0,-5.058893689053568
21,FBXW8,PNN,0.0,-3.0588936890535687
22,FBXW8,PRPF8,0.0,-4.058893689053568
23,FBXW8,COPG2,0.0,-2.643856189774725
24,FBXW8,ADNP,0.0,-5.058893689053568
25,FBXW8,SUB1,0.0,-3.1844245711374275
26,FBXW8,TNS2,0.0,-1.5994620704162712
27,FBXW8,PPP1R9B,0.0,-3.321928094887362
28,FBXW8,DPYSL4,0.0,-3.321928094887362
29,FBXW8,DPYSL2,0.0,-2.8365012677171206
30,FBXW8,DPYSL3,0.0,-3.0588936890535687
31,FBXW8,NUDT5,0.0,-3.643856189774725
32,FBXW8,EPS8L2,0.0,-4.058893689053568
33,FBXW8,PFN2,0.0,-1.7858751946471527
34,FBXW8,TMSB10,0.03,0.41142624572646497
35,FBXW8,ECD,0.0,-5.058893689053568
36,FBXW8,TPM3,0.0,-1.8889686876112561
37,FBXW8,TRIO,0.0,-4.643856189774724
38,FBXW8,YKT6,0.0,-4.643856189774724
39,FBXW8,TJP1,0.0,-6.643856189774724
40,FBXW8,TCP1,0.03,1.0496307677246004
41,FBXW8,SH3PXD2B,0.0,-4.321928094887363
42,FBXW8,SUGP1,0.0,-5.643856189774724
43,FBXW8,PRDX6,0.0,-1.2175914350726267
44,FBXW8,PRDX1,0.0,-0.9714308478032291
45,FBXW8,CCT6A,0.41,1.5310694927259543
46,FBXW8,CROCC,0.0,0.0
47,FBXW8,ZFR,0.0,-6.643856189774724
48,FBXW8,TXNDC9,0.0,-0.5777669993169522
49,FBXW8,DCD,0.47,4.321928094887363
50,FBXW8,CACNA1D,0.0,-3.643856189774725
51,FBXW8,DLGAP5,0.0,-5.058893689053568
52,FBXW8,EIF4ENIF1,0.0,-3.8365012677171206
53,FBXW8,TRIM25,0.0,-3.321928094887362
54,FBXW8,COIL,0.0,-4.058893689053568
55,FBXW8,NELFCD,0.0,-5.058893689053568
56,FBXW8,KIF5B,0.0,-5.058893689053568
57,FBXW8,GAPDH,0.0,-3.321928094887362
58,FBXW8,ABCF1,0.0,-4.643856189774724
59,FBXW8,USP47,0.0,-5.058893689053568
60,FBXW8,KPRP,0.72,4.321928094887363
61,FBXW8,NNMT,0.0,-1.0
62,FBXW8,BAG3,0.0,-2.1844245711374275
63,FBXW8,MYO1B,0.0,-3.8365012677171206
64,FBXW8,RPS8,0.0,-3.643856189774725
65,FBXW8,ARHGAP23,0.0,-1.5994620704162712
66,FBXW8,CTPS1,0.0,-2.8365012677171206
67,FBXW8,DSG1,0.44,2.584962500721156
68,FBXW8,LGALS1,0.38,2.584962500721156
69,FBXW8,HN1,0.0,-2.1202942337177118
70,FBXW8,KIAA1217,0.0,-5.643856189774724
71,FBXW8,KIAA1524,0.0,-5.643856189774724
72,FBXW8,NAP1L1,0.0,-3.321928094887362
73,FBXW8,NAP1L4,0.0,-2.643856189774725
74,FBXW8,KIAA1143,0.0,-3.1844245711374275
75,FBXW8,TAGLN,0.0,-2.395928676331139
76,FBXW8,PUF60,0.0,-3.8365012677171206
77,FBXW8,PLIN3,0.0,-2.473931188332412
78,FBXW8,ZYX,0.0,-6.643856189774724
79,FBXW8,SMAP1,0.0,-2.9434164716336326
80,FBXW8,CIAPIN1,0.0,-4.643856189774724
81,FBXW8,HSP90AB1,0.0,-0.7612131404128835
82,FBXW8,TWF1,0.0,-4.643856189774724
83,FBXW8,TWF2,0.0,-4.321928094887363
84,FBXW8,EEF1D,0.0,-1.6896598793878495
85,FBXW8,RPL4,0.0,-2.8365012677171206
86,FBXW8,CHD4,0.0,-5.643856189774724
87,FBXW8,CHD8,0.0,-4.643856189774724
88,FBXW8,CAP1,0.0,-4.321928094887363
89,FBXW8,SKIV2L,0.0,-1.3219280948873622
90,FBXW8,WARS,0.0,-5.058893689053568
91,FBXW8,VBP1,0.46,2.0
92,FBXW8,FAM120A,0.0,-4.643856189774724
93,FBXW8,NCOR2,0.0,-2.395928676331139
94,FBXW8,RPL6,0.0,-1.6896598793878495
95,FBXW8,GGA1,0.0,-1.5994620704162712
96,FBXW8,USO1,0.0,-5.058893689053568
97,FBXW8,HIST1H1E,0.27,1.6780719051126378
98,FBXW8,HIST1H1C,0.0,0.0
99,FBXW8,FHOD1,0.0,-6.643856189774724
100,FBXW8,TACC3,0.0,-5.058893689053568
101,FBXW8,MKI67,0.0,-5.643856189774724
102,FBXW8,ANKHD1,0.0,-5.643856189774724
103,FBXW8,HIST1H2AG,0.0,-0.8109661756099832
104,FBXW8,NACC1,0.0,-4.643856189774724
105,FBXW8,SIN3B,0.0,-6.643856189774724
106,FBXW8,SH3KBP1,0.0,-4.643856189774724
107,FBXW8,PGRMC2,0.0,-3.643856189774725
108,FBXW8,PCCA,0.0,0.11103131238874393
109,FBXW8,SLC4A1AP,0.0,-2.5563933485243853
110,FBXW8,DLG5,0.0,-6.643856189774724
111,FBXW8,FAM114A1,0.0,-5.058893689053568
112,FBXW8,METTL13,0.0,0.0
113,FBXW8,ZMYM4,0.0,-1.5994620704162712
114,FBXW8,OSBPL9,0.37,1.584962500721156
115,FBXW8,AKAP2,0.0,-6.643856189774724
116,FBXW8,GTF2F2,0.0,-4.643856189774724
117,FBXW8,EIF2A,0.0,-2.643856189774725
118,FBXW8,TANGO6,0.0,-5.643856189774724
119,FBXW8,TTC1,0.0,-3.473931188332412
120,FBXW8,STIP1,0.0,-1.15200309344505
121,FBXW8,WDR43,0.0,-2.5563933485243853
122,FBXW8,AHSA1,0.0,-5.643856189774724
123,FBXW8,DSP,1.0,5.906890595608519
124,FBXW8,ASAP1,0.0,-5.643856189774724
125,FBXW8,GLMN,0.0,0.0
126,FBXW8,PDAP1,0.0,-3.473931188332412
127,FBXW8,DNAJC7,0.0,-2.0
128,FBXW8,PHAX,0.0,-4.643856189774724
129,FBXW8,EEF1A2,0.0,-4.321928094887363
130,FBXW8,GEMIN5,0.0,-2.9434164716336326
131,FBXW8,CTTN,0.0,-2.1844245711374275
132,FBXW8,EIF4G2,0.0,-2.2515387669959646
133,FBXW8,ERC1,0.0,-5.058893689053568
134,FBXW8,LPIN2,0.97,5.321928094887363
135,FBXW8,LPIN1,0.0,-1.0
136,FBXW8,N4BP2,0.0,-4.643856189774724
137,FBXW8,RPL14,0.0,-1.3219280948873622
138,FBXW8,IFT172,0.0,-1.0
139,FBXW8,NCL,0.0,-5.058893689053568
140,FBXW8,GNL2,0.0,-2.321928094887362
141,FBXW8,RARS,0.0,-4.643856189774724
142,FBXW8,TPR,0.0,-3.1844245711374275
143,FBXW8,CCAR2,0.0,-5.058893689053568
144,FBXW8,COPB1,0.0,-4.643856189774724
145,FBXW8,TBC1D32,0.0,0.0
146,FBXW8,BRIP1,0.0,-3.643856189774725
147,FBXW8,DNAJB1,0.0,-4.058893689053568
148,FBXW8,ERCC6L,0.0,-5.058893689053568
149,FBXW8,CCZ1,0.0,-1.0
150,FBXW8,FANCM,0.0,1.0
