Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XGNB2,HIST1H4A,HIST1H4A,4|5,9,4.5,2,7|6,0.0,0.0,0.0,0.0,0.0,-18.7,0.69,0.54,
XGNB2,HSPA6,HSPA6,1|3,4,2.0,2,2|3,0.0,0.0,0.0,0.0,0.0,-8.85,0.8,0.37,
XGNB2,HSPA5,HSPA5,19|16,35,17.5,2,29|32,0.0,0.0,0.0,0.0,0.0,-89.23,0.57,0.54,
XGNB2,HSPA4,HSPA4,11|11,22,11.0,2,19|21,0.0,0.0,0.0,0.0,0.0,-57.82,0.55,0.54,
XGNB2,SSFA2,SSFA2,18|17,35,17.5,2,10|12,0.0,0.0,0.0,0.0,0.0,-15.6,1.59,0.43,
XGNB2,NELFE,NELFE,1|0,1,0.5,2,24|24,0.0,0.0,0.0,0.0,0.0,-106.74,0.02,0.54,
XGNB2,SPECC1,SPECC1,0|1,1,0.5,2,0|1,0.0,0.0,0.0,0.0,0.0,-3.16,1.0,0.54,
XGNB2,PIK3CA,PIK3CA,1|0,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-4.76,0.5,0.54,
XGNB2,CAMK4,CAMK4,2|3,5,2.5,2,5|7,0.0,0.0,0.0,0.0,0.0,-20.72,0.42,0.54,
XGNB2,ZC3H15,ZC3H15,5|4,9,4.5,2,14|11,0.0,0.0,0.0,0.0,0.0,-42.77,0.36,0.54,
XGNB2,ZC3H18,ZC3H18,0|1,1,0.5,2,5|6,0.0,0.0,0.0,0.0,0.0,-24.26,0.09,0.54,
XGNB2,ABCD3,ABCD3,2|2,4,2.0,2,16|18,0.0,0.0,0.0,0.0,0.0,-67.63,0.12,0.54,
XGNB2,DHX9,DHX9,14|16,30,15.0,2,69|59,0.0,0.0,0.0,0.0,0.0,-233.5,0.23,0.54,
XGNB2,HSPA8,HSPA8,68|67,135,67.5,2,43|52,0.0,0.0,0.0,0.0,0.0,-72.1,1.42,0.52,
XGNB2,TCOF1,TCOF1,4|1,5,2.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-12.84,0.71,0.38,
XGNB2,NUP98,NUP98,4|2,6,3.0,2,34|37,0.0,0.0,0.0,0.0,0.0,-149.05,0.08,0.54,
XGNB2,PPP2R2A,PPP2R2A,2|4,6,3.0,2,0|0,0.97,1.0,0.97,1.0,0.97,2.82,30.0,0.0,
XGNB2,CEP85,CEP85,14|10,24,12.0,2,0|0,1.0,1.0,1.0,1.0,1.0,16.02,120.0,0.0,
XGNB2,ANKRD20A12P,ANKRD20A12P,6|5,11,5.5,2,2|2,0.36,0.49,0.36,0.49,0.36,-1.28,2.75,0.16,
XGNB2,PARP12,PARP12,1|1,2,1.0,2,2|5,0.0,0.0,0.0,0.0,0.0,-12.82,0.29,0.54,
XGNB2,ACLY,ACLY,1|1,2,1.0,2,4|4,0.0,0.0,0.0,0.0,0.0,-14.83,0.25,0.54,
XGNB2,ALDH3A2,ALDH3A2,9|5,14,7.0,2,6|3,0.01,0.01,0.01,0.01,0.01,-9.88,1.56,0.34,
XGNB2,KIAA1279,KIAA1279,5|4,9,4.5,2,1|0,0.95,0.98,0.95,0.98,0.95,2.52,9.0,0.0,
XGNB2,EDC3,EDC3,2|2,4,2.0,2,2|3,0.0,0.0,0.0,0.0,0.0,-7.21,0.8,0.54,
XGNB2,GTF3C5,GTF3C5,8|8,16,8.0,2,13|12,0.0,0.0,0.0,0.0,0.0,-34.4,0.64,0.54,
XGNB2,GTF3C4,GTF3C4,4|1,5,2.5,2,14|17,0.0,0.0,0.0,0.0,0.0,-64.58,0.16,0.54,
XGNB2,SWAP70,SWAP70,23|20,43,21.5,2,34|39,0.0,0.0,0.0,0.0,0.0,-104.87,0.59,0.54,
XGNB2,XPO1,XPO1,7|7,14,7.0,2,5|11,0.0,0.0,0.0,0.0,0.0,-19.01,0.88,0.54,
XGNB2,CSDE1,CSDE1,44|37,81,40.5,2,48|52,0.0,0.0,0.0,0.0,0.0,-125.43,0.81,0.54,
XGNB2,XPO7,XPO7,1|1,2,1.0,2,0|0,0.0,0.0,0.0,0.0,0.0,0.79,10.0,0.54,
XGNB2,TIPRL,TIPRL,47|42,89,44.5,2,29|30,0.0,0.0,0.0,0.0,0.0,-44.71,1.51,0.49,
XGNB2,TTN,TTN,1|1,2,1.0,2,3|1,0.0,0.0,0.0,0.0,0.0,-6.85,0.5,0.54,
XGNB2,WAPAL,WAPAL,7|4,11,5.5,2,47|54,0.0,0.0,0.0,0.0,0.0,-207.5,0.11,0.54,
XGNB2,EPS15L1,EPS15L1,16|15,31,15.5,2,35|37,0.0,0.0,0.0,0.0,0.0,-113.5,0.43,0.54,
XGNB2,C2ORF44,C2ORF44,2|4,6,3.0,2,0|1,0.68,0.93,0.68,0.93,0.68,-0.22,6.0,0.03,
XGNB2,GART,GART,25|18,43,21.5,2,18|16,0.0,0.0,0.0,0.0,0.0,-35.09,1.26,0.46,
XGNB2,ANAPC4,ANAPC4,1|1,2,1.0,2,11|14,0.0,0.0,0.0,0.0,0.0,-51.4,0.08,0.54,
XGNB2,RPS6KA1,RPS6KA1,7|8,15,7.5,2,21|19,0.0,0.0,0.0,0.0,0.0,-66.51,0.38,0.54,
XGNB2,PPID,PPID,7|7,14,7.0,2,3|6,0.0,0.0,0.0,0.0,0.0,-7.05,1.56,0.38,
XGNB2,A8K968,EPB41L3,6|9,15,7.5,2,5|4,0.01,0.01,0.01,0.01,0.01,-8.45,1.67,0.33,
XGNB2,TP53I11,TP53I11,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.16,1.0,0.54,
XGNB2,HLCS,HLCS,8|5,13,6.5,2,6|7,0.0,0.0,0.0,0.0,0.0,-17.01,1.0,0.42,
XGNB2,PSMD12,PSMD12,5|5,10,5.0,2,6|2,0.0,0.0,0.0,0.0,0.0,-7.87,1.25,0.38,
XGNB2,SERBP1,SERBP1,11|12,23,11.5,2,37|50,0.0,0.0,0.0,0.0,0.0,-154.48,0.26,0.54,
XGNB2,NUP133,NUP133,4|4,8,4.0,2,11|20,0.0,0.0,0.0,0.0,0.0,-54.94,0.26,0.54,
XGNB2,VAPB,VAPB,2|4,6,3.0,2,7|8,0.0,0.0,0.0,0.0,0.0,-26.94,0.4,0.54,
XGNB2,SHROOM2,SHROOM2,0|2,2,1.0,2,13|14,0.0,0.0,0.0,0.0,0.0,-59.79,0.07,0.54,
XGNB2,SHROOM1,SHROOM1,0|1,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.16,1.0,0.54,
XGNB2,CYFIP1,CYFIP1,13|11,24,12.0,2,5|4,0.42,0.68,0.42,0.68,0.42,-1.73,2.67,0.16,
