,Bait,Prey Gene,Saint Score,log2FC
0,GNB2,HIST1H4A,0.0,-0.5353317329965557
1,GNB2,HSPA6,0.0,-0.3219280948873623
2,GNB2,HSPA5,0.0,-0.8109661756099832
3,GNB2,HSPA4,0.0,-0.862496476250065
4,GNB2,SSFA2,0.0,0.6690267655096307
5,GNB2,NELFE,0.0,-5.643856189774724
6,GNB2,SPECC1,0.0,0.0
7,GNB2,PIK3CA,0.0,-1.0
8,GNB2,CAMK4,0.0,-1.2515387669959646
9,GNB2,ZC3H15,0.0,-1.4739311883324124
10,GNB2,ZC3H18,0.0,-3.473931188332412
11,GNB2,ABCD3,0.0,-3.0588936890535687
12,GNB2,DHX9,0.0,-2.1202942337177118
13,GNB2,HSPA8,0.0,0.5058909297299573
14,GNB2,TCOF1,0.0,-0.4941090702700427
15,GNB2,NUP98,0.0,-3.643856189774725
16,GNB2,PPP2R2A,0.97,4.906890595608519
17,GNB2,CEP85,1.0,6.906890595608519
18,GNB2,ANKRD20A12P,0.36,1.4594316186372973
19,GNB2,PARP12,0.0,-1.7858751946471527
20,GNB2,ACLY,0.0,-2.0
21,GNB2,ALDH3A2,0.01,0.6415460290875237
22,GNB2,KIAA1279,0.95,3.169925001442312
23,GNB2,EDC3,0.0,-0.3219280948873623
24,GNB2,GTF3C5,0.0,-0.6438561897747246
25,GNB2,GTF3C4,0.0,-2.643856189774725
26,GNB2,SWAP70,0.0,-0.7612131404128835
27,GNB2,XPO1,0.0,-0.18442457113742744
28,GNB2,CSDE1,0.0,-0.3040061868900999
29,GNB2,XPO7,0.0,3.321928094887362
30,GNB2,TIPRL,0.0,0.5945485495503542
31,GNB2,TTN,0.0,-1.0
32,GNB2,WAPAL,0.0,-3.1844245711374275
33,GNB2,EPS15L1,0.0,-1.2175914350726267
34,GNB2,C2ORF44,0.68,2.584962500721156
35,GNB2,GART,0.0,0.3334237337251918
36,GNB2,ANAPC4,0.0,-3.643856189774725
37,GNB2,RPS6KA1,0.0,-1.3959286763311392
38,GNB2,PPID,0.0,0.6415460290875237
39,GNB2,EPB41L3,0.01,0.7398481026993275
40,GNB2,TP53I11,0.0,0.0
41,GNB2,HLCS,0.0,0.0
42,GNB2,PSMD12,0.0,0.32192809488736235
43,GNB2,SERBP1,0.0,-1.9434164716336324
44,GNB2,NUP133,0.0,-1.9434164716336324
45,GNB2,VAPB,0.0,-1.3219280948873622
46,GNB2,SHROOM2,0.0,-3.8365012677171206
47,GNB2,SHROOM1,0.0,0.0
48,GNB2,CYFIP1,0.42,1.4168397419128291
49,GNB2,EXOSC10,0.0,-6.643856189774724
50,GNB2,ABHD14B,0.28,1.0976107966264224
51,GNB2,ARF3,0.0,-0.4150374992788438
52,GNB2,MYO15B,0.0,-1.0
53,GNB2,AP3D1,0.0,-1.2175914350726267
54,GNB2,SZT2,0.0,-1.15200309344505
55,GNB2,RGPD3,0.0,0.0
56,GNB2,NOL9,0.0,3.321928094887362
57,GNB2,CHTF18,0.99,2.584962500721156
58,GNB2,NOL6,0.0,-1.0
59,GNB2,RAB11FIP1,0.0,-2.1844245711374275
60,GNB2,RAB11FIP5,0.0,-1.434402824145775
61,GNB2,CORO1C,0.0,-1.15200309344505
62,GNB2,ATP1A1,0.0,-2.0
63,GNB2,CUEDC2,0.0,-1.5994620704162712
64,GNB2,EEF1A1,0.0,1.1826922975161902
65,GNB2,SRBD1,0.0,1.0
66,GNB2,MAGEA4,0.0,0.3103401206121505
67,GNB2,NUP93,0.5,4.321928094887363
68,GNB2,FGFR1OP,0.0,-3.0588936890535687
69,GNB2,SNW1,0.0,-3.1844245711374275
70,GNB2,FAM171B,0.94,2.0
71,GNB2,PNN,0.0,-3.473931188332412
72,GNB2,WDR70,0.0,-5.643856189774724
73,GNB2,PCK2,1.0,6.965784284662087
74,GNB2,RPN2,0.47,3.9068905956085187
75,GNB2,NAP1L4,0.0,-1.6896598793878495
76,GNB2,PPP2R3A,0.0,-1.0588936890535685
77,GNB2,PRPF8,0.0,-3.0588936890535687
78,GNB2,PRPF3,0.0,-5.058893689053568
79,GNB2,ATG3,0.0,-1.6896598793878495
80,GNB2,HDAC9,0.0,-1.5994620704162712
81,GNB2,COPG2,0.0,-0.3959286763311392
82,GNB2,RELA,0.0,-2.8365012677171206
83,GNB2,PIP4K2A,0.0,-2.8365012677171206
84,GNB2,PIP4K2C,0.0,-3.643856189774725
85,GNB2,COPG1,1.0,4.247927513443585
86,GNB2,THOC2,0.0,-5.058893689053568
87,GNB2,APC,0.01,1.0
88,GNB2,MAVS,0.0,-1.8889686876112561
89,GNB2,UQCRC2,1.0,6.491853096329675
90,GNB2,PAK2,0.0,-1.5145731728297585
91,GNB2,KIF11,1.0,1.6415460290875237
92,GNB2,ADNP,0.0,-5.643856189774724
93,GNB2,COPS3,0.03,0.6780719051126377
94,GNB2,YTHDF2,0.0,0.6415460290875237
95,GNB2,YTHDF1,0.01,1.0
96,GNB2,ZNF598,0.0,-2.321928094887362
97,GNB2,CEP97,0.0,-1.7858751946471527
98,GNB2,SUB1,0.0,-3.1844245711374275
99,GNB2,TKT,0.18,1.0
100,GNB2,TNS3,0.0,0.48542682717024166
101,GNB2,TNS1,0.0,0.0
102,GNB2,PPP1R9B,0.0,-1.9434164716336324
103,GNB2,DPYSL4,0.0,0.2141248053528473
104,GNB2,DPYSL2,0.0,-0.5777669993169522
105,GNB2,DPYSL3,0.0,-0.3040061868900999
106,GNB2,DLD,0.97,4.643856189774724
107,GNB2,NUDT2,0.0,-2.473931188332412
108,GNB2,NUDT5,0.0,-0.888968687611256
109,GNB2,FASTKD5,0.47,3.9068905956085187
110,GNB2,TK1,1.0,2.643856189774725
111,GNB2,PHLDB1,0.01,0.0
112,GNB2,EPS8L2,0.0,-2.1844245711374275
113,GNB2,LARS,0.0,0.8953026213333067
114,GNB2,PPP5C,1.0,5.643856189774724
115,GNB2,KDM3B,0.0,-6.643856189774724
116,GNB2,TP53BP1,0.0,-5.643856189774724
117,GNB2,ATP5A1,1.0,3.560714954474479
118,GNB2,ERCC6L,0.0,0.5558161550616396
119,GNB2,PRKAA1,0.0,1.0
120,GNB2,RPLP2,0.05,1.0
121,GNB2,EIF2B4,0.87,3.0
122,GNB2,TP53BP2,0.0,-1.4739311883324124
123,GNB2,EIF2B2,0.0,-2.0
124,GNB2,TEX10,0.0,-4.643856189774724
125,GNB2,PRKAR2A,0.0,-2.0
126,GNB2,TMSB10,0.01,0.0
127,GNB2,ECD,0.0,-1.2515387669959646
128,GNB2,NUP62,0.0,-1.0
129,GNB2,TPM3,0.0,-0.6438561897747246
130,GNB2,SNRPA1,0.0,-2.736965594166206
131,GNB2,PRPF40A,0.0,-4.321928094887363
132,GNB2,ETF1,0.0,-1.0
133,GNB2,FAM21C,0.0,-4.321928094887363
134,GNB2,FAM21A,0.0,-1.7858751946471527
135,GNB2,SIPA1,0.0,-2.643856189774725
136,GNB2,PHACTR4,0.0,0.2387868595871165
137,GNB2,TRIO,0.0,-0.1360615495760284
138,GNB2,CASD1,0.0,0.0
139,GNB2,UGDH,0.75,2.584962500721156
140,GNB2,YKT6,0.0,-1.3584539709124763
141,GNB2,DDX19A,0.0,-0.20091269392599642
142,GNB2,RPS4X,0.99,3.700439718141092
143,GNB2,TJP2,0.0,-0.8365012677171204
144,GNB2,ATXN2L,0.0,-0.20091269392599642
145,GNB2,TJP1,0.0,-1.434402824145775
146,GNB2,TCP1,1.0,4.687060688339892
147,GNB2,SH3PXD2B,0.0,-1.3959286763311392
148,GNB2,SUGP1,0.0,-5.643856189774724
149,GNB2,FER1L4,0.0,-2.321928094887362
150,GNB2,EDC4,0.0,-1.736965594166206
151,GNB2,KTN1,0.02,1.2203299548795556
152,GNB2,PRDX6,0.0,0.722466024471091
153,GNB2,DENND4C,0.0,-1.3584539709124763
154,GNB2,PRDX3,0.01,0.48542682717024166
155,GNB2,PRDX2,0.99,5.129283016944966
156,GNB2,PRDX1,0.0,0.28688114778816154
157,GNB2,RABL6,0.0,-1.8889686876112561
158,GNB2,SMARCA5,0.0,-3.643856189774725
159,GNB2,CARS,0.0,-3.0588936890535687
160,GNB2,CCT6A,1.0,4.694880192799191
161,GNB2,RUFY1,0.47,3.321928094887362
162,GNB2,VCL,0.0,-2.2515387669959646
163,GNB2,OLA1,0.0,-1.0
164,GNB2,VASP,0.0,-1.7858751946471527
165,GNB2,PAPOLA,0.0,-3.8365012677171206
166,GNB2,MYH7B,0.0,-1.0
167,GNB2,SLC16A1,0.07,0.0
168,GNB2,NSUN2,1.0,2.114367024952
169,GNB2,TUBG1,1.0,5.906890595608519
170,GNB2,WIBG,0.0,-1.3219280948873622
171,GNB2,ARHGAP32,0.47,3.9068905956085187
172,GNB2,TARS,0.0,-1.8889686876112561
173,GNB2,TUFM,1.0,2.6622054996536164
174,GNB2,DYNLL1,0.5,4.321928094887363
175,GNB2,ZFR,0.0,-2.5563933485243853
176,GNB2,TIGAR,0.0,1.0
177,GNB2,CDR2L,0.0,-0.16812275880832692
178,GNB2,TXNDC9,1.0,2.584962500721156
179,GNB2,TXNDC5,0.5,4.643856189774724
