,Gene Name,log2(Fold change),P-value
0,HDLBP,-0.34,0.059
1,PSMA2,-0.157,0.539
2,BAG6;BAT3,0.344,0.09
3,TXNRD1,0.326,0.16
4,HMOX2,-0.299,0.174
5,NDUFS7,0.524,0.19
6,KHSRP,0.076,0.53
7,PYCR2,-0.117,0.424
8,HNRNPDL,-0.551,0.024
9,CTNNBL1,-0.276,0.08
10,GMPPA,-0.129,0.651
11,HNRNPDL,-0.03,0.832
12,SLIRP,-0.131,0.378
13,EIF5B,0.561,0.096
14,SPTBN1,-0.447,0.02
15,MTHFD1L,0.13,0.308
16,POLR2E,-0.469,0.047
17,NOMO2;NOMO1;NOMO3,0.06,0.861
18,TPM3,-0.053,0.689
19,TARDBP;TDP43,-0.255,0.201
20,RPL17;RPL17-C18orf32,0.249,0.168
21,ITGB6,0.057,0.673
22,VTA1,-0.001,0.997
23,AP2M1,0.2,0.404
24,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.415,0.03
25,POLD1,0.072,0.757
26,EIF3H,0.022,0.872
27,NDUFB6,0.187,0.178
28,SBDS,-0.056,0.705
29,HYOU1,-0.127,0.366
30,ACOT1;ACOT2,-0.16,0.364
31,RELA,-0.529,0.343
32,RAB18,-0.229,0.18
33,PSME2,0.038,0.781
34,BSG,0.004,0.979
35,MRPL45,0.848,0.109
36,GPS1,-0.53,0.091
37,WDR18,-0.856,0.283
38,NSA2,-0.552,0.059
39,GSTZ1,1.264,0.184
40,TTN,0.528,0.286
41,HNRNPUL1,-0.619,0.032
42,EPB41L3,0.143,0.583
43,NOLC1,0.313,0.159
44,HADH,0.073,0.827
45,DDX42,0.372,0.226
46,PLS3,0.738,0.219
47,TAPBP,-0.113,0.622
48,SMARCA4;SMARCA2,1.035,0.027
49,IVD,-0.018,0.879
50,ILK,-0.208,0.362
51,ELOVL5,-0.498,0.015
52,TMED7;TMED7-TICAM2,0.052,0.71
53,NAA15,-0.229,0.184
54,SRSF7,-0.208,0.168
55,TCEB2,-0.226,0.221
56,TPT1,-0.024,0.926
57,PWP2,-0.186,0.232
58,SET;SETSIP,-0.128,0.505
59,RPSA,0.093,0.506
60,DDX46,-0.004,0.976
61,ECI2,-1.113,0.038
62,CHD4,-0.103,0.432
63,DDOST,-0.163,0.279
64,DDX3X;DDX3Y,-0.319,0.062
65,TBL1XR1,-0.429,0.058
66,SPTAN1,0.074,0.761
