Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XGRWD1,HIST1H4A,HIST1H4A,8|5,13,6.5,2,7|7,0.0,0.0,0.0,0.0,0.0,-20.45,0.93,0.55,
XGRWD1,HSPA5,HSPA5,9|4,13,6.5,2,28|31,0.0,0.0,0.0,0.0,0.0,-117.04,0.22,0.6,
XGRWD1,HSPA4,HSPA4,2|2,4,2.0,2,21|20,0.0,0.0,0.0,0.0,0.0,-84.55,0.1,0.6,
XGRWD1,NELFA,NELFA,1|1,2,1.0,2,6|15,0.0,0.0,0.0,0.0,0.0,-43.75,0.1,0.6,
XGRWD1,NELFE,NELFE,0|1,1,0.5,2,24|23,0.0,0.0,0.0,0.0,0.0,-106.14,0.02,0.6,
XGRWD1,ZC3H14,ZC3H14,2|0,2,1.0,2,20|30,0.0,0.0,0.0,0.0,0.0,-112.61,0.04,0.6,
XGRWD1,DHX9,DHX9,5|5,10,5.0,2,69|58,0.0,0.0,0.0,0.0,0.0,-262.65,0.08,0.6,
XGRWD1,HSPA8,HSPA8,28|25,53,26.5,2,44|51,0.0,0.0,0.0,0.0,0.0,-139.89,0.56,0.6,
XGRWD1,TCOF1,TCOF1,5|7,12,6.0,2,2|3,0.07,0.12,0.07,0.12,0.07,-4.57,2.4,0.39,
XGRWD1,NOP2,NOP2,15|20,35,17.5,2,18|17,0.0,0.0,0.0,0.0,0.0,-42.93,1.0,0.57,
XGRWD1,SWAP70,SWAP70,6|6,12,6.0,2,31|39,0.0,0.0,0.0,0.0,0.0,-134.49,0.17,0.6,
XGRWD1,CSDE1,CSDE1,10|11,21,10.5,2,49|52,0.0,0.0,0.0,0.0,0.0,-189.06,0.21,0.6,
XGRWD1,HBS1L,HBS1L,1|0,1,0.5,2,16|21,0.0,0.0,0.0,0.0,0.0,-83.76,0.03,0.6,
XGRWD1,TIPRL,TIPRL,11|8,19,9.5,2,30|31,0.0,0.0,0.0,0.0,0.0,-109.5,0.31,0.6,
XGRWD1,TTN,TTN,1|2,3,1.5,2,0|0,0.38,0.77,0.38,0.77,0.38,-0.84,15.0,0.23,
XGRWD1,EPS15L1,EPS15L1,0|2,2,1.0,2,34|33,0.0,0.0,0.0,0.0,0.0,-150.96,0.03,0.6,
XGRWD1,ANAPC1,ANAPC1,2|0,2,1.0,2,7|14,0.0,0.0,0.0,0.0,0.0,-47.75,0.1,0.6,
XGRWD1,RPS6KA1,RPS6KA1,1|1,2,1.0,2,21|18,0.0,0.0,0.0,0.0,0.0,-83.86,0.05,0.6,
XGRWD1,PPID,PPID,1|0,1,0.5,2,3|6,0.0,0.0,0.0,0.0,0.0,-21.49,0.11,0.6,
XGRWD1,HLCS,HLCS,1|1,2,1.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-22.77,0.18,0.6,
XGRWD1,PSMD12,PSMD12,1|0,1,0.5,2,6|2,0.0,0.0,0.0,0.0,0.0,-19.01,0.12,0.6,
XGRWD1,SERBP1,SERBP1,6|11,17,8.5,2,34|50,0.0,0.0,0.0,0.0,0.0,-164.36,0.2,0.6,
