,Bait,Prey Gene,Saint Score,log2FC
0,GRWD1,HIST1H4A,0.0,-0.105
1,GRWD1,HSPA5,0.0,-2.184
2,GRWD1,HSPA4,0.0,-3.322
3,GRWD1,NELFA,0.0,-3.322
4,GRWD1,NELFE,0.0,-5.644
5,GRWD1,ZC3H14,0.0,-4.644
6,GRWD1,DHX9,0.0,-3.644
7,GRWD1,HSPA8,0.0,-0.837
8,GRWD1,TCOF1,0.07,1.263
9,GRWD1,NOP2,0.0,0.0
10,GRWD1,SWAP70,0.0,-2.556
11,GRWD1,CSDE1,0.0,-2.252
12,GRWD1,HBS1L,0.0,-5.059
13,GRWD1,TIPRL,0.0,-1.69
14,GRWD1,TTN,0.38,3.907
15,GRWD1,EPS15L1,0.0,-5.059
16,GRWD1,ANAPC1,0.0,-3.322
17,GRWD1,RPS6KA1,0.0,-4.322
18,GRWD1,PPID,0.0,-3.184
19,GRWD1,HLCS,0.0,-2.474
20,GRWD1,PSMD12,0.0,-3.059
21,GRWD1,SERBP1,0.0,-2.322
22,GRWD1,ARF3,0.0,-1.599
23,GRWD1,PLRG1,0.0,-3.837
24,GRWD1,ELMSAN1,0.0,-3.059
25,GRWD1,AP3D1,0.0,-4.059
26,GRWD1,NOL8,0.0,0.239
27,GRWD1,RAB11FIP1,0.0,-4.644
28,GRWD1,RAB11FIP5,0.0,-5.059
29,GRWD1,EEF1A1,0.0,-1.252
30,GRWD1,MAGEA4,0.0,-2.474
31,GRWD1,YLPM1,0.0,-5.644
32,GRWD1,NOLC1,0.0,-3.059
33,GRWD1,SNW1,0.0,-3.474
34,GRWD1,PNN,0.0,-2.184
35,GRWD1,WDR70,0.0,-3.184
36,GRWD1,AHCTF1,0.0,-1.644
37,GRWD1,PRPF3,0.0,-5.644
38,GRWD1,COPG2,0.0,-1.737
39,GRWD1,THOC2,0.0,-3.059
40,GRWD1,PAK2,0.0,-5.644
41,GRWD1,ADNP,0.0,-4.059
42,GRWD1,YTHDF1,0.0,-3.184
43,GRWD1,MED1,0.0,-5.059
44,GRWD1,SUB1,0.0,-2.184
45,GRWD1,ZNF608,0.38,3.907
46,GRWD1,DPYSL4,0.0,-2.12
47,GRWD1,DPYSL2,0.0,-1.396
48,GRWD1,DPYSL3,0.0,-2.943
49,GRWD1,NUDT5,0.0,-0.916
50,GRWD1,TK2,0.0,0.0
51,GRWD1,EPS8L2,0.0,-3.059
52,GRWD1,PFN2,0.0,-1.218
53,GRWD1,MEF2D,0.0,-4.644
54,GRWD1,SSB,0.0,-3.644
55,GRWD1,RPLP2,0.0,-0.811
56,GRWD1,EIF2B4,0.0,0.0
57,GRWD1,ECD,0.0,-5.059
58,GRWD1,NUP62,0.0,-3.184
59,GRWD1,SNRPA1,0.0,-2.396
60,GRWD1,PRPF40A,0.0,-4.322
61,GRWD1,ETF1,0.0,-1.69
62,GRWD1,FAM21C,0.0,-5.644
63,GRWD1,PHACTR4,0.0,-4.322
64,GRWD1,YKT6,0.0,-3.184
65,GRWD1,ATXN2L,0.0,-3.644
66,GRWD1,TJP1,0.0,-0.322
67,GRWD1,TCP1,1.0,1.975
68,GRWD1,SH3PXD2B,0.0,-1.943
69,GRWD1,SUGP1,0.0,-5.644
70,GRWD1,XAB2,0.0,-3.059
71,GRWD1,KTN1,0.0,-4.644
72,GRWD1,TCEB3,0.0,-3.322
73,GRWD1,PRDX6,0.0,-2.943
74,GRWD1,PRDX4,0.0,1.0
75,GRWD1,PRDX1,0.0,-1.252
76,GRWD1,SMARCA5,0.0,-5.059
77,GRWD1,CCDC168,0.0,-2.0
78,GRWD1,CCT6A,0.97,2.114
79,GRWD1,CDC5L,0.0,-5.059
80,GRWD1,CROCC,0.01,0.411
81,GRWD1,VCP,0.0,-2.322
82,GRWD1,PAPOLA,0.0,-2.184
83,GRWD1,PAPOLB,0.0,0.0
84,GRWD1,TUFM,0.0,-1.599
85,GRWD1,ZFR,0.0,-4.059
86,GRWD1,TXNDC9,0.0,-1.0
87,GRWD1,CALM2,0.0,-1.218
88,GRWD1,DNMT1,0.0,-2.322
89,GRWD1,TRIM28,0.0,-2.556
90,GRWD1,TRIM25,0.0,-2.474
91,GRWD1,SLC25A5,0.0,-2.644
92,GRWD1,BRD4,0.0,-3.837
93,GRWD1,COIL,0.0,-1.0
94,GRWD1,NELFCD,0.0,-3.837
95,GRWD1,PTPN12,0.0,-4.322
96,GRWD1,KIF5B,0.0,-3.837
97,GRWD1,ARCN1,0.0,-2.644
98,GRWD1,UTRN,0.0,-6.644
99,GRWD1,TMEM269,0.0,3.322
100,GRWD1,GAPDH,0.0,0.287
101,GRWD1,ARHGAP1,0.0,-4.322
102,GRWD1,PPM1B,0.0,-1.599
103,GRWD1,ABCF1,0.0,-3.837
104,GRWD1,RAPH1,0.0,-5.644
105,GRWD1,KPRP,0.5,4.644
106,GRWD1,SLC3A2,0.0,-6.644
