,Gene Name,log2(Fold change),P-value
0,SERPINB6,2.08311537492699,0.017285437784427
1,HDLBP,0.338411658481053,0.247095950448848
2,PSMA2,-0.515894490430437,0.0949887907128704
3,BAG6;BAT3,0.390296468824552,0.564123979788571
4,TAF15,0.385949899610441,0.416995136992532
5,TXNRD1,-0.745722240743412,0.0281204122905192
6,HMOX2,-0.891794750459184,0.240324164049361
7,EIF2B4,0.827742463505942,0.207991483083955
8,KHSRP,-0.894599669332052,0.0133131293026389
9,PYCR2,1.2373327506553,0.00471014568740604
10,HNRNPDL,0.378403657939053,0.293244824450013
11,MINOS1;MINOS1-NBL1,-19.5211101629059,2.05436057349927e-07
12,MRPL45,-0.299501603201822,0.42772306368583
13,POLA1,0.664095380204575,0.103928184131213
14,CTNNBL1,-2.32665332628674,0.000774553614092585
15,HNRNPDL,0.688655596613852,0.0691110943591573
16,SLIRP,0.653274836773889,0.0662328980589019
17,EIF5B,-1.01570230386845,0.00910225363056916
18,SPTBN1,0.421303682606226,0.235593885732051
19,MTHFD1L,0.154257573723584,0.642727930909708
20,POLR2E,-0.79189835041349,0.0653881946463926
21,SH3GLB1,19.8652849558318,7.6039347560704e-08
22,TPM3,-0.553492461801834,0.120243539149827
23,RPL17;RPL17-C18orf32,0.587555871511203,0.0619410729928207
24,VTA1,-0.868543182940591,0.0461984077709703
25,UBE2D3;UBE2D2;UBE2D4;UBE2D1,0.72634692654054,0.0480591768499787
26,UGP2,0.195035903929359,0.620265937328606
27,PTGES3,0.384733401552545,0.202022230254364
28,EIF3H,0.685176203580113,0.0823083044033473
29,SBDS,-1.42289649454498,0.0124160823048338
30,HYOU1,-0.434786986271263,0.577604936114175
31,SNX12,1.51537838095305,0.0302636187531683
32,ACOT1;ACOT2,-0.716544698643993,0.0442445848962583
33,SEPT8,-1.7777683717742,0.348634815254205
34,RAB18,-19.6595505081024,2.16362441698841e-07
35,CHTOP,20.7756884870196,1.30946255166501e-07
36,PSME2,-1.22645289482415,0.0214944114912185
37,BSG,-0.169282645839164,0.724527225230503
38,SRSF3,0.981386190638727,0.0244182984746318
39,DDX1,0.113450606814911,0.686664653248221
40,GPS1,-0.688688956966196,0.0610914537338372
41,VDAC2,0.269637069267091,0.388109626325607
42,GSTZ1,-0.58129338938496,0.205280486899986
43,HNRNPUL1,0.00929956067336235,0.988646129461669
44,PCMT1,-0.0846569094184311,0.799483183184306
45,NOLC1,0.592533815325552,0.223092107031802
46,ABI1,0.937072455597207,0.102012847076532
47,NOL6,-20.7049309237679,1.92194828281351e-07
48,EIF4G3,1.35885295391591,0.346454115532098
49,HADH,0.523947646305132,0.4299856940914
50,DDX42,1.27457826754091,0.00445337872892659
51,PLS3,-0.560153892231401,0.0669784486526428
52,PITPNB,-0.376422058407051,0.371634535314866
53,IVD,-0.959625394782854,0.0216071362830991
54,ILK,-0.730939015294297,0.512978056153703
55,CUL2,-1.02289131536586,0.37201775825159
56,ADSL,-1.35909323230039,0.0495556965263499
57,TMED7;TMED7-TICAM2,1.51082607905639,0.00614186155128156
58,LUC7L2,0.895857910478608,0.0128210469509848
59,NAA15,-0.111953261297579,0.906268431163264
60,SRSF7,2.90926250729378,0.000374500175922265
61,TCEB2,-2.07357970774234,0.000614251712968858
62,TPT1,0.605358727144171,0.12621197504444
63,SET;SETSIP,0.679827901976115,0.127328360946999
64,RPSA,0.448591873948786,0.0982256902212233
65,DDX46,-1.48363832872449,0.00286493041567205
66,TRPM5,23.166047587295,4.43821334304289e-08
67,CHD4,0.967394142681979,0.0407253377588235
68,CAPNS1,0.375813962266147,0.524627200347805
69,DDOST,-0.155063655635278,0.601881580885558
70,DDX3X;DDX3Y,0.751924726901379,0.0643480536978218
71,SPTAN1,1.84437267476859,0.0175706872609911
72,DNM2;DNM1,0.455863442102729,0.441563762698791
73,TATDN1,-0.219510996663956,0.373065011333481
74,DIAPH1,0.118824481341235,0.684337101884754
75,HSPA1A;HSPA1B,0.439096303158365,0.132083628190123
76,PSMB9,-0.909293811030974,0.0943238549709547
77,SSBP1,3.89105894724837,0.000149621702442133
78,PUF60,2.83943658083438,0.000455631676773799
79,MATR3,0.510646806842541,0.178469635310945
80,GNL1,0.243076503097502,0.445839236118184
81,HLA-A,-0.233267714531326,0.418711568938885
82,PRAMEF18;PRAMEF22;PRAMEF19,-18.615581232989,3.03457049085388e-07
83,ALDH7A1,0.0414124472228075,0.858166453616356
84,CTSD,-0.027464079506462,0.933067978238139
85,MVK,-20.0525746576875,5.36034831255415e-07
86,DPYSL2,-0.154074139638084,0.514425214821509
87,SFXN3,-2.49579996883266,0.00203992557363744
88,ARPC1A,0.133045487607749,0.890400770793073
89,ME2,-0.0271504493003718,0.938467855227472
90,BCLAF1,1.1246872740242,0.281634694276678
91,DDX17,-0.158913978638786,0.61660415630974
92,GCSH,0.503370765698303,0.328860913057952
93,CSTB,21.4251170945297,3.60711344505324e-07
94,PHGDH,0.294054010538357,0.285614860777307
95,RRM2,1.59346373364977,0.0987599369228812
96,PPT1,0.403169639352129,0.232813025901875
97,CAMK2G;CAMK2B;CAMK2A,1.15906446942818,0.0584889082437953
98,CD9,-0.777175504616107,0.269139383074919
99,SMARCE1,-18.8656059061902,2.40303972520149e-06
100,CTNNB1,-1.90182595837388,0.022704685834198
101,TNKS1BP1,19.3480036595976,2.1794377406631e-07
102,POLR1C,-1.76740736459587,0.0154523610992412
103,BCAP31,-2.37021168864599,0.00288376841449262
104,TBCE,-1.28816101615985,0.318154091888682
105,TPM4,0.222620640525911,0.351418582948085
106,ADNP,18.7611867425831,7.23837007981263e-05
107,RPS14,0.909406819504209,0.0129834471626738
108,RPS24,0.5476979729013,0.0583304030750904
109,PFKM,-1.23459344590467,0.00436882037335088
110,HSD17B4,0.0416464568962773,0.862190438319589
111,CSNK2A1;CSNK2A3,0.765902231583762,0.0967171591973655
112,SEC23B,-0.482443813626862,0.331207343663376
113,TPP1,0.682687309948985,0.0366743724418069
114,EEF1A2,-0.132671337712857,0.758474765142028
115,CD59,-2.85242343994816,0.00590870761087922
116,MTHFD1,-0.263139484266055,0.340023250888715
117,CTPS1,0.278454694854339,0.281839513832957
118,MOGS,0.385339558591106,0.70509223733287
119,HEBP1,-1.31845185488333,0.130776594885402
120,PPM1B;PPM1A,-21.1390157488073,3.45858764989915e-07
121,COPA,0.152860450934568,0.784036937683252
122,MCM4,-0.166110390135621,0.55945036317252
123,NUP98,0.0406004435461647,0.945993023630538
124,HNRNPL,0.62329402026543,0.169169610645582
125,RPL29,0.0555155938310037,0.819130462521638
126,THRAP3,-0.167249004212298,0.671301289720414
127,AMDHD2,-2.3000014221,0.00767706946514746
128,NHP2L1,1.23228969313769,0.00728446744341662
129,GLA,-19.8368031476174,5.4761076738482e-06
130,C11orf98,2.03725944304668,0.00207772881265103
131,DEK,1.71933574702892,0.114541878284896
132,SUCLG1,-1.43395991681167,0.00304310288516711
133,PGM3,0.239820633660848,0.717167739086686
134,CLUH,-0.871913937692373,0.356326699495541
135,NOP56,1.59103994364146,0.0388952013994316
136,LBR,-0.310236320785879,0.532862211629061
137,FKBP2,0.345097401559769,0.210029630046896
138,PREP,-19.1681934882973,1.10714920108362e-07
139,SRSF6,-0.331780253093878,0.213197457322779
140,NNT,-1.06300553039459,0.266346177741839
141,SAE1,-21.2187162742882,5.79986343785917e-07
142,AMPD2,-2.62019997427724,0.00551214265144916
143,ACAT1,-0.215382126843981,0.379592194682706
144,SACM1L,-19.759826321294,1.25782245726788e-06
145,MRPL2,-19.2490170126296,7.51940399885548e-08
146,MLH1,-19.4101847030399,7.07795928919655e-08
147,CTNND1,1.04646801151015,0.0429733666356445
148,STAT1,1.06676340092737,0.12064961920325
149,USP7,-1.98480947000637,0.0426823677805139
150,UBA6,0.0912118099932684,0.833810887496426
151,ACO2,-0.60398917164693,0.0629062831111533
152,PGP,-0.377606666067585,0.366825046807278
153,HCFC1,0.189733294825,0.539699144220808
154,NUDT5,0.132171455008656,0.612930478611683
155,USP14,-0.158339161394963,0.602273473837733
156,RNPEP,0.625361754380691,0.306949845671243
157,SUMO2;SUMO3;SUMO4,1.06125142358121,0.0165291403873527
158,RPL23A,0.64881037327245,0.103114523704692
159,EIF3L,-0.383408911887422,0.187859183865512
160,UBE2I,-0.233580637693986,0.347028702394656
161,CPNE1,0.0672519294050993,0.957723983128178
162,ERLIN1;ERLIN2,0.0558743084033928,0.906084369095599
163,FAM50A;FAM50B,20.9120255625286,1.18963271950219e-06
164,MPST,-0.135835556400863,0.83846173587757
165,MCM5,0.444676505583825,0.130773933924946
166,PSMD10,0.581407621160764,0.261824979650286
167,PEA15,1.71105037149017,0.123852260531444
168,MRPL43,-1.02830441892789,0.224707049030033
169,PRPS1;PRPS1L1,-0.229351884714504,0.631550381020598
170,GUK1,0.237985016838408,0.672624231520705
171,PABPC4,1.85387560158063,0.00874211263000468
172,HNRNPC,-0.232209632804139,0.364333420421436
173,PES1,1.04260301715257,0.0127971165505641
174,CNN2,0.77017043199092,0.0238178128573705
175,NDUFV1,0.898332102769022,0.0162273706754299
176,CS,-0.382821210853606,0.216569330299118
177,MRPL12,-0.132402884225055,0.845895946777654
178,NQO1,-1.52079739907995,0.0404825012728927
179,PTPN1,0.95379044848541,0.240052533456843
180,MTAP,-0.458799552789053,0.40785284404946
181,NME7,0.756765041359575,0.0663167404783835
182,FXR1,-0.65451821494819,0.0990708603097575
183,HS1BP3,0.257681741634869,0.578113178668299
184,BZW2,-0.277152692128727,0.724070347979847
185,CBX1,-1.4967971013105,0.115442839632247
186,RAN,-0.163262486419839,0.511829772305843
187,SEPT10,-0.404392903760936,0.245228550403486
188,CPA4,17.122917079282,1.8194156080338e-05
189,DDX27,1.19497195433997,0.00808531073809083
190,RANBP3,0.082576581677742,0.870735733177154
191,ACADM,-0.842010904649186,0.0547715810605162
192,GGCT,20.6087212023586,4.25864361574174e-05
193,SUMO1,-0.763638882297091,0.0363209553655181
194,PTMA,-2.5812484649101,0.000291472765530526
195,HIBCH,1.28517111441501,0.0924869628898737
196,IMMT,-0.145349500886326,0.767985414017192
197,GFM1,-0.68851457229475,0.240781120226886
198,BZW1,0.958980883835526,0.383616048006515
199,SRI,-0.791524489349445,0.0287401023751014
200,EEF1E1;EEF1E1-BLOC1S5,0.965727176604972,0.024758901935951
201,AARSD1;PTGES3L-AARSD1,20.3891677621522,6.62310952512734e-08
202,NIFK,20.6348321895077,7.28137807789097e-08
203,RAB7A,1.18249300790625,0.0436934908816171
204,ATP1B3,-0.762995061816284,0.490219209061649
205,RAB6A;RAB6B;RAB39A,-1.77808085057064,0.0140617327117515
206,RAB34,-1.05242989392584,0.0774334163640081
207,RBM28,19.145176171341,1.59147772766568e-07
208,CYCS,23.0448974515832,5.5707940693029e-08
209,APEH,-0.452481787239186,0.216179517731751
210,MRPS34,19.949398588616,3.17393889478514e-06
211,ATP5J2;ATP5J2-PTCD1,1.88233728482713,0.0316441822681014
212,POLR2H,1.62686531570041,0.00219081423747841
213,CCDC58,20.5630675502163,2.07281787814125e-07
214,DNAJB2,19.133754054593,2.83908355521091e-07
215,L2HGDH,-19.6477320846469,1.0877526814464e-06
216,RCC1,1.68122889868443,0.00799109536541029
217,SYPL1,20.5482733431541,8.34641745391594e-06
218,RPL22L1,2.59280370322876,0.0367456316025985
219,RFC4,-0.649697118276741,0.0614097319829484
220,RPL32,0.0637352827387652,0.783107459680892
221,HLA-B,-0.794989138657844,0.141558089440278
222,CAMK2D,-0.332603631091818,0.41231095040375
223,HNRNPAB,1.25130775211368,0.00421961251108931
224,DBN1,0.832507742500933,0.176206232144042
225,COPS4,0.424349079890419,0.128548877342325
226,EIF4E,1.83487070515499,0.0381604150706864
227,DCK,-19.7335739233599,2.88172069329097e-06
228,SEPT11,-0.956580965706326,0.0421384163622086
229,SEC31A,-2.45675613357332,0.0540740174615696
230,THOC3,0.74847922160588,0.292199434728786
231,PAIP1,-0.399971851728683,0.325544208047822
232,CIRBP,0.808836730421966,0.0232568968054198
233,NUDCD2,-2.17107041083061,0.000508798453863156
234,ATOX1,23.4567765365285,8.66996680413183e-08
235,LYPLA1,21.5082199501922,3.18222271852272e-07
236,PFDN1,-1.10368248393956,0.0857806604286312
237,TBCA,-2.05052216273706,0.00120399499502251
238,TCEB1,-0.763002204669615,0.0370220182154939
239,RPL30,-0.185602508222956,0.597417917180776
240,DNPEP,1.38215348970084,0.0110700311039784
241,RBM22,-0.450146976736299,0.281610781647925
242,COPS6,20.5864976440823,1.20484322477046e-06
243,SWAP70,-0.536746159247222,0.144397394371192
244,SQSTM1,-0.017086550025077,0.981792740085716
245,NPC2,21.401437408708,8.9217460656127e-08
246,AP1M1;AP1M2,-0.351040837877232,0.661642011750613
247,RPL14,3.61187627649113,0.00023083650201752
248,SEPT7,-0.226789255536271,0.42195448003308
249,PRRC2C,19.6461259869223,1.33654572357894e-07
250,MRPS25,0.460281964686715,0.422593795039839
251,NAA50,1.26712784220009,0.0124211532667938
252,MRPL3,-0.646240066737228,0.52206187904388
253,EIF4G1,-1.10121472890275,0.0454990154858394
254,MAP4,-0.0710486855983561,0.833886714970751
255,CSTF2,0.644907272282886,0.0654745024744978
256,EIF4B,1.83747475367812,0.017707692245183
257,CALD1,0.693105346114923,0.13066921632624
258,DCTN1,-1.02896164200489,0.0179385775007091
259,NACA,2.43614310272845,0.00121403125257531
260,RBBP7,1.29118074604909,0.00753189814339282
261,OGDH,-3.76571175108689,0.00552571798631173
262,HNRNPH1,2.25073971716223,0.00096635270610003
263,SMC4,-0.417921231376798,0.205751828063327
