Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XKATNB1,HIST1H4A,HIST1H4A,4|5,9,4.5,2,7|7,0.0,0.0,0.0,0.0,0.0,-21.82,0.64,0.6,
XKATNB1,HSPA5,HSPA5,7|5,12,6.0,2,29|31,0.0,0.0,0.0,0.0,0.0,-115.6,0.2,0.6,
XKATNB1,HSPA4,HSPA4,0|1,1,0.5,2,21|20,0.0,0.0,0.0,0.0,0.0,-92.31,0.02,0.6,
XKATNB1,HSPA9,HSPA9,2|1,3,1.5,2,1|2,0.0,0.01,0.0,0.01,0.0,-6.38,1.0,0.5,
XKATNB1,SSFA2,SSFA2,2|2,4,2.0,2,8|11,0.0,0.0,0.0,0.0,0.0,-36.58,0.21,0.6,
XKATNB1,ZC3H14,ZC3H14,0|3,3,1.5,2,18|30,0.0,0.0,0.0,0.0,0.0,-107.52,0.06,0.6,
XKATNB1,ABCD3,ABCD3,1|1,2,1.0,2,17|16,0.0,0.0,0.0,0.0,0.0,-70.21,0.06,0.6,
XKATNB1,DHX9,DHX9,2|2,4,2.0,2,66|58,0.0,0.0,0.0,0.0,0.0,-268.13,0.03,0.6,
XKATNB1,HSPA8,HSPA8,29|33,62,31.0,2,44|50,0.0,0.0,0.0,0.0,0.0,-129.64,0.66,0.6,
XKATNB1,NUP98,NUP98,1|0,1,0.5,2,34|36,0.0,0.0,0.0,0.0,0.0,-157.28,0.01,0.6,
XKATNB1,MAZ,MAZ,1|0,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.98,0.5,0.6,
XKATNB1,RAD54L2,RAD54L2,2|3,5,2.5,2,0|0,0.9,0.97,0.9,0.97,0.9,1.59,25.0,0.0,
XKATNB1,ATXN2L,ATXN2L,1|2,3,1.5,2,56|46,0.0,0.0,0.0,0.0,0.0,-223.76,0.03,0.6,
XKATNB1,NOP2,NOP2,0|1,1,0.5,2,18|17,0.0,0.0,0.0,0.0,0.0,-78.89,0.03,0.6,
XKATNB1,CSDE1,CSDE1,9|12,21,10.5,2,49|50,0.0,0.0,0.0,0.0,0.0,-187.38,0.21,0.6,
XKATNB1,TIPRL,TIPRL,2|2,4,2.0,2,30|30,0.0,0.0,0.0,0.0,0.0,-125.94,0.07,0.6,
XKATNB1,EPS15L1,EPS15L1,1|1,2,1.0,2,33|33,0.0,0.0,0.0,0.0,0.0,-143.41,0.03,0.6,
XKATNB1,GART,GART,0|1,1,0.5,2,18|15,0.0,0.0,0.0,0.0,0.0,-74.42,0.03,0.6,
XKATNB1,RPS6KA1,RPS6KA1,2|1,3,1.5,2,21|18,0.0,0.0,0.0,0.0,0.0,-83.46,0.08,0.6,
XKATNB1,PPID,PPID,0|1,1,0.5,2,3|6,0.0,0.0,0.0,0.0,0.0,-21.08,0.11,0.6,
XKATNB1,SERBP1,SERBP1,3|4,7,3.5,2,34|49,0.0,0.0,0.0,0.0,0.0,-172.46,0.08,0.6,
XKATNB1,ABHD14B,ABHD14B,1|0,1,0.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-16.72,0.14,0.6,
XKATNB1,ARF3,ARF3,2|1,3,1.5,2,7|5,0.0,0.0,0.0,0.0,0.0,-24.46,0.25,0.6,
XKATNB1,ARF4,ARF4,3|2,5,2.5,2,0|0,0.9,0.97,0.9,0.97,0.9,1.59,25.0,0.0,
XKATNB1,AP3D1,AP3D1,1|1,2,1.0,2,13|19,0.0,0.0,0.0,0.0,0.0,-68.04,0.06,0.6,
XKATNB1,RAB11FIP5,RAB11FIP5,3|3,6,3.0,2,36|22,0.0,0.0,0.0,0.0,0.0,-117.34,0.1,0.6,
XKATNB1,CORO1C,CORO1C,3|1,4,2.0,2,16|14,0.0,0.0,0.0,0.0,0.0,-63.59,0.13,0.6,
XKATNB1,EEF1A1,EEF1A1,16|19,35,17.5,2,33|47,0.0,0.0,0.0,0.0,0.0,-128.42,0.44,0.6,
XKATNB1,MAGEA4,MAGEA4,3|4,7,3.5,2,9|8,0.0,0.0,0.0,0.0,0.0,-29.9,0.41,0.6,
XKATNB1,FXR1,FXR1,0|1,1,0.5,2,15|11,0.0,0.0,0.0,0.0,0.0,-58.77,0.04,0.6,
XKATNB1,RPN2,RPN2,2|1,3,1.5,2,0|0,0.42,0.83,0.42,0.83,0.42,-0.44,15.0,0.14,
XKATNB1,PRPF8,PRPF8,1|0,1,0.5,2,8|7,0.0,0.0,0.0,0.0,0.0,-34.32,0.07,0.6,
XKATNB1,COPG2,COPG2,14|15,29,14.5,2,86|72,0.0,0.0,0.0,0.0,0.0,-299.18,0.18,0.6,
XKATNB1,RELA,RELA,1|1,2,1.0,2,4|7,0.0,0.0,0.0,0.0,0.0,-22.37,0.18,0.6,
XKATNB1,THOC2,THOC2,1|1,2,1.0,2,27|31,0.0,0.0,0.0,0.0,0.0,-125.6,0.03,0.6,
XKATNB1,YTHDF2,YTHDF2,0|1,1,0.5,2,7|8,0.0,0.0,0.0,0.0,0.0,-34.32,0.07,0.6,
