,Bait,Prey Gene,Saint Score,log2FC
0,KATNB1,HIST1H4A,0.0,-0.644
1,KATNB1,HSPA5,0.0,-2.322
2,KATNB1,HSPA4,0.0,-5.644
3,KATNB1,HSPA9,0.0,0.0
4,KATNB1,SSFA2,0.0,-2.252
5,KATNB1,ZC3H14,0.0,-4.059
6,KATNB1,ABCD3,0.0,-4.059
7,KATNB1,DHX9,0.0,-5.059
8,KATNB1,HSPA8,0.0,-0.599
9,KATNB1,NUP98,0.0,-6.644
10,KATNB1,MAZ,0.0,-1.0
11,KATNB1,RAD54L2,0.9,4.644
12,KATNB1,ATXN2L,0.0,-5.059
13,KATNB1,NOP2,0.0,-5.059
14,KATNB1,CSDE1,0.0,-2.252
15,KATNB1,TIPRL,0.0,-3.837
16,KATNB1,EPS15L1,0.0,-5.059
17,KATNB1,GART,0.0,-5.059
18,KATNB1,RPS6KA1,0.0,-3.644
19,KATNB1,PPID,0.0,-3.184
20,KATNB1,SERBP1,0.0,-3.644
21,KATNB1,ABHD14B,0.0,-2.837
22,KATNB1,ARF3,0.0,-2.0
23,KATNB1,ARF4,0.9,4.644
24,KATNB1,AP3D1,0.0,-4.059
25,KATNB1,RAB11FIP5,0.0,-3.322
26,KATNB1,CORO1C,0.0,-2.943
27,KATNB1,EEF1A1,0.0,-1.184
28,KATNB1,MAGEA4,0.0,-1.286
29,KATNB1,FXR1,0.0,-4.644
30,KATNB1,RPN2,0.42,3.907
31,KATNB1,PRPF8,0.0,-3.837
32,KATNB1,COPG2,0.0,-2.474
33,KATNB1,RELA,0.0,-2.474
34,KATNB1,THOC2,0.0,-5.059
35,KATNB1,YTHDF2,0.0,-3.837
36,KATNB1,DPYSL4,0.0,-3.837
37,KATNB1,DPYSL2,0.0,-2.644
38,KATNB1,DPYSL3,0.0,-3.184
39,KATNB1,NUDT5,0.0,-5.059
40,KATNB1,TK2,0.1,1.0
41,KATNB1,EPS8L2,0.0,-2.0
42,KATNB1,PFN2,0.0,-2.837
43,KATNB1,KDM3B,0.0,-5.059
44,KATNB1,ATP5A1,0.84,2.07
45,KATNB1,RPLP2,0.0,-0.494
46,KATNB1,ECD,0.0,-4.059
47,KATNB1,NUP62,0.0,-4.322
48,KATNB1,TPM3,0.0,-2.322
49,KATNB1,ETF1,0.0,-3.644
50,KATNB1,FAM21C,0.0,-5.644
51,KATNB1,TRIO,0.0,-3.474
52,KATNB1,SSX2IP,0.0,-0.415
53,KATNB1,YKT6,0.0,-4.644
54,KATNB1,RPS4X,0.47,2.585
55,KATNB1,TJP1,0.0,-5.059
56,KATNB1,TCP1,1.0,3.61
57,KATNB1,SH3PXD2B,0.0,-4.644
58,KATNB1,EDC4,0.0,-5.059
59,KATNB1,KTN1,0.0,-2.556
60,KATNB1,PRDX6,0.0,-1.218
61,KATNB1,PRDX4,0.1,1.0
62,KATNB1,PRDX1,0.0,-1.434
63,KATNB1,CCT6A,1.0,2.384
64,KATNB1,CROCC,0.01,0.411
65,KATNB1,PAPOLB,0.0,-1.0
66,KATNB1,KATNB1,1.0,10.884
67,KATNB1,TXNDC9,0.0,-1.0
68,KATNB1,CACNA1D,0.0,-4.059
69,KATNB1,DLGAP5,0.0,-4.322
70,KATNB1,EIF4ENIF1,0.0,-5.059
71,KATNB1,SLC25A3,0.0,0.322
72,KATNB1,TRIM25,0.0,-3.322
73,KATNB1,SLC25A5,0.0,-0.34
74,KATNB1,KIF5B,0.0,-5.644
75,KATNB1,ARCN1,0.0,-3.322
76,KATNB1,UTRN,0.0,-6.644
77,KATNB1,TMEM269,0.42,3.322
78,KATNB1,GAPDH,0.49,1.585
79,KATNB1,ABCF1,0.0,-3.837
80,KATNB1,AATF,0.0,-0.578
81,KATNB1,PTPN1,0.0,-3.837
82,KATNB1,BAG2,0.0,-0.737
83,KATNB1,BAG3,0.0,-2.737
84,KATNB1,CTDP1,0.0,-3.644
85,KATNB1,RPS6,0.0,0.227
86,KATNB1,RPS3,1.0,3.322
87,KATNB1,RPS2,0.0,-2.0
88,KATNB1,VDAC2,0.0,-0.621
89,KATNB1,VDAC1,0.78,3.0
90,KATNB1,RPS9,0.1,1.585
91,KATNB1,RPS8,0.1,1.322
92,KATNB1,CTPS1,0.0,-2.737
93,KATNB1,DSG1,0.1,1.0
94,KATNB1,LGALS1,0.36,2.0
95,KATNB1,FSCN1,0.42,3.907
96,KATNB1,HN1,0.0,-3.837
97,KATNB1,VARS,0.0,-5.644
98,KATNB1,SMCR8,0.0,-6.644
99,KATNB1,KIAA1524,0.0,-3.184
100,KATNB1,RPL24,0.0,-0.862
101,KATNB1,RPL27,0.0,0.0
102,KATNB1,NAP1L4,0.0,-3.184
103,KATNB1,RPL23,0.92,3.087
104,KATNB1,RPL22,0.42,3.907
105,KATNB1,PPP1CA,0.0,-3.474
106,KATNB1,PUF60,0.0,-4.644
107,KATNB1,PLIN3,0.0,-3.474
108,KATNB1,ZYX,0.0,-6.644
109,KATNB1,SMAP1,0.0,-3.837
110,KATNB1,CIAPIN1,0.0,-5.644
111,KATNB1,HSP90AB1,0.0,-0.69
112,KATNB1,ARHGAP21,0.0,-3.322
113,KATNB1,ARHGAP29,0.0,-3.322
114,KATNB1,ATG2A,0.0,-4.059
115,KATNB1,ATG2B,0.0,-3.644
116,KATNB1,TWF2,0.0,-3.837
117,KATNB1,EEF1G,0.0,-1.218
118,KATNB1,EEF1D,0.0,-1.515
119,KATNB1,RPL8,0.0,-2.0
120,KATNB1,RPL9,1.0,5.907
121,KATNB1,PCM1,0.0,-1.286
122,KATNB1,RPL4,0.0,-0.889
123,KATNB1,RPL3,0.56,2.807
124,KATNB1,CHD3,0.0,0.0
125,KATNB1,CAP1,0.0,-5.059
126,KATNB1,SKIV2L,0.0,0.0
127,KATNB1,TTC4,0.24,2.0
128,KATNB1,WARS,0.0,-2.737
129,KATNB1,DYNC1LI1,0.0,-3.644
130,KATNB1,ANKRD28,0.0,-3.474
131,KATNB1,ASCC3,0.0,-2.322
132,KATNB1,VBP1,1.0,4.644
133,KATNB1,FAM120A,0.0,-3.059
134,KATNB1,REPS1,0.0,-5.059
135,KATNB1,RPL6,0.0,-0.837
136,KATNB1,NFKB2,0.0,-5.644
137,KATNB1,GGA3,0.0,-4.322
138,KATNB1,USO1,0.0,-3.644
139,KATNB1,FHOD1,0.0,-6.644
140,KATNB1,TACC1,0.0,-5.059
141,KATNB1,MKI67,0.0,-5.059
142,KATNB1,ANKHD1,0.0,-4.644
143,KATNB1,HIST1H2AG,0.0,-0.811
144,KATNB1,MYO6,0.0,-6.644
145,KATNB1,SH3KBP1,0.0,-3.644
146,KATNB1,PGRMC2,0.0,-3.644
147,KATNB1,KIAA0556,1.0,5.907
148,KATNB1,NUP160,0.0,-2.837
149,KATNB1,LRRC59,0.0,-1.322
150,KATNB1,RPL30,0.1,1.0
151,KATNB1,PCCA,0.0,-0.358
152,KATNB1,IFFO2,0.0,-1.599
153,KATNB1,BUB1B,0.0,-3.474
154,KATNB1,DBN1,0.0,-5.644
155,KATNB1,DLG5,0.0,-3.474
156,KATNB1,FAM114A2,0.0,-2.943
157,KATNB1,ZMYM4,0.0,-1.0
158,KATNB1,AKAP2,0.0,-4.322
159,KATNB1,EIF2A,0.0,-3.184
160,KATNB1,TEX2,0.0,-4.059
161,KATNB1,CAPZB,0.0,-4.322
162,KATNB1,TANGO6,0.0,-3.837
163,KATNB1,TTC1,0.0,-2.837
164,KATNB1,STIP1,0.0,-1.644
165,KATNB1,WDR43,0.0,-1.889
166,KATNB1,AHSA1,0.0,-2.396
167,KATNB1,ASAP1,0.0,-5.644
168,KATNB1,GLMN,0.12,1.322
169,KATNB1,PDAP1,0.0,-2.184
170,KATNB1,CAMSAP2,0.0,-1.0
171,KATNB1,CAMSAP1,0.0,-2.556
172,KATNB1,PRKDC,0.0,-6.644
173,KATNB1,NCOA6,0.0,-3.837
174,KATNB1,EEF1A2,0.0,-1.943
175,KATNB1,MECP2,0.0,2.322
176,KATNB1,GEMIN5,0.0,-3.184
177,KATNB1,SARS,0.0,-2.322
178,KATNB1,CTTN,0.0,-2.474
179,KATNB1,EIF4G2,0.0,-2.943
180,KATNB1,ERC1,0.0,-2.737
181,KATNB1,ERC2,0.0,-2.0
182,KATNB1,RGAG1,0.1,1.322
183,KATNB1,KIF18A,0.0,-2.837
184,KATNB1,RPL14,0.0,0.485
185,KATNB1,IFT172,0.0,-2.556
186,KATNB1,NCL,0.0,-5.644
187,KATNB1,FRYL,0.0,-3.322
188,KATNB1,GNL2,0.0,-1.322
189,KATNB1,EIF3M,0.0,-1.0
190,KATNB1,EIF3C,0.0,-2.837
191,KATNB1,EIF3D,0.0,0.0
192,KATNB1,EIF3F,0.0,0.0
193,KATNB1,EIF3G,0.0,-4.322
194,KATNB1,RARS,0.0,-2.837
195,KATNB1,BAZ1B,0.0,-4.059
196,KATNB1,TPR,0.0,-4.644
197,KATNB1,NMT1,0.0,-4.059
198,KATNB1,CNN3,0.0,-5.644
199,KATNB1,KATNA1,1.0,3.274
200,KATNB1,ATP5B,0.0,-1.474
201,KATNB1,COPB1,0.0,-4.644
202,KATNB1,DNAJB1,0.0,-3.474
203,KATNB1,ERCC6L,0.0,-5.059
204,KATNB1,CRYBG3,0.0,-5.059
205,KATNB1,DIDO1,0.0,-5.644
206,KATNB1,H1F0,0.16,1.417
207,KATNB1,HNRNPA0,0.0,-2.184
208,KATNB1,HNRNPA1,0.0,-4.322
209,KATNB1,ENO1,0.0,-2.837
210,KATNB1,EPB41,0.0,-5.644
211,KATNB1,TAOK3,0.0,-1.0
212,KATNB1,PTK2,0.0,-2.0
213,KATNB1,PHB2,0.97,3.585
214,KATNB1,CEP55,0.0,-2.0
215,KATNB1,SF3B1,0.0,-6.644
216,KATNB1,DDHD1,0.0,-3.322
217,KATNB1,EIF5B,0.0,-5.059
218,KATNB1,DNAJC13,0.0,-5.059
219,KATNB1,NANP,0.0,-4.322
220,KATNB1,EPRS,0.0,-3.322
221,KATNB1,TANC1,0.0,-4.059
222,KATNB1,TANC2,0.0,-0.578
223,KATNB1,LMNA,0.0,-0.644
224,KATNB1,PLCD4,0.0,1.0
225,KATNB1,SCRIB,0.0,-3.322
226,KATNB1,SYNE2,0.0,-2.322
227,KATNB1,NUP214,0.0,-2.644
228,KATNB1,IARS,0.02,0.585
229,KATNB1,SHC1,0.0,-4.059
230,KATNB1,RPL15,0.01,0.74
231,KATNB1,RPL10,0.0,-2.837
232,KATNB1,RPL11,0.71,3.0
233,KATNB1,RPL13,0.0,-1.786
234,KATNB1,RPL18,0.02,0.74
235,KATNB1,RAI14,0.0,-5.644
236,KATNB1,AHNAK,0.0,-1.69
237,KATNB1,MAP1B,0.0,-5.059
238,KATNB1,KATNAL1,1.0,4.087
239,KATNB1,TUBB3,0.0,-1.737
240,KATNB1,UBA6,0.0,-2.556
241,KATNB1,UBE2O,0.0,-3.837
242,KATNB1,AGFG1,0.0,-3.644
243,KATNB1,RPL18A,0.12,1.322
244,KATNB1,RPS15A,0.25,1.807
245,KATNB1,VCPIP1,0.0,-1.943
246,KATNB1,QARS,0.0,-1.644
247,KATNB1,DFNA5,0.0,-2.322
248,KATNB1,FARSB,0.0,-2.474
