,Gene Name,log2(Fold change),P-value
0,SERPINB6,-0.893,0.001
1,HDLBP,-0.11,0.366
2,PSMA2,0.06,0.553
3,BAG6;BAT3,-0.079,0.476
4,TAF15,-0.16,0.213
5,TXNRD1,0.626,0.012
6,HMOX2,-0.378,0.103
7,EIF2B4,-0.839,0.228
8,KHSRP,-0.085,0.343
9,PYCR2,-0.547,0.011
10,HNRNPDL,-0.131,0.397
11,MRPL45,0.006,0.99
12,POLA1,0.438,0.028
13,CTNNBL1,-0.074,0.41
14,HNRNPDL,-0.333,0.03
15,SLIRP,-0.379,0.017
16,EIF5B,0.06,0.674
17,SPTBN1,-0.475,0.012
18,MTHFD1L,0.166,0.104
19,POLR2E,-0.117,0.485
20,NOMO2;NOMO1;NOMO3,-0.702,0.081
21,TPM3,0.048,0.578
22,SRP19,-0.557,0.257
23,RPL17;RPL17-C18orf32,0.36,0.06
24,ITGB6,0.118,0.333
25,VTA1,0.214,0.221
26,UGP2,-0.321,0.034
27,PTGES3,-0.004,0.963
28,EIF3H,0.106,0.329
29,SBDS,0.193,0.073
30,OGFR,-0.425,0.037
31,HYOU1,-0.117,0.448
32,SNX12,-0.343,0.233
33,ACOT1;ACOT2,-0.937,0.002
34,SEPT8,-0.113,0.483
35,PSME2,-0.416,0.007
36,AP2B1,-0.154,0.398
37,BSG,-0.246,0.157
38,SRSF3,0.1,0.393
39,DDX1,0.086,0.347
40,GPS1,-0.264,0.208
41,PYCRL,-0.414,0.041
42,WDR18,-0.96,0.109
43,VDAC2,0.328,0.028
44,HNRNPUL1,-1.021,0.028
45,EPB41L3,0.352,0.186
46,SNX6,-0.12,0.393
47,PCMT1,-0.061,0.663
48,NOLC1,0.41,0.04
49,ABI1,-0.555,0.015
50,DCTN3,-0.222,0.078
51,HADH,-0.74,0.044
52,NUP214,0.004,0.987
53,PITPNB,-0.366,0.111
54,IVD,0.035,0.685
55,RBP1,-1.531,0.001
56,ILK,-0.223,0.267
57,ELOVL5,-0.015,0.912
58,CUL2,-2.497,0.0
59,TTN,0.199,0.817
60,TMED7;TMED7-TICAM2,-0.24,0.049
61,LUC7L2,-0.241,0.043
62,NAA15,-0.03,0.848
63,SRSF7,0.129,0.499
64,TPT1,0.503,0.092
65,PWP2,-0.401,0.095
66,GSTZ1,-0.052,0.892
67,SET,-0.342,0.062
68,RPSA,0.489,0.009
69,DDX46,0.055,0.573
70,CHD4,-0.432,0.007
71,CAPNS1,-0.102,0.265
72,DDOST,-0.434,0.018
73,LAMTOR5,-0.259,0.067
74,DDX3X,-0.088,0.33
75,SPTAN1,-0.445,0.104
76,TBL1XR1,-0.216,0.292
77,ARFGAP2,-0.409,0.007
78,TATDN1,0.395,0.151
79,DIAPH1,-0.131,0.333
80,HSPA1A;HSPA1B,0.456,0.023
81,PSMB9,-1.418,0.001
82,PUF60,0.61,0.109
83,MATR3,-0.144,0.169
84,TPM1,-0.122,0.43
85,PROCR,0.519,0.028
86,HLA-A,-1.037,0.0
87,ALDH7A1,-0.827,0.005
88,ADSL,0.311,0.022
89,TJP2,-0.039,0.831
90,CTSD,-1.127,0.0
91,DPYSL2,-0.78,0.052
92,SFXN3,-0.095,0.479
93,ME2,0.132,0.273
94,POLR2B,0.164,0.216
95,TCEA1,-0.757,0.048
96,BCLAF1,-0.182,0.144
97,DDX17,-0.471,0.075
98,RTTN,0.16,0.158
99,GCSH,0.312,0.133
100,PHGDH,-0.865,0.018
101,PPT1,-0.582,0.002
102,CAMK2G;CAMK2B;CAMK2A,-0.036,0.903
103,OPA1,-0.034,0.763
104,CD9,-0.169,0.189
105,CTNNB1,0.069,0.59
106,POLR1C,0.405,0.008
