Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XNLE1,HIST1H4A,HIST1H4A,19|9,28,14.0,2,6|6,0.48,0.96,0.48,0.96,0.48,-9.8,2.33,0.17,
XNLE1,HSPA6,HSPA6,2|3,5,2.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-7.57,1.0,0.52,
XNLE1,HSPA5,HSPA5,23|16,39,19.5,2,28|31,0.0,0.0,0.0,0.0,0.0,-85.63,0.66,0.65,
XNLE1,HSPA4,HSPA4,5|2,7,3.5,2,17|19,0.0,0.0,0.0,0.0,0.0,-72.35,0.19,0.65,
XNLE1,HSPA9,HSPA9,1|0,1,0.5,2,1|2,0.0,0.0,0.0,0.0,0.0,-7.32,0.33,0.65,
XNLE1,NELFA,NELFA,4|5,9,4.5,2,6|11,0.0,0.0,0.0,0.0,0.0,-26.78,0.53,0.65,
XNLE1,SSFA2,SSFA2,0|1,1,0.5,2,9|11,0.0,0.0,0.0,0.0,0.0,-44.53,0.05,0.65,
XNLE1,NELFE,NELFE,10|10,20,10.0,2,25|24,0.0,0.0,0.0,0.0,0.0,-78.34,0.41,0.65,
XNLE1,PDCD11,PDCD11,22|17,39,19.5,2,0|0,1.0,1.0,1.0,1.0,1.0,26.22,195.0,0.0,
XNLE1,COPRS,COPRS,1|0,1,0.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-13.62,0.17,0.65,
XNLE1,ZC3H13,ZC3H13,7|4,11,5.5,2,0|0,1.0,1.0,1.0,1.0,1.0,6.05,55.0,0.0,
XNLE1,ZC3H14,ZC3H14,25|25,50,25.0,2,19|32,0.0,0.0,0.0,0.0,0.0,-54.76,0.98,0.65,
XNLE1,KDM2A,KDM2A,8|1,9,4.5,2,0|0,0.5,1.0,0.5,1.0,0.5,0.43,45.0,0.08,
XNLE1,ZC3H18,ZC3H18,3|6,9,4.5,2,5|6,0.0,0.0,0.0,0.0,0.0,-17.05,0.82,0.58,
XNLE1,DHX8,DHX8,7|0,7,3.5,2,1|3,0.35,0.7,0.35,0.7,0.35,-9.31,1.75,0.26,
XNLE1,PPHLN1,PPHLN1,4|5,9,4.5,2,0|1,0.93,0.97,0.93,0.97,0.93,2.16,9.0,0.01,
XNLE1,HSPA8,HSPA8,50|45,95,47.5,2,44|51,0.0,0.0,0.0,0.0,0.0,-103.81,1.0,0.65,
XNLE1,TCOF1,TCOF1,45|45,90,45.0,2,4|3,1.0,1.0,1.0,1.0,1.0,41.93,12.86,0.0,
XNLE1,NSRP1,NSRP1,5|2,7,3.5,2,2|5,0.0,0.0,0.0,0.0,0.0,-11.2,1.0,0.53,
XNLE1,NUP98,NUP98,22|20,42,21.0,2,33|36,0.0,0.0,0.0,0.0,0.0,-97.37,0.61,0.65,
XNLE1,XPC,XPC,8|4,12,6.0,2,4|3,0.03,0.06,0.03,0.06,0.03,-8.16,1.71,0.44,
XNLE1,HNRNPDL,HNRNPDL,3|1,4,2.0,2,2|2,0.01,0.01,0.01,0.01,0.01,-7.21,1.0,0.49,
XNLE1,WHSC1,WHSC1,2|1,3,1.5,2,0|0,0.46,0.92,0.46,0.92,0.46,0.43,15.0,0.17,
