,Bait,Prey Gene,Saint Score,log2FC
0,NLE1,HIST1H4A,0.48,1.22
1,NLE1,HSPA6,0.0,0.0
2,NLE1,HSPA5,0.0,-0.599
3,NLE1,HSPA4,0.0,-2.396
4,NLE1,HSPA9,0.0,-1.599
5,NLE1,NELFA,0.0,-0.916
6,NLE1,SSFA2,0.0,-4.322
7,NLE1,NELFE,0.0,-1.286
8,NLE1,PDCD11,1.0,7.607
9,NLE1,COPRS,0.0,-2.556
10,NLE1,ZC3H13,1.0,5.781
11,NLE1,ZC3H14,0.0,-0.029
12,NLE1,KDM2A,0.5,5.492
13,NLE1,ZC3H18,0.0,-0.286
14,NLE1,DHX8,0.35,0.807
15,NLE1,PPHLN1,0.93,3.17
16,NLE1,HSPA8,0.0,0.0
17,NLE1,TCOF1,1.0,3.685
18,NLE1,NSRP1,0.0,0.0
19,NLE1,NUP98,0.0,-0.713
20,NLE1,XPC,0.03,0.774
21,NLE1,HNRNPDL,0.01,0.0
22,NLE1,WHSC1,0.46,3.907
23,NLE1,PARP12,0.0,-2.837
24,NLE1,ANP32E,0.0,-1.0
25,NLE1,CTBP2,0.0,-1.0
26,NLE1,EIF2AK2,0.0,0.0
27,NLE1,ALDH3A2,0.0,0.0
28,NLE1,PNISR,0.0,0.189
29,NLE1,NOP2,0.52,1.395
30,NLE1,GTF3C3,0.34,2.0
31,NLE1,GTF3C1,0.0,-0.434
32,NLE1,GTF3C5,0.0,-0.556
33,NLE1,GTF3C4,0.0,0.299
34,NLE1,SWAP70,0.0,-2.474
35,NLE1,XPO1,0.0,-4.059
36,NLE1,ZNF451,0.0,-0.105
37,NLE1,CSDE1,0.0,-0.837
38,NLE1,LEMD3,0.0,-2.943
39,NLE1,TIPRL,0.0,-1.152
40,NLE1,GATAD2B,0.0,-0.304
41,NLE1,EPS15L1,0.0,-2.837
42,NLE1,ANAPC1,0.0,-3.474
43,NLE1,GART,0.0,-3.474
44,NLE1,ZEB1,0.0,1.0
45,NLE1,ANAPC4,0.0,-1.358
46,NLE1,RPS6KA1,0.0,-3.059
47,NLE1,HLCS,0.0,-2.474
48,NLE1,TOP1,0.11,1.17
49,NLE1,PSMD12,0.0,0.0
50,NLE1,UTP20,0.18,1.585
51,NLE1,SERBP1,0.0,-1.089
52,NLE1,NUP133,0.0,-2.252
53,NLE1,VAPB,0.0,-3.059
54,NLE1,VAPA,0.0,-3.644
55,NLE1,SHROOM2,0.0,-2.644
56,NLE1,FOXM1,0.18,1.0
57,NLE1,EXOSC10,0.0,-0.916
58,NLE1,ARF3,0.0,-0.889
59,NLE1,PLRG1,0.0,-0.434
60,NLE1,ARF4,0.49,4.322
61,NLE1,ELMSAN1,0.0,0.585
62,NLE1,SZT2,0.0,-2.837
63,NLE1,NOL8,0.0,1.07
64,NLE1,CHTF18,0.0,-0.578
65,NLE1,NOL6,0.78,3.0
66,NLE1,NFRKB,1.0,2.807
67,NLE1,RAB11FIP5,0.0,-4.322
68,NLE1,CORO1C,0.0,-1.889
69,NLE1,DHX9,0.0,-0.474
70,NLE1,EEF1A1,0.0,-0.396
71,NLE1,HMGB1,0.0,-0.234
72,NLE1,MAGEA4,0.0,-0.494
73,NLE1,ARHGEF17,0.0,0.0
74,NLE1,KIF4A,0.0,-0.69
75,NLE1,YLPM1,0.0,-0.074
76,NLE1,CDCA5,0.45,2.0
77,NLE1,FIP1L1,0.0,-0.837
78,NLE1,NOLC1,0.0,-0.396
79,NLE1,RSF1,0.99,5.129
80,NLE1,FGFR1OP,0.0,-4.322
81,NLE1,SNW1,0.0,-0.535
82,NLE1,PNN,0.0,0.669
83,NLE1,WDR70,0.0,-0.377
84,NLE1,RPL26,0.46,3.907
85,NLE1,SYTL2,0.0,0.0
86,NLE1,RPL21,0.28,1.585
87,NLE1,PPP2R3A,0.0,-4.322
88,NLE1,PRPF8,0.0,-0.184
89,NLE1,PRPF3,0.0,-0.556
90,NLE1,PRPF4,0.21,1.17
91,NLE1,PRPF6,0.46,3.322
92,NLE1,SIX4,0.0,-1.396
93,NLE1,SAGE1,0.19,1.322
94,NLE1,PCF11,0.0,0.0
95,NLE1,COPG2,0.0,-2.0
96,NLE1,RELA,0.0,-3.644
97,NLE1,HDGF,0.0,-2.837
98,NLE1,TBL3,0.45,2.322
99,NLE1,THOC2,0.0,-0.837
100,NLE1,RHBDL3,0.0,0.0
101,NLE1,WNK1,0.0,-3.644
102,NLE1,PAK4,0.0,-1.0
103,NLE1,APC,0.0,-3.474
104,NLE1,PAK2,0.0,-3.322
105,NLE1,RECQL5,0.81,2.807
106,NLE1,ADNP,0.0,0.202
107,NLE1,CBX8,0.95,4.644
108,NLE1,KHDRBS1,0.04,0.74
109,NLE1,COPS5,0.0,-1.0
110,NLE1,ZNF592,0.46,3.322
111,NLE1,YTHDF2,0.0,-1.089
112,NLE1,YTHDF1,0.0,-1.837
113,NLE1,MED1,0.0,-0.377
114,NLE1,MED6,0.99,4.907
115,NLE1,ZNF598,0.0,-2.322
116,NLE1,SUB1,0.0,-0.837
117,NLE1,ZNF608,0.49,4.322
118,NLE1,ZNF609,0.0,0.895
119,NLE1,TKT,0.05,0.0
120,NLE1,VEZF1,0.0,-1.0
121,NLE1,TNS3,0.0,-3.474
122,NLE1,PPP1R9B,0.0,-4.322
123,NLE1,FAM135A,0.16,0.678
124,NLE1,DPYSL4,0.0,-1.152
125,NLE1,DPYSL2,0.0,-1.515
126,NLE1,DPYSL3,0.0,-2.396
127,NLE1,ARID2,1.0,6.644
128,NLE1,NUDT5,0.0,-2.059
129,NLE1,BOP1,0.99,5.129
130,NLE1,EPS8L2,0.0,-2.252
131,NLE1,PFN2,0.0,-0.218
132,NLE1,MEF2D,0.0,0.227
133,NLE1,KDM3B,0.0,-1.152
134,NLE1,TP53BP1,0.0,-2.252
135,NLE1,KDM3A,0.0,0.0
136,NLE1,ATP5A1,0.4,1.322
137,NLE1,SSB,0.0,-1.786
138,NLE1,MDN1,0.77,2.459
139,NLE1,RPLP2,0.0,-1.218
140,NLE1,RPLP0,0.0,0.0
141,NLE1,TEX10,0.0,0.872
142,NLE1,ELAVL1,0.99,5.322
143,NLE1,TPM3,0.0,-1.889
144,NLE1,SNRPA1,0.0,-0.578
145,NLE1,PRPF40A,0.0,-0.252
146,NLE1,ETF1,0.0,-2.12
147,NLE1,FAM21A,0.0,-5.059
148,NLE1,PHACTR4,0.0,-2.474
149,NLE1,TRIO,0.0,-5.644
150,NLE1,NUP107,0.01,-0.578
151,NLE1,SMNDC1,0.0,-1.0
152,NLE1,KIAA0020,1.0,5.781
153,NLE1,YKT6,0.0,-3.184
154,NLE1,RPS4X,0.84,3.17
155,NLE1,ATXN2L,0.0,-2.059
156,NLE1,TJP1,0.0,-2.059
157,NLE1,BUD13,0.96,5.129
158,NLE1,TCP1,0.0,0.748
159,NLE1,ISY1,0.0,-0.415
160,NLE1,SH3PXD2B,0.0,-2.059
161,NLE1,FAM32A,0.49,4.322
162,NLE1,SUGP1,0.0,0.299
163,NLE1,XAB2,0.0,0.214
164,NLE1,SVIL,0.0,-3.322
165,NLE1,EDC4,0.0,-4.322
166,NLE1,KTN1,0.0,-3.644
167,NLE1,TCEB3,0.0,0.189
168,NLE1,PRDX6,0.0,0.176
169,NLE1,TCEB1,0.0,-1.737
170,NLE1,PRDX3,0.0,-2.322
171,NLE1,PRDX1,0.0,-0.644
172,NLE1,SMARCA4,0.48,1.585
173,NLE1,SMARCA5,0.0,0.642
174,NLE1,CCDC168,0.06,0.585
175,NLE1,CSTB,0.0,-1.0
176,NLE1,CCT6A,0.0,0.74
177,NLE1,CDC5L,0.0,-1.322
178,NLE1,VCL,0.0,-4.322
179,NLE1,CROCC,0.02,0.411
180,NLE1,NLE1,1.0,10.675
181,NLE1,PAPOLG,0.99,5.129
182,NLE1,PAPOLA,0.0,-0.578
183,NLE1,PAPOLB,0.02,0.585
184,NLE1,NSUN2,0.0,-2.0
185,NLE1,TARS,0.0,-2.837
186,NLE1,TUFM,0.0,-0.578
187,NLE1,ZFR,0.0,0.057
188,NLE1,TXNDC9,0.0,-1.218
189,NLE1,CALM2,0.0,-2.0
190,NLE1,CACNA1A,0.03,0.411
191,NLE1,DNMT1,0.27,1.118
192,NLE1,DLGAP5,0.0,-2.837
193,NLE1,EIF4ENIF1,0.0,-4.322
194,NLE1,MBNL1,0.92,4.322
195,NLE1,TRIM28,0.0,-1.515
196,NLE1,TRIM24,0.0,3.322
