,Gene Name,log2(Fold change),P-value
0,SERPINB6,0.554406820704724,0.0937555009487984
1,HDLBP,0.229418862245765,0.511164241739245
2,PSMA2,-1.02194433575223,0.0271685711973763
3,BAG6;BAT3,2.02123793711273,0.00610969544068904
4,TAF15,0.324269190106918,0.415861008597748
5,TXNRD1,-0.871763022950759,0.0301186779587319
6,HMOX2,-0.865747334467361,0.273003296925742
7,EIF2B4,1.11157958338641,0.0347108571960175
8,UCHL3,19.8347655180392,9.98688851762671e-07
9,KHSRP,-0.842527086387779,0.0217997863341403
10,PABPC1;PABPC3,2.06491065038252,0.000812673826922513
11,PYCR2,0.55792790144821,0.322628497932997
12,HNRNPDL,0.65556226252383,0.0594552370770638
13,MINOS1;MINOS1-NBL1,-19.7404293427522,2.41816693221478e-07
14,CTNNBL1,-20.8546535121656,7.93464216036365e-08
15,HNRNPDL,0.735005284551065,0.0419326266864351
16,SLIRP,0.943700009204399,0.0125447509205769
17,GPX1,-19.842961725406,5.78723587151198e-08
18,EIF5B,-0.483574758495077,0.0669837497875716
19,BSG,-0.891657074205629,0.0708725226464639
20,SPTBN1,0.259978585949106,0.488572236475586
21,ITSN2,21.5457224253271,4.28686014580369e-08
22,MTHFD1L,0.854031321663889,0.0762564307494057
23,RRBP1,0.713449023493322,0.0943309166507658
24,POLR2E,-0.383758874030953,0.292896648910186
25,SH3GLB1,20.9379432576402,6.21449024144949e-08
26,POLD2,0.132316074949717,0.845709996307093
27,TPM3,-0.36930983623391,0.270896836248305
28,RPL17;RPL17-C18orf32,0.702203898229769,0.0232595739650334
29,ITGB6,-0.201611477048409,0.662619645569527
30,VTA1,0.257528968434425,0.489488069465362
31,NUMA1,20.2241163940923,1.35898123389276e-06
32,AP2M1,-0.623678942609274,0.0813554522249754
33,UGP2,-0.5105167960395,0.151372926846764
34,PTGES3,-0.460833935321268,0.241016385457102
35,NDUFB6,-20.5616381134312,5.03162528444184e-08
36,SBDS,-0.81823874899629,0.211258819651617
37,OGFR,-0.0778567001394777,0.844133425925631
38,HYOU1,0.0388122767549568,0.924656083016897
39,SNX12,0.87037075840351,0.134076044545057
40,ACOT1;ACOT2,-0.948703221896054,0.0521039083543613
41,NOMO2;NOMO1;NOMO3,-0.28347773223685,0.598813514269613
42,SEPT8,-1.85423313926602,0.338594962257146
43,RAB18,-19.8788696879487,2.56521769948487e-07
44,STAU1,1.84645224143542,0.095865736487938
45,CHTOP,20.9541933173387,8.50552430659125e-08
46,NEB,21.471326327677,0.00031148286829572
47,PSME2,-0.876190281933095,0.0539990834348988
48,MRPL45,0.474535616024568,0.252190392649281
49,DDX1,0.411777035079375,0.136691070520606
50,GPS1,-0.891303208942173,0.158278051119505
51,A0A096LPI6,0.838534947315402,0.288291918861279
52,PYCRL,-0.522233444773697,0.169854686354622
53,VDAC2,0.0354819539011046,0.940071492428125
54,GSTZ1,-0.880396808960789,0.048343153906302
55,HNRNPUL1,0.678712005215061,0.276009748964792
56,SNX6,-1.08306745648141,0.00524030121643645
57,PCMT1,0.313182476533214,0.276624339528703
58,NOLC1,0.849692244495049,0.0644509502322377
59,ABI1,0.261657447814954,0.286135592934592
60,HADH,1.05769214470804,0.156690595311226
61,PRDX1,0.654765136755707,0.0496056499744559
62,DDX42,2.97988720938842,0.00480670272807738
63,PLS3,0.013610682003474,0.969112318563753
64,PITPNB,-0.238715917437581,0.535708262426409
65,IVD,-0.455527539812064,0.582727509058801
66,RBP1,0.503394968322876,0.301406495697537
67,ILK,-0.451050231480451,0.188358341334368
68,CUL2,-19.0133301663338,6.71327732575346e-08
69,TTN,-1.98914517117171,0.327322863325235
70,TMED7;TMED7-TICAM2,1.03015925389086,0.0638061211872804
71,NAA15,-1.32700703813564,0.00498008180616977
72,SRSF7,3.03130501896613,0.000225779812510039
73,TCEB2,-1.26763782009266,0.0634736788580392
74,TPT1,0.115188396466888,0.590203455003926
75,RPSA,0.387769016974225,0.117595281383669
76,DDX46,-1.85897095900815,0.00169063676980704
