Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XNUP43,HIST1H4A,HIST1H4A,21|20,41,20.5,2,6|4,1.0,1.0,1.0,1.0,1.0,8.18,4.1,0.0,
XNUP43,HSPA6,HSPA6,2|1,3,1.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-8.13,0.6,0.46,
XNUP43,HSPA5,HSPA5,26|24,50,25.0,2,29|32,0.0,0.0,0.0,0.0,0.0,-73.82,0.82,0.46,
XNUP43,HSPA4,HSPA4,6|1,7,3.5,2,18|20,0.0,0.0,0.0,0.0,0.0,-79.29,0.18,0.46,
XNUP43,NELFA,NELFA,13|13,26,13.0,2,8|10,0.0,0.0,0.0,0.0,0.0,-13.52,1.44,0.35,
XNUP43,NELFE,NELFE,22|28,50,25.0,2,25|23,0.0,0.0,0.0,0.0,0.0,-53.26,1.04,0.43,
XNUP43,PDCD11,PDCD11,29|21,50,25.0,2,0|0,1.0,1.0,1.0,1.0,1.0,33.21,250.0,0.0,
XNUP43,COPRS,COPRS,0|1,1,0.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-12.54,0.17,0.46,
XNUP43,CAMK4,CAMK4,1|1,2,1.0,2,4|7,0.0,0.0,0.0,0.0,0.0,-20.42,0.18,0.46,
XNUP43,ZC3H13,ZC3H13,10|9,19,9.5,2,0|0,1.0,1.0,1.0,1.0,1.0,15.19,95.0,0.0,
XNUP43,ZC3H14,ZC3H14,2|1,3,1.5,2,0|0,0.49,0.97,0.49,0.97,0.49,1.51,15.0,0.09,
XNUP43,KDM2A,KDM2A,9|8,17,8.5,2,0|0,1.0,1.0,1.0,1.0,1.0,13.63,85.0,0.0,
XNUP43,ZC3H18,ZC3H18,18|16,34,17.0,2,5|6,0.94,0.99,0.94,0.99,0.94,2.05,3.09,0.01,
