,Bait,Prey Gene,Saint Score,log2FC
0,NUP43,HIST1H4A,1.0,2.036
1,NUP43,HSPA6,0.0,-0.737
2,NUP43,HSPA5,0.0,-0.286
3,NUP43,HSPA4,0.0,-2.474
4,NUP43,NELFA,0.0,0.526
5,NUP43,NELFE,0.0,0.057
6,NUP43,PDCD11,1.0,7.966
7,NUP43,COPRS,0.0,-2.556
8,NUP43,CAMK4,0.0,-2.474
9,NUP43,ZC3H13,1.0,6.57
10,NUP43,ZC3H14,0.49,3.907
11,NUP43,KDM2A,1.0,6.409
12,NUP43,ZC3H18,0.94,1.628
13,NUP43,DHX8,1.0,3.044
14,NUP43,PPHLN1,0.91,2.807
15,NUP43,HSPA8,0.0,-0.377
16,NUP43,TCOF1,0.01,0.367
17,NUP43,NSRP1,0.0,-0.358
18,NUP43,NUP98,0.0,-1.089
19,NUP43,XPC,1.0,2.685
20,NUP43,HNRNPDL,0.0,-0.578
21,NUP43,ANKRD20A12P,0.0,-1.0
22,NUP43,WHSC1,1.0,6.492
23,NUP43,ANP32E,0.24,1.195
24,NUP43,RAD54L2,0.97,4.322
25,NUP43,ALDH3A2,0.0,-3.184
26,NUP43,PNISR,0.59,1.485
27,NUP43,NOP2,0.45,1.345
28,NUP43,GTF3C3,0.5,2.585
29,NUP43,GTF3C1,0.38,1.293
30,NUP43,GTF3C5,0.0,-1.184
31,NUP43,GTF3C4,0.0,0.632
32,NUP43,SWAP70,0.0,-3.184
33,NUP43,ZNF451,0.0,0.263
34,NUP43,XPO5,0.12,0.0
35,NUP43,CSDE1,0.0,-3.474
36,NUP43,TIPRL,0.0,-0.599
37,NUP43,TTN,0.16,0.74
38,NUP43,FAM169A,0.99,5.492
39,NUP43,GATAD2B,0.0,0.971
40,NUP43,C2ORF49,0.5,4.322
41,NUP43,ANAPC1,0.0,-1.943
42,NUP43,HMCN1,0.31,1.0
43,NUP43,ZEB1,0.43,1.585
44,NUP43,RPS6KA1,0.0,-3.837
45,NUP43,GATAD2A,1.0,4.0
46,NUP43,HLCS,0.0,-0.454
47,NUP43,TOP1,1.0,3.116
48,NUP43,UTP20,1.0,4.755
49,NUP43,SERBP1,0.0,-1.358
50,NUP43,RTFDC1,0.12,0.0
51,NUP43,ZNF292,1.0,5.644
52,NUP43,NUP133,0.0,-4.322
53,NUP43,NECAP1,0.0,-1.322
54,NUP43,IGF2R,0.0,-5.644
55,NUP43,EXOSC10,0.0,0.251
56,NUP43,ARF3,0.0,-0.889
57,NUP43,PLRG1,0.0,-0.358
58,NUP43,ATE1,0.0,-1.599
59,NUP43,ELMSAN1,0.98,1.536
60,NUP43,AP3D1,0.0,-2.474
61,NUP43,SZT2,1.0,2.519
62,NUP43,NOL9,1.0,6.57
63,NUP43,NOL8,0.5,1.47
64,NUP43,CHTF18,0.0,-0.218
65,NUP43,NOL6,0.9,2.585
66,NUP43,NFRKB,1.0,4.186
67,NUP43,RLF,1.0,3.248
68,NUP43,LEO1,1.0,6.022
69,NUP43,CXXC1,0.49,3.322
70,NUP43,DHX9,0.0,-0.286
71,NUP43,EEF1A1,0.0,-1.12
72,NUP43,HMGB1,0.0,0.227
73,NUP43,SRBD1,0.49,3.322
74,NUP43,CHAF1A,0.0,3.322
75,NUP43,MAGEA4,0.0,-0.837
76,NUP43,FRG1,0.97,4.322
77,NUP43,UBTF,0.99,5.322
78,NUP43,KIF4A,0.0,0.333
79,NUP43,CDCA2,0.83,2.322
80,NUP43,YLPM1,0.0,0.214
81,NUP43,CDCA5,0.79,2.0
82,NUP43,FIP1L1,0.0,1.0
83,NUP43,NOLC1,0.0,0.642
84,NUP43,RSF1,1.0,8.388
85,NUP43,FGFR1OP,0.0,-4.322
86,NUP43,SNW1,0.0,0.287
87,NUP43,FXR1,0.0,-3.644
88,NUP43,PNN,0.99,1.511
89,NUP43,WDR70,0.0,0.151
90,NUP43,MLLT6,0.98,3.17
91,NUP43,AHCTF1,1.0,2.678
92,NUP43,PRPF8,0.0,0.189
93,NUP43,PRPF3,0.0,0.0
94,NUP43,PRPF4,0.0,-2.0
95,NUP43,PRPF6,0.99,5.129
96,NUP43,SIX4,0.0,-0.168
97,NUP43,LCOR,1.0,8.276
98,NUP43,PCF11,0.0,0.39
99,NUP43,LLPH,0.49,3.907
100,NUP43,HDGF,0.48,1.31
101,NUP43,TBL3,0.86,2.585
102,NUP43,THOC2,0.0,0.356
103,NUP43,RFX5,0.0,-0.218
104,NUP43,RFX1,0.06,0.918
105,NUP43,APC,1.0,2.844
106,NUP43,RECQL5,0.93,3.17
107,NUP43,FAM122A,0.0,-0.578
108,NUP43,GGCX,0.49,3.322
109,NUP43,MSL1,1.0,7.814
110,NUP43,MSL2,1.0,5.492
111,NUP43,CBX8,0.97,4.322
112,NUP43,KHDRBS1,0.07,0.0
113,NUP43,ZNF592,1.0,5.129
114,NUP43,MED1,0.0,0.816
115,NUP43,SUB1,0.0,-0.578
116,NUP43,ZNF608,1.0,8.155
117,NUP43,ZNF609,1.0,2.573
118,NUP43,TKT,0.0,-1.0
119,NUP43,VEZF1,0.61,2.0
120,NUP43,TNS2,0.0,-1.599
121,NUP43,TCF7,0.0,-0.415
122,NUP43,DPYSL2,0.0,-2.943
123,NUP43,ARID2,1.0,7.18
124,NUP43,NUDT5,0.0,-1.515
125,NUP43,BOP1,0.93,2.0
126,NUP43,ARGLU1,1.0,4.907
127,NUP43,EPS8L2,0.0,-4.322
128,NUP43,PFN2,0.0,0.0
129,NUP43,MEF2D,0.0,0.546
130,NUP43,KDM3B,0.0,0.687
131,NUP43,TP53BP1,0.0,0.651
132,NUP43,KDM3A,1.0,3.585
133,NUP43,ATP5A1,0.0,-0.322
134,NUP43,SSB,0.0,-0.12
135,NUP43,MDN1,0.27,1.0
136,NUP43,H1FX,1.0,3.0
137,NUP43,RPLP2,0.0,-0.494
138,NUP43,TP53BP2,0.0,-5.644
139,NUP43,TEX10,1.0,2.121
140,NUP43,TMSB10,0.03,-0.578
141,NUP43,NUP62,0.0,-4.322
142,NUP43,TPM3,0.0,-3.322
143,NUP43,SNRPA1,0.0,0.111
144,NUP43,TRADD,0.49,3.322
145,NUP43,FAM21A,0.0,-4.322
146,NUP43,PHACTR4,0.0,-4.322
147,NUP43,TRIO,0.0,-5.644
148,NUP43,CASD1,0.12,0.585
149,NUP43,SMNDC1,0.05,0.263
150,NUP43,YKT6,0.0,-2.12
151,NUP43,RPS4X,0.31,1.585
152,NUP43,ATXN2L,0.0,-4.644
153,NUP43,TJP1,0.0,-1.252
154,NUP43,BUD13,1.0,6.966
155,NUP43,CLASRP,0.0,3.322
156,NUP43,TCP1,0.0,-0.152
157,NUP43,BABAM1,0.0,-1.599
158,NUP43,DIDO1,0.0,0.816
159,NUP43,ISY1,0.0,0.0
160,NUP43,SH3PXD2B,0.0,-2.644
161,NUP43,FAM32A,0.97,4.322
162,NUP43,SUGP1,0.0,0.918
163,NUP43,XAB2,0.0,1.084
164,NUP43,SVIL,0.0,-4.644
165,NUP43,EDC4,0.0,-5.059
166,NUP43,TCEB3,0.0,0.864
167,NUP43,PRDX6,0.0,-4.644
168,NUP43,TCEB1,0.0,-1.0
169,NUP43,DENND4C,0.0,0.379
170,NUP43,PRDX3,0.0,-0.737
171,NUP43,PRDX1,0.0,-0.269
172,NUP43,SMARCA1,1.0,5.644
173,NUP43,SMARCA2,0.0,1.0
174,NUP43,MYBL2,1.0,6.022
175,NUP43,SMARCA4,1.0,3.459
176,NUP43,SMARCA5,0.52,1.506
177,NUP43,CSTB,0.07,0.0
178,NUP43,CCT6A,0.0,-0.69
179,NUP43,CDC5L,0.0,-0.34
180,NUP43,CROCC,0.0,-1.599
181,NUP43,PAPOLG,0.31,1.585
182,NUP43,PAPOLA,0.0,-0.044
183,NUP43,PAPOLB,0.37,0.74
184,NUP43,SLC16A1,0.0,-1.0
185,NUP43,NSUN2,0.0,-0.286
186,NUP43,TUFM,0.07,0.585
187,NUP43,ZFX,1.0,6.644
188,NUP43,DYNLL1,0.49,3.907
