,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.0680500279,0.59336706118648
1,HDLBP,0.1650701797,0.54531433071428
2,PSMA2,0.4199580857,0.106474197347439
3,BAG6;BAT3,0.1073135061,0.626368681978744
4,TXNRD1,0.1749477212,0.346938200236319
5,HMOX2,0.3042464256,0.177960624733301
6,EIF2B4,-0.4971597813,0.432769912505521
7,KHSRP,0.0061619211,0.9594726070317
8,PABPC1,-0.2483522685,0.129640069026786
9,HNRNPDL,-0.4415180452,0.0793858879705075
10,POLA1,0.0109139931,0.942841446578122
11,CTNNBL1,-0.0475999669,0.71885354484037
12,SPCS2,-0.111497576,0.39126938684841
13,HNRNPDL,-0.6131929219,0.0756850825929357
14,SLIRP,-0.025785367,0.845436000720127
15,EIF5B,0.307601839,0.235294119273193
16,SPTBN1,-0.5698332599,0.0111569726272999
17,MTHFD1L,-0.0827753124,0.523254085142339
18,POLR2E,-0.6771423353,0.0166402276439591
19,TRAPPC3,-0.1626030783,0.249426627656262
20,TPM3,-0.0676839815,0.615881184467598
21,RPL17;RPL17-C18orf32,0.3385825988,0.115384015826974
22,ITGB6,0.0551692621,0.793076239394612
23,PSMB3,0.2024880495,0.325632915989432
24,VTA1,-0.2857619753,0.0832104233812904
25,AP2M1,0.1490072169,0.533824308712029
26,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.58508131,0.00973524111969703
27,POLD1,-0.4388252044,0.222286839347567
28,UGP2,-0.3110363109,0.0808152480002417
29,PTGES3,-0.2060442561,0.150349176252223
30,EIF3H,-0.3451358682,0.106073254532501
31,IDH3B,-0.1330101017,0.703677821387749
32,NDUFB6,0.4299055817,0.072224330598195
33,OGFR,-0.6122237056,0.00681076741797788
34,HYOU1,-0.1065337857,0.616294581817186
35,ACOT1;ACOT2,-0.4740839435,0.0367760386143238
36,SEPT8,-0.586395713,0.0286081762705993
37,PSME2,-0.1228595488,0.373783654740267
38,BSG,-0.2452823192,0.274708050102667
39,SRSF3,-0.0217194205,0.872406308185733
40,MRPL45,0.4892528124,0.334240243626402
41,DDX1,-0.0177417494,0.888139329535948
42,GPS1,-0.712768627,0.022853103388047
43,C21orf33,-0.2110877028,0.599944708785737
44,WDR18,-0.8088131049,0.306857829724745
45,FGF2,0.1096980947,0.767219401273724
46,EPB41L3,0.8082041918,0.0337555725998659
47,PCMT1,0.0129617804,0.955509569776232
48,NOLC1,0.1752450318,0.355697565100208
49,ABI1,0.0766948879,0.642363893731082
50,HADH,-0.0579901592,0.83711004126871
51,DDX42,0.6286536428,0.166053789139175
52,PLS3,-0.164430478,0.400523984704753
53,PITPNB;PITPNA,-0.3839220555,0.216142384239574
54,IVD,-0.0653946248,0.668011577477413
55,RBP1,0.0578023316,0.914143698293628
56,ILK,-0.1969664889,0.348864336280228
