Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XPAFAH1B1,HIST1H4A,HIST1H4A,13|28,41,20.5,2,7|7,0.5,1.0,0.5,1.0,0.5,-7.75,2.93,0.1,
XPAFAH1B1,HSPA5,HSPA5,8|5,13,6.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-114.72,0.22,0.44,
XPAFAH1B1,HSPA4,HSPA4,3|6,9,4.5,2,19|20,0.0,0.0,0.0,0.0,0.0,-75.61,0.23,0.44,
XPAFAH1B1,HSPA9,HSPA9,7|2,9,4.5,2,1|2,0.46,0.9,0.46,0.9,0.46,-3.99,3.0,0.2,
XPAFAH1B1,PDCD11,PDCD11,0|4,4,2.0,2,0|0,0.5,1.0,0.5,1.0,0.5,-2.06,20.0,0.15,
XPAFAH1B1,ZC3H15,ZC3H15,0|1,1,0.5,2,14|11,0.0,0.0,0.0,0.0,0.0,-55.68,0.04,0.44,
XPAFAH1B1,ABCD3,ABCD3,1|0,1,0.5,2,17|16,0.0,0.0,0.0,0.0,0.0,-73.53,0.03,0.44,
XPAFAH1B1,DHX9,DHX9,7|7,14,7.0,2,67|59,0.0,0.0,0.0,0.0,0.0,-251.79,0.11,0.44,
XPAFAH1B1,HSPA8,HSPA8,27|28,55,27.5,2,44|52,0.0,0.0,0.0,0.0,0.0,-136.54,0.57,0.44,
XPAFAH1B1,TCOF1,TCOF1,0|1,1,0.5,2,3|3,0.0,0.0,0.0,0.0,0.0,-13.6,0.17,0.44,
XPAFAH1B1,NUP98,NUP98,1|2,3,1.5,2,33|38,0.0,0.0,0.0,0.0,0.0,-153.67,0.04,0.44,
XPAFAH1B1,HNRNPDL,HNRNPDL,2|8,10,5.0,2,2|2,0.44,0.88,0.44,0.88,0.44,-5.77,2.5,0.23,
XPAFAH1B1,MAZ,MAZ,0|1,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-5.1,0.5,0.44,
XPAFAH1B1,ATXN2L,ATXN2L,2|1,3,1.5,2,51|46,0.0,0.0,0.0,0.0,0.0,-211.71,0.03,0.44,
XPAFAH1B1,NOP2,NOP2,3|11,14,7.0,2,18|18,0.0,0.0,0.0,0.0,0.0,-69.13,0.39,0.44,
XPAFAH1B1,GTF3C1,GTF3C1,1|0,1,0.5,2,26|21,0.0,0.0,0.0,0.0,0.0,-104.86,0.02,0.44,
