,Bait,Prey Gene,Saint Score,log2FC
0,PAFAH1B1,HIST1H4A,0.5,1.551
1,PAFAH1B1,HSPA5,0.0,-2.184
2,PAFAH1B1,HSPA4,0.0,-2.12
3,PAFAH1B1,HSPA9,0.46,1.585
4,PAFAH1B1,PDCD11,0.5,4.322
5,PAFAH1B1,ZC3H15,0.0,-4.644
6,PAFAH1B1,ABCD3,0.0,-5.059
7,PAFAH1B1,DHX9,0.0,-3.184
8,PAFAH1B1,HSPA8,0.0,-0.811
9,PAFAH1B1,TCOF1,0.0,-2.556
10,PAFAH1B1,NUP98,0.0,-4.644
11,PAFAH1B1,HNRNPDL,0.44,1.322
12,PAFAH1B1,MAZ,0.0,-1.0
13,PAFAH1B1,ATXN2L,0.0,-5.059
14,PAFAH1B1,NOP2,0.0,-1.358
15,PAFAH1B1,GTF3C1,0.0,-5.644
16,PAFAH1B1,XPO1,0.0,-3.059
17,PAFAH1B1,CSDE1,0.0,-3.059
18,PAFAH1B1,TIPRL,0.0,-3.322
19,PAFAH1B1,EPS15L1,0.0,-4.644
20,PAFAH1B1,GART,0.0,-5.059
21,PAFAH1B1,HLCS,0.0,-2.474
22,PAFAH1B1,SERBP1,0.0,-3.644
23,PAFAH1B1,GANAB,0.99,5.322
24,PAFAH1B1,CYFIP1,0.0,-2.184
25,PAFAH1B1,A0A222,0.0,-4.059
26,PAFAH1B1,ARF3,0.0,-2.737
27,PAFAH1B1,RAB11FIP5,0.0,-4.322
28,PAFAH1B1,CORO1C,0.0,-2.556
29,PAFAH1B1,EEF1A1,0.0,-0.201
30,PAFAH1B1,HMGB1,0.0,-2.837
31,PAFAH1B1,BIN3,0.0,-1.599
32,PAFAH1B1,MAGEA4,0.0,-0.396
33,PAFAH1B1,YLPM1,0.0,-6.644
34,PAFAH1B1,NOLC1,0.0,-3.059
35,PAFAH1B1,SNW1,0.0,-4.322
36,PAFAH1B1,WDR70,0.0,-5.644
37,PAFAH1B1,EWSR1,0.0,0.0
38,PAFAH1B1,PCK2,1.0,7.276
39,PAFAH1B1,ATG3,0.0,-3.837
40,PAFAH1B1,COPG2,0.0,-1.943
41,PAFAH1B1,RELA,0.0,-2.737
42,PAFAH1B1,ELK1,0.01,0.0
43,PAFAH1B1,UQCRC1,0.0,3.322
44,PAFAH1B1,RECQL5,0.0,-0.578
45,PAFAH1B1,ADNP,0.0,-6.644
46,PAFAH1B1,YTHDF2,0.0,-2.252
47,PAFAH1B1,DPYSL2,0.0,-2.396
48,PAFAH1B1,DPYSL3,0.0,-2.737
49,PAFAH1B1,DLD,0.49,4.322
50,PAFAH1B1,LARS,0.0,-2.737
51,PAFAH1B1,CALML5,0.5,4.644
52,PAFAH1B1,KDM3B,0.0,-6.644
53,PAFAH1B1,ATP5A1,1.0,2.625
54,PAFAH1B1,EIF2B4,0.45,2.0
55,PAFAH1B1,RPLP0,0.15,1.0
56,PAFAH1B1,ECD,0.0,-2.474
57,PAFAH1B1,NUP62,0.0,-3.184
58,PAFAH1B1,TPM3,0.0,-0.644
59,PAFAH1B1,FAM21A,0.0,-5.059
60,PAFAH1B1,ETFA,0.96,5.129
61,PAFAH1B1,CASD1,0.0,0.0
62,PAFAH1B1,RPS4X,0.68,2.585
63,PAFAH1B1,TJP1,0.0,-3.322
64,PAFAH1B1,TCP1,0.0,-0.599
65,PAFAH1B1,SH3PXD2B,0.0,-5.644
66,PAFAH1B1,SUGP1,0.0,-4.322
67,PAFAH1B1,KTN1,0.0,-0.69
68,PAFAH1B1,PRDX6,0.0,-3.474
69,PAFAH1B1,PRDX3,0.0,-1.322
70,PAFAH1B1,PRDX1,0.0,-0.535
71,PAFAH1B1,SMARCA2,0.0,-1.322
72,PAFAH1B1,SMARCA5,0.0,-5.059
73,PAFAH1B1,CCT6A,0.0,-0.322
74,PAFAH1B1,CDC5L,0.0,-5.644
75,PAFAH1B1,VASP,0.0,-3.837
76,PAFAH1B1,NSUN2,0.0,-3.322
77,PAFAH1B1,ARHGAP36,0.0,-1.0
78,PAFAH1B1,TUFM,1.0,2.842
79,PAFAH1B1,CALM2,0.0,-2.0
80,PAFAH1B1,DNMT1,0.0,-3.059
81,PAFAH1B1,DLGAP5,0.0,-5.644
82,PAFAH1B1,TRIM28,0.0,-3.322
83,PAFAH1B1,SLC25A3,0.21,0.585
84,PAFAH1B1,TRIM25,0.0,-3.644
85,PAFAH1B1,SLC25A6,0.0,-1.0
86,PAFAH1B1,SLC25A5,0.0,-0.252
87,PAFAH1B1,KIF5B,0.0,-3.184
88,PAFAH1B1,UTRN,0.0,-2.644
89,PAFAH1B1,GAPDH,0.06,1.0
90,PAFAH1B1,NDRG1,0.0,-4.322
91,PAFAH1B1,PPM1G,0.0,-5.059
92,PAFAH1B1,IARS2,0.5,6.022
93,PAFAH1B1,ABCF1,0.0,-3.837
94,PAFAH1B1,GID8,0.46,3.907
95,PAFAH1B1,PTPN1,0.0,-3.837
96,PAFAH1B1,SLC3A2,0.0,-2.396
97,PAFAH1B1,BAG3,0.0,-3.644
98,PAFAH1B1,MYO1C,0.46,3.907
99,PAFAH1B1,MYO1B,0.0,-1.837
100,PAFAH1B1,MSRB3,0.0,-0.322
101,PAFAH1B1,RPS7,0.5,4.644
102,PAFAH1B1,RPS6,0.77,1.876
103,PAFAH1B1,RPS3,0.98,2.738
104,PAFAH1B1,RPS2,0.08,1.0
105,PAFAH1B1,VDAC2,0.0,-1.515
106,PAFAH1B1,VDAC1,0.34,2.0
107,PAFAH1B1,RPS9,0.94,3.17
108,PAFAH1B1,RPS8,0.76,1.546
109,PAFAH1B1,CTPS1,0.0,-2.252
110,PAFAH1B1,DSG2,0.0,-2.556
111,PAFAH1B1,HIST2H2AA3,0.98,1.949
112,PAFAH1B1,SF3B3,0.0,-3.322
113,PAFAH1B1,CS,0.5,4.322
