,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.416975129,0.0098468159140735
1,HDLBP,-0.5239607075,0.0133037405026195
2,PSMA2,-0.0701055629,0.566662612748623
3,BAG6;BAT3,0.0682295746,0.544778932557415
4,TAF15,-0.0803057897,0.560010611602325
5,TXNRD1,0.2690208268,0.147940963408451
6,HMOX2,-0.0973769735,0.602822227608335
7,EIF2B4,-1.1002497263,0.140019227324929
8,NDUFS7,0.2575732163,0.294504975441353
9,KHSRP,-0.0242636492,0.789107933972774
10,HNRNPDL,-0.5865763808,0.0149307149543402
11,POLA1,-0.0772846276,0.563564353736026
12,CTNNBL1,-0.2040979153,0.103725079966302
13,SPCS2,0.7163600093,0.00609612225327279
14,HNRNPDL,-0.4190237138,0.0283203203654707
15,SLIRP,-0.1156491777,0.308924126133968
16,EIF5B,0.0910838633,0.49718413160277
17,SPTBN1,-0.6043231776,0.00315029217483482
18,MTHFD1L,-0.5514731121,0.0492693573628437
19,POLR2E,-0.4791036312,0.0400080706967528
20,POLD2,0.2813733829,0.487652014717723
21,TPM3,0.0137102105,0.888491535654928
22,SRP19,0.5072325145,0.282329009187189
23,TARDBP;TDP43,-0.3994001695,0.0134380676727245
24,RPL17;RPL17-C18orf32,0.2683594903,0.129791715409362
25,ITGB6,0.0900211347,0.478250632333108
26,VTA1,0.8135684276,0.0833392842048521
27,AP2M1,0.0731630941,0.748018032827778
28,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.0672570005,0.801878653802107
29,POLD1,0.1495819642,0.475008205932831
30,UGP2,-0.3992741104,0.0126791901532556
31,PTGES3,-0.0908949278,0.380969899409171
32,SBDS,0.2720997025,0.0841016513714096
33,OGFR,-0.3101583668,0.0488923961959694
34,HYOU1,-0.2056964168,0.138041938578009
35,SLC4A1AP,-0.588171465,0.0132461714575509
36,ACOT2;ACOT1,-0.2804051049,0.128201351188914
37,SEPT8,0.9260741214,0.074484891291132
38,RAB18,-0.0986412297,0.483276475103517
39,PSME2,-0.5067015571,0.0206636471798802
40,BSG,-0.0558951863,0.732971789437613
41,MRPL45,0.4182867809,0.379429866529957
42,GPS1,-0.3934281766,0.0965183392044185
43,A0A096LPI6,-0.6262602582,0.176088807289251
44,PYCRL,0.2842701417,0.480272572527037
45,WDR18,-1.5145150572,0.0331199436956006
46,HNRNPUL1,-0.7074036024,0.0954983822699629
47,SNX6,-0.9329865258,0.180430517968933
48,PCMT1,0.0522992301,0.71481978313672
49,NOLC1,0.1320669899,0.413124740269392
50,ABI1,0.4207746531,0.0861318206303338
51,LAMA3,0.2178836398,0.909553938491499
52,HADH,-0.4512828388,0.155624648119941
53,PITPNB,-0.4521890975,0.0679186880431595
54,SMARCA4,0.575220534,0.157716027947197
55,IVD,-0.137754009,0.188774097401963
56,ILK,-0.3764612327,0.116474897979295
57,ELOVL5,-0.68363929,0.0055670467993765
58,CUL2,-0.9741821786,0.313864801105195
59,ADSL,0.3984933649,0.0130110519027562
60,LUC7L2,-0.0815596517,0.693893062046061
61,NAA15,-0.1316820023,0.447846248522433
62,SRSF7,-0.0483028185,0.806945156842317
63,TPT1,-0.0949833506,0.704776118951273
64,PWP2,-0.1991935435,0.110230336106571
65,GSTZ1,-0.31955234,0.272928398464871
66,SET;SETSIP,-0.2404520224,0.161898676517059
67,RPSA,0.2453414762,0.0882834114083782
68,SYNE1,0.5801223053,0.623986401866652
69,HTRA2,0.3435146081,0.196890003351692
70,DDX46,-0.466411727,0.008886599955498
71,ECI2,-1.1024234575,0.0496589532881854
72,CHD4;CHD5,-0.3371718862,0.0254782725702624
73,CAPNS1,0.0289155251,0.780169013859726
74,DDOST,-0.1654738659,0.209264676157744
75,LAMTOR5,-1.1066200407,0.00131999976288526
76,MAP4K4;TNIK;MINK1,-0.4428985815,0.0305879074145414
77,DIAPH1,-0.6871986844,0.167817588118439
78,PSMB9,0.3242362187,0.632596873371015
79,GBA,-1.0773111807,0.00784539199438984
80,PUF60,0.297655681,0.235453720565286
81,MATR3,-0.4574917514,0.014105206912196
82,ROCK1;ROCK2,1.0267731069,0.322287322272829
83,PACSIN2,0.4212067078,0.128501036649276
84,HLA-A,-1.0426731836,0.000601745078141955
85,PSMB8;PSM8,-0.5742775616,0.0211893557921095
86,FTO,-0.0742580063,0.473679546674486
87,ALDH7A1,-0.4999613567,0.0290919192401551
88,TJP2,0.1881899104,0.288353125340215
89,SH3PXD2B;SH3PXD2A,0.0048270934,0.974037343484848
90,CTSD,-0.7931370687,0.00248650150495636
91,DPYSL2,-0.9187189812,0.0354995978568913
92,SFXN3,-0.0517989701,0.674679916037602
93,POLR2B,-0.2218506159,0.0839770354452447
94,SCARB2,0.0665970568,0.705213105286049
95,TCEA1,0.1451821402,0.675048004128669
96,BCLAF1,-0.3529244506,0.097484254986282
97,DDX17,-0.4087603571,0.114441628592822
98,RTTN,0.0383566967,0.799817971750947
99,GCSH,0.4060802049,0.02210266159929
100,PHGDH,-0.1594555253,0.534961157639367
101,PPT1,-0.8021533001,0.00145371942100166
102,CAMK2G,-0.0425180507,0.871500595565456
103,OPA1,0.1340420595,0.359271726852178
104,CD9,-0.0079952276,0.966072284857954
105,CTNNB1,-0.0772883938,0.614559962012053
106,POLR1C,0.0718191618,0.511155026808898
107,TBCE,-0.0568246799,0.614350662230038
108,DDX3X;DDX3Y,-0.3237898453,0.0188544101860448
