,Bait,Prey Gene,Saint Score,log2FC
0,PHIP,CUL4A,1.0,7.451211111832329
1,PHIP,PHIP,1.0,7.317412613764869
2,PHIP,PCCB,0.95,4.807354922057604
3,PHIP,SRRM2,0.86,4.643856189774724
4,PHIP,UBXN7,0.72,2.2234225499349374
5,PHIP,FLNA,0.56,1.584962500721156
6,PHIP,MCCC2,0.5,3.4594316186372973
7,PHIP,ARGLU1,0.48,4.321928094887363
8,PHIP,SRSF7,0.38,3.321928094887362
9,PHIP,DDB1,0.19,2.0
10,PHIP,PREX1,0.17,1.3219280948873624
11,PHIP,MSRB3,0.1,1.4594316186372973
12,PHIP,INTU,0.07,1.0
13,PHIP,RPS27,0.07,1.0
14,PHIP,LGALS1,0.06,1.3219280948873624
15,PHIP,MAP3K2,0.05,0.5849625007211562
16,PHIP,ACACB,0.02,0.84799690655495
17,PHIP,RPL8,0.01,0.32192809488736235
18,PHIP,HIST1H4A,0.0,-2.0
19,PHIP,HSPA6,0.0,-1.3219280948873622
20,PHIP,HSPA8,0.0,-3.8365012677171206
21,PHIP,TIPRL,0.0,-4.321928094887363
22,PHIP,HLCS,0.0,-3.473931188332412
23,PHIP,ELMSAN1,0.0,-3.0588936890535687
24,PHIP,EEF1A1,0.0,-3.1844245711374275
25,PHIP,PNN,0.0,-3.0588936890535687
26,PHIP,ADNP,0.0,-5.643856189774724
27,PHIP,TCF7,0.0,-1.5994620704162712
28,PHIP,PFN2,0.0,-0.4941090702700427
29,PHIP,ATP5A1,0.0,-2.321928094887362
30,PHIP,TCP1,0.0,-2.1844245711374275
31,PHIP,PRDX3,0.0,-2.321928094887362
32,PHIP,PRDX1,0.0,-1.2515387669959646
33,PHIP,PAPOLB,0.0,-2.0
34,PHIP,TUFM,0.0,-2.0
35,PHIP,SLC25A5,0.0,-1.7858751946471527
36,PHIP,BRD4,0.0,-4.058893689053568
37,PHIP,RPS6,0.0,-2.5563933485243853
38,PHIP,CTPS1,0.0,-6.643856189774724
39,PHIP,HSP90AB1,0.0,-4.058893689053568
40,PHIP,RPL7,0.0,0.0
41,PHIP,RPL4,0.0,-2.1202942337177118
42,PHIP,RPL3,0.0,0.0
43,PHIP,CHD4,0.0,-4.058893689053568
44,PHIP,ABHD14B,0.0,-2.8365012677171206
45,PHIP,RPL6,0.0,-1.3959286763311392
46,PHIP,MKI67,0.0,-6.643856189774724
47,PHIP,HIST1H2AG,0.0,-1.7858751946471527
48,PHIP,PCCA,0.0,0.1505596765753814
