,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.4789566911,0.0127766677478552
1,HDLBP,-0.3337290985,0.0455854312859586
2,PSMA2,-0.169329018,0.178284872723578
3,BAG6;BAT3,0.6274970731,0.0106049982028798
4,TAF15,-0.0992817077,0.462859657788858
5,TXNRD1,0.0550563712,0.731915884866565
6,HMOX2,0.0509442175,0.80240437771609
7,EIF2B4,-0.7570006429,0.239566398543217
8,NDUFS7,0.7722606352,0.00340813182739784
9,KHSRP,0.2343927588,0.0989130018840526
10,PYCR2,-0.1818730969,0.276333896454728
11,HNRNPDL,-0.5292517449,0.0194973631581235
12,CTNNBL1,0.0082119301,0.940249023512662
13,SPCS2,0.0542110591,0.797520587351889
14,SYMPK,0.1840631642,0.172928842428856
15,HNRNPDL,-0.427313981,0.0236460315024504
16,EIF5B,0.446555575,0.0881678131695404
17,MTHFD1L,-0.0610205852,0.609994331363156
18,POLR2E,-0.3682928761,0.0637837076896942
19,TRAPPC3,-0.3218486689,0.0471126028175497
20,TPM3,0.0171653137,0.878150262824118
21,RPL17;RPL17-C18orf32,0.3112734385,0.111042612650293
22,ITGB6,0.0762576259,0.585739476104896
23,PSMB3,-0.126169023,0.418874216012126
24,VTA1,-0.1710704372,0.193120116911478
25,AP2M1,0.169606558,0.44686714356727
26,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.2580703974,0.116826523690647
27,UGP2,-0.2175792772,0.0979196564921701
28,PTGES3,-0.3285713349,0.0432619503575367
29,EIF3H,-0.1537184921,0.255074263235166
30,IDH3B,-0.3862291828,0.10066603326087
31,SBDS,0.3233376557,0.0342743214912241
32,OGFR,-0.3311199127,0.0353480079026729
33,HYOU1,-0.0451424329,0.775096513237903
34,SLC4A1AP,-0.6470079854,0.0081226554466416
35,ACOT1;ACOT2,-0.3897660899,0.0465269561669188
36,NOMO2;NOMO1;NOMO3,-0.2320779189,0.607553978492231
37,STAU1,0.0861156385,0.728211965962799
38,PSME2,-0.0290563531,0.816407512315529
39,BSG,-0.0896955872,0.549354242080268
40,SRSF3,-0.0003400353,0.99783983025459
41,MRPL45,0.3747212313,0.426406020073408
42,GPS1,-0.3456151758,0.13841316538952
43,C21orf33,-0.8223297433,0.00495045445512319
44,WDR18,-0.7282133745,0.272566753193205
45,FGF2,0.4138411342,0.119239144979791
46,HNRNPUL1,-0.6904152103,0.00213668918662396
47,EPB41L3,0.055960837,0.800231905453075
48,PCMT1,0.297120526,0.117493278775647
49,NOLC1,0.4540028901,0.0150367314128929
50,ABI1,-0.204011707,0.42696891551714
51,HADH,-0.338586181,0.226416995679557
52,DDX42,0.2766225672,0.318964091170322
53,NUP214,0.0193127419,0.946899705339477
54,PITPNB,-0.3732542646,0.102812877340332
55,PPP1R8,0.9590917329,0.00359854857715414
56,SMARCA4;SMARCA2,0.7976332216,0.00413258767255375
57,IVD,-0.1615460448,0.193576732769065
58,RBP1,-1.0933681725,0.00110073040799229
59,TUSC3,-0.3944411825,0.022354078699227
60,ILK,-0.337371154,0.121164460037829
61,ADSL,0.3118882575,0.038507578323223
62,TMED7;TMED7-TICAM2,-0.0906775448,0.445326668293277
63,NAA15,0.0525628398,0.707220441003027
64,SRSF7,-0.2707020653,0.0674319344562157
