Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XPOC1B,HIST1H4A,HIST1H4A,7|4,11,5.5,2,6|6,0.0,0.0,0.0,0.0,0.0,-17.71,0.92,0.58,
XPOC1B,HSPA6,HSPA6,4|0,4,2.0,2,2|3,0.0,0.01,0.0,0.01,0.0,-12.1,0.8,0.53,
XPOC1B,HSPA5,HSPA5,5|4,9,4.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-118.51,0.15,0.62,
XPOC1B,HSPA4,HSPA4,1|1,2,1.0,2,16|18,0.0,0.0,0.0,0.0,0.0,-72.11,0.06,0.62,
XPOC1B,HSPA9,HSPA9,3|0,3,1.5,2,1|2,0.02,0.04,0.02,0.04,0.02,-7.89,1.0,0.47,
XPOC1B,HSPA8,HSPA8,44|36,80,40.0,2,43|50,0.0,0.0,0.0,0.0,0.0,-114.95,0.86,0.62,
XPOC1B,ZC3H13,ZC3H13,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.09,1.0,0.62,
XPOC1B,DHX9,DHX9,3|0,3,1.5,2,68|57,0.0,0.0,0.0,0.0,0.0,-280.45,0.02,0.62,
XPOC1B,NOP2,NOP2,1|0,1,0.5,2,17|17,0.0,0.0,0.0,0.0,0.0,-76.34,0.03,0.62,
XPOC1B,KIAA1279,KIAA1279,2|1,3,1.5,2,1|0,0.12,0.24,0.12,0.24,0.12,-2.48,3.0,0.41,
XPOC1B,CSDE1,CSDE1,4|10,14,7.0,2,47|52,0.0,0.0,0.0,0.0,0.0,-204.02,0.14,0.62,
XPOC1B,TIPRL,TIPRL,6|4,10,5.0,2,30|31,0.0,0.0,0.0,0.0,0.0,-120.69,0.16,0.62,
XPOC1B,ANAPC1,ANAPC1,0|1,1,0.5,2,8|15,0.0,0.0,0.0,0.0,0.0,-51.55,0.04,0.62,
XPOC1B,RPS6KA1,RPS6KA1,1|0,1,0.5,2,21|19,0.0,0.0,0.0,0.0,0.0,-89.76,0.03,0.62,
XPOC1B,HLCS,HLCS,2|0,2,1.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-25.18,0.18,0.62,
XPOC1B,SERBP1,SERBP1,4|1,5,2.5,2,37|52,0.0,0.0,0.0,0.0,0.0,-194.07,0.06,0.62,
XPOC1B,ARF3,ARF3,1|1,2,1.0,2,7|5,0.0,0.0,0.0,0.0,0.0,-24.16,0.17,0.62,
XPOC1B,NOL6,NOL6,0|2,2,1.0,2,1|1,0.03,0.06,0.03,0.06,0.03,-5.68,1.0,0.44,
XPOC1B,RAB11FIP1,RAB11FIP1,3|0,3,1.5,2,10|13,0.0,0.0,0.0,0.0,0.0,-51.8,0.13,0.62,
XPOC1B,MPRIP,MPRIP,1|0,1,0.5,2,24|26,0.0,0.0,0.0,0.0,0.0,-112.15,0.02,0.62,
XPOC1B,LARP1,LARP1,4|4,8,4.0,2,29|30,0.0,0.0,0.0,0.0,0.0,-116.34,0.14,0.62,
XPOC1B,EEF1A1,EEF1A1,18|9,27,13.5,2,38|48,0.0,0.0,0.0,0.0,0.0,-159.19,0.31,0.62,
XPOC1B,EEF1A2,EEF1A2,3|3,6,3.0,2,9|7,0.0,0.0,0.0,0.0,0.0,-27.54,0.38,0.62,
XPOC1B,MAGEA4,MAGEA4,6|3,9,4.5,2,9|6,0.0,0.0,0.0,0.0,0.0,-25.54,0.6,0.62,
XPOC1B,RPN2,RPN2,5|0,5,2.5,2,0|0,0.5,1.0,0.5,1.0,0.5,-2.65,25.0,0.14,
XPOC1B,CLOCK,CLOCK,2|2,4,2.0,2,0|0,0.87,0.87,0.87,0.87,0.87,1.89,20.0,0.02,
XPOC1B,RELA,RELA,1|0,1,0.5,2,4|7,0.0,0.0,0.0,0.0,0.0,-25.18,0.09,0.62,
XPOC1B,RFX3,RFX3,2|1,3,1.5,2,0|0,0.43,0.87,0.43,0.87,0.43,-0.14,15.0,0.27,
XPOC1B,PAK2,PAK2,1|1,2,1.0,2,28|34,0.0,0.0,0.0,0.0,0.0,-134.21,0.03,0.62,
XPOC1B,DPYSL4,DPYSL4,2|1,3,1.5,2,20|12,0.0,0.0,0.0,0.0,0.0,-67.46,0.09,0.62,
XPOC1B,DPYSL2,DPYSL2,5|8,13,6.5,2,47|44,0.0,0.0,0.0,0.0,0.0,-182.78,0.14,0.62,
XPOC1B,DPYSL3,DPYSL3,3|1,4,2.0,2,36|32,0.0,0.0,0.0,0.0,0.0,-147.57,0.06,0.62,
XPOC1B,NUDT4,NUDT4,2|4,6,3.0,2,2|2,0.01,0.03,0.01,0.03,0.01,-6.35,1.5,0.49,
XPOC1B,NUDT5,NUDT5,0|2,2,1.0,2,16|20,0.0,0.0,0.0,0.0,0.0,-80.82,0.06,0.62,
XPOC1B,EPS8L2,EPS8L2,1|1,2,1.0,2,8|9,0.0,0.0,0.0,0.0,0.0,-34.92,0.12,0.62,
XPOC1B,PPP5C,PPP5C,1|2,3,1.5,2,0|0,0.43,0.87,0.43,0.87,0.43,-0.14,15.0,0.27,
XPOC1B,PFN2,PFN2,4|3,7,3.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-10.21,1.0,0.55,
XPOC1B,DNAJB1,DNAJB1,2|6,8,4.0,2,15|15,0.0,0.0,0.0,0.0,0.0,-59.87,0.27,0.62,
XPOC1B,ECD,ECD,1|1,2,1.0,2,17|19,0.0,0.0,0.0,0.0,0.0,-76.52,0.06,0.62,
XPOC1B,TPM3,TPM3,1|1,2,1.0,2,5|5,0.0,0.0,0.0,0.0,0.0,-19.93,0.2,0.62,
XPOC1B,PRPF40A,PRPF40A,1|0,1,0.5,2,9|9,0.0,0.0,0.0,0.0,0.0,-40.66,0.06,0.62,
XPOC1B,ETF1,ETF1,1|0,1,0.5,2,14|12,0.0,0.0,0.0,0.0,0.0,-58.48,0.04,0.62,
XPOC1B,TRIO,TRIO,0|1,1,0.5,2,24|32,0.0,0.0,0.0,0.0,0.0,-125.64,0.02,0.62,
XPOC1B,YKT6,YKT6,2|1,3,1.5,2,19|22,0.0,0.0,0.0,0.0,0.0,-87.59,0.07,0.62,
XPOC1B,RPS4X,RPS4X,3|0,3,1.5,2,1|0,0.27,0.55,0.27,0.55,0.27,-4.09,3.0,0.36,
