,Bait,Prey Gene,Saint Score,log2FC
0,POC1B,HIST1H4A,0.0,-0.12
1,POC1B,HSPA6,0.0,-0.322
2,POC1B,HSPA5,0.0,-2.737
3,POC1B,HSPA4,0.0,-4.059
4,POC1B,HSPA9,0.02,0.0
5,POC1B,HSPA8,0.0,-0.218
6,POC1B,ZC3H13,0.0,0.0
7,POC1B,DHX9,0.0,-5.644
8,POC1B,NOP2,0.0,-5.059
9,POC1B,KIAA1279,0.12,1.585
10,POC1B,CSDE1,0.0,-2.837
11,POC1B,TIPRL,0.0,-2.644
12,POC1B,ANAPC1,0.0,-4.644
13,POC1B,RPS6KA1,0.0,-5.059
14,POC1B,HLCS,0.0,-2.474
15,POC1B,SERBP1,0.0,-4.059
16,POC1B,ARF3,0.0,-2.556
17,POC1B,NOL6,0.03,0.0
18,POC1B,RAB11FIP1,0.0,-2.943
19,POC1B,MPRIP,0.0,-5.644
20,POC1B,LARP1,0.0,-2.837
21,POC1B,EEF1A1,0.0,-1.69
22,POC1B,EEF1A2,0.0,-1.396
23,POC1B,MAGEA4,0.0,-0.737
24,POC1B,RPN2,0.5,4.644
25,POC1B,CLOCK,0.87,4.322
26,POC1B,RELA,0.0,-3.474
27,POC1B,RFX3,0.43,3.907
28,POC1B,PAK2,0.0,-5.059
29,POC1B,DPYSL4,0.0,-3.474
30,POC1B,DPYSL2,0.0,-2.837
31,POC1B,DPYSL3,0.0,-4.059
32,POC1B,NUDT4,0.01,0.585
33,POC1B,NUDT5,0.0,-4.059
34,POC1B,EPS8L2,0.0,-3.059
35,POC1B,PPP5C,0.43,3.907
36,POC1B,PFN2,0.0,0.0
37,POC1B,DNAJB1,0.0,-1.889
38,POC1B,ECD,0.0,-4.059
39,POC1B,TPM3,0.0,-2.322
40,POC1B,PRPF40A,0.0,-4.059
41,POC1B,ETF1,0.0,-4.644
42,POC1B,TRIO,0.0,-5.644
43,POC1B,YKT6,0.0,-3.837
44,POC1B,RPS4X,0.27,1.585
45,POC1B,ATXN2L,0.0,-6.644
46,POC1B,TJP1,0.0,-6.644
47,POC1B,TCP1,1.0,2.014
48,POC1B,TCEB3,0.0,-4.322
49,POC1B,PRDX6,0.0,-0.713
50,POC1B,PRDX1,0.0,-0.862
51,POC1B,CCT6A,0.01,0.918
52,POC1B,CROCC,0.0,-1.599
53,POC1B,PAPOLB,0.0,-1.0
54,POC1B,CKM,0.49,3.907
55,POC1B,TXNDC9,0.0,-1.0
56,POC1B,SLK,0.0,-6.644
57,POC1B,CALM3,0.0,-2.556
58,POC1B,CACNA1D,0.0,-2.556
59,POC1B,DLGAP5,0.0,-5.059
60,POC1B,SLC25A3,0.0,-0.415
61,POC1B,TRIM25,0.0,-4.644
62,POC1B,PRMT7,0.0,-5.059
63,POC1B,SLC25A5,0.0,-0.811
64,POC1B,NELFCD,0.0,-3.837
65,POC1B,TTC12,0.5,4.644
66,POC1B,SEH1L,0.0,0.0
67,POC1B,MROH2B,0.0,-2.556
68,POC1B,GAPDH,0.0,0.287
69,POC1B,SEC16A,0.0,-3.059
70,POC1B,ABCF2,0.0,-4.644
71,POC1B,ABCF1,0.0,-3.837
72,POC1B,APOBEC3B,0.0,-1.0
73,POC1B,PTPN2,0.0,-3.184
74,POC1B,BAG3,0.0,-2.837
75,POC1B,RPS6,0.0,-1.786
76,POC1B,RPS3,0.48,1.807
77,POC1B,RPS2,0.0,-1.396
78,POC1B,VDAC2,0.0,-2.0
79,POC1B,VDAC1,0.48,2.585
80,POC1B,RPS9,0.42,2.0
81,POC1B,RPS8,0.0,-0.415
82,POC1B,CTPS1,0.0,-2.837
83,POC1B,DSG1,0.83,3.0
84,POC1B,LGALS1,0.92,2.7
85,POC1B,HN1,0.0,-1.599
86,POC1B,VARS,0.0,-5.644
87,POC1B,KIAA1524,0.0,-1.786
88,POC1B,KIAA1033,0.0,0.0
89,POC1B,RPL24,0.0,-3.474
90,POC1B,RPL27,0.0,-2.556
91,POC1B,RPL23,0.21,1.0
92,POC1B,RPL22,0.43,3.322
93,POC1B,TAGLN,0.0,-3.644
94,POC1B,PUF60,0.0,-5.644
95,POC1B,PLIN3,0.0,-2.322
96,POC1B,SMAP1,0.0,-1.322
97,POC1B,CIAPIN1,0.0,-4.644
98,POC1B,HSP90AB1,0.0,0.516
99,POC1B,ARHGAP29,0.0,-4.059
100,POC1B,A0A5F9ZHW6,0.0,3.322
101,POC1B,ATG2B,0.0,-5.644
102,POC1B,TWF2,0.0,-2.943
103,POC1B,EIF4G2,0.0,-2.737
104,POC1B,EEF1D,0.0,-2.059
105,POC1B,RPL8,0.0,-1.0
106,POC1B,RPL9,0.5,5.129
107,POC1B,RPL4,0.0,-2.12
108,POC1B,RPL3,0.49,2.585
109,POC1B,PTH,0.43,3.907
110,POC1B,CAP1,0.0,-3.322
111,POC1B,TTC4,0.55,2.585
112,POC1B,TTC1,0.0,-1.286
113,POC1B,DYNC1LI1,0.0,-2.737
114,POC1B,ABHD14B,0.0,-3.059
115,POC1B,PBK,0.0,-4.322
116,POC1B,VBP1,0.6,2.0
117,POC1B,RPL6,0.0,-0.69
118,POC1B,FHOD1,0.0,-6.644
119,POC1B,HIST1H2AG,0.0,-0.494
120,POC1B,SH3KBP1,0.0,-4.644
121,POC1B,VPS13C,0.0,0.0
122,POC1B,PGRMC2,0.0,-4.644
123,POC1B,RPL30,0.0,0.0
124,POC1B,LTF,0.12,1.0
125,POC1B,ZCCHC11,0.0,-2.837
126,POC1B,BUB1B,0.0,-5.644
127,POC1B,SBF1,0.0,-1.0
128,POC1B,COMMD8,0.0,-1.474
129,POC1B,FAM114A1,0.0,-5.059
130,POC1B,FAM114A2,0.0,-3.474
131,POC1B,ZMYM4,0.0,-0.578
132,POC1B,PRDX4,0.87,4.322
133,POC1B,EIF2A,0.0,-2.837
134,POC1B,CAPZB,0.0,-3.474
135,POC1B,TANGO6,0.0,-5.059
136,POC1B,STIP1,0.0,-0.737
137,POC1B,PEPD,0.0,-1.599
138,POC1B,AHSA1,0.0,-1.0
139,POC1B,DST,0.0,-6.644
140,POC1B,DSP,0.48,2.585
141,POC1B,GLMN,0.98,2.459
142,POC1B,PDAP1,0.0,-1.837
143,POC1B,DYRK2,0.0,0.0
144,POC1B,BSN,0.0,0.0
145,POC1B,CEP44,0.01,0.322
146,POC1B,MECP2,0.0,2.322
147,POC1B,CTTN,0.0,-2.396
148,POC1B,EIF2S1,0.0,-2.556
149,POC1B,COBLL1,0.0,-4.059
150,POC1B,CTSB,0.0,-2.556
151,POC1B,N4BP2,0.0,-4.644
152,POC1B,HEATR6,0.0,0.0
153,POC1B,OR2Z1,0.0,1.0
154,POC1B,EIF3L,0.0,-1.0
155,POC1B,EIF3M,0.0,-1.0
156,POC1B,EIF3B,0.0,-4.644
157,POC1B,DHRS2,0.24,1.585
158,POC1B,PELO,0.97,3.459
159,POC1B,EIF3F,0.0,-1.0
160,POC1B,EIF3G,0.0,-4.322
161,POC1B,RARS,0.0,-4.059
162,POC1B,TPR,0.0,-6.644
163,POC1B,NMT1,0.0,-3.322
164,POC1B,CSTF2T,0.0,-0.494
165,POC1B,FUBP3,0.0,-5.059
