,Gene Name,log2(Fold change),P-value
0,SERPINB6,-0.886043289,0.000703434874417219
1,HDLBP,-0.0975315891,0.480280264339474
2,PSMA2,-0.0596467737,0.614485203070581
3,BAG6;BAT3,-0.4269270738,0.0225199748763096
4,TAF15,-0.1980784005,0.165380111259993
5,TXNRD1,0.7642858401,0.00527812100386192
6,HMOX2,-0.0007334384,0.997101493427685
7,EIF2B4,-0.9686231921,0.161495044304233
8,KHSRP,-0.2039771145,0.0772210804114498
9,PABPC1;PABPC3,-0.096486441,0.413315585306835
10,PYCR2,-0.4193434741,0.135760704900286
11,MRPL45,0.3491360096,0.468556516871778
12,POLA1,0.2708357487,0.0848296074025676
13,HNRNPDL,-0.2189827769,0.112759431556708
14,SLIRP,-0.1368480806,0.306339812369031
15,EIF5B,-0.2245039442,0.131478541302171
16,BSG,-0.0861137343,0.506955728871678
17,SPTBN1,-0.2353543223,0.10206538354008
18,NAT10,0.2643809793,0.0625079477950523
19,MTHFD1L,-0.1416049177,0.517520331431838
20,HYOU1,-0.3818406353,0.0248795201952963
21,TRAPPC3,-0.0670532154,0.55437280683034
22,TPM3,-0.0534009489,0.584395592209754
23,TARDBP;TDP43,0.1715779406,0.298443888033232
24,RPL17;RPL17-C18orf32,0.1939235778,0.233608212993667
25,VTA1,-0.3632492853,0.0172951968864167
26,AP2M1,-0.4157523999,0.130263941715433
27,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.6040409787,0.00565976103871533
28,SRP19,-0.2130357105,0.664092826266681
29,UGP2,-0.0711991861,0.488342435741528
30,PTGES3,-0.0879895952,0.407689393287718
31,EIF3H,-0.0383920441,0.737388290943224
32,SNX12,-0.9638393828,0.00471958647100491
33,ACOT1;ACOT2,-0.8364612911,0.00346539528595012
34,08-Sep,-0.214729457,0.213165298137669
35,STAU1,0.1446068392,0.559168023654144
36,PSME2,-0.3239066485,0.021819271205963
37,AP2B1,0.0825415491,0.624428220989568
38,SRSF3,-0.042642306,0.727157318337073
39,DDX1,-0.1110944285,0.297907157509792
40,VDAC2,0.2058820324,0.101822069483666
41,GSTZ1,0.59765888,0.100431883215819
42,TTN,0.4293981918,0.117309920058461
43,HNRNPUL1,-0.823074656,0.0494425261972734
44,SNX6,0.0220043941,0.904209314028459
45,PCMT1,-0.0842918606,0.564041784087544
46,NOLC1,0.0753732239,0.464236131732647
47,DCTN3,0.4162420595,0.582065848771571
48,NOL6,-0.9541971137,0.000437216240469702
49,HADH,-0.8654511376,0.0255232144852508
50,DDX42,-0.037672547,0.91242034574078
51,PLS3,-0.2653193247,0.0360039267220692
52,PITPNB,-0.6683264463,0.0912935627896773
53,IVD,-0.3289012584,0.0238448081772454
54,ILK,-0.0513008216,0.789269247731003
55,ADSL,0.2460453006,0.0944058580866294
56,TMED7;TMED7-TICAM2,0.2335347213,0.0622159329743739
57,LUC7L2,-0.3706979719,0.0184986180677895
58,NAA15,-0.1315641052,0.45374775420509
59,SRSF7,0.3071074972,0.155284456002306
60,TCEB2,-0.1314897233,0.278042838032934
61,RPS15,-0.230438251,0.613869823151507
62,TPT1,0.2453970818,0.337068292426849
63,SET,-0.3371078349,0.0615441092032723
64,RPSA,0.2957828932,0.0431530526251379
65,DDX46,0.0703270993,0.611532403916527
66,CHD4,-0.3706040055,0.112544202134603
67,CAPNS1,0.0068819485,0.953672617771772
68,DDOST,-0.3522119265,0.0301047884736696
69,DDX3X;DDX3Y,-0.1924086364,0.094697024149602
70,SPTAN1,-0.1240447846,0.553491202646741
71,DNM2;DNM1;DNM3,-0.5700238613,0.00918120653314653
72,HSPA1A;HSPA1B,0.3238880999,0.0463258465906886
73,PSMB9,-1.1286416806,0.00206394453941013
74,SSBP1,-0.2908651805,0.206327958770404
75,CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,0.0098759357,0.982629578746239
76,PUF60,0.2432209523,0.302602787981498
77,MATR3,-0.206082728,0.108509547420388
78,RBM39,0.140338439,0.33214959585116
79,PACSIN2,-0.2057995494,0.371309212781316
80,HLA-A,-0.9710559074,0.000438798592053172
81,PSMB8;PSM8,-0.4579134782,0.0618085480495567
82,ALDH7A1,-0.3452148226,0.0862509107388759
83,CTSD,-0.9879196041,0.000287123812030858
84,ZEB2,-0.280315656,0.243375918705714
85,DPYSL2,-0.3846430211,0.243102653833447
86,MAPK15,-0.6096472455,0.00293048642375037
87,SFXN3,0.8936861659,0.0302399646149437
88,ME2,0.1638025824,0.164500677431844
89,POLR2B,-0.1229671543,0.447230874543653
90,BCLAF1,-0.5185530837,0.0112068512053259
91,DDX17,-0.5279563364,0.0537455992227206
92,RTTN,0.0415977481,0.697356843218443
93,GCSH,0.4487690619,0.0474177579614696
94,PHGDH,-0.3274191661,0.261408025296957
95,RRM2,-0.2687018621,0.57016006368165
96,PPT1,-0.4180168472,0.0351505500246722
97,CAMK2B;CAMK2G;CAMK2A,0.0012999323,0.995880786090816
98,OPA1,-0.1636448446,0.203655399580243
99,POLR1C,0.8126315099,0.219375484637035
100,BCAP31,0.3221758583,0.115622542198148
101,TPM4,0.2193627645,0.0872301643589238
102,RPL5,0.347122046,0.0283762380488266
103,RPS14,0.1136878288,0.286484241002486
104,RPS24,0.3153767403,0.0231854436566361
105,PFKM,-0.3699913151,0.0319439625565073
106,HSD17B4,-0.7601808146,0.0106622931318816
107,CSNK2A1;CSNK2A3,-0.3522410083,0.033448015505756
108,RPL15,0.2241849203,0.0734469058335557
109,SEC23B;SEC23A,-0.2542941768,0.0602706277338247
110,TPP1,-1.0645465164,0.000388721479434717
111,EEF1A2,0.1945060398,0.432531226411288
112,CD59,0.0647054975,0.523558857610343
113,NDUFA6,0.2097796171,0.133246224841308
114,MTHFD1,-0.0936383655,0.384440273398268
115,CTPS1,0.6412552044,0.00970974008927287
116,TJP2,-0.2483543865,0.222549823629221
117,HEBP1,-0.50075182,0.0268040341795486
118,MOGS,0.7337637199,0.191028188606254
119,TCOF1,0.1534147915,0.35890668251515
120,COPA,-0.4525922187,0.0161828451489269
121,IDE,0.1999160229,0.262079825399686
122,NDUFA9,0.8289876469,0.00139396256223512
123,PPP1R12A,-0.2609857618,0.187328908683641
124,MCM4,-0.3048795528,0.0637299575850903
125,HNRNPL,-0.1430499897,0.175916706014001
126,THRAP3,-0.3148417595,0.0239563730904972
127,AMDHD2,-1.2005891049,0.000397707232249393
128,NHP2L1,-0.2477425848,0.196410191188527
129,C11orf98,-0.0856616441,0.544425996075475
130,DEK,-0.0097315794,0.933155284611388
131,SUCLG1,-0.3803078906,0.0156476221076567
132,CLUH,-0.1261892838,0.337351020056732
133,NOP56,-0.211469892,0.130959897039174
134,FKBP2,-0.3762470439,0.0441977415462455
135,S100A2,-0.0809438133,0.415065041218419
136,SRSF6,-0.1240319097,0.245998252537354
137,SAE1,-0.3230012066,0.0360193587077381
138,AMPD2,0.2061481224,0.148675721871015
139,ACAT1,-0.3508615534,0.052330714508173
140,CTNND1,-0.7711933689,0.00508245547995347
141,STAT1,-0.3062188598,0.114312957383808
142,UBA6,0.0288722767,0.809448242242392
143,ACO2,-0.1796769529,0.134481998695377
144,PGP,-0.5713251221,0.019782580502575
145,HCFC1,-0.6116166308,0.00303780944769096
146,NUDT5,-0.0190664675,0.859475267271869
147,UNC119;UNC119B,-0.3294405377,0.214699208007778
148,USP14,0.0323942367,0.789042861784596
149,RNPEP,-0.4899078425,0.182380195699879
150,ENSA;ARPP19,0.0391955469,0.757581176099696
151,CRYZ,-0.1477419428,0.272265750720243
152,MANF,0.1209358632,0.404754988595243
153,EPB41L3,0.1255089103,0.241555821370637
154,RPL23A,0.106451154,0.30812873963962
155,SNRPG;SNRPGP15,-0.2400097879,0.0695642625817106
156,EIF3L,0.2408464658,0.104632081766322
