Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XPWP1,HIST1H4A,HIST1H4A,0|1,1,0.5,2,7|7,0.0,0.0,0.0,0.0,0.0,-32.65,0.07,0.73,
XPWP1,HSPA5,HSPA5,0|3,3,1.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-135.43,0.05,0.73,
XPWP1,NELFA,NELFA,1|0,1,0.5,2,6|13,0.0,0.0,0.0,0.0,0.0,-43.42,0.05,0.73,
XPWP1,HSPA8,HSPA8,5|13,18,9.0,2,44|51,0.0,0.0,0.0,0.0,0.0,-192.41,0.19,0.73,
XPWP1,TCOF1,TCOF1,0|1,1,0.5,2,3|3,0.0,0.0,0.0,0.0,0.0,-15.06,0.17,0.73,
XPWP1,PPP2R2A,PPP2R2A,2|6,8,4.0,2,0|0,0.87,1.0,0.87,1.0,0.87,1.02,40.0,0.01,
XPWP1,ATXN2L,ATXN2L,2|3,5,2.5,2,53|47,0.0,0.0,0.0,0.0,0.0,-215.24,0.05,0.73,
XPWP1,SWAP70,SWAP70,1|4,5,2.5,2,32|40,0.0,0.0,0.0,0.0,0.0,-157.35,0.07,0.73,
XPWP1,CSDE1,CSDE1,4|13,17,8.5,2,49|50,0.0,0.0,0.0,0.0,0.0,-204.88,0.17,0.73,
XPWP1,TIPRL,TIPRL,2|7,9,4.5,2,31|30,0.0,0.0,0.0,0.0,0.0,-128.73,0.15,0.73,
XPWP1,TTN,TTN,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.96,1.0,0.73,
XPWP1,FAM212A,FAM212A,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-4.96,1.0,0.73,
XPWP1,GART,GART,0|2,2,1.0,2,18|16,0.0,0.0,0.0,0.0,0.0,-77.21,0.06,0.73,
XPWP1,HLCS,HLCS,0|3,3,1.5,2,5|6,0.0,0.0,0.0,0.0,0.0,-26.05,0.27,0.73,
XPWP1,SERBP1,SERBP1,7|12,19,9.5,2,38|49,0.0,0.0,0.0,0.0,0.0,-168.21,0.22,0.73,
XPWP1,ABHD14B,ABHD14B,1|1,2,1.0,2,4|3,0.0,0.0,0.0,0.0,0.0,-14.63,0.29,0.73,
XPWP1,SZT2,SZT2,0|1,1,0.5,2,4|4,0.0,0.0,0.0,0.0,0.0,-19.42,0.12,0.73,
XPWP1,RAB11FIP5,RAB11FIP5,1|1,2,1.0,2,40|24,0.0,0.0,0.0,0.0,0.0,-138.94,0.03,0.73,
XPWP1,EEF1A1,EEF1A1,22|28,50,25.0,2,38|48,0.0,0.0,0.0,0.0,0.0,-128.38,0.58,0.73,
XPWP1,MAGEA4,MAGEA4,4|3,7,3.5,2,9|8,0.0,0.0,0.0,0.0,0.0,-30.47,0.41,0.73,
