,Bait,Prey Gene,Saint Score,log2FC
0,PWP1,HIST1H4A,0.0,-3.837
1,PWP1,HSPA5,0.0,-4.322
2,PWP1,NELFA,0.0,-4.322
3,PWP1,HSPA8,0.0,-2.396
4,PWP1,TCOF1,0.0,-2.556
5,PWP1,PPP2R2A,0.87,5.322
6,PWP1,ATXN2L,0.0,-4.322
7,PWP1,SWAP70,0.0,-3.837
8,PWP1,CSDE1,0.0,-2.556
9,PWP1,TIPRL,0.0,-2.737
10,PWP1,TTN,0.0,0.0
11,PWP1,FAM212A,0.0,0.0
12,PWP1,GART,0.0,-4.059
13,PWP1,HLCS,0.0,-1.889
14,PWP1,SERBP1,0.0,-2.184
15,PWP1,ABHD14B,0.0,-1.786
16,PWP1,SZT2,0.0,-3.059
17,PWP1,RAB11FIP5,0.0,-5.059
18,PWP1,EEF1A1,0.0,-0.786
19,PWP1,MAGEA4,0.0,-1.286
20,PWP1,NOLC1,0.0,-4.059
21,PWP1,FXR1,0.0,-4.644
22,PWP1,PNN,0.0,-4.059
23,PWP1,COPG2,0.0,-3.644
24,PWP1,UQCRC1,0.17,2.0
25,PWP1,FAM135A,0.0,-2.322
26,PWP1,DPYSL4,0.0,-3.837
27,PWP1,DPYSL2,0.0,-2.837
28,PWP1,DPYSL3,0.0,-5.059
29,PWP1,EPS8L2,0.0,-2.644
30,PWP1,PFN2,0.42,1.585
31,PWP1,ATP5A1,0.0,-1.0
32,PWP1,ECD,0.0,-4.322
33,PWP1,FAM21A,0.0,-5.059
34,PWP1,TRIO,0.0,-5.644
35,PWP1,MTMR14,0.0,-0.737
36,PWP1,TJP1,0.0,-6.644
37,PWP1,TCP1,0.0,0.856
38,PWP1,SH3PXD2B,0.0,-3.474
39,PWP1,KTN1,0.0,-3.644
40,PWP1,PRDX6,0.0,-1.358
41,PWP1,PRDX3,0.02,0.678
42,PWP1,PRDX2,0.97,5.129
43,PWP1,PRDX1,0.0,0.0
44,PWP1,CCT6A,0.0,-1.599
45,PWP1,PAPOLB,0.0,-1.599
46,PWP1,TUFM,0.0,0.0
47,PWP1,TXNDC5,0.47,3.907
48,PWP1,DCD,0.37,3.322
49,PWP1,CACNA1D,0.0,-3.644
50,PWP1,SLC25A3,0.0,-1.0
51,PWP1,TRIM25,0.0,-3.322
52,PWP1,SLC25A5,0.0,-1.252
53,PWP1,UTRN,0.0,-5.644
54,PWP1,GAPDH,0.0,-1.599
55,PWP1,ABCF1,0.0,-5.059
56,PWP1,RAPH1,0.0,-4.644
57,PWP1,KPRP,0.5,4.644
58,PWP1,BAG3,0.0,-5.644
59,PWP1,MSRB3,0.0,0.0
60,PWP1,RPS6,0.0,-2.556
61,PWP1,RPS3,0.0,-1.599
62,PWP1,VDAC1,0.0,1.0
63,PWP1,CHMP5,0.0,-3.322
64,PWP1,RPS8,0.0,-2.0
65,PWP1,CTPS1,0.0,-4.059
66,PWP1,DSG1,0.17,1.585
67,PWP1,LGALS1,0.5,2.322
68,PWP1,HN1,0.0,-4.644
69,PWP1,VARS,0.0,-4.644
