,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.5886664754,0.00357279004027514
1,HDLBP,-0.1346543618,0.520743615737
2,PSMA2,-0.1935593281,0.209461157940519
3,BAG6;BAT3,0.7077350142,0.00324291786757232
4,TAF15,-0.1417675586,0.320605932298563
5,TXNRD1,0.0413287094,0.816123596903279
6,HMOX2,0.051068623,0.661351016563378
7,EIF2B4,-0.7840318776,0.243534520294613
8,KHSRP,0.1842228566,0.122211397011064
9,PABPC1,-0.2687113188,0.122276264418673
10,HNRNPDL,-0.5161403021,0.0231274527314921
11,CTNNBL1,-0.2328578783,0.0768816383419892
12,SPCS2,0.0656026022,0.546364875273804
13,HNRNPDL,-0.4291555364,0.0410727166145997
14,SLIRP,0.0584172409,0.659389131157631
15,EIF5B,0.9624518883,0.184075747132447
16,SPTBN1,-0.5934902311,0.00607141194305945
17,MTHFD1L,-0.1459340007,0.318502397333662
18,POLR2E,-0.4585896004,0.0288226807709484
19,TPM3,0.0263280865,0.79676376846641
20,RPL17;RPL17-C18orf32,0.2729887224,0.126083964775781
21,ITGB6,0.0792992223,0.615334708184188
22,PSMB3,0.0174345241,0.899960670470808
23,VTA1,-0.2267628513,0.0853352279810689
24,AP2M1,0.0739754032,0.738495057447297
25,SRP19,-0.5460390532,0.110731008322044
26,UGP2,-0.257748375,0.0577013049928597
27,PTGES3,-0.3512700499,0.0367725307166146
28,EIF3H,-0.1199342846,0.359693126736769
29,IDH3B,-0.2806979442,0.200449314483857
30,NDUFB6,0.5362449475,0.00892336890422971
31,SBDS,-0.0815114765,0.490073395829506
32,OGFR,-0.4565954963,0.0388366666875638
33,HYOU1,-0.280189232,0.21220136499541
34,SLC4A1AP,-0.6326206581,0.0148496633314084
35,ACOT1;ACOT2,-0.3072539523,0.0998381997066261
36,HNRNPM,0.0444400771,0.69553276630597
37,NOMO2;NOMO1;NOMO3,-0.3349713002,0.488535021262067
38,SEPT8,0.4221187787,0.510522272444374
39,STAU1,0.1646925175,0.501071136080559
40,PSME2,0.2273756639,0.513252506641348
41,BSG,-0.2237763281,0.150684645093377
42,SRSF3,0.0288272775,0.810806363663404
43,MRPL45,-1.8036606852,0.106036362617544
44,DDX1,-0.1300394912,0.33421230995717
45,GPS1,-0.5930874914,0.0279903721869988
46,C21orf33,-0.291045721,0.467180867187876
47,WDR18,0.4950445326,0.436570460219574
48,HNRNPUL1,-0.7676188294,0.01183411310494
49,PCMT1,0.156329633,0.377539154234872
50,NOLC1,0.2515208364,0.0594034454506723
51,ABI1,-0.5210385359,0.052051939191768
52,HADH,-0.2159084609,0.432375054329565
53,PLS3,0.2141203925,0.46608792816336
54,PITPNB,-0.4554408891,0.0694613250940565
55,SMARCA4,0.6315852208,0.011927383833603
56,IVD,0.0636813295,0.571883639666502
57,ILK,-0.1396720148,0.645797858437762
58,ELOVL5,-0.4798804894,0.0175144567435638
59,TTN,1.6445401757,0.101412204033639
60,TMED7;TMED7-TICAM2,0.0520716305,0.6493826697568
61,NAA15,0.0326430515,0.875268627211466
62,SRSF7,-0.1622540154,0.413194462495593
63,LARP1,1.1249680124,0.0750566553120295
64,TCEB2,-0.1734895005,0.248487799037719
65,TPT1,-0.1762719045,0.487202751675235
66,PWP2,-0.3164042742,0.0298960724158972
67,SET;SETSIP,-0.235081502,0.182164284092202
68,RPSA,0.1861003619,0.162742237183148
69,HTRA2,0.029767633,0.91944088667804
70,DDX46,-0.338365654,0.0296364540131981
71,ECI2,-0.8240565694,0.0935533011185801
72,CHD4,-0.2396889209,0.0748315445958335
73,CAPNS1,0.206608785,0.112460283709853
74,DDOST,-0.0678212342,0.576493552208049
75,LAMTOR5,-1.2246835577,0.000378405566776164
76,DDX3X;DDX3Y,-0.1857656578,0.139719559154321
77,TATDN1,0.5538601038,0.0421684266955027
78,SPTAN1,0.0370184835,0.881739499729969
79,DIAPH1,-0.5040724404,0.0205600344815203
80,HSPA1A;HSPA1B,-0.5455206497,0.02170808822415
81,GBA,-0.7309374853,0.00852708843405153
82,SCRIB,-0.0445389858,0.7067654162378
83,PUF60,0.4418300673,0.0939781702938254
84,MATR3,-0.2611534518,0.0628056058636342
85,PROCR,0.7344343683,0.00816484507352287
86,PACSIN2,-1.244328764,0.00531852089210814
87,HLA-A,-0.6447412845,0.00204020331884711
88,ALDH7A1,-0.0900999122,0.585553860778556
