Bait,Prey,PreyGene,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,boosted_by
XRBBP5,HIST1H4A,HIST1H4A,28|11,39,19.5,2,6|6,0.5,1.0,0.5,1.0,0.5,-6.85,3.25,0.15,
XRBBP5,HSPA6,HSPA6,1|0,1,0.5,2,2|3,0.0,0.0,0.0,0.0,0.0,-11.32,0.2,0.69,
XRBBP5,HSPA5,HSPA5,19|8,27,13.5,2,29|31,0.0,0.0,0.0,0.0,0.0,-105.89,0.45,0.69,
XRBBP5,HSPA4,HSPA4,1|0,1,0.5,2,16|19,0.0,0.0,0.0,0.0,0.0,-77.8,0.03,0.69,
XRBBP5,NELFB,NELFB,1|0,1,0.5,2,0|0,0.0,0.0,0.0,0.0,0.0,-1.86,5.0,0.69,
XRBBP5,NELFA,NELFA,22|8,30,15.0,2,5|11,0.06,0.13,0.06,0.13,0.06,-17.71,1.88,0.47,
XRBBP5,NELFE,NELFE,29|11,40,20.0,2,24|23,0.0,0.0,0.0,0.0,0.0,-71.88,0.85,0.67,
XRBBP5,PDCD11,PDCD11,5|1,6,3.0,2,0|0,0.5,1.0,0.5,1.0,0.5,0.65,30.0,0.25,
XRBBP5,KIAA0907,KIAA0907,1|0,1,0.5,2,1|1,0.0,0.0,0.0,0.0,0.0,-4.9,0.5,0.69,
XRBBP5,COPRS,COPRS,1|0,1,0.5,2,2|4,0.0,0.0,0.0,0.0,0.0,-13.4,0.17,0.69,
XRBBP5,CAMK4,CAMK4,1|0,1,0.5,2,4|7,0.0,0.0,0.0,0.0,0.0,-24.4,0.09,0.69,
XRBBP5,ZC3H13,ZC3H13,6|2,8,4.0,2,1|0,0.7,0.99,0.7,0.99,0.7,-0.37,8.0,0.05,
XRBBP5,ZC3H14,ZC3H14,22|8,30,15.0,2,20|30,0.0,0.0,0.0,0.0,0.0,-84.69,0.6,0.69,
XRBBP5,KDM2A,KDM2A,15|7,22,11.0,2,0|0,1.0,1.0,1.0,1.0,1.0,11.19,110.0,0.0,
XRBBP5,ZC3H18,ZC3H18,10|1,11,5.5,2,5|6,0.0,0.0,0.0,0.0,0.0,-21.29,1.0,0.58,
XRBBP5,DHX8,DHX8,1|0,1,0.5,2,0|3,0.0,0.0,0.0,0.0,0.0,-6.82,0.33,0.69,
XRBBP5,DHX9,DHX9,55|24,79,39.5,2,68|57,0.0,0.0,0.0,0.0,0.0,-201.31,0.63,0.69,
XRBBP5,HSPA8,HSPA8,41|17,58,29.0,2,43|45,0.0,0.0,0.0,0.0,0.0,-141.75,0.66,0.69,
XRBBP5,TCOF1,TCOF1,61|34,95,47.5,2,3|3,1.0,1.0,1.0,1.0,1.0,30.13,15.83,0.0,
XRBBP5,NSRP1,NSRP1,3|0,3,1.5,2,2|5,0.0,0.0,0.0,0.0,0.0,-15.62,0.43,0.69,
XRBBP5,NUP98,NUP98,2|0,2,1.0,2,33|36,0.0,0.0,0.0,0.0,0.0,-153.96,0.03,0.69,
XRBBP5,XPC,XPC,3|2,5,2.5,2,4|3,0.0,0.0,0.0,0.0,0.0,-11.0,0.71,0.69,
XRBBP5,XPA,XPA,3|0,3,1.5,2,0|0,0.49,0.99,0.49,0.99,0.49,-1.86,15.0,0.31,
XRBBP5,HNRNPDL,HNRNPDL,5|1,6,3.0,2,2|1,0.27,0.54,0.27,0.54,0.27,-5.29,2.0,0.42,
XRBBP5,WHSC1,WHSC1,5|0,5,2.5,2,0|0,0.5,1.0,0.5,1.0,0.5,-1.86,25.0,0.25,
XRBBP5,ANP32E,ANP32E,5|2,7,3.5,2,3|4,0.0,0.0,0.0,0.0,0.0,-11.0,1.0,0.58,
XRBBP5,RAD54L2,RAD54L2,5|1,6,3.0,2,0|0,0.5,1.0,0.5,1.0,0.5,0.65,30.0,0.25,
XRBBP5,PNISR,PNISR,4|1,5,2.5,2,2|3,0.01,0.01,0.01,0.01,0.01,-8.99,1.0,0.54,
XRBBP5,NOP2,NOP2,23|10,33,16.5,2,18|17,0.0,0.0,0.0,0.0,0.0,-50.13,0.94,0.66,
XRBBP5,GTF3C1,GTF3C1,11|5,16,8.0,2,25|18,0.0,0.0,0.0,0.0,0.0,-78.14,0.37,0.69,
XRBBP5,GTF3C5,GTF3C5,9|4,13,6.5,2,13|11,0.0,0.0,0.0,0.0,0.0,-40.83,0.54,0.69,
XRBBP5,GTF3C4,GTF3C4,31|14,45,22.5,2,14|17,0.0,0.0,0.0,0.0,0.0,-35.77,1.45,0.61,
XRBBP5,ZNF451,ZNF451,29|10,39,19.5,2,7|9,0.5,1.0,0.5,1.0,0.5,-15.13,2.44,0.23,
XRBBP5,XPO5,XPO5,1|0,1,0.5,2,0|1,0.0,0.0,0.0,0.0,0.0,-3.3,1.0,0.69,
XRBBP5,TIPRL,TIPRL,14|1,15,7.5,2,32|31,0.0,0.0,0.0,0.0,0.0,-135.65,0.24,0.69,
XRBBP5,TTN,TTN,1|0,1,0.5,2,1|0,0.0,0.0,0.0,0.0,0.0,-3.3,1.0,0.69,
XRBBP5,FBXL18,FBXL18,3|0,3,1.5,2,0|0,0.49,0.99,0.49,0.99,0.49,-1.86,15.0,0.31,
XRBBP5,FAM212B,FAM212B,1|0,1,0.5,2,5|2,0.0,0.0,0.0,0.0,0.0,-15.62,0.14,0.69,
XRBBP5,ANAPC4,ANAPC4,1|1,2,1.0,2,10|12,0.0,0.0,0.0,0.0,0.0,-44.97,0.09,0.69,
XRBBP5,RPS6KA1,RPS6KA1,1|0,1,0.5,2,21|19,0.0,0.0,0.0,0.0,0.0,-88.98,0.03,0.69,
XRBBP5,HLCS,HLCS,2|0,2,1.0,2,5|6,0.0,0.0,0.0,0.0,0.0,-24.4,0.18,0.69,
XRBBP5,TOP1,TOP1,5|0,5,2.5,2,3|1,0.1,0.19,0.1,0.19,0.1,-9.09,1.25,0.46,
